# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = arrays_model
# start_datetime = 2023-11-20 20:48:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4121365788 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_array_data/../../data/arrays/arrays_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1,x.2,x.3,x.4,y.1.1,y.2.1,y.1.2,y.2.2,y.1.3,y.2.3,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.1.3,z.2.1.3,z.1.2.3,z.2.2.3
# Adaptation terminated
# Step size = 0.24497
# Diagonal elements of inverse mass matrix:
# 1.10891, 0.86977, 0.984004, 0.865545, 0.957069, 1.02066, 0.95696, 0.933108, 0.920186, 0.998024, 0.810014, 1.15103, 1.28617, 1.41477, 1.11978, 1.31131, 1.00802, 1.09936, 1.24423, 1.05183, 1.02077, 1.30367, 1.07292
-21.6599,0.860578,0.24497,4,15,0,29.6711,-0.612292,0.305011,1.33353,1.11207,-0.699567,-1.78461,-0.899154,-1.44681,0.42288,-0.12423,1.26311,1.05847,2.01086,0.242174,1.89778,0.0447216,0.582961,0.13123,2.15885,0.859759,0.152824,0.417121,1.10796
-20.5419,0.979387,0.24497,4,15,0,33.8773,-1.28826,0.0397522,1.34259,-0.517984,2.14663,-0.00219702,1.5063,-0.437079,0.529797,-0.339053,-0.396339,0.835186,0.264377,0.241307,0.375731,1.52587,1.15675,1.50951,0.181043,0.339327,0.0104854,1.21703,0.889163
-19.8001,0.925319,0.24497,4,15,0,36.221,1.16312,0.28129,-0.935641,0.89853,-1.98224,0.667184,-0.504831,0.711861,-0.964365,0.823043,-0.234342,1.30015,0.00872302,0.28969,0.626764,0.718194,0.960408,0.13618,0.236524,0.867238,1.48073,0.300652,0.802585
-12.8842,0.979908,0.24497,4,15,0,29.3756,-0.121615,0.0223438,2.08759,0.455581,0.500674,0.348965,-0.179568,0.198434,1.10373,-0.409175,-0.431293,0.370691,1.63372,0.632893,1.01801,0.887862,0.709646,0.391715,0.220473,1.06161,0.430236,1.70309,1.08789
-18.7989,0.951853,0.24497,4,15,0,23.7278,0.550636,-0.706102,-2.8487,-0.382566,-0.591975,0.338123,0.11971,-0.597845,-0.981262,-0.560014,1.00318,1.75932,0.391954,0.332638,0.761222,1.00654,0.802494,0.564256,0.100711,1.08672,1.46795,0.414845,0.0639315
-21.4435,0.927018,0.24497,4,15,0,32.2274,0.0350128,0.236439,0.8261,0.536831,-0.128355,-0.128674,-0.947202,1.50971,1.42187,1.01738,-0.289407,0.319615,1.15896,0.037586,0.234601,0.475061,0.132668,1.49895,1.09941,0.116897,0.319489,0.285296,0.0802999
-22.6829,0.94862,0.24497,4,15,0,35.3763,-0.246948,0.17767,0.626503,-0.386832,-0.688706,0.325812,-1.37806,1.11632,1.63229,0.729008,-0.909516,0.760462,1.48894,0.12589,0.194222,0.322879,0.0782457,1.67695,0.48737,0.0899417,0.419713,0.123884,0.0779474
-20.2434,0.984302,0.24497,4,15,0,35.3872,-0.473338,-0.774555,0.402695,-0.795535,-0.268807,0.620067,0.254871,-0.342028,-1.74587,-0.835086,0.622211,0.136848,0.526586,0.0606359,1.26834,0.544954,0.271419,0.450471,0.123444,1.39464,0.454533,0.142772,2.55007
-18.8093,0.964509,0.24497,4,15,0,29.9446,-1.48786,-0.135748,0.940073,-0.142192,0.41928,0.274573,0.591486,-0.290343,-0.600562,0.138755,-0.333595,0.0887923,0.325434,0.0492272,0.764941,0.259324,1.19006,0.26727,0.117475,1.08986,0.524392,0.107235,1.17344
-22.8672,0.908777,0.24497,4,15,0,33.872,1.63955,2.15375,-0.365743,-0.970258,0.00746755,0.109983,0.563822,0.445016,1.09927,0.619073,0.473466,0.604904,0.0545505,0.0254172,1.19273,1.88848,0.425115,1.62558,0.382288,0.0541226,0.559969,2.14669,0.82486
