# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = arrays_model
# start_datetime = 2023-11-21 14:19:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4184456367 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_array_data/../../data/arrays/arrays_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1,x.2,x.3,x.4,y.1.1,y.2.1,y.1.2,y.2.2,y.1.3,y.2.3,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.1.3,z.2.1.3,z.1.2.3,z.2.2.3
# Adaptation terminated
# Step size = 0.260422
# Diagonal elements of inverse mass matrix:
# 1.02561, 1.14157, 1.21822, 1.13672, 0.980192, 1.04241, 1.00632, 0.959093, 1.0116, 0.959691, 0.991453, 1.00108, 1.19056, 1.28903, 1.32347, 1.2285, 1.05202, 1.36382, 1.03529, 1.1843, 2.03345, 1.36487, 0.875872
-14.9543,0.988667,0.260422,4,15,0,25.9615,0.907547,0.0238112,1.69155,-0.761794,0.717229,2.5764,-0.0271965,0.243504,0.918412,-1.29481,-0.609402,1.00743,0.461165,1.25877,0.981596,1.88162,1.75154,0.776381,0.89823,1.08851,0.730766,0.76301,1.00073
-18.2798,0.940814,0.260422,4,15,0,28.6059,-1.19591,-0.126366,-1.47108,0.335902,-0.442139,-2.55451,-0.269601,0.715736,-0.266301,-0.0571398,1.19577,0.451033,1.71006,0.92403,0.804339,0.375673,0.370421,0.0563478,0.369337,0.994914,0.213168,0.880384,0.924669
-16.1548,0.967998,0.260422,4,15,0,29.6952,-0.194403,-2.0483,-0.510672,-1.49212,1.06348,0.26194,-1.81897,-0.668921,-1.2852,0.823997,0.139322,1.70268,0.278718,0.991675,1.23019,0.642653,1.42359,0.409963,1.64107,0.708463,1.74839,0.658041,0.854849
-13.5332,0.882557,0.260422,4,15,0,22.4485,0.659431,1.84922,0.605496,0.39781,-0.967821,-0.0469997,1.23849,0.575944,1.25157,-0.586942,0.105258,0.907421,0.373412,0.901497,1.45006,0.471593,0.250394,0.63611,0.42326,0.853283,0.538278,1.08651,1.23052
-18.1886,0.947838,0.260422,4,15,0,24.8152,-0.171353,0.907163,-0.00695077,-0.29706,-1.47231,0.469305,1.03667,0.489462,1.93195,1.04861,-0.200329,0.0837478,0.543708,1.46896,0.611231,0.462023,0.189493,1.36338,0.328335,1.36621,0.0845485,1.63169,1.18657
-15.2403,0.890801,0.260422,4,15,0,31.9755,-0.578829,-0.280917,-0.206587,0.509835,0.427961,-0.849183,-0.673853,0.518345,-0.967504,-0.622822,0.550217,2.07059,0.601723,0.287684,0.245639,1.18099,2.07447,0.799446,0.209605,0.110114,1.60077,0.514622,0.83683
-17.0132,0.986605,0.260422,4,15,0,23.2624,1.3323,0.618108,0.195355,-1.01968,0.380454,-0.17466,-0.869192,-0.849407,-0.255434,0.344189,-0.404249,0.142068,1.3232,0.166752,1.84399,0.386932,0.274204,0.648714,1.79196,0.0467245,0.498518,1.0274,1.2029
-18.4633,0.774636,0.260422,4,15,0,27.83,-1.50668,-1.07311,-0.27705,-1.88687,1.3055,-0.921338,0.49691,0.296723,0.628185,-0.845693,0.237043,0.177648,0.363918,2.5776,0.117482,1.62121,0.877264,1.52421,0.302883,0.876876,1.15975,0.650919,0.777206
-19.8407,0.812628,0.260422,4,15,0,33.8774,-0.46939,0.131188,-0.628356,0.79337,-1.02429,-0.727496,-1.50887,1.01873,-0.412202,1.49928,0.383875,0.497177,0.116613,0.10467,1.04243,0.233917,1.1204,0.527368,1.27413,0.529236,0.0241794,1.43294,0.306269
-23.2065,0.955621,0.260422,4,15,0,32.6055,-0.525471,-0.603475,-0.480311,0.471036,-0.880226,-0.0334947,-1.52974,1.40001,-1.60416,1.11405,0.683993,0.573341,0.0682028,0.0656865,0.895529,0.155988,1.11479,0.709134,0.642442,2.15111,0.0102835,1.62005,0.545627
-19.1557,0.984817,0.260422,4,15,0,32.7181,0.613587,0.717557,0.493409,-0.554676,1.15764,0.0195369,1.67208,-1.11126,1.35529,-1.30281,-0.344542,1.49716,0.869919,0.978943,0.971126,1.95909,0.361871,1.44141,0.224967,0.278,2.81781,0.110124,0.589349
-27.6528,0.64112,0.260422,4,15,0,38.5824,-0.351513,0.879041,1.08644,-1.36279,-2.17629,-0.330849,-0.891521,0.313629,0.983725,1.09668,-0.129337,0.0373773,0.618081,0.833602,0.670713,0.238783,1.81686,0.25185,2.16672,0.147593,0.0669908,0.0368682,0.0416207
-17.85,0.96151,0.260422,4,15,0,37.0987,-0.225535,-1.35326,0.0164589,0.528516,2.33562,0.0220103,1.38776,0.256916,-0.0978082,-0.915391,0.192646,0.823481,2.19879,0.83039,1.04162,0.271552,0.677678,0.824383,0.281336,0.0870004,0.190332,0.611708,0.507687
