# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = arrays_model
# start_datetime = 2023-11-18 18:04:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 3938722959 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_array_data/../../data/arrays/arrays_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.1.3,z.2.1.3,z.1.2.3,z.2.2.3
# Adaptation terminated
# Step size = 0.318742
# Diagonal elements of inverse mass matrix:
# 1.11984, 0.851863, 1.02124, 1.06261, 1.00328, 1.1869, 0.998786, 0.999649, 0.93804, 1.16062, 1.26153, 1.0324, 1.05207, 1.1538, 1.08018, 1.49722, 0.881756, 1.17946, 0.903836
-16.6397,0.602491,0.318742,3,7,0,30.6133,-0.325583,-0.412329,0.814286,-1.91857,-0.590267,0.908769,-0.676937,0.248518,0.681658,0.524986,0.695972,0.894257,0.209543,0.579525,1.55185,0.0253089,0.472398,0.4597,0.357643
-17.4722,0.942199,0.318742,4,15,0,24.5652,0.4413,0.472327,-0.815073,2.10212,0.541887,-0.920236,0.653988,1.5487,0.0200967,0.905428,1.14751,1.2599,0.464001,0.339868,0.448432,0.346596,0.235306,1.8422,1.83809
-16.8527,0.990198,0.318742,3,7,0,24.1668,1.63149,0.228681,-0.324524,0.302814,0.17375,0.544761,0.823606,0.418755,0.0278377,1.33581,0.407963,0.88804,2.12317,0.183409,1.60703,2.01867,2.23705,0.65741,0.764686
-17.1893,0.469924,0.318742,3,7,0,25.5093,1.29849,0.615364,1.58127,1.40852,0.551065,-0.0527847,0.844346,0.537529,0.0539751,1.36299,0.633009,1.72189,0.344548,0.215139,1.1519,0.604399,0.141964,0.597719,0.420315
-20.0719,0.890407,0.318742,3,7,0,30.927,-0.28933,-0.764265,0.80733,1.75744,-0.468637,1.21298,1.93989,0.779904,0.0444786,1.29152,2.4684,0.868231,0.227318,0.252721,0.612606,0.729752,0.470913,2.63942,0.605833
-16.3882,0.997446,0.318742,4,15,0,31.0871,0.44684,-1.34773,1.91596,0.140916,2.84202,-0.719836,0.128808,1.28928,1.97006,0.790902,0.310405,1.19948,1.22318,0.500738,0.912656,1.01582,0.814034,0.203742,1.26683
-10.9365,0.977963,0.318742,3,7,0,20.2557,0.425278,-1.59559,1.30578,0.531582,1.32345,0.358042,0.650941,0.793116,0.578082,0.692128,1.67972,1.22955,0.82399,1.2958,0.651314,0.647789,1.11119,0.629089,1.22063
-17.4732,0.871426,0.318742,3,7,0,20.9191,0.630377,-1.75756,1.52786,-0.751889,1.81052,2.5127,-0.120221,0.818204,0.373873,1.86537,1.44417,0.968219,0.357448,0.655801,0.427799,0.686568,0.613757,0.339959,0.983532
-18.4707,0.41501,0.318742,4,15,0,28.5927,0.174264,1.80081,-0.602528,0.603107,-1.26255,-0.559086,0.348024,0.544716,0.343848,0.00809843,0.460813,0.356891,1.53585,1.18777,0.297157,1.92047,0.595668,2.13687,0.491453
-15.3689,0.935756,0.318742,4,15,0,26.3789,-1.65003,0.543416,-0.679079,-0.847089,1.73204,0.363858,-0.236777,1.68387,0.174698,0.332025,0.641779,0.32764,0.396919,0.919412,1.12711,0.435727,1.25811,0.332822,0.261609
-17.8073,0.891897,0.318742,4,15,0,30.2281,1.90275,-1.27066,0.956304,-0.660046,-2.40603,-1.17503,-0.0347551,0.152206,2.26363,0.355033,1.0912,0.814058,1.60359,1.11075,0.675448,0.470284,0.883427,1.75997,0.48712
-16.7552,0.946078,0.318742,3,7,0,27.4801,2.21593,-1.06953,0.836371,-0.471924,-2.49484,-0.613508,-0.115431,0.175505,1.57591,0.408811,1.71684,0.747796,1.62251,0.701429,0.385591,0.944058,0.523213,1.05772,0.605852
-11.4681,0.976881,0.318742,3,7,0,21.9775,-1.23003,0.222307,0.780176,0.25594,1.05297,0.0409362,1.36783,1.75156,0.471076,0.810941,0.47973,0.835786,0.523943,1.29038,1.80906,0.353687,1.07176,0.837686,1.2663
