# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = brian_data_model
# start_datetime = 2023-12-14 20:38:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1899431902 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/brian_data/brian_data_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-104-g6de5732
# stancflags = --warn-pedantic
lp__,accept_stat__,base,base_i,pair:1,pair:2,nested:1,nested:2:1,nested:2:2.real,nested:2:2.imag,arr_pair.1:1,arr_pair.1:2,arr_pair.2:1,arr_pair.2:2,arr_very_nested.1:1:1,arr_very_nested.1:1:2:1,arr_very_nested.1:1:2:2.real,arr_very_nested.1:1:2:2.imag,arr_very_nested.1:2,arr_very_nested.2:1:1,arr_very_nested.2:1:2:1,arr_very_nested.2:1:2:2.real,arr_very_nested.2:1:2:2.imag,arr_very_nested.2:2,arr_very_nested.3:1:1,arr_very_nested.3:1:2:1,arr_very_nested.3:1:2:2.real,arr_very_nested.3:1:2:2.imag,arr_very_nested.3:2,arr_2d_pair.1.1:1,arr_2d_pair.1.1:2,arr_2d_pair.2.1:1,arr_2d_pair.2.1:2,arr_2d_pair.3.1:1,arr_2d_pair.3.1:2,arr_2d_pair.1.2:1,arr_2d_pair.1.2:2,arr_2d_pair.2.2:1,arr_2d_pair.2.2:2,arr_2d_pair.3.2:1,arr_2d_pair.3.2:2,basep1,basep2,basep3,basep4,basep5,ultimate.1.1:1.1:1,ultimate.1.1:1.1:2.1,ultimate.1.1:1.1:2.2,ultimate.1.1:1.2:1,ultimate.1.1:1.2:2.1,ultimate.1.1:1.2:2.2,ultimate.1.1:2.1.1,ultimate.1.1:2.2.1,ultimate.1.1:2.3.1,ultimate.1.1:2.4.1,ultimate.1.1:2.1.2,ultimate.1.1:2.2.2,ultimate.1.1:2.3.2,ultimate.1.1:2.4.2,ultimate.1.1:2.1.3,ultimate.1.1:2.2.3,ultimate.1.1:2.3.3,ultimate.1.1:2.4.3,ultimate.1.1:2.1.4,ultimate.1.1:2.2.4,ultimate.1.1:2.3.4,ultimate.1.1:2.4.4,ultimate.1.1:2.1.5,ultimate.1.1:2.2.5,ultimate.1.1:2.3.5,ultimate.1.1:2.4.5,ultimate.2.1:1.1:1,ultimate.2.1:1.1:2.1,ultimate.2.1:1.1:2.2,ultimate.2.1:1.2:1,ultimate.2.1:1.2:2.1,ultimate.2.1:1.2:2.2,ultimate.2.1:2.1.1,ultimate.2.1:2.2.1,ultimate.2.1:2.3.1,ultimate.2.1:2.4.1,ultimate.2.1:2.1.2,ultimate.2.1:2.2.2,ultimate.2.1:2.3.2,ultimate.2.1:2.4.2,ultimate.2.1:2.1.3,ultimate.2.1:2.2.3,ultimate.2.1:2.3.3,ultimate.2.1:2.4.3,ultimate.2.1:2.1.4,ultimate.2.1:2.2.4,ultimate.2.1:2.3.4,ultimate.2.1:2.4.4,ultimate.2.1:2.1.5,ultimate.2.1:2.2.5,ultimate.2.1:2.3.5,ultimate.2.1:2.4.5,ultimate.1.2:1.1:1,ultimate.1.2:1.1:2.1,ultimate.1.2:1.1:2.2,ultimate.1.2:1.2:1,ultimate.1.2:1.2:2.1,ultimate.1.2:1.2:2.2,ultimate.1.2:2.1.1,ultimate.1.2:2.2.1,ultimate.1.2:2.3.1,ultimate.1.2:2.4.1,ultimate.1.2:2.1.2,ultimate.1.2:2.2.2,ultimate.1.2:2.3.2,ultimate.1.2:2.4.2,ultimate.1.2:2.1.3,ultimate.1.2:2.2.3,ultimate.1.2:2.3.3,ultimate.1.2:2.4.3,ultimate.1.2:2.1.4,ultimate.1.2:2.2.4,ultimate.1.2:2.3.4,ultimate.1.2:2.4.4,ultimate.1.2:2.1.5,ultimate.1.2:2.2.5,ultimate.1.2:2.3.5,ultimate.1.2:2.4.5,ultimate.2.2:1.1:1,ultimate.2.2:1.1:2.1,ultimate.2.2:1.1:2.2,ultimate.2.2:1.2:1,ultimate.2.2:1.2:2.1,ultimate.2.2:1.2:2.2,ultimate.2.2:2.1.1,ultimate.2.2:2.2.1,ultimate.2.2:2.3.1,ultimate.2.2:2.4.1,ultimate.2.2:2.1.2,ultimate.2.2:2.2.2,ultimate.2.2:2.3.2,ultimate.2.2:2.4.2,ultimate.2.2:2.1.3,ultimate.2.2:2.2.3,ultimate.2.2:2.3.3,ultimate.2.2:2.4.3,ultimate.2.2:2.1.4,ultimate.2.2:2.2.4,ultimate.2.2:2.3.4,ultimate.2.2:2.4.4,ultimate.2.2:2.1.5,ultimate.2.2:2.2.5,ultimate.2.2:2.3.5,ultimate.2.2:2.4.5,ultimate.1.3:1.1:1,ultimate.1.3:1.1:2.1,ultimate.1.3:1.1:2.2,ultimate.1.3:1.2:1,ultimate.1.3:1.2:2.1,ultimate.1.3:1.2:2.2,ultimate.1.3:2.1.1,ultimate.1.3:2.2.1,ultimate.1.3:2.3.1,ultimate.1.3:2.4.1,ultimate.1.3:2.1.2,ultimate.1.3:2.2.2,ultimate.1.3:2.3.2,ultimate.1.3:2.4.2,ultimate.1.3:2.1.3,ultimate.1.3:2.2.3,ultimate.1.3:2.3.3,ultimate.1.3:2.4.3,ultimate.1.3:2.1.4,ultimate.1.3:2.2.4,ultimate.1.3:2.3.4,ultimate.1.3:2.4.4,ultimate.1.3:2.1.5,ultimate.1.3:2.2.5,ultimate.1.3:2.3.5,ultimate.1.3:2.4.5,ultimate.2.3:1.1:1,ultimate.2.3:1.1:2.1,ultimate.2.3:1.1:2.2,ultimate.2.3:1.2:1,ultimate.2.3:1.2:2.1,ultimate.2.3:1.2:2.2,ultimate.2.3:2.1.1,ultimate.2.3:2.2.1,ultimate.2.3:2.3.1,ultimate.2.3:2.4.1,ultimate.2.3:2.1.2,ultimate.2.3:2.2.2,ultimate.2.3:2.3.2,ultimate.2.3:2.4.2,ultimate.2.3:2.1.3,ultimate.2.3:2.2.3,ultimate.2.3:2.3.3,ultimate.2.3:2.4.3,ultimate.2.3:2.1.4,ultimate.2.3:2.2.4,ultimate.2.3:2.3.4,ultimate.2.3:2.4.4,ultimate.2.3:2.1.5,ultimate.2.3:2.2.5,ultimate.2.3:2.3.5,ultimate.2.3:2.4.5
0,0,-0.0886985,24,-0.0886985,-0.177397,-0.266096,24,-0,-0.354794,-0.0886985,-0.177397,-0.443493,-0.532191,-0.266096,24,-0,-0.354794,-0.62089,-0.709588,48,-0,-0.798287,-0.886985,-0.266096,24,-0,-0.354794,-0.975684,-1.06438,-1.15308,-1.41918,-1.50787,-1.77397,-1.86267,-1.24178,-1.33048,-1.59657,-1.68527,-1.95137,-2.04007,0.911301,1.9113,2.9113,3.9113,4.9113,-0.0886985,-0.177397,-0.266096,-0.354794,-0.443493,-0.532191,-0.62089,-0.639563,-0.658236,-0.67691,-0.695583,-0.714256,-0.73293,-0.751603,-0.770277,-0.78895,-0.807623,-0.826297,-0.84497,-0.863643,-0.882317,-0.90099,-0.919664,-0.938337,-0.95701,-0.975684,2.9113,5.8226,8.7339,11.6452,14.5565,17.4678,20.3791,20.992,21.6049,22.2178,22.8307,23.4436,24.0565,24.6694,25.2824,25.8953,26.5082,27.1211,27.734,28.3469,28.9598,29.5727,30.1856,30.7985,31.4114,32.0243,0.911301,1.8226,2.7339,3.64521,4.55651,5.46781,6.37911,6.57096,6.76282,6.95467,7.14652,7.33838,7.53023,7.72208,7.91393,8.10579,8.29764,8.48949,8.68135,8.8732,9.06505,9.2569,9.44876,9.64061,9.83246,10.0243,3.9113,7.8226,11.7339,15.6452,19.5565,23.4678,27.3791,28.2025,29.026,29.8494,30.6728,31.4963,32.3197,33.1431,33.9666,34.79,35.6134,36.4369,37.2603,38.0837,38.9072,39.7306,40.554,41.3775,42.2009,43.0243,1.9113,3.8226,5.7339,7.64521,9.55651,11.4678,13.3791,13.7815,14.1839,14.5862,14.9886,15.391,15.7934,16.1958,16.5981,17.0005,17.4029,17.8053,18.2077,18.61,19.0124,19.4148,19.8172,20.2196,20.6219,21.0243,4.9113,9.8226,14.7339,19.6452,24.5565,29.4678,34.3791,35.4131,36.447,37.481,38.5149,39.5489,40.5829,41.6168,42.6508,43.6847,44.7187,45.7527,46.7866,47.8206,48.8545,49.8885,50.9224,51.9564,52.9904,54.0243
0,0,0.672496,28,0.672496,1.34499,2.01749,28,0,2.68998,0.672496,1.34499,3.36248,4.03497,2.01749,28,0,2.68998,4.70747,5.37997,56,0,6.05246,6.72496,2.01749,28,0,2.68998,7.39745,8.06995,8.74245,10.7599,11.4324,13.4499,14.1224,9.41494,10.0874,12.1049,12.7774,14.7949,15.4674,1.6725,2.6725,3.6725,4.6725,5.6725,0.672496,1.34499,2.01749,2.68998,3.36248,4.03497,4.70747,4.84905,4.99063,5.1322,5.27378,5.41536,5.55694,5.69852,5.8401,5.98167,6.12325,6.26483,6.40641,6.54799,6.68956,6.83114,6.97272,7.1143,7.25588,7.39745,3.6725,7.34499,11.0175,14.69,18.3625,22.035,25.7075,26.4806,27.2538,28.0269,28.8001,29.5733,30.3464,31.1196,31.8927,32.6659,33.439,34.2122,34.9854,35.7585,36.5317,37.3048,38.078,38.8511,39.6243,40.3975,1.6725,3.34499,5.01749,6.68998,8.36248,10.035,11.7075,12.0596,12.4117,12.7638,13.1159,13.468,13.8201,14.1722,14.5243,14.8764,15.2285,15.5806,15.9327,16.2848,16.6369,16.989,17.3411,17.6932,18.0453,18.3975,4.6725,9.34499,14.0175,18.69,23.3625,28.035,32.7075,33.6912,34.6748,35.6585,36.6422,37.6259,38.6096,39.5933,40.5769,41.5606,42.5443,43.528,44.5117,45.4954,46.479,47.4627,48.4464,49.4301,50.4138,51.3975,2.6725,5.34499,8.01749,10.69,13.3625,16.035,18.7075,19.2701,19.8327,20.3954,20.958,21.5206,22.0833,22.6459,23.2085,23.7711,24.3338,24.8964,25.459,26.0217,26.5843,27.1469,27.7096,28.2722,28.8348,29.3975,5.6725,11.345,17.0175,22.69,28.3625,34.035,39.7075,40.9017,42.0959,43.2901,44.4843,45.6785,46.8727,48.0669,49.2611,50.4554,51.6496,52.8438,54.038,55.2322,56.4264,57.6206,58.8148,60.009,61.2032,62.3975
0,0,-0.898774,14,-0.898774,-1.79755,-2.69632,14,-0,-3.5951,-0.898774,-1.79755,-4.49387,-5.39265,-2.69632,14,-0,-3.5951,-6.29142,-7.1902,28,-0,-8.08897,-8.98774,-2.69632,14,-0,-3.5951,-9.88652,-10.7853,-11.6841,-14.3804,-15.2792,-17.9755,-18.8743,-12.5828,-13.4816,-16.1779,-17.0767,-19.773,-20.6718,0.101226,1.10123,2.10123,3.10123,4.10123,-0.898774,-1.79755,-2.69632,-3.5951,-4.49387,-5.39265,-6.29142,-6.48064,-6.66985,-6.85907,-7.04828,-7.2375,-7.42671,-7.61593,-7.80515,-7.99436,-8.18358,-8.37279,-8.56201,-8.75122,-8.94044,-9.12966,-9.31887,-9.50809,-9.6973,-9.88652,2.10123,4.20245,6.30368,8.4049,10.5061,12.6074,14.7086,15.1509,15.5933,16.0357,16.478,16.9204,17.3628,17.8051,18.2475,18.6898,19.1322,19.5746,20.0169,20.4593,20.9017,21.344,21.7864,22.2288,22.6711,23.1135,0.101226,0.202451,0.303677,0.404902,0.506128,0.607354,0.708579,0.72989,0.751201,0.772511,0.793822,0.815132,0.836443,0.857754,0.879064,0.900375,0.921686,0.942996,0.964307,0.985618,1.00693,1.02824,1.04955,1.07086,1.09217,1.11348,3.10123,6.20245,9.30368,12.4049,15.5061,18.6074,21.7086,22.3615,23.0144,23.6672,24.3201,24.973,25.6259,26.2788,26.9317,27.5846,28.2375,28.8904,29.5433,30.1961,30.849,31.5019,32.1548,32.8077,33.4606,34.1135,1.10123,2.20245,3.30368,4.4049,5.50613,6.60735,7.70858,7.94042,8.17225,8.40409,8.63593,8.86776,9.0996,9.33144,9.56327,9.79511,10.0269,10.2588,10.4906,10.7225,10.9543,11.1861,11.418,11.6498,11.8816,12.1135,4.10123,8.20245,12.3037,16.4049,20.5061,24.6074,28.7086,29.572,30.4354,31.2988,32.1622,33.0257,33.8891,34.7525,35.6159,36.4793,37.3427,38.2062,39.0696,39.933,40.7964,41.6598,42.5232,43.3866,44.2501,45.1135
0,0,-0.608702,9,-0.608702,-1.2174,-1.82611,9,-0,-2.43481,-0.608702,-1.2174,-3.04351,-3.65221,-1.82611,9,-0,-2.43481,-4.26092,-4.86962,18,-0,-5.47832,-6.08702,-1.82611,9,-0,-2.43481,-6.69572,-7.30443,-7.91313,-9.73923,-10.3479,-12.174,-12.7827,-8.52183,-9.13053,-10.9566,-11.5653,-13.3914,-14.0001,0.391298,1.3913,2.3913,3.3913,4.3913,-0.608702,-1.2174,-1.82611,-2.43481,-3.04351,-3.65221,-4.26092,-4.38906,-4.51721,-4.64536,-4.77351,-4.90165,-5.0298,-5.15795,-5.2861,-5.41425,-5.54239,-5.67054,-5.79869,-5.92684,-6.05498,-6.18313,-6.31128,-6.43943,-6.56758,-6.69572,2.3913,4.7826,7.17389,9.56519,11.9565,14.3478,16.7391,17.2425,17.7459,18.2494,18.7528,19.2562,19.7597,20.2631,20.7665,21.27,21.7734,22.2768,22.7803,23.2837,23.7871,24.2906,24.794,25.2974,25.8008,26.3043,0.391298,0.782596,1.17389,1.56519,1.95649,2.34779,2.73908,2.82146,2.90384,2.98622,3.0686,3.15098,3.23336,3.31573,3.39811,3.48049,3.56287,3.64525,3.72763,3.81001,3.89238,3.97476,4.05714,4.13952,4.2219,4.30428,3.3913,6.7826,10.1739,13.5652,16.9565,20.3478,23.7391,24.453,25.167,25.881,26.5949,27.3089,28.0228,28.7368,29.4507,30.1647,30.8787,31.5926,32.3066,33.0205,33.7345,34.4484,35.1624,35.8764,36.5903,37.3043,1.3913,2.7826,4.17389,5.56519,6.95649,8.34779,9.73908,10.032,10.3249,10.6178,10.9107,11.2036,11.4965,11.7894,12.0823,12.3752,12.6681,12.961,13.2539,13.5468,13.8398,14.1327,14.4256,14.7185,15.0114,15.3043,4.3913,8.7826,13.1739,17.5652,21.9565,26.3478,30.7391,31.6636,32.5881,33.5125,34.437,35.3615,36.286,37.2105,38.135,39.0594,39.9839,40.9084,41.8329,42.7574,43.6819,44.6063,45.5308,46.4553,47.3798,48.3043
0,0,0.400223,31,0.400223,0.800445,1.20067,31,0,1.60089,0.400223,0.800445,2.00111,2.40134,1.20067,31,0,1.60089,2.80156,3.20178,62,0,3.602,4.00223,1.20067,31,0,1.60089,4.40245,4.80267,5.20289,6.40356,6.80378,8.00445,8.40467,5.60312,6.00334,7.20401,7.60423,8.8049,9.20512,1.40022,2.40022,3.40022,4.40022,5.40022,0.400223,0.800445,1.20067,1.60089,2.00111,2.40134,2.80156,2.88582,2.97007,3.05433,3.13859,3.22284,3.3071,3.39136,3.47562,3.55987,3.64413,3.72839,3.81265,3.8969,3.98116,4.06542,4.14968,4.23393,4.31819,4.40245,3.40022,6.80045,10.2007,13.6009,17.0011,20.4013,23.8016,24.5174,25.2332,25.9491,26.6649,27.3807,28.0966,28.8124,29.5282,30.2441,30.9599,31.6758,32.3916,33.1074,33.8233,34.5391,35.2549,35.9708,36.6866,37.4024,1.40022,2.80045,4.20067,5.60089,7.00111,8.40134,9.80156,10.0963,10.3911,10.6859,10.9807,11.2755,11.5703,11.865,12.1598,12.4546,12.7494,13.0442,13.339,13.6337,13.9285,14.2233,14.5181,14.8129,15.1077,15.4024,4.40022,8.80045,13.2007,17.6009,22.0011,26.4013,30.8016,31.7279,32.6543,33.5806,34.507,35.4334,36.3597,37.2861,38.2125,39.1388,40.0652,40.9915,41.9179,42.8443,43.7706,44.697,45.6234,46.5497,47.4761,48.4024,2.40022,4.80045,7.20067,9.60089,12.0011,14.4013,16.8016,17.3069,17.8122,18.3175,18.8228,19.3281,19.8334,20.3387,20.844,21.3493,21.8547,22.36,22.8653,23.3706,23.8759,24.3812,24.8865,25.3918,25.8971,26.4024,5.40022,10.8004,16.2007,21.6009,27.0011,32.4013,37.8016,38.9384,40.0753,41.2122,42.3491,43.486,44.6229,45.7598,46.8967,48.0336,49.1704,50.3073,51.4442,52.5811,53.718,54.8549,55.9918,57.1287,58.2656,59.4024
0,0,-0.13909,3,-0.13909,-0.27818,-0.417269,3,-0,-0.556359,-0.13909,-0.27818,-0.695449,-0.834539,-0.417269,3,-0,-0.556359,-0.973628,-1.11272,6,-0,-1.25181,-1.3909,-0.417269,3,-0,-0.556359,-1.52999,-1.66908,-1.80817,-2.22544,-2.36453,-2.7818,-2.92089,-1.94726,-2.08635,-2.50362,-2.64271,-3.05998,-3.19906,0.86091,1.86091,2.86091,3.86091,4.86091,-0.13909,-0.27818,-0.417269,-0.556359,-0.695449,-0.834539,-0.973628,-1.00291,-1.03219,-1.06147,-1.09076,-1.12004,-1.14932,-1.1786,-1.20788,-1.23717,-1.26645,-1.29573,-1.32501,-1.3543,-1.38358,-1.41286,-1.44214,-1.47142,-1.50071,-1.52999,2.86091,5.72182,8.58273,11.4436,14.3046,17.1655,20.0264,20.6287,21.231,21.8333,22.4356,23.0379,23.6402,24.2424,24.8447,25.447,26.0493,26.6516,27.2539,27.8562,28.4585,29.0608,29.6631,30.2654,30.8677,31.47,0.86091,1.72182,2.58273,3.44364,4.30455,5.16546,6.02637,6.20762,6.38886,6.5701,6.75135,6.93259,7.11384,7.29508,7.47633,7.65757,7.83881,8.02006,8.2013,8.38255,8.56379,8.74504,8.92628,9.10752,9.28877,9.47001,3.86091,7.72182,11.5827,15.4436,19.3046,23.1655,27.0264,27.8392,28.652,29.4648,30.2777,31.0905,31.9033,32.7161,33.529,34.3418,35.1546,35.9674,36.7803,37.5931,38.4059,39.2187,40.0315,40.8444,41.6572,42.47,1.86091,3.72182,5.58273,7.44364,9.30455,11.1655,13.0264,13.4181,13.8099,14.2017,14.5935,14.9852,15.377,15.7688,16.1605,16.5523,16.9441,17.3358,17.7276,18.1194,18.5112,18.9029,19.2947,19.6865,20.0782,20.47,4.86091,9.72182,14.5827,19.4436,24.3046,29.1655,34.0264,35.0497,36.0731,37.0964,38.1198,39.1431,40.1665,41.1898,42.2132,43.2365,44.2599,45.2832,46.3066,47.3299,48.3533,49.3766,50.4,51.4233,52.4467,53.47
0,0,-0.279563,7,-0.279563,-0.559127,-0.83869,7,-0,-1.11825,-0.279563,-0.559127,-1.39782,-1.67738,-0.83869,7,-0,-1.11825,-1.95694,-2.23651,14,-0,-2.51607,-2.79563,-0.83869,7,-0,-1.11825,-3.0752,-3.35476,-3.63432,-4.47301,-4.75258,-5.59127,-5.87083,-3.91389,-4.19345,-5.03214,-5.31171,-6.1504,-6.42996,0.720437,1.72044,2.72044,3.72044,4.72044,-0.279563,-0.559127,-0.83869,-1.11825,-1.39782,-1.67738,-1.95694,-2.0158,-2.07465,-2.13351,-2.19237,-2.25122,-2.31008,-2.36893,-2.42779,-2.48664,-2.5455,-2.60435,-2.66321,-2.72206,-2.78092,-2.83978,-2.89863,-2.95749,-3.01634,-3.0752,2.72044,5.44087,8.16131,10.8817,13.6022,16.3226,19.0431,19.6158,20.1885,20.7612,21.3339,21.9067,22.4794,23.0521,23.6248,24.1976,24.7703,25.343,25.9157,26.4885,27.0612,27.6339,28.2066,28.7794,29.3521,29.9248,0.720437,1.44087,2.16131,2.88175,3.60218,4.32262,5.04306,5.19473,5.3464,5.49807,5.64974,5.80141,5.95308,6.10475,6.25642,6.40809,6.55976,6.71144,6.86311,7.01478,7.16645,7.31812,7.46979,7.62146,7.77313,7.9248,3.72044,7.44087,11.1613,14.8817,18.6022,22.3226,26.0431,26.8263,27.6096,28.3928,29.1761,29.9593,30.7426,31.5258,32.3091,33.0923,33.8756,34.6588,35.4421,36.2253,37.0086,37.7918,38.5751,39.3583,40.1416,40.9248,1.72044,3.44087,5.16131,6.88175,8.60218,10.3226,12.0431,12.4053,12.7675,13.1296,13.4918,13.854,14.2162,14.5784,14.9406,15.3028,15.665,16.0272,16.3894,16.7516,17.1138,17.476,17.8382,18.2004,18.5626,18.9248,4.72044,9.44087,14.1613,18.8817,23.6022,28.3226,33.0431,34.0368,35.0306,36.0244,37.0182,38.0119,39.0057,39.9995,40.9933,41.987,42.9808,43.9746,44.9684,45.9621,46.9559,47.9497,48.9435,49.9373,50.931,51.9248
0,0,1.01862,7,1.01862,2.03723,3.05585,7,0,4.07446,1.01862,2.03723,5.09308,6.1117,3.05585,7,0,4.07446,7.13031,8.14893,14,0,9.16755,10.1862,3.05585,7,0,4.07446,11.2048,12.2234,13.242,16.2979,17.3165,20.3723,21.3909,14.2606,15.2792,18.3351,19.3537,22.4096,23.4282,2.01862,3.01862,4.01862,5.01862,6.01862,1.01862,2.03723,3.05585,4.07446,5.09308,6.1117,7.13031,7.34476,7.5592,7.77365,7.98809,8.20254,8.41699,8.63143,8.84588,9.06032,9.27477,9.48921,9.70366,9.9181,10.1325,10.347,10.5614,10.7759,10.9903,11.2048,4.01862,8.03723,12.0558,16.0745,20.0931,24.1117,28.1303,28.9763,29.8224,30.6684,31.5144,32.3604,33.2065,34.0525,34.8985,35.7445,36.5906,37.4366,38.2826,39.1286,39.9747,40.8207,41.6667,42.5127,43.3588,44.2048,2.01862,4.03723,6.05585,8.07446,10.0931,12.1117,14.1303,14.5553,14.9803,15.4052,15.8302,16.2552,16.6801,17.1051,17.5301,17.9551,18.38,18.805,19.23,19.6549,20.0799,20.5049,20.9299,21.3548,21.7798,22.2048,5.01862,10.0372,15.0558,20.0745,25.0931,30.1117,35.1303,36.1869,37.2434,38.3,39.3565,40.4131,41.4696,42.5262,43.5827,44.6393,45.6958,46.7524,47.8089,48.8655,49.922,50.9786,52.0351,53.0917,54.1482,55.2048,3.01862,6.03723,9.05585,12.0745,15.0931,18.1117,21.1303,21.7658,22.4013,23.0368,23.6723,24.3078,24.9433,25.5788,26.2143,26.8498,27.4853,28.1208,28.7563,29.3918,30.0273,30.6628,31.2983,31.9338,32.5693,33.2048,6.01862,12.0372,18.0558,24.0745,30.0931,36.1117,42.1303,43.3974,44.6645,45.9315,47.1986,48.4657,49.7328,50.9999,52.2669,53.534,54.8011,56.0682,57.3352,58.6023,59.8694,61.1365,62.4035,63.6706,64.9377,66.2048
0,0,-1.3926,6,-1.3926,-2.7852,-4.1778,6,-0,-5.5704,-1.3926,-2.7852,-6.963,-8.3556,-4.1778,6,-0,-5.5704,-9.7482,-11.1408,12,-0,-12.5334,-13.926,-4.1778,6,-0,-5.5704,-15.3186,-16.7112,-18.1038,-22.2816,-23.6742,-27.852,-29.2446,-19.4964,-20.889,-25.0668,-26.4594,-30.6372,-32.0298,-0.3926,0.6074,1.6074,2.6074,3.6074,-1.3926,-2.7852,-4.1778,-5.5704,-6.963,-8.3556,-9.7482,-10.0414,-10.3346,-10.6277,-10.9209,-11.2141,-11.5073,-11.8005,-12.0936,-12.3868,-12.68,-12.9732,-13.2664,-13.5595,-13.8527,-14.1459,-14.4391,-14.7322,-15.0254,-15.3186,1.6074,3.2148,4.8222,6.4296,8.037,9.6444,11.2518,11.5902,11.9286,12.267,12.6054,12.9438,13.2822,13.6206,13.959,14.2974,14.6358,14.9742,15.3126,15.651,15.9894,16.3278,16.6662,17.0046,17.343,17.6814,-0.3926,-0.785201,-1.1778,-1.5704,-1.963,-2.3556,-2.7482,-2.83086,-2.91351,-2.99616,-3.07881,-3.16147,-3.24412,-3.32677,-3.40942,-3.49208,-3.57473,-3.65738,-3.74004,-3.82269,-3.90534,-3.98799,-4.07065,-4.1533,-4.23595,-4.3186,2.6074,5.2148,7.8222,10.4296,13.037,15.6444,18.2518,18.8007,19.3496,19.8986,20.4475,20.9964,21.5454,22.0943,22.6432,23.1921,23.7411,24.29,24.8389,25.3878,25.9368,26.4857,27.0346,27.5835,28.1325,28.6814,0.6074,1.2148,1.8222,2.4296,3.037,3.6444,4.2518,4.37967,4.50754,4.63542,4.76329,4.89117,5.01904,5.14691,5.27479,5.40266,5.53053,5.65841,5.78628,5.91415,6.04203,6.1699,6.29778,6.42565,6.55352,6.6814,3.6074,7.2148,10.8222,14.4296,18.037,21.6444,25.2518,26.0113,26.7707,27.5302,28.2896,29.0491,29.8085,30.568,31.3274,32.0869,32.8463,33.6058,34.3652,35.1247,35.8841,36.6436,37.403,38.1625,38.9219,39.6814
0,0,-0.250265,13,-0.250265,-0.50053,-0.750795,13,-0,-1.00106,-0.250265,-0.50053,-1.25133,-1.50159,-0.750795,13,-0,-1.00106,-1.75186,-2.00212,26,-0,-2.25239,-2.50265,-0.750795,13,-0,-1.00106,-2.75292,-3.00318,-3.25345,-4.00424,-4.25451,-5.0053,-5.25557,-3.50371,-3.75398,-4.50477,-4.75504,-5.50583,-5.7561,0.749735,1.74973,2.74973,3.74973,4.74973,-0.250265,-0.50053,-0.750795,-1.00106,-1.25133,-1.50159,-1.75186,-1.80454,-1.85723,-1.90992,-1.9626,-2.01529,-2.06798,-2.12067,-2.17335,-2.22604,-2.27873,-2.33142,-2.3841,-2.43679,-2.48948,-2.54217,-2.59485,-2.64754,-2.70023,-2.75292,2.74973,5.49947,8.2492,10.9989,13.7487,16.4984,19.2481,19.827,20.4059,20.9848,21.5637,22.1426,22.7215,23.3004,23.8793,24.4582,25.0371,25.616,26.1948,26.7737,27.3526,27.9315,28.5104,29.0893,29.6682,30.2471,0.749735,1.49947,2.2492,2.99894,3.74867,4.49841,5.24814,5.40598,5.56382,5.72166,5.8795,6.03734,6.19518,6.35302,6.51086,6.66869,6.82653,6.98437,7.14221,7.30005,7.45789,7.61573,7.77357,7.93141,8.08925,8.24708,3.74973,7.49947,11.2492,14.9989,18.7487,22.4984,26.2481,27.0376,27.827,28.6164,29.4058,30.1952,30.9847,31.7741,32.5635,33.3529,34.1423,34.9317,35.7212,36.5106,37.3,38.0894,38.8788,39.6682,40.4577,41.2471,1.74973,3.49947,5.2492,6.99894,8.74867,10.4984,12.2481,12.6165,12.9849,13.3532,13.7216,14.09,14.4583,14.8267,15.1951,15.5634,15.9318,16.3002,16.6685,17.0369,17.4053,17.7736,18.142,18.5104,18.8787,19.2471,4.74973,9.49947,14.2492,18.9989,23.7487,28.4984,33.2481,34.2481,35.248,36.248,37.2479,38.2479,39.2478,40.2478,41.2477,42.2476,43.2476,44.2475,45.2475,46.2474,47.2474,48.2473,49.2473,50.2472,51.2471,52.2471
