# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = brian_data_model
# start_datetime = 2023-12-14 20:38:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1899431902 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/brian_data/brian_data_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-104-g6de5732
# stancflags = --warn-pedantic
lp__,accept_stat__,base,base_i,pair:1,pair:2,nested:1,nested:2:1,nested:2:2.real,nested:2:2.imag,arr_pair.1:1,arr_pair.1:2,arr_pair.2:1,arr_pair.2:2,arr_very_nested.1:1:1,arr_very_nested.1:1:2:1,arr_very_nested.1:1:2:2.real,arr_very_nested.1:1:2:2.imag,arr_very_nested.1:2,arr_very_nested.2:1:1,arr_very_nested.2:1:2:1,arr_very_nested.2:1:2:2.real,arr_very_nested.2:1:2:2.imag,arr_very_nested.2:2,arr_very_nested.3:1:1,arr_very_nested.3:1:2:1,arr_very_nested.3:1:2:2.real,arr_very_nested.3:1:2:2.imag,arr_very_nested.3:2,arr_2d_pair.1.1:1,arr_2d_pair.1.1:2,arr_2d_pair.2.1:1,arr_2d_pair.2.1:2,arr_2d_pair.3.1:1,arr_2d_pair.3.1:2,arr_2d_pair.1.2:1,arr_2d_pair.1.2:2,arr_2d_pair.2.2:1,arr_2d_pair.2.2:2,arr_2d_pair.3.2:1,arr_2d_pair.3.2:2,basep1,basep2,basep3,basep4,basep5,ultimate.1.1:1.1:1,ultimate.1.1:1.1:2.1,ultimate.1.1:1.1:2.2,ultimate.1.1:1.2:1,ultimate.1.1:1.2:2.1,ultimate.1.1:1.2:2.2,ultimate.1.1:2.1.1,ultimate.1.1:2.2.1,ultimate.1.1:2.3.1,ultimate.1.1:2.4.1,ultimate.1.1:2.1.2,ultimate.1.1:2.2.2,ultimate.1.1:2.3.2,ultimate.1.1:2.4.2,ultimate.1.1:2.1.3,ultimate.1.1:2.2.3,ultimate.1.1:2.3.3,ultimate.1.1:2.4.3,ultimate.1.1:2.1.4,ultimate.1.1:2.2.4,ultimate.1.1:2.3.4,ultimate.1.1:2.4.4,ultimate.1.1:2.1.5,ultimate.1.1:2.2.5,ultimate.1.1:2.3.5,ultimate.1.1:2.4.5,ultimate.2.1:1.1:1,ultimate.2.1:1.1:2.1,ultimate.2.1:1.1:2.2,ultimate.2.1:1.2:1,ultimate.2.1:1.2:2.1,ultimate.2.1:1.2:2.2,ultimate.2.1:2.1.1,ultimate.2.1:2.2.1,ultimate.2.1:2.3.1,ultimate.2.1:2.4.1,ultimate.2.1:2.1.2,ultimate.2.1:2.2.2,ultimate.2.1:2.3.2,ultimate.2.1:2.4.2,ultimate.2.1:2.1.3,ultimate.2.1:2.2.3,ultimate.2.1:2.3.3,ultimate.2.1:2.4.3,ultimate.2.1:2.1.4,ultimate.2.1:2.2.4,ultimate.2.1:2.3.4,ultimate.2.1:2.4.4,ultimate.2.1:2.1.5,ultimate.2.1:2.2.5,ultimate.2.1:2.3.5,ultimate.2.1:2.4.5,ultimate.1.2:1.1:1,ultimate.1.2:1.1:2.1,ultimate.1.2:1.1:2.2,ultimate.1.2:1.2:1,ultimate.1.2:1.2:2.1,ultimate.1.2:1.2:2.2,ultimate.1.2:2.1.1,ultimate.1.2:2.2.1,ultimate.1.2:2.3.1,ultimate.1.2:2.4.1,ultimate.1.2:2.1.2,ultimate.1.2:2.2.2,ultimate.1.2:2.3.2,ultimate.1.2:2.4.2,ultimate.1.2:2.1.3,ultimate.1.2:2.2.3,ultimate.1.2:2.3.3,ultimate.1.2:2.4.3,ultimate.1.2:2.1.4,ultimate.1.2:2.2.4,ultimate.1.2:2.3.4,ultimate.1.2:2.4.4,ultimate.1.2:2.1.5,ultimate.1.2:2.2.5,ultimate.1.2:2.3.5,ultimate.1.2:2.4.5,ultimate.2.2:1.1:1,ultimate.2.2:1.1:2.1,ultimate.2.2:1.1:2.2,ultimate.2.2:1.2:1,ultimate.2.2:1.2:2.1,ultimate.2.2:1.2:2.2,ultimate.2.2:2.1.1,ultimate.2.2:2.2.1,ultimate.2.2:2.3.1,ultimate.2.2:2.4.1,ultimate.2.2:2.1.2,ultimate.2.2:2.2.2,ultimate.2.2:2.3.2,ultimate.2.2:2.4.2,ultimate.2.2:2.1.3,ultimate.2.2:2.2.3,ultimate.2.2:2.3.3,ultimate.2.2:2.4.3,ultimate.2.2:2.1.4,ultimate.2.2:2.2.4,ultimate.2.2:2.3.4,ultimate.2.2:2.4.4,ultimate.2.2:2.1.5,ultimate.2.2:2.2.5,ultimate.2.2:2.3.5,ultimate.2.2:2.4.5,ultimate.1.3:1.1:1,ultimate.1.3:1.1:2.1,ultimate.1.3:1.1:2.2,ultimate.1.3:1.2:1,ultimate.1.3:1.2:2.1,ultimate.1.3:1.2:2.2,ultimate.1.3:2.1.1,ultimate.1.3:2.2.1,ultimate.1.3:2.3.1,ultimate.1.3:2.4.1,ultimate.1.3:2.1.2,ultimate.1.3:2.2.2,ultimate.1.3:2.3.2,ultimate.1.3:2.4.2,ultimate.1.3:2.1.3,ultimate.1.3:2.2.3,ultimate.1.3:2.3.3,ultimate.1.3:2.4.3,ultimate.1.3:2.1.4,ultimate.1.3:2.2.4,ultimate.1.3:2.3.4,ultimate.1.3:2.4.4,ultimate.1.3:2.1.5,ultimate.1.3:2.2.5,ultimate.1.3:2.3.5,ultimate.1.3:2.4.5,ultimate.2.3:1.1:1,ultimate.2.3:1.1:2.1,ultimate.2.3:1.1:2.2,ultimate.2.3:1.2:1,ultimate.2.3:1.2:2.1,ultimate.2.3:1.2:2.2,ultimate.2.3:2.1.1,ultimate.2.3:2.2.1,ultimate.2.3:2.3.1,ultimate.2.3:2.4.1,ultimate.2.3:2.1.2,ultimate.2.3:2.2.2,ultimate.2.3:2.3.2,ultimate.2.3:2.4.2,ultimate.2.3:2.1.3,ultimate.2.3:2.2.3,ultimate.2.3:2.3.3,ultimate.2.3:2.4.3,ultimate.2.3:2.1.4,ultimate.2.3:2.2.4,ultimate.2.3:2.3.4,ultimate.2.3:2.4.4,ultimate.2.3:2.1.5,ultimate.2.3:2.2.5,ultimate.2.3:2.3.5,ultimate.2.3:2.4.5
0,0,2.07077,13,2.07077,4.14153,6.2123,13,0,8.28307,2.07077,4.14153,10.3538,12.4246,6.2123,13,0,8.28307,14.4954,16.5661,26,0,18.6369,20.7077,6.2123,13,0,8.28307,22.7784,24.8492,26.92,33.1323,35.203,41.4153,43.4861,28.9907,31.0615,37.2738,39.3446,45.5569,47.6276,3.07077,4.07077,5.07077,6.07077,7.07077,2.07077,4.14153,6.2123,8.28307,10.3538,12.4246,14.4954,14.9313,15.3673,15.8032,16.2392,16.6751,17.1111,17.547,17.983,18.4189,18.8549,19.2908,19.7268,20.1627,20.5987,21.0346,21.4706,21.9065,22.3425,22.7784,5.07077,10.1415,15.2123,20.2831,25.3538,30.4246,35.4954,36.5629,37.6304,38.698,39.7655,40.833,41.9005,42.9681,44.0356,45.1031,46.1707,47.2382,48.3057,49.3733,50.4408,51.5083,52.5758,53.6434,54.7109,55.7784,3.07077,6.14153,9.2123,12.2831,15.3538,18.4246,21.4954,22.1418,22.7883,23.4348,24.0813,24.7278,25.3742,26.0207,26.6672,27.3137,27.9601,28.6066,29.2531,29.8996,30.546,31.1925,31.839,32.4855,33.132,33.7784,6.07077,12.1415,18.2123,24.2831,30.3538,36.4246,42.4954,43.7734,45.0515,46.3295,47.6076,48.8856,50.1637,51.4418,52.7198,53.9979,55.2759,56.554,57.832,59.1101,60.3882,61.6662,62.9443,64.2223,65.5004,66.7784,4.07077,8.14153,12.2123,16.2831,20.3538,24.4246,28.4954,29.3524,30.2094,31.0664,31.9234,32.7804,33.6374,34.4944,35.3514,36.2084,37.0654,37.9224,38.7794,39.6364,40.4934,41.3504,42.2074,43.0644,43.9214,44.7784,7.07077,14.1415,21.2123,28.2831,35.3538,42.4246,49.4954,50.9839,52.4725,53.9611,55.4497,56.9383,58.4269,59.9154,61.404,62.8926,64.3812,65.8698,67.3584,68.8469,70.3355,71.8241,73.3127,74.8013,76.2899,77.7784
0,0,0.886245,11,0.886245,1.77249,2.65874,11,0,3.54498,0.886245,1.77249,4.43123,5.31747,2.65874,11,0,3.54498,6.20372,7.08996,22,0,7.97621,8.86245,2.65874,11,0,3.54498,9.7487,10.6349,11.5212,14.1799,15.0662,17.7249,18.6112,12.4074,13.2937,15.9524,16.8387,19.4974,20.3836,1.88625,2.88625,3.88625,4.88625,5.88625,0.886245,1.77249,2.65874,3.54498,4.43123,5.31747,6.20372,6.3903,6.57687,6.76345,6.95003,7.13661,7.32319,7.50976,7.69634,7.88292,8.0695,8.25608,8.44265,8.62923,8.81581,9.00239,9.18897,9.37554,9.56212,9.7487,3.88625,7.77249,11.6587,15.545,19.4312,23.3175,27.2037,28.0219,28.84,29.6582,30.4763,31.2945,32.1127,32.9308,33.749,34.5671,35.3853,36.2034,37.0216,37.8398,38.6579,39.4761,40.2942,41.1124,41.9305,42.7487,1.88625,3.77249,5.65874,7.54498,9.43123,11.3175,13.2037,13.6008,13.9979,14.395,14.7921,15.1892,15.5863,15.9834,16.3806,16.7777,17.1748,17.5719,17.969,18.3661,18.7632,19.1603,19.5574,19.9545,20.3516,20.7487,4.88625,9.77249,14.6587,19.545,24.4312,29.3175,34.2037,35.2324,36.2611,37.2898,38.3185,39.3471,40.3758,41.4045,42.4332,43.4619,44.4906,45.5192,46.5479,47.5766,48.6053,49.634,50.6626,51.6913,52.72,53.7487,2.88625,5.77249,8.65874,11.545,14.4312,17.3175,20.2037,20.8113,21.419,22.0266,22.6342,23.2419,23.8495,24.4571,25.0648,25.6724,26.28,26.8877,27.4953,28.1029,28.7105,29.3182,29.9258,30.5334,31.1411,31.7487,5.88625,11.7725,17.6587,23.545,29.4312,35.3175,41.2037,42.4429,43.6821,44.9213,46.1606,47.3998,48.639,49.8782,51.1174,52.3566,53.5958,54.835,56.0742,57.3134,58.5527,59.7919,61.0311,62.2703,63.5095,64.7487
0,0,1.34875,27,1.34875,2.69751,4.04626,27,0,5.39501,1.34875,2.69751,6.74377,8.09252,4.04626,27,0,5.39501,9.44128,10.79,54,0,12.1388,13.4875,4.04626,27,0,5.39501,14.8363,16.185,17.5338,21.5801,22.9288,26.9751,28.3238,18.8826,20.2313,24.2776,25.6263,29.6726,31.0213,2.34875,3.34875,4.34875,5.34875,6.34875,1.34875,2.69751,4.04626,5.39501,6.74377,8.09252,9.44128,9.72522,10.0092,10.2931,10.5771,10.861,11.145,11.4289,11.7129,11.9968,12.2808,12.5647,12.8487,13.1326,13.4166,13.7005,13.9844,14.2684,14.5523,14.8363,4.34875,8.69751,13.0463,17.395,21.7438,26.0925,30.4413,31.3568,32.2723,33.1879,34.1034,35.0189,35.9344,36.85,37.7655,38.681,39.5965,40.5121,41.4276,42.3431,43.2587,44.1742,45.0897,46.0052,46.9208,47.8363,2.34875,4.69751,7.04626,9.39501,11.7438,14.0925,16.4413,16.9358,17.4302,17.9247,18.4192,18.9136,19.4081,19.9026,20.3971,20.8915,21.386,21.8805,22.375,22.8694,23.3639,23.8584,24.3529,24.8473,25.3418,25.8363,5.34875,10.6975,16.0463,21.395,26.7438,32.0925,37.4413,38.5673,39.6934,40.8194,41.9455,43.0715,44.1976,45.3236,46.4497,47.5758,48.7018,49.8279,50.9539,52.08,53.206,54.3321,55.4581,56.5842,57.7102,58.8363,3.34875,6.69751,10.0463,13.395,16.7438,20.0925,23.4413,24.1463,24.8513,25.5563,26.2613,26.9663,27.6713,28.3763,29.0813,29.7863,30.4913,31.1963,31.9013,32.6063,33.3113,34.0163,34.7213,35.4263,36.1313,36.8363,6.34875,12.6975,19.0463,25.395,31.7438,38.0925,44.4413,45.7779,47.1144,48.451,49.7876,51.1242,52.4608,53.7973,55.1339,56.4705,57.8071,59.1437,60.4802,61.8168,63.1534,64.49,65.8266,67.1631,68.4997,69.8363
0,0,1.17641,6,1.17641,2.35283,3.52924,6,0,4.70565,1.17641,2.35283,5.88206,7.05848,3.52924,6,0,4.70565,8.23489,9.4113,12,0,10.5877,11.7641,3.52924,6,0,4.70565,12.9405,14.117,15.2934,18.8226,19.999,23.5283,24.7047,16.4698,17.6462,21.1754,22.3518,25.8811,27.0575,2.17641,3.17641,4.17641,5.17641,6.17641,1.17641,2.35283,3.52924,4.70565,5.88206,7.05848,8.23489,8.48255,8.73022,8.97789,9.22555,9.47322,9.72088,9.96855,10.2162,10.4639,10.7115,10.9592,11.2069,11.4545,11.7022,11.9499,12.1975,12.4452,12.6929,12.9405,4.17641,8.35283,12.5292,16.7057,20.8821,25.0585,29.2349,30.1141,30.9934,31.8726,32.7519,33.6311,34.5104,35.3896,36.2688,37.1481,38.0273,38.9066,39.7858,40.6651,41.5443,42.4236,43.3028,44.182,45.0613,45.9405,2.17641,4.35283,6.52924,8.70565,10.8821,13.0585,15.2349,15.6931,16.1513,16.6095,17.0677,17.5258,17.984,18.4422,18.9004,19.3586,19.8168,20.275,20.7332,21.1914,21.6496,22.1078,22.566,23.0242,23.4823,23.9405,5.17641,10.3528,15.5292,20.7057,25.8821,31.0585,36.2349,37.3247,38.4144,39.5042,40.594,41.6837,42.7735,43.8633,44.9531,46.0428,47.1326,48.2224,49.3121,50.4019,51.4917,52.5815,53.6712,54.761,55.8508,56.9405,3.17641,6.35283,9.52924,12.7057,15.8821,19.0585,22.2349,22.9036,23.5723,24.241,24.9098,25.5785,26.2472,26.9159,27.5846,28.2534,28.9221,29.5908,30.2595,30.9282,31.5969,32.2657,32.9344,33.6031,34.2718,34.9405,6.17641,12.3528,18.5292,24.7057,30.8821,37.0585,43.2349,44.5352,45.8355,47.1358,48.4361,49.7364,51.0367,52.337,53.6373,54.9376,56.2379,57.5382,58.8385,60.1388,61.4391,62.7393,64.0396,65.3399,66.6402,67.9405
0,0,-0.292796,0,-0.292796,-0.585593,-0.878389,0,-0,-1.17119,-0.292796,-0.585593,-1.46398,-1.75678,-0.878389,0,-0,-1.17119,-2.04958,-2.34237,0,-0,-2.63517,-2.92796,-0.878389,0,-0,-1.17119,-3.22076,-3.51356,-3.80635,-4.68474,-4.97754,-5.85593,-6.14873,-4.09915,-4.39195,-5.27034,-5.56313,-6.44152,-6.73432,0.707204,1.7072,2.7072,3.7072,4.7072,-0.292796,-0.585593,-0.878389,-1.17119,-1.46398,-1.75678,-2.04958,-2.11122,-2.17286,-2.2345,-2.29614,-2.35778,-2.41942,-2.48106,-2.54271,-2.60435,-2.66599,-2.72763,-2.78927,-2.85091,-2.91255,-2.9742,-3.03584,-3.09748,-3.15912,-3.22076,2.7072,5.41441,8.12161,10.8288,13.536,16.2432,18.9504,19.5204,20.0903,20.6602,21.2302,21.8001,22.3701,22.94,23.5099,24.0799,24.6498,25.2197,25.7897,26.3596,26.9296,27.4995,28.0694,28.6394,29.2093,29.7792,0.707204,1.41441,2.12161,2.82881,3.53602,4.24322,4.95042,5.09931,5.24819,5.39708,5.54596,5.69485,5.84373,5.99262,6.1415,6.29039,6.43927,6.58816,6.73704,6.88593,7.03481,7.1837,7.33258,7.48147,7.63035,7.77924,3.7072,7.41441,11.1216,14.8288,18.536,22.2432,25.9504,26.7309,27.5114,28.2918,29.0723,29.8527,30.6332,31.4137,32.1941,32.9746,33.7551,34.5355,35.316,36.0965,36.8769,37.6574,38.4378,39.2183,39.9988,40.7792,1.7072,3.41441,5.12161,6.82881,8.53602,10.2432,11.9504,12.3098,12.6692,13.0287,13.3881,13.7475,14.1069,14.4663,14.8257,15.1851,15.5445,15.9039,16.2634,16.6228,16.9822,17.3416,17.701,18.0604,18.4198,18.7792,4.7072,9.41441,14.1216,18.8288,23.536,28.2432,32.9504,33.9414,34.9324,35.9234,36.9144,37.9054,38.8964,39.8874,40.8783,41.8693,42.8603,43.8513,44.8423,45.8333,46.8243,47.8153,48.8063,49.7973,50.7882,51.7792
0,0,0.0433432,2,0.0433432,0.0866864,0.13003,2,0,0.173373,0.0433432,0.0866864,0.216716,0.260059,0.13003,2,0,0.173373,0.303403,0.346746,4,0,0.390089,0.433432,0.13003,2,0,0.173373,0.476775,0.520119,0.563462,0.693491,0.736835,0.866864,0.910208,0.606805,0.650148,0.780178,0.823521,0.953551,0.996894,1.04334,2.04334,3.04334,4.04334,5.04334,0.0433432,0.0866864,0.13003,0.173373,0.216716,0.260059,0.303403,0.312527,0.321652,0.330777,0.339902,0.349027,0.358152,0.367277,0.376402,0.385526,0.394651,0.403776,0.412901,0.422026,0.431151,0.440276,0.449401,0.458526,0.46765,0.476775,3.04334,6.08669,9.13003,12.1734,15.2167,18.2601,21.3034,21.9441,22.5848,23.2255,23.8662,24.5069,25.1476,25.7883,26.429,27.0697,27.7104,28.3511,28.9918,29.6326,30.2733,30.914,31.5547,32.1954,32.8361,33.4768,1.04334,2.08669,3.13003,4.17337,5.21672,6.26006,7.3034,7.52305,7.7427,7.96236,8.18201,8.40166,8.62131,8.84096,9.06061,9.28026,9.49991,9.71957,9.93922,10.1589,10.3785,10.5982,10.8178,11.0375,11.2571,11.4768,4.04334,8.08669,12.13,16.1734,20.2167,24.2601,28.3034,29.1546,30.0059,30.8571,31.7083,32.5596,33.4108,34.262,35.1132,35.9645,36.8157,37.6669,38.5182,39.3694,40.2206,41.0719,41.9231,42.7743,43.6255,44.4768,2.04334,4.08669,6.13003,8.17337,10.2167,12.2601,14.3034,14.7336,15.1638,15.5939,16.0241,16.4543,16.8845,17.3146,17.7448,18.175,18.6052,19.0354,19.4655,19.8957,20.3259,20.7561,21.1862,21.6164,22.0466,22.4768,5.04334,10.0867,15.13,20.1734,25.2167,30.2601,35.3034,36.3652,37.4269,38.4887,39.5504,40.6122,41.6739,42.7357,43.7975,44.8592,45.921,46.9827,48.0445,49.1062,50.168,51.2297,52.2915,53.3533,54.415,55.4768
0,0,0.517078,-2,0.517078,1.03416,1.55123,-2,0,2.06831,0.517078,1.03416,2.58539,3.10247,1.55123,-2,0,2.06831,3.61955,4.13663,-4,0,4.6537,5.17078,1.55123,-2,0,2.06831,5.68786,6.20494,6.72202,8.27325,8.79033,10.3416,10.8586,7.2391,7.75617,9.30741,9.82449,11.3757,11.8928,1.51708,2.51708,3.51708,4.51708,5.51708,0.517078,1.03416,1.55123,2.06831,2.58539,3.10247,3.61955,3.72841,3.83727,3.94612,4.05498,4.16384,4.2727,4.38156,4.49042,4.59928,4.70813,4.81699,4.92585,5.03471,5.14357,5.25243,5.36129,5.47014,5.579,5.68786,3.51708,7.03416,10.5512,14.0683,17.5854,21.1025,24.6195,25.36,26.1004,26.8409,27.5813,28.3217,29.0622,29.8026,30.543,31.2835,32.0239,32.7644,33.5048,34.2452,34.9857,35.7261,36.4665,37.207,37.9474,38.6879,1.51708,3.03416,4.55123,6.06831,7.58539,9.10247,10.6195,10.9389,11.2583,11.5777,11.8971,12.2165,12.5359,12.8552,13.1746,13.494,13.8134,14.1328,14.4522,14.7716,15.0909,15.4103,15.7297,16.0491,16.3685,16.6879,4.51708,9.03416,13.5512,18.0683,22.5854,27.1025,31.6195,32.5705,33.5215,34.4724,35.4234,36.3744,37.3253,38.2763,39.2273,40.1782,41.1292,42.0802,43.0311,43.9821,44.933,45.884,46.835,47.7859,48.7369,49.6879,2.51708,5.03416,7.55123,10.0683,12.5854,15.1025,17.6195,18.1495,18.6794,19.2093,19.7392,20.2691,20.799,21.3289,21.8588,22.3887,22.9187,23.4486,23.9785,24.5084,25.0383,25.5682,26.0981,26.628,27.1579,27.6879,5.51708,11.0342,16.5512,22.0683,27.5854,33.1025,38.6195,39.781,40.9425,42.104,43.2655,44.427,45.5885,46.75,47.9115,49.073,50.2344,51.3959,52.5574,53.7189,54.8804,56.0419,57.2034,58.3649,59.5264,60.6879
0,0,0.11871,21,0.11871,0.23742,0.35613,21,0,0.47484,0.11871,0.23742,0.59355,0.71226,0.35613,21,0,0.47484,0.83097,0.94968,42,0,1.06839,1.1871,0.35613,21,0,0.47484,1.30581,1.42452,1.54323,1.89936,2.01807,2.3742,2.49291,1.66194,1.78065,2.13678,2.25549,2.61162,2.73033,1.11871,2.11871,3.11871,4.11871,5.11871,0.11871,0.23742,0.35613,0.47484,0.59355,0.71226,0.83097,0.855962,0.880953,0.905945,0.930937,0.955928,0.98092,1.00591,1.0309,1.05589,1.08089,1.10588,1.13087,1.15586,1.18085,1.20584,1.23084,1.25583,1.28082,1.30581,3.11871,6.23742,9.35613,12.4748,15.5936,18.7123,21.831,22.4875,23.1441,23.8007,24.4573,25.1138,25.7704,26.427,27.0835,27.7401,28.3967,29.0532,29.7098,30.3664,31.023,31.6795,32.3361,32.9927,33.6492,34.3058,1.11871,2.23742,3.35613,4.47484,5.59355,6.71226,7.83097,8.06649,8.30201,8.53752,8.77304,9.00856,9.24408,9.4796,9.71511,9.95063,10.1861,10.4217,10.6572,10.8927,11.1282,11.3637,11.5993,11.8348,12.0703,12.3058,4.11871,8.23742,12.3561,16.4748,20.5936,24.7123,28.831,29.6981,30.5652,31.4323,32.2994,33.1665,34.0336,34.9006,35.7677,36.6348,37.5019,38.369,39.2361,40.1032,40.9703,41.8374,42.7045,43.5716,44.4387,45.3058,2.11871,4.23742,6.35613,8.47484,10.5936,12.7123,14.831,15.277,15.7231,16.1691,16.6151,17.0612,17.5072,17.9533,18.3993,18.8454,19.2914,19.7375,20.1835,20.6295,21.0756,21.5216,21.9677,22.4137,22.8598,23.3058,5.11871,10.2374,15.3561,20.4748,25.5936,30.7123,35.831,36.9086,37.9862,39.0638,40.1415,41.2191,42.2967,43.3743,44.452,45.5296,46.6072,47.6848,48.7624,49.8401,50.9177,51.9953,53.0729,54.1506,55.2282,56.3058
0,0,-0.989846,8,-0.989846,-1.97969,-2.96954,8,-0,-3.95938,-0.989846,-1.97969,-4.94923,-5.93908,-2.96954,8,-0,-3.95938,-6.92892,-7.91877,16,-0,-8.90861,-9.89846,-2.96954,8,-0,-3.95938,-10.8883,-11.8782,-12.868,-15.8375,-16.8274,-19.7969,-20.7868,-13.8578,-14.8477,-17.8172,-18.8071,-21.7766,-22.7665,0.0101539,1.01015,2.01015,3.01015,4.01015,-0.989846,-1.97969,-2.96954,-3.95938,-4.94923,-5.93908,-6.92892,-7.13731,-7.3457,-7.55409,-7.76248,-7.97087,-8.17925,-8.38764,-8.59603,-8.80442,-9.01281,-9.2212,-9.42959,-9.63798,-9.84636,-10.0548,-10.2631,-10.4715,-10.6799,-10.8883,2.01015,4.02031,6.03046,8.04062,10.0508,12.0609,14.0711,14.4943,14.9175,15.3406,15.7638,16.187,16.6102,17.0334,17.4566,17.8798,18.303,18.7262,19.1494,19.5726,19.9957,20.4189,20.8421,21.2653,21.6885,22.1117,0.0101539,0.0203078,0.0304617,0.0406156,0.0507695,0.0609234,0.0710773,0.0732149,0.0753526,0.0774903,0.0796279,0.0817656,0.0839033,0.0860409,0.0881786,0.0903162,0.0924539,0.0945916,0.0967292,0.0988669,0.101005,0.103142,0.10528,0.107418,0.109555,0.111693,3.01015,6.02031,9.03046,12.0406,15.0508,18.0609,21.0711,21.7048,22.3385,22.9722,23.6059,24.2397,24.8734,25.5071,26.1408,26.7745,27.4082,28.042,28.6757,29.3094,29.9431,30.5768,31.2105,31.8443,32.478,33.1117,1.01015,2.02031,3.03046,4.04062,5.05077,6.06092,7.07108,7.28374,7.49641,7.70907,7.92173,8.1344,8.34706,8.55973,8.77239,8.98505,9.19772,9.41038,9.62305,9.83571,10.0484,10.261,10.4737,10.6864,10.899,11.1117,4.01015,8.02031,12.0305,16.0406,20.0508,24.0609,28.0711,28.9153,29.7596,30.6038,31.448,32.2923,33.1365,33.9808,34.825,35.6693,36.5135,37.3577,38.202,39.0462,39.8905,40.7347,41.579,42.4232,43.2674,44.1117
0,0,-0.540065,13,-0.540065,-1.08013,-1.62019,13,-0,-2.16026,-0.540065,-1.08013,-2.70032,-3.24039,-1.62019,13,-0,-2.16026,-3.78045,-4.32052,26,-0,-4.86058,-5.40065,-1.62019,13,-0,-2.16026,-5.94071,-6.48078,-7.02084,-8.64103,-9.1811,-10.8013,-11.3414,-7.5609,-8.10097,-9.72116,-10.2612,-11.8814,-12.4215,0.459935,1.45994,2.45994,3.45994,4.45994,-0.540065,-1.08013,-1.62019,-2.16026,-2.70032,-3.24039,-3.78045,-3.89415,-4.00785,-4.12155,-4.23524,-4.34894,-4.46264,-4.57634,-4.69003,-4.80373,-4.91743,-5.03113,-5.14483,-5.25852,-5.37222,-5.48592,-5.59962,-5.71331,-5.82701,-5.94071,2.45994,4.91987,7.37981,9.83974,12.2997,14.7596,17.2195,17.7374,18.2553,18.7732,19.2911,19.809,20.3268,20.8447,21.3626,21.8805,22.3984,22.9162,23.4341,23.952,24.4699,24.9878,25.5056,26.0235,26.5414,27.0593,0.459935,0.919871,1.37981,1.83974,2.29968,2.75961,3.21955,3.31638,3.4132,3.51003,3.60686,3.70369,3.80052,3.89735,3.99418,4.091,4.18783,4.28466,4.38149,4.47832,4.57515,4.67198,4.7688,4.86563,4.96246,5.05929,3.45994,6.91987,10.3798,13.8397,17.2997,20.7596,24.2195,24.948,25.6764,26.4048,27.1332,27.8616,28.59,29.3184,30.0468,30.7752,31.5036,32.232,32.9604,33.6888,34.4173,35.1457,35.8741,36.6025,37.3309,38.0593,1.45994,2.91987,4.37981,5.83974,7.29968,8.75961,10.2195,10.5269,10.8343,11.1416,11.449,11.7563,12.0637,12.371,12.6784,12.9857,13.2931,13.6005,13.9078,14.2152,14.5225,14.8299,15.1372,15.4446,15.7519,16.0593,4.45994,8.91987,13.3798,17.8397,22.2997,26.7596,31.2195,32.1585,33.0974,34.0363,34.9753,35.9142,36.8532,37.7921,38.731,39.67,40.6089,41.5478,42.4868,43.4257,44.3646,45.3036,46.2425,47.1814,48.1204,49.0593
