# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = brian_tuples_model
# start_datetime = 2023-11-21 14:19:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4184457688 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_brian_tuple_data/../../data/brian_tuples/brian_tuples_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,base,base_i,pair:1,pair:2,nested:1,nested:2:1,nested:2:2.real,nested:2:2.imag,arr_pair.1:1,arr_pair.1:2,arr_pair.2:1,arr_pair.2:2,arr_very_nested.1:1:1,arr_very_nested.1:1:2:1,arr_very_nested.1:1:2:2.real,arr_very_nested.1:1:2:2.imag,arr_very_nested.1:2,arr_very_nested.2:1:1,arr_very_nested.2:1:2:1,arr_very_nested.2:1:2:2.real,arr_very_nested.2:1:2:2.imag,arr_very_nested.2:2,arr_very_nested.3:1:1,arr_very_nested.3:1:2:1,arr_very_nested.3:1:2:2.real,arr_very_nested.3:1:2:2.imag,arr_very_nested.3:2,arr_2d_pair.1.1:1,arr_2d_pair.1.1:2,arr_2d_pair.2.1:1,arr_2d_pair.2.1:2,arr_2d_pair.3.1:1,arr_2d_pair.3.1:2,arr_2d_pair.1.2:1,arr_2d_pair.1.2:2,arr_2d_pair.2.2:1,arr_2d_pair.2.2:2,arr_2d_pair.3.2:1,arr_2d_pair.3.2:2
0,0,-1.56434,-1,-1.56434,-3.12869,-4.69303,-1,-0,-6.25738,-1.56434,-3.12869,-7.82172,-9.38606,-4.69303,-1,-0,-6.25738,-10.9504,-12.5148,-2,-0,-14.0791,-15.6434,-4.69303,-1,-0,-6.25738,-17.2078,-18.7721,-20.3365,-25.0295,-26.5938,-31.2869,-32.8512,-21.9008,-23.4652,-28.1582,-29.7225,-34.4156,-35.9799
0,0,0.999803,15,0.999803,1.99961,2.99941,15,0,3.99921,0.999803,1.99961,4.99902,5.99882,2.99941,15,0,3.99921,6.99862,7.99843,30,0,8.99823,9.99803,2.99941,15,0,3.99921,10.9978,11.9976,12.9974,15.9969,16.9967,19.9961,20.9959,13.9972,14.9971,17.9965,18.9963,21.9957,22.9955
0,0,1.24569,11,1.24569,2.49138,3.73706,11,0,4.98275,1.24569,2.49138,6.22844,7.47413,3.73706,11,0,4.98275,8.71981,9.9655,22,0,11.2112,12.4569,3.73706,11,0,4.98275,13.7026,14.9483,16.1939,19.931,21.1767,24.9138,26.1594,17.4396,18.6853,22.4224,23.6681,27.4051,28.6508
0,0,0.31939,9,0.31939,0.638779,0.958169,9,0,1.27756,0.31939,0.638779,1.59695,1.91634,0.958169,9,0,1.27756,2.23573,2.55512,18,0,2.87451,3.1939,0.958169,9,0,1.27756,3.51329,3.83268,4.15206,5.11023,5.42962,6.38779,6.70718,4.47145,4.79084,5.74901,6.0684,7.02657,7.34596
0,0,0.430719,18,0.430719,0.861438,1.29216,18,0,1.72288,0.430719,0.861438,2.1536,2.58431,1.29216,18,0,1.72288,3.01503,3.44575,36,0,3.87647,4.30719,1.29216,18,0,1.72288,4.73791,5.16863,5.59935,6.89151,7.32222,8.61438,9.0451,6.03007,6.46079,7.75294,8.18366,9.47582,9.90654
0,0,-1.51077,5,-1.51077,-3.02154,-4.53231,5,-0,-6.04308,-1.51077,-3.02154,-7.55385,-9.06462,-4.53231,5,-0,-6.04308,-10.5754,-12.0862,10,-0,-13.5969,-15.1077,-4.53231,5,-0,-6.04308,-16.6185,-18.1292,-19.64,-24.1723,-25.6831,-30.2154,-31.7262,-21.1508,-22.6616,-27.1939,-28.7046,-33.237,-34.7477
0,0,-1.19885,24,-1.19885,-2.39769,-3.59654,24,-0,-4.79538,-1.19885,-2.39769,-5.99423,-7.19307,-3.59654,24,-0,-4.79538,-8.39192,-9.59076,48,-0,-10.7896,-11.9885,-3.59654,24,-0,-4.79538,-13.1873,-14.3861,-15.585,-19.1815,-20.3804,-23.9769,-25.1758,-16.7838,-17.9827,-21.5792,-22.7781,-26.3746,-27.5734
0,0,-1.29155,27,-1.29155,-2.5831,-3.87466,27,-0,-5.16621,-1.29155,-2.5831,-6.45776,-7.74931,-3.87466,27,-0,-5.16621,-9.04086,-10.3324,54,-0,-11.624,-12.9155,-3.87466,27,-0,-5.16621,-14.2071,-15.4986,-16.7902,-20.6648,-21.9564,-25.831,-27.1226,-18.0817,-19.3733,-23.2479,-24.5395,-28.4141,-29.7057
0,0,-0.480157,5,-0.480157,-0.960315,-1.44047,5,-0,-1.92063,-0.480157,-0.960315,-2.40079,-2.88094,-1.44047,5,-0,-1.92063,-3.3611,-3.84126,10,-0,-4.32142,-4.80157,-1.44047,5,-0,-1.92063,-5.28173,-5.76189,-6.24204,-7.68252,-8.16267,-9.60315,-10.0833,-6.7222,-7.20236,-8.64283,-9.12299,-10.5635,-11.0436
0,0,-1.28234,4,-1.28234,-2.56469,-3.84703,4,-0,-5.12938,-1.28234,-2.56469,-6.41172,-7.69407,-3.84703,4,-0,-5.12938,-8.97641,-10.2588,8,-0,-11.5411,-12.8234,-3.84703,4,-0,-5.12938,-14.1058,-15.3881,-16.6705,-20.5175,-21.7999,-25.6469,-26.9292,-17.9528,-19.2352,-23.0822,-24.3645,-28.2116,-29.4939
