# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = brian_tuples_model
# start_datetime = 2023-11-21 14:19:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4184457688 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_brian_tuple_data/../../data/brian_tuples/brian_tuples_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,base,base_i,pair:1,pair:2,nested:1,nested:2:1,nested:2:2.real,nested:2:2.imag,arr_pair.1:1,arr_pair.1:2,arr_pair.2:1,arr_pair.2:2,arr_very_nested.1:1:1,arr_very_nested.1:1:2:1,arr_very_nested.1:1:2:2.real,arr_very_nested.1:1:2:2.imag,arr_very_nested.1:2,arr_very_nested.2:1:1,arr_very_nested.2:1:2:1,arr_very_nested.2:1:2:2.real,arr_very_nested.2:1:2:2.imag,arr_very_nested.2:2,arr_very_nested.3:1:1,arr_very_nested.3:1:2:1,arr_very_nested.3:1:2:2.real,arr_very_nested.3:1:2:2.imag,arr_very_nested.3:2,arr_2d_pair.1.1:1,arr_2d_pair.1.1:2,arr_2d_pair.2.1:1,arr_2d_pair.2.1:2,arr_2d_pair.3.1:1,arr_2d_pair.3.1:2,arr_2d_pair.1.2:1,arr_2d_pair.1.2:2,arr_2d_pair.2.2:1,arr_2d_pair.2.2:2,arr_2d_pair.3.2:1,arr_2d_pair.3.2:2
0,0,1.00445,19,1.00445,2.0089,3.01335,19,0,4.0178,1.00445,2.0089,5.02225,6.0267,3.01335,19,0,4.0178,7.03116,8.03561,38,0,9.04006,10.0445,3.01335,19,0,4.0178,11.049,12.0534,13.0579,16.0712,17.0757,20.089,21.0935,14.0623,15.0668,18.0801,19.0846,22.0979,23.1024
0,0,0.146093,19,0.146093,0.292185,0.438278,19,0,0.58437,0.146093,0.292185,0.730463,0.876555,0.438278,19,0,0.58437,1.02265,1.16874,38,0,1.31483,1.46093,0.438278,19,0,0.58437,1.60702,1.75311,1.8992,2.33748,2.48357,2.92185,3.06794,2.0453,2.19139,2.62967,2.77576,3.21404,3.36013
0,0,1.21125,22,1.21125,2.4225,3.63376,22,0,4.84501,1.21125,2.4225,6.05626,7.26751,3.63376,22,0,4.84501,8.47877,9.69002,44,0,10.9013,12.1125,3.63376,22,0,4.84501,13.3238,14.535,15.7463,19.38,20.5913,24.225,25.4363,16.9575,18.1688,21.8025,23.0138,26.6475,27.8588
0,0,1.0518,22,1.0518,2.1036,3.1554,22,0,4.2072,1.0518,2.1036,5.25899,6.31079,3.1554,22,0,4.2072,7.36259,8.41439,44,0,9.46619,10.518,3.1554,22,0,4.2072,11.5698,12.6216,13.6734,16.8288,17.8806,21.036,22.0878,14.7252,15.777,18.9324,19.9842,23.1396,24.1914
0,0,0.0319186,5,0.0319186,0.0638371,0.0957557,5,0,0.127674,0.0319186,0.0638371,0.159593,0.191511,0.0957557,5,0,0.127674,0.22343,0.255348,10,0,0.287267,0.319186,0.0957557,5,0,0.127674,0.351104,0.383023,0.414941,0.510697,0.542616,0.638371,0.67029,0.44686,0.478778,0.574534,0.606453,0.702208,0.734127
0,0,0.632434,15,0.632434,1.26487,1.8973,15,0,2.52974,0.632434,1.26487,3.16217,3.79461,1.8973,15,0,2.52974,4.42704,5.05947,30,0,5.69191,6.32434,1.8973,15,0,2.52974,6.95678,7.58921,8.22164,10.1189,10.7514,12.6487,13.2811,8.85408,9.48651,11.3838,12.0162,13.9136,14.546
0,0,1.03,-3,1.03,2.06001,3.09001,-3,0,4.12001,1.03,2.06001,5.15001,6.18002,3.09001,-3,0,4.12001,7.21002,8.24002,-6,0,9.27003,10.3,3.09001,-3,0,4.12001,11.33,12.36,13.39,16.48,17.51,20.6001,21.6301,14.42,15.45,18.5401,19.5701,22.6601,23.6901
0,0,1.38299,15,1.38299,2.76597,4.14896,15,0,5.53194,1.38299,2.76597,6.91493,8.29791,4.14896,15,0,5.53194,9.6809,11.0639,30,0,12.4469,13.8299,4.14896,15,0,5.53194,15.2128,16.5958,17.9788,22.1278,23.5108,27.6597,29.0427,19.3618,20.7448,24.8937,26.2767,30.4257,31.8087
0,0,-0.376988,18,-0.376988,-0.753976,-1.13096,18,-0,-1.50795,-0.376988,-0.753976,-1.88494,-2.26193,-1.13096,18,-0,-1.50795,-2.63891,-3.0159,36,-0,-3.39289,-3.76988,-1.13096,18,-0,-1.50795,-4.14687,-4.52385,-4.90084,-6.0318,-6.40879,-7.53976,-7.91674,-5.27783,-5.65482,-6.78578,-7.16277,-8.29373,-8.67072
0,0,0.654038,-3,0.654038,1.30808,1.96211,-3,0,2.61615,0.654038,1.30808,3.27019,3.92423,1.96211,-3,0,2.61615,4.57827,5.2323,-6,0,5.88634,6.54038,1.96211,-3,0,2.61615,7.19442,7.84845,8.50249,10.4646,11.1186,13.0808,13.7348,9.15653,9.81057,11.7727,12.4267,14.3888,15.0429
