# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = mixed_01_model
# start_datetime = 2023-12-07 22:50:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1302539520 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/mixed_01/mixed_01_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-93-g992ff90
# stancflags = --warn-pedantic
lp__,accept_stat__,base,a.1.1:1,a.1.1:2.1,a.1.1:2.2,a.2.1:1,a.2.1:2.1,a.2.1:2.2,a.3.1:1,a.3.1:2.1,a.3.1:2.2,a.1.2:1,a.1.2:2.1,a.1.2:2.2,a.2.2:1,a.2.2:2.1,a.2.2:2.2,a.3.2:1,a.3.2:2.1,a.3.2:2.2
0,0,-0.221304,-2.65565,-2.87696,-0.221304,-3.54087,-3.76217,-0.221304,-4.42609,-4.64739,-0.221304,-3.09826,-3.31957,-0.221304,-3.98348,-4.20478,-0.221304,-4.8687,-5.09,-0.221304
0,0,1.01422,12.1707,13.1849,1.01422,16.2276,17.2418,1.01422,20.2845,21.2987,1.01422,14.1991,15.2134,1.01422,18.256,19.2702,1.01422,22.3129,23.3271,1.01422
0,0,1.72904,20.7485,22.4776,1.72904,27.6647,29.3938,1.72904,34.5809,36.3099,1.72904,24.2066,25.9357,1.72904,31.1228,32.8518,1.72904,38.039,39.768,1.72904
0,0,2.77209,33.265,36.0371,2.77209,44.3534,47.1255,2.77209,55.4417,58.2138,2.77209,38.8092,41.5813,2.77209,49.8976,52.6696,2.77209,60.9859,63.758,2.77209
0,0,0.0355704,0.426844,0.462415,0.0355704,0.569126,0.604696,0.0355704,0.711407,0.746978,0.0355704,0.497985,0.533555,0.0355704,0.640267,0.675837,0.0355704,0.782548,0.818118,0.0355704
0,0,-0.171488,-2.05786,-2.22935,-0.171488,-2.74381,-2.9153,-0.171488,-3.42976,-3.60125,-0.171488,-2.40084,-2.57232,-0.171488,-3.08679,-3.25828,-0.171488,-3.77274,-3.94423,-0.171488
0,0,-0.850719,-10.2086,-11.0594,-0.850719,-13.6115,-14.4622,-0.850719,-17.0144,-17.8651,-0.850719,-11.9101,-12.7608,-0.850719,-15.3129,-16.1637,-0.850719,-18.7158,-19.5665,-0.850719
0,0,-0.923934,-11.0872,-12.0111,-0.923934,-14.7829,-15.7069,-0.923934,-18.4787,-19.4026,-0.923934,-12.9351,-13.859,-0.923934,-16.6308,-17.5547,-0.923934,-20.3265,-21.2505,-0.923934
0,0,-0.3007,-3.6084,-3.9091,-0.3007,-4.8112,-5.1119,-0.3007,-6.01399,-6.31469,-0.3007,-4.2098,-4.5105,-0.3007,-5.4126,-5.7133,-0.3007,-6.61539,-6.91609,-0.3007
0,0,-0.450379,-5.40454,-5.85492,-0.450379,-7.20606,-7.65644,-0.450379,-9.00757,-9.45795,-0.450379,-6.3053,-6.75568,-0.450379,-8.10682,-8.5572,-0.450379,-9.90833,-10.3587,-0.450379
0,0,0.113205,1.35846,1.47166,0.113205,1.81128,1.92448,0.113205,2.2641,2.3773,0.113205,1.58487,1.69807,0.113205,2.03769,2.15089,0.113205,2.49051,2.60371,0.113205
0,0,-0.836136,-10.0336,-10.8698,-0.836136,-13.3782,-14.2143,-0.836136,-16.7227,-17.5588,-0.836136,-11.7059,-12.542,-0.836136,-15.0504,-15.8866,-0.836136,-18.395,-19.2311,-0.836136
0,0,-1.47756,-17.7307,-19.2083,-1.47756,-23.641,-25.1185,-1.47756,-29.5512,-31.0288,-1.47756,-20.6859,-22.1634,-1.47756,-26.5961,-28.0737,-1.47756,-32.5064,-33.9839,-1.47756
0,0,-0.198564,-2.38277,-2.58133,-0.198564,-3.17702,-3.37559,-0.198564,-3.97128,-4.16984,-0.198564,-2.77989,-2.97846,-0.198564,-3.57415,-3.77271,-0.198564,-4.3684,-4.56697,-0.198564
0,0,0.824067,9.8888,10.7129,0.824067,13.1851,14.0091,0.824067,16.4813,17.3054,0.824067,11.5369,12.361,0.824067,14.8332,15.6573,0.824067,18.1295,18.9535,0.824067
0,0,0.43924,5.27088,5.71012,0.43924,7.02784,7.46708,0.43924,8.7848,9.22404,0.43924,6.14936,6.5886,0.43924,7.90632,8.34556,0.43924,9.66328,10.1025,0.43924
