# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = mixed_01_model
# start_datetime = 2023-12-07 22:50:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1302539520 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/mixed_01/mixed_01_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-93-g992ff90
# stancflags = --warn-pedantic
lp__,accept_stat__,base,a.1.1:1,a.1.1:2.1,a.1.1:2.2,a.2.1:1,a.2.1:2.1,a.2.1:2.2,a.3.1:1,a.3.1:2.1,a.3.1:2.2,a.1.2:1,a.1.2:2.1,a.1.2:2.2,a.2.2:1,a.2.2:2.1,a.2.2:2.2,a.3.2:1,a.3.2:2.1,a.3.2:2.2
0,0,1.74883,20.9859,22.7347,1.74883,27.9812,29.73,1.74883,34.9765,36.7253,1.74883,24.4836,26.2324,1.74883,31.4789,33.2277,1.74883,38.4742,40.223,1.74883
0,0,0.767595,9.21114,9.97874,0.767595,12.2815,13.0491,0.767595,15.3519,16.1195,0.767595,10.7463,11.5139,0.767595,13.8167,14.5843,0.767595,16.8871,17.6547,0.767595
0,0,-0.360425,-4.3251,-4.68553,-0.360425,-5.7668,-6.12723,-0.360425,-7.20851,-7.56893,-0.360425,-5.04595,-5.40638,-0.360425,-6.48766,-6.84808,-0.360425,-7.92936,-8.28978,-0.360425
0,0,-0.890088,-10.6811,-11.5711,-0.890088,-14.2414,-15.1315,-0.890088,-17.8018,-18.6918,-0.890088,-12.4612,-13.3513,-0.890088,-16.0216,-16.9117,-0.890088,-19.5819,-20.472,-0.890088
0,0,0.919931,11.0392,11.9591,0.919931,14.7189,15.6388,0.919931,18.3986,19.3186,0.919931,12.879,13.799,0.919931,16.5588,17.4787,0.919931,20.2385,21.1584,0.919931
0,0,1.25994,15.1193,16.3793,1.25994,20.1591,21.419,1.25994,25.1989,26.4588,1.25994,17.6392,18.8992,1.25994,22.679,23.9389,1.25994,27.7188,28.9787,1.25994
0,0,-0.852543,-10.2305,-11.0831,-0.852543,-13.6407,-14.4932,-0.852543,-17.0509,-17.9034,-0.852543,-11.9356,-12.7881,-0.852543,-15.3458,-16.1983,-0.852543,-18.7559,-19.6085,-0.852543
0,0,0.159594,1.91513,2.07472,0.159594,2.5535,2.7131,0.159594,3.19188,3.35147,0.159594,2.23431,2.39391,0.159594,2.87269,3.03228,0.159594,3.51107,3.67066,0.159594
0,0,-0.417768,-5.01321,-5.43098,-0.417768,-6.68429,-7.10205,-0.417768,-8.35536,-8.77313,-0.417768,-5.84875,-6.26652,-0.417768,-7.51982,-7.93759,-0.417768,-9.19089,-9.60866,-0.417768
0,0,-0.0121641,-0.145969,-0.158133,-0.0121641,-0.194625,-0.206789,-0.0121641,-0.243281,-0.255445,-0.0121641,-0.170297,-0.182461,-0.0121641,-0.218953,-0.231117,-0.0121641,-0.267609,-0.279773,-0.0121641
0,0,1.79561,21.5473,23.3429,1.79561,28.7297,30.5253,1.79561,35.9122,37.7078,1.79561,25.1385,26.9341,1.79561,32.321,34.1166,1.79561,39.5034,41.299,1.79561
0,0,0.389905,4.67886,5.06877,0.389905,6.23848,6.62839,0.389905,7.7981,8.18801,0.389905,5.45867,5.84858,0.389905,7.01829,7.4082,0.389905,8.57791,8.96782,0.389905
0,0,-0.460276,-5.52332,-5.98359,-0.460276,-7.36442,-7.8247,-0.460276,-9.20553,-9.6658,-0.460276,-6.44387,-6.90415,-0.460276,-8.28497,-8.74525,-0.460276,-10.1261,-10.5864,-0.460276
0,0,0.291551,3.49861,3.79016,0.291551,4.66482,4.95637,0.291551,5.83102,6.12257,0.291551,4.08171,4.37327,0.291551,5.24792,5.53947,0.291551,6.41412,6.70567,0.291551
0,0,-0.170678,-2.04814,-2.21882,-0.170678,-2.73085,-2.90153,-0.170678,-3.41357,-3.58425,-0.170678,-2.3895,-2.56018,-0.170678,-3.07221,-3.24289,-0.170678,-3.75492,-3.9256,-0.170678
0,0,-1.07973,-12.9567,-14.0365,-1.07973,-17.2757,-18.3554,-1.07973,-21.5946,-22.6743,-1.07973,-15.1162,-16.1959,-1.07973,-19.4351,-20.5149,-1.07973,-23.754,-24.8338,-1.07973
