# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = mixed_01_model
# start_datetime = 2023-12-07 13:58:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1270620533 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/mixed_01/mixed_01_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,base,a.1.1:1,a.1.1:2.1,a.1.1:2.2,a.2.1:1,a.2.1:2.1,a.2.1:2.2,a.3.1:1,a.3.1:2.1,a.3.1:2.2,a.1.2:1,a.1.2:2.1,a.1.2:2.2,a.2.2:1,a.2.2:2.1,a.2.2:2.2,a.3.2:1,a.3.2:2.1,a.3.2:2.2
0,0,1.80037,21.6045,23.4048,1.80037,28.8059,30.6063,1.80037,36.0074,37.8078,1.80037,25.2052,27.0056,1.80037,32.4067,34.2071,1.80037,39.6082,41.4086,1.80037
0,0,-0.312603,-3.75124,-4.06384,-0.312603,-5.00165,-5.31426,-0.312603,-6.25207,-6.56467,-0.312603,-4.37645,-4.68905,-0.312603,-5.62686,-5.93946,-0.312603,-6.87727,-7.18988,-0.312603
0,0,2.48437,29.8124,32.2968,2.48437,39.7499,42.2342,2.48437,49.6874,52.1717,2.48437,34.7811,37.2655,2.48437,44.7186,47.203,2.48437,54.6561,57.1405,2.48437
0,0,-2.73839,-32.8607,-35.5991,-2.73839,-43.8142,-46.5526,-2.73839,-54.7678,-57.5062,-2.73839,-38.3374,-41.0758,-2.73839,-49.291,-52.0294,-2.73839,-60.2446,-62.9829,-2.73839
0,0,-0.217798,-2.61357,-2.83137,-0.217798,-3.48477,-3.70256,-0.217798,-4.35596,-4.57375,-0.217798,-3.04917,-3.26697,-0.217798,-3.92036,-4.13816,-0.217798,-4.79155,-5.00935,-0.217798
0,0,-0.630327,-7.56393,-8.19425,-0.630327,-10.0852,-10.7156,-0.630327,-12.6065,-13.2369,-0.630327,-8.82458,-9.45491,-0.630327,-11.3459,-11.9762,-0.630327,-13.8672,-14.4975,-0.630327
0,0,-0.657879,-7.89454,-8.55242,-0.657879,-10.5261,-11.1839,-0.657879,-13.1576,-13.8155,-0.657879,-9.2103,-9.86818,-0.657879,-11.8418,-12.4997,-0.657879,-14.4733,-15.1312,-0.657879
0,0,0.313875,3.7665,4.08037,0.313875,5.02199,5.33587,0.313875,6.27749,6.59137,0.313875,4.39425,4.70812,0.313875,5.64974,5.96362,0.313875,6.90524,7.21912,0.313875
0,0,-0.268614,-3.22337,-3.49199,-0.268614,-4.29783,-4.56644,-0.268614,-5.37229,-5.6409,-0.268614,-3.7606,-4.02921,-0.268614,-4.83506,-5.10367,-0.268614,-5.90951,-6.17813,-0.268614
0,0,-1.05689,-12.6826,-13.7395,-1.05689,-16.9102,-17.9671,-1.05689,-21.1377,-22.1946,-1.05689,-14.7964,-15.8533,-1.05689,-19.0239,-20.0808,-1.05689,-23.2515,-24.3084,-1.05689
0,0,0.540008,6.48009,7.0201,0.540008,8.64012,9.18013,0.540008,10.8002,11.3402,0.540008,7.56011,8.10012,0.540008,9.72014,10.2601,0.540008,11.8802,12.4202,0.540008
0,0,-1.06111,-12.7334,-13.7945,-1.06111,-16.9778,-18.0389,-1.06111,-21.2223,-22.2834,-1.06111,-14.8556,-15.9167,-1.06111,-19.1001,-20.1612,-1.06111,-23.3445,-24.4056,-1.06111
0,0,-0.710505,-8.52606,-9.23657,-0.710505,-11.3681,-12.0786,-0.710505,-14.2101,-14.9206,-0.710505,-9.94707,-10.6576,-0.710505,-12.7891,-13.4996,-0.710505,-15.6311,-16.3416,-0.710505
0,0,0.0856741,1.02809,1.11376,0.0856741,1.37079,1.45646,0.0856741,1.71348,1.79916,0.0856741,1.19944,1.28511,0.0856741,1.54213,1.62781,0.0856741,1.88483,1.97051,0.0856741
0,0,0.737679,8.85215,9.58983,0.737679,11.8029,12.5405,0.737679,14.7536,15.4913,0.737679,10.3275,11.0652,0.737679,13.2782,14.0159,0.737679,16.2289,16.9666,0.737679
0,0,-2.13481,-25.6177,-27.7525,-2.13481,-34.1569,-36.2917,-2.13481,-42.6962,-44.831,-2.13481,-29.8873,-32.0221,-2.13481,-38.4266,-40.5614,-2.13481,-46.9658,-49.1006,-2.13481
0,0,-0.314909,-3.7789,-4.09381,-0.314909,-5.03854,-5.35345,-0.314909,-6.29817,-6.61308,-0.314909,-4.40872,-4.72363,-0.314909,-5.66836,-5.98326,-0.314909,-6.92799,-7.2429,-0.314909
0,0,-1.27588,-15.3106,-16.5865,-1.27588,-20.4141,-21.69,-1.27588,-25.5176,-26.7935,-1.27588,-17.8623,-19.1382,-1.27588,-22.9659,-24.2417,-1.27588,-28.0694,-29.3453,-1.27588
0,0,0.516456,6.19747,6.71392,0.516456,8.26329,8.77975,0.516456,10.3291,10.8456,0.516456,7.23038,7.74684,0.516456,9.2962,9.81266,0.516456,11.362,11.8785,0.516456
0,0,1.05541,12.6649,13.7203,1.05541,16.8866,17.942,1.05541,21.1082,22.1636,1.05541,14.7758,15.8312,1.05541,18.9974,20.0528,1.05541,23.219,24.2745,1.05541
0,0,0.0549716,0.659659,0.714631,0.0549716,0.879545,0.934517,0.0549716,1.09943,1.1544,0.0549716,0.769602,0.824574,0.0549716,0.989488,1.04446,0.0549716,1.20937,1.26435,0.0549716
0,0,-0.647728,-7.77274,-8.42047,-0.647728,-10.3637,-11.0114,-0.647728,-12.9546,-13.6023,-0.647728,-9.0682,-9.71593,-0.647728,-11.6591,-12.3068,-0.647728,-14.25,-14.8978,-0.647728
0,0,2.70463,32.4556,35.1603,2.70463,43.2742,45.9788,2.70463,54.0927,56.7973,2.70463,37.8649,40.5695,2.70463,48.6834,51.3881,2.70463,59.502,62.2066,2.70463
0,0,-0.734947,-8.81937,-9.55431,-0.734947,-11.7592,-12.4941,-0.734947,-14.6989,-15.4339,-0.734947,-10.2893,-11.0242,-0.734947,-13.229,-13.964,-0.734947,-16.1688,-16.9038,-0.734947
0,0,1.91591,22.9909,24.9068,1.91591,30.6545,32.5704,1.91591,38.3182,40.2341,1.91591,26.8227,28.7386,1.91591,34.4863,36.4023,1.91591,42.15,44.0659,1.91591
