# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = mixed_02_model
# start_datetime = 2023-12-07 13:58:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1270646599 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/mixed_02/mixed_02_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,base,m.1.1,m.2.1,m.3.1,m.4.1,m.1.2,m.2.2,m.3.2,m.4.2,m.1.3,m.2.3,m.3.3,m.4.3,m.1.4,m.2.4,m.3.4,m.4.4,m.1.5,m.2.5,m.3.5,m.4.5,u.1.1:1.1:1,u.1.1:1.1:2.1,u.1.1:1.1:2.2,u.1.1:1.2:1,u.1.1:1.2:2.1,u.1.1:1.2:2.2,u.1.1:2.1.1,u.1.1:2.2.1,u.1.1:2.3.1,u.1.1:2.4.1,u.1.1:2.1.2,u.1.1:2.2.2,u.1.1:2.3.2,u.1.1:2.4.2,u.1.1:2.1.3,u.1.1:2.2.3,u.1.1:2.3.3,u.1.1:2.4.3,u.1.1:2.1.4,u.1.1:2.2.4,u.1.1:2.3.4,u.1.1:2.4.4,u.1.1:2.1.5,u.1.1:2.2.5,u.1.1:2.3.5,u.1.1:2.4.5,u.2.1:1.1:1,u.2.1:1.1:2.1,u.2.1:1.1:2.2,u.2.1:1.2:1,u.2.1:1.2:2.1,u.2.1:1.2:2.2,u.2.1:2.1.1,u.2.1:2.2.1,u.2.1:2.3.1,u.2.1:2.4.1,u.2.1:2.1.2,u.2.1:2.2.2,u.2.1:2.3.2,u.2.1:2.4.2,u.2.1:2.1.3,u.2.1:2.2.3,u.2.1:2.3.3,u.2.1:2.4.3,u.2.1:2.1.4,u.2.1:2.2.4,u.2.1:2.3.4,u.2.1:2.4.4,u.2.1:2.1.5,u.2.1:2.2.5,u.2.1:2.3.5,u.2.1:2.4.5,u.1.2:1.1:1,u.1.2:1.1:2.1,u.1.2:1.1:2.2,u.1.2:1.2:1,u.1.2:1.2:2.1,u.1.2:1.2:2.2,u.1.2:2.1.1,u.1.2:2.2.1,u.1.2:2.3.1,u.1.2:2.4.1,u.1.2:2.1.2,u.1.2:2.2.2,u.1.2:2.3.2,u.1.2:2.4.2,u.1.2:2.1.3,u.1.2:2.2.3,u.1.2:2.3.3,u.1.2:2.4.3,u.1.2:2.1.4,u.1.2:2.2.4,u.1.2:2.3.4,u.1.2:2.4.4,u.1.2:2.1.5,u.1.2:2.2.5,u.1.2:2.3.5,u.1.2:2.4.5,u.2.2:1.1:1,u.2.2:1.1:2.1,u.2.2:1.1:2.2,u.2.2:1.2:1,u.2.2:1.2:2.1,u.2.2:1.2:2.2,u.2.2:2.1.1,u.2.2:2.2.1,u.2.2:2.3.1,u.2.2:2.4.1,u.2.2:2.1.2,u.2.2:2.2.2,u.2.2:2.3.2,u.2.2:2.4.2,u.2.2:2.1.3,u.2.2:2.2.3,u.2.2:2.3.3,u.2.2:2.4.3,u.2.2:2.1.4,u.2.2:2.2.4,u.2.2:2.3.4,u.2.2:2.4.4,u.2.2:2.1.5,u.2.2:2.2.5,u.2.2:2.3.5,u.2.2:2.4.5,u.1.3:1.1:1,u.1.3:1.1:2.1,u.1.3:1.1:2.2,u.1.3:1.2:1,u.1.3:1.2:2.1,u.1.3:1.2:2.2,u.1.3:2.1.1,u.1.3:2.2.1,u.1.3:2.3.1,u.1.3:2.4.1,u.1.3:2.1.2,u.1.3:2.2.2,u.1.3:2.3.2,u.1.3:2.4.2,u.1.3:2.1.3,u.1.3:2.2.3,u.1.3:2.3.3,u.1.3:2.4.3,u.1.3:2.1.4,u.1.3:2.2.4,u.1.3:2.3.4,u.1.3:2.4.4,u.1.3:2.1.5,u.1.3:2.2.5,u.1.3:2.3.5,u.1.3:2.4.5,u.2.3:1.1:1,u.2.3:1.1:2.1,u.2.3:1.1:2.2,u.2.3:1.2:1,u.2.3:1.2:2.1,u.2.3:1.2:2.2,u.2.3:2.1.1,u.2.3:2.2.1,u.2.3:2.3.1,u.2.3:2.4.1,u.2.3:2.1.2,u.2.3:2.2.2,u.2.3:2.3.2,u.2.3:2.4.2,u.2.3:2.1.3,u.2.3:2.2.3,u.2.3:2.3.3,u.2.3:2.4.3,u.2.3:2.1.4,u.2.3:2.2.4,u.2.3:2.3.4,u.2.3:2.4.4,u.2.3:2.1.5,u.2.3:2.2.5,u.2.3:2.3.5,u.2.3:2.4.5
0,0,0.388196,2.71737,2.7991,2.88082,2.96255,3.04427,3.126,3.20773,3.28945,3.37118,3.4529,3.53463,3.61635,3.69808,3.7798,3.86153,3.94326,4.02498,4.10671,4.18843,4.27016,0.388196,0.776392,1.16459,1.55278,1.94098,2.32918,2.71737,2.7991,2.88082,2.96255,3.04427,3.126,3.20773,3.28945,3.37118,3.4529,3.53463,3.61635,3.69808,3.7798,3.86153,3.94326,4.02498,4.10671,4.18843,4.27016,0.388196,0.776392,1.16459,1.55278,1.94098,2.32918,2.71737,2.7991,2.88082,2.96255,3.04427,3.126,3.20773,3.28945,3.37118,3.4529,3.53463,3.61635,3.69808,3.7798,3.86153,3.94326,4.02498,4.10671,4.18843,4.27016,0.388196,0.776392,1.16459,1.55278,1.94098,2.32918,2.71737,2.7991,2.88082,2.96255,3.04427,3.126,3.20773,3.28945,3.37118,3.4529,3.53463,3.61635,3.69808,3.7798,3.86153,3.94326,4.02498,4.10671,4.18843,4.27016,0.388196,0.776392,1.16459,1.55278,1.94098,2.32918,2.71737,2.7991,2.88082,2.96255,3.04427,3.126,3.20773,3.28945,3.37118,3.4529,3.53463,3.61635,3.69808,3.7798,3.86153,3.94326,4.02498,4.10671,4.18843,4.27016,0.388196,0.776392,1.16459,1.55278,1.94098,2.32918,2.71737,2.7991,2.88082,2.96255,3.04427,3.126,3.20773,3.28945,3.37118,3.4529,3.53463,3.61635,3.69808,3.7798,3.86153,3.94326,4.02498,4.10671,4.18843,4.27016,0.388196,0.776392,1.16459,1.55278,1.94098,2.32918,2.71737,2.7991,2.88082,2.96255,3.04427,3.126,3.20773,3.28945,3.37118,3.4529,3.53463,3.61635,3.69808,3.7798,3.86153,3.94326,4.02498,4.10671,4.18843,4.27016
0,0,0.245488,1.71842,1.7701,1.82178,1.87346,1.92514,1.97683,2.02851,2.08019,2.13187,2.18355,2.23523,2.28692,2.3386,2.39028,2.44196,2.49364,2.54532,2.59701,2.64869,2.70037,0.245488,0.490976,0.736464,0.981952,1.22744,1.47293,1.71842,1.7701,1.82178,1.87346,1.92514,1.97683,2.02851,2.08019,2.13187,2.18355,2.23523,2.28692,2.3386,2.39028,2.44196,2.49364,2.54532,2.59701,2.64869,2.70037,0.245488,0.490976,0.736464,0.981952,1.22744,1.47293,1.71842,1.7701,1.82178,1.87346,1.92514,1.97683,2.02851,2.08019,2.13187,2.18355,2.23523,2.28692,2.3386,2.39028,2.44196,2.49364,2.54532,2.59701,2.64869,2.70037,0.245488,0.490976,0.736464,0.981952,1.22744,1.47293,1.71842,1.7701,1.82178,1.87346,1.92514,1.97683,2.02851,2.08019,2.13187,2.18355,2.23523,2.28692,2.3386,2.39028,2.44196,2.49364,2.54532,2.59701,2.64869,2.70037,0.245488,0.490976,0.736464,0.981952,1.22744,1.47293,1.71842,1.7701,1.82178,1.87346,1.92514,1.97683,2.02851,2.08019,2.13187,2.18355,2.23523,2.28692,2.3386,2.39028,2.44196,2.49364,2.54532,2.59701,2.64869,2.70037,0.245488,0.490976,0.736464,0.981952,1.22744,1.47293,1.71842,1.7701,1.82178,1.87346,1.92514,1.97683,2.02851,2.08019,2.13187,2.18355,2.23523,2.28692,2.3386,2.39028,2.44196,2.49364,2.54532,2.59701,2.64869,2.70037,0.245488,0.490976,0.736464,0.981952,1.22744,1.47293,1.71842,1.7701,1.82178,1.87346,1.92514,1.97683,2.02851,2.08019,2.13187,2.18355,2.23523,2.28692,2.3386,2.39028,2.44196,2.49364,2.54532,2.59701,2.64869,2.70037
0,0,-0.466957,-3.2687,-3.36701,-3.46531,-3.56362,-3.66193,-3.76023,-3.85854,-3.95685,-4.05515,-4.15346,-4.25177,-4.35007,-4.44838,-4.54669,-4.64499,-4.7433,-4.84161,-4.93991,-5.03822,-5.13653,-0.466957,-0.933914,-1.40087,-1.86783,-2.33478,-2.80174,-3.2687,-3.36701,-3.46531,-3.56362,-3.66193,-3.76023,-3.85854,-3.95685,-4.05515,-4.15346,-4.25177,-4.35007,-4.44838,-4.54669,-4.64499,-4.7433,-4.84161,-4.93991,-5.03822,-5.13653,-0.466957,-0.933914,-1.40087,-1.86783,-2.33478,-2.80174,-3.2687,-3.36701,-3.46531,-3.56362,-3.66193,-3.76023,-3.85854,-3.95685,-4.05515,-4.15346,-4.25177,-4.35007,-4.44838,-4.54669,-4.64499,-4.7433,-4.84161,-4.93991,-5.03822,-5.13653,-0.466957,-0.933914,-1.40087,-1.86783,-2.33478,-2.80174,-3.2687,-3.36701,-3.46531,-3.56362,-3.66193,-3.76023,-3.85854,-3.95685,-4.05515,-4.15346,-4.25177,-4.35007,-4.44838,-4.54669,-4.64499,-4.7433,-4.84161,-4.93991,-5.03822,-5.13653,-0.466957,-0.933914,-1.40087,-1.86783,-2.33478,-2.80174,-3.2687,-3.36701,-3.46531,-3.56362,-3.66193,-3.76023,-3.85854,-3.95685,-4.05515,-4.15346,-4.25177,-4.35007,-4.44838,-4.54669,-4.64499,-4.7433,-4.84161,-4.93991,-5.03822,-5.13653,-0.466957,-0.933914,-1.40087,-1.86783,-2.33478,-2.80174,-3.2687,-3.36701,-3.46531,-3.56362,-3.66193,-3.76023,-3.85854,-3.95685,-4.05515,-4.15346,-4.25177,-4.35007,-4.44838,-4.54669,-4.64499,-4.7433,-4.84161,-4.93991,-5.03822,-5.13653,-0.466957,-0.933914,-1.40087,-1.86783,-2.33478,-2.80174,-3.2687,-3.36701,-3.46531,-3.56362,-3.66193,-3.76023,-3.85854,-3.95685,-4.05515,-4.15346,-4.25177,-4.35007,-4.44838,-4.54669,-4.64499,-4.7433,-4.84161,-4.93991,-5.03822,-5.13653
0,0,-0.24252,-1.69764,-1.7487,-1.79975,-1.85081,-1.90187,-1.95292,-2.00398,-2.05504,-2.1061,-2.15715,-2.20821,-2.25927,-2.31032,-2.36138,-2.41244,-2.46349,-2.51455,-2.56561,-2.61666,-2.66772,-0.24252,-0.48504,-0.72756,-0.97008,-1.2126,-1.45512,-1.69764,-1.7487,-1.79975,-1.85081,-1.90187,-1.95292,-2.00398,-2.05504,-2.1061,-2.15715,-2.20821,-2.25927,-2.31032,-2.36138,-2.41244,-2.46349,-2.51455,-2.56561,-2.61666,-2.66772,-0.24252,-0.48504,-0.72756,-0.97008,-1.2126,-1.45512,-1.69764,-1.7487,-1.79975,-1.85081,-1.90187,-1.95292,-2.00398,-2.05504,-2.1061,-2.15715,-2.20821,-2.25927,-2.31032,-2.36138,-2.41244,-2.46349,-2.51455,-2.56561,-2.61666,-2.66772,-0.24252,-0.48504,-0.72756,-0.97008,-1.2126,-1.45512,-1.69764,-1.7487,-1.79975,-1.85081,-1.90187,-1.95292,-2.00398,-2.05504,-2.1061,-2.15715,-2.20821,-2.25927,-2.31032,-2.36138,-2.41244,-2.46349,-2.51455,-2.56561,-2.61666,-2.66772,-0.24252,-0.48504,-0.72756,-0.97008,-1.2126,-1.45512,-1.69764,-1.7487,-1.79975,-1.85081,-1.90187,-1.95292,-2.00398,-2.05504,-2.1061,-2.15715,-2.20821,-2.25927,-2.31032,-2.36138,-2.41244,-2.46349,-2.51455,-2.56561,-2.61666,-2.66772,-0.24252,-0.48504,-0.72756,-0.97008,-1.2126,-1.45512,-1.69764,-1.7487,-1.79975,-1.85081,-1.90187,-1.95292,-2.00398,-2.05504,-2.1061,-2.15715,-2.20821,-2.25927,-2.31032,-2.36138,-2.41244,-2.46349,-2.51455,-2.56561,-2.61666,-2.66772,-0.24252,-0.48504,-0.72756,-0.97008,-1.2126,-1.45512,-1.69764,-1.7487,-1.79975,-1.85081,-1.90187,-1.95292,-2.00398,-2.05504,-2.1061,-2.15715,-2.20821,-2.25927,-2.31032,-2.36138,-2.41244,-2.46349,-2.51455,-2.56561,-2.61666,-2.66772
0,0,0.554036,3.87825,3.99489,4.11153,4.22817,4.34481,4.46144,4.57808,4.69472,4.81136,4.928,5.04464,5.16128,5.27792,5.39456,5.5112,5.62783,5.74447,5.86111,5.97775,6.09439,0.554036,1.10807,1.66211,2.21614,2.77018,3.32421,3.87825,3.99489,4.11153,4.22817,4.34481,4.46144,4.57808,4.69472,4.81136,4.928,5.04464,5.16128,5.27792,5.39456,5.5112,5.62783,5.74447,5.86111,5.97775,6.09439,0.554036,1.10807,1.66211,2.21614,2.77018,3.32421,3.87825,3.99489,4.11153,4.22817,4.34481,4.46144,4.57808,4.69472,4.81136,4.928,5.04464,5.16128,5.27792,5.39456,5.5112,5.62783,5.74447,5.86111,5.97775,6.09439,0.554036,1.10807,1.66211,2.21614,2.77018,3.32421,3.87825,3.99489,4.11153,4.22817,4.34481,4.46144,4.57808,4.69472,4.81136,4.928,5.04464,5.16128,5.27792,5.39456,5.5112,5.62783,5.74447,5.86111,5.97775,6.09439,0.554036,1.10807,1.66211,2.21614,2.77018,3.32421,3.87825,3.99489,4.11153,4.22817,4.34481,4.46144,4.57808,4.69472,4.81136,4.928,5.04464,5.16128,5.27792,5.39456,5.5112,5.62783,5.74447,5.86111,5.97775,6.09439,0.554036,1.10807,1.66211,2.21614,2.77018,3.32421,3.87825,3.99489,4.11153,4.22817,4.34481,4.46144,4.57808,4.69472,4.81136,4.928,5.04464,5.16128,5.27792,5.39456,5.5112,5.62783,5.74447,5.86111,5.97775,6.09439,0.554036,1.10807,1.66211,2.21614,2.77018,3.32421,3.87825,3.99489,4.11153,4.22817,4.34481,4.46144,4.57808,4.69472,4.81136,4.928,5.04464,5.16128,5.27792,5.39456,5.5112,5.62783,5.74447,5.86111,5.97775,6.09439
0,0,-1.30161,-9.11128,-9.3853,-9.65933,-9.93335,-10.2074,-10.4814,-10.7554,-11.0294,-11.3035,-11.5775,-11.8515,-12.1255,-12.3996,-12.6736,-12.9476,-13.2216,-13.4957,-13.7697,-14.0437,-14.3177,-1.30161,-2.60322,-3.90483,-5.20645,-6.50806,-7.80967,-9.11128,-9.3853,-9.65933,-9.93335,-10.2074,-10.4814,-10.7554,-11.0294,-11.3035,-11.5775,-11.8515,-12.1255,-12.3996,-12.6736,-12.9476,-13.2216,-13.4957,-13.7697,-14.0437,-14.3177,-1.30161,-2.60322,-3.90483,-5.20645,-6.50806,-7.80967,-9.11128,-9.3853,-9.65933,-9.93335,-10.2074,-10.4814,-10.7554,-11.0294,-11.3035,-11.5775,-11.8515,-12.1255,-12.3996,-12.6736,-12.9476,-13.2216,-13.4957,-13.7697,-14.0437,-14.3177,-1.30161,-2.60322,-3.90483,-5.20645,-6.50806,-7.80967,-9.11128,-9.3853,-9.65933,-9.93335,-10.2074,-10.4814,-10.7554,-11.0294,-11.3035,-11.5775,-11.8515,-12.1255,-12.3996,-12.6736,-12.9476,-13.2216,-13.4957,-13.7697,-14.0437,-14.3177,-1.30161,-2.60322,-3.90483,-5.20645,-6.50806,-7.80967,-9.11128,-9.3853,-9.65933,-9.93335,-10.2074,-10.4814,-10.7554,-11.0294,-11.3035,-11.5775,-11.8515,-12.1255,-12.3996,-12.6736,-12.9476,-13.2216,-13.4957,-13.7697,-14.0437,-14.3177,-1.30161,-2.60322,-3.90483,-5.20645,-6.50806,-7.80967,-9.11128,-9.3853,-9.65933,-9.93335,-10.2074,-10.4814,-10.7554,-11.0294,-11.3035,-11.5775,-11.8515,-12.1255,-12.3996,-12.6736,-12.9476,-13.2216,-13.4957,-13.7697,-14.0437,-14.3177,-1.30161,-2.60322,-3.90483,-5.20645,-6.50806,-7.80967,-9.11128,-9.3853,-9.65933,-9.93335,-10.2074,-10.4814,-10.7554,-11.0294,-11.3035,-11.5775,-11.8515,-12.1255,-12.3996,-12.6736,-12.9476,-13.2216,-13.4957,-13.7697,-14.0437,-14.3177
0,0,0.0643295,0.450306,0.46385,0.477393,0.490936,0.504479,0.518022,0.531565,0.545108,0.558651,0.572194,0.585737,0.59928,0.612823,0.626366,0.639909,0.653452,0.666995,0.680538,0.694081,0.707624,0.0643295,0.128659,0.192988,0.257318,0.321647,0.385977,0.450306,0.46385,0.477393,0.490936,0.504479,0.518022,0.531565,0.545108,0.558651,0.572194,0.585737,0.59928,0.612823,0.626366,0.639909,0.653452,0.666995,0.680538,0.694081,0.707624,0.0643295,0.128659,0.192988,0.257318,0.321647,0.385977,0.450306,0.46385,0.477393,0.490936,0.504479,0.518022,0.531565,0.545108,0.558651,0.572194,0.585737,0.59928,0.612823,0.626366,0.639909,0.653452,0.666995,0.680538,0.694081,0.707624,0.0643295,0.128659,0.192988,0.257318,0.321647,0.385977,0.450306,0.46385,0.477393,0.490936,0.504479,0.518022,0.531565,0.545108,0.558651,0.572194,0.585737,0.59928,0.612823,0.626366,0.639909,0.653452,0.666995,0.680538,0.694081,0.707624,0.0643295,0.128659,0.192988,0.257318,0.321647,0.385977,0.450306,0.46385,0.477393,0.490936,0.504479,0.518022,0.531565,0.545108,0.558651,0.572194,0.585737,0.59928,0.612823,0.626366,0.639909,0.653452,0.666995,0.680538,0.694081,0.707624,0.0643295,0.128659,0.192988,0.257318,0.321647,0.385977,0.450306,0.46385,0.477393,0.490936,0.504479,0.518022,0.531565,0.545108,0.558651,0.572194,0.585737,0.59928,0.612823,0.626366,0.639909,0.653452,0.666995,0.680538,0.694081,0.707624,0.0643295,0.128659,0.192988,0.257318,0.321647,0.385977,0.450306,0.46385,0.477393,0.490936,0.504479,0.518022,0.531565,0.545108,0.558651,0.572194,0.585737,0.59928,0.612823,0.626366,0.639909,0.653452,0.666995,0.680538,0.694081,0.707624
0,0,-0.211641,-1.48149,-1.52604,-1.5706,-1.61515,-1.65971,-1.70427,-1.74882,-1.79338,-1.83793,-1.88249,-1.92705,-1.9716,-2.01616,-2.06071,-2.10527,-2.14983,-2.19438,-2.23894,-2.28349,-2.32805,-0.211641,-0.423282,-0.634922,-0.846563,-1.0582,-1.26984,-1.48149,-1.52604,-1.5706,-1.61515,-1.65971,-1.70427,-1.74882,-1.79338,-1.83793,-1.88249,-1.92705,-1.9716,-2.01616,-2.06071,-2.10527,-2.14983,-2.19438,-2.23894,-2.28349,-2.32805,-0.211641,-0.423282,-0.634922,-0.846563,-1.0582,-1.26984,-1.48149,-1.52604,-1.5706,-1.61515,-1.65971,-1.70427,-1.74882,-1.79338,-1.83793,-1.88249,-1.92705,-1.9716,-2.01616,-2.06071,-2.10527,-2.14983,-2.19438,-2.23894,-2.28349,-2.32805,-0.211641,-0.423282,-0.634922,-0.846563,-1.0582,-1.26984,-1.48149,-1.52604,-1.5706,-1.61515,-1.65971,-1.70427,-1.74882,-1.79338,-1.83793,-1.88249,-1.92705,-1.9716,-2.01616,-2.06071,-2.10527,-2.14983,-2.19438,-2.23894,-2.28349,-2.32805,-0.211641,-0.423282,-0.634922,-0.846563,-1.0582,-1.26984,-1.48149,-1.52604,-1.5706,-1.61515,-1.65971,-1.70427,-1.74882,-1.79338,-1.83793,-1.88249,-1.92705,-1.9716,-2.01616,-2.06071,-2.10527,-2.14983,-2.19438,-2.23894,-2.28349,-2.32805,-0.211641,-0.423282,-0.634922,-0.846563,-1.0582,-1.26984,-1.48149,-1.52604,-1.5706,-1.61515,-1.65971,-1.70427,-1.74882,-1.79338,-1.83793,-1.88249,-1.92705,-1.9716,-2.01616,-2.06071,-2.10527,-2.14983,-2.19438,-2.23894,-2.28349,-2.32805,-0.211641,-0.423282,-0.634922,-0.846563,-1.0582,-1.26984,-1.48149,-1.52604,-1.5706,-1.61515,-1.65971,-1.70427,-1.74882,-1.79338,-1.83793,-1.88249,-1.92705,-1.9716,-2.01616,-2.06071,-2.10527,-2.14983,-2.19438,-2.23894,-2.28349,-2.32805
0,0,-1.40074,-9.80517,-10.1001,-10.395,-10.6899,-10.9847,-11.2796,-11.5745,-11.8694,-12.1643,-12.4592,-12.7541,-13.049,-13.3439,-13.6388,-13.9337,-14.2286,-14.5235,-14.8183,-15.1132,-15.4081,-1.40074,-2.80148,-4.20222,-5.60296,-7.0037,-8.40443,-9.80517,-10.1001,-10.395,-10.6899,-10.9847,-11.2796,-11.5745,-11.8694,-12.1643,-12.4592,-12.7541,-13.049,-13.3439,-13.6388,-13.9337,-14.2286,-14.5235,-14.8183,-15.1132,-15.4081,-1.40074,-2.80148,-4.20222,-5.60296,-7.0037,-8.40443,-9.80517,-10.1001,-10.395,-10.6899,-10.9847,-11.2796,-11.5745,-11.8694,-12.1643,-12.4592,-12.7541,-13.049,-13.3439,-13.6388,-13.9337,-14.2286,-14.5235,-14.8183,-15.1132,-15.4081,-1.40074,-2.80148,-4.20222,-5.60296,-7.0037,-8.40443,-9.80517,-10.1001,-10.395,-10.6899,-10.9847,-11.2796,-11.5745,-11.8694,-12.1643,-12.4592,-12.7541,-13.049,-13.3439,-13.6388,-13.9337,-14.2286,-14.5235,-14.8183,-15.1132,-15.4081,-1.40074,-2.80148,-4.20222,-5.60296,-7.0037,-8.40443,-9.80517,-10.1001,-10.395,-10.6899,-10.9847,-11.2796,-11.5745,-11.8694,-12.1643,-12.4592,-12.7541,-13.049,-13.3439,-13.6388,-13.9337,-14.2286,-14.5235,-14.8183,-15.1132,-15.4081,-1.40074,-2.80148,-4.20222,-5.60296,-7.0037,-8.40443,-9.80517,-10.1001,-10.395,-10.6899,-10.9847,-11.2796,-11.5745,-11.8694,-12.1643,-12.4592,-12.7541,-13.049,-13.3439,-13.6388,-13.9337,-14.2286,-14.5235,-14.8183,-15.1132,-15.4081,-1.40074,-2.80148,-4.20222,-5.60296,-7.0037,-8.40443,-9.80517,-10.1001,-10.395,-10.6899,-10.9847,-11.2796,-11.5745,-11.8694,-12.1643,-12.4592,-12.7541,-13.049,-13.3439,-13.6388,-13.9337,-14.2286,-14.5235,-14.8183,-15.1132,-15.4081
0,0,-0.130093,-0.910654,-0.938042,-0.965431,-0.992819,-1.02021,-1.04759,-1.07498,-1.10237,-1.12976,-1.15715,-1.18454,-1.21192,-1.23931,-1.2667,-1.29409,-1.32148,-1.34886,-1.37625,-1.40364,-1.43103,-0.130093,-0.260187,-0.39028,-0.520374,-0.650467,-0.780561,-0.910654,-0.938042,-0.965431,-0.992819,-1.02021,-1.04759,-1.07498,-1.10237,-1.12976,-1.15715,-1.18454,-1.21192,-1.23931,-1.2667,-1.29409,-1.32148,-1.34886,-1.37625,-1.40364,-1.43103,-0.130093,-0.260187,-0.39028,-0.520374,-0.650467,-0.780561,-0.910654,-0.938042,-0.965431,-0.992819,-1.02021,-1.04759,-1.07498,-1.10237,-1.12976,-1.15715,-1.18454,-1.21192,-1.23931,-1.2667,-1.29409,-1.32148,-1.34886,-1.37625,-1.40364,-1.43103,-0.130093,-0.260187,-0.39028,-0.520374,-0.650467,-0.780561,-0.910654,-0.938042,-0.965431,-0.992819,-1.02021,-1.04759,-1.07498,-1.10237,-1.12976,-1.15715,-1.18454,-1.21192,-1.23931,-1.2667,-1.29409,-1.32148,-1.34886,-1.37625,-1.40364,-1.43103,-0.130093,-0.260187,-0.39028,-0.520374,-0.650467,-0.780561,-0.910654,-0.938042,-0.965431,-0.992819,-1.02021,-1.04759,-1.07498,-1.10237,-1.12976,-1.15715,-1.18454,-1.21192,-1.23931,-1.2667,-1.29409,-1.32148,-1.34886,-1.37625,-1.40364,-1.43103,-0.130093,-0.260187,-0.39028,-0.520374,-0.650467,-0.780561,-0.910654,-0.938042,-0.965431,-0.992819,-1.02021,-1.04759,-1.07498,-1.10237,-1.12976,-1.15715,-1.18454,-1.21192,-1.23931,-1.2667,-1.29409,-1.32148,-1.34886,-1.37625,-1.40364,-1.43103,-0.130093,-0.260187,-0.39028,-0.520374,-0.650467,-0.780561,-0.910654,-0.938042,-0.965431,-0.992819,-1.02021,-1.04759,-1.07498,-1.10237,-1.12976,-1.15715,-1.18454,-1.21192,-1.23931,-1.2667,-1.29409,-1.32148,-1.34886,-1.37625,-1.40364,-1.43103
