# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = mixed_02_model
# start_datetime = 2023-12-07 13:58:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1270646599 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/mixed_02/mixed_02_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,base,m.1.1,m.2.1,m.3.1,m.4.1,m.1.2,m.2.2,m.3.2,m.4.2,m.1.3,m.2.3,m.3.3,m.4.3,m.1.4,m.2.4,m.3.4,m.4.4,m.1.5,m.2.5,m.3.5,m.4.5,u.1.1:1.1:1,u.1.1:1.1:2.1,u.1.1:1.1:2.2,u.1.1:1.2:1,u.1.1:1.2:2.1,u.1.1:1.2:2.2,u.1.1:2.1.1,u.1.1:2.2.1,u.1.1:2.3.1,u.1.1:2.4.1,u.1.1:2.1.2,u.1.1:2.2.2,u.1.1:2.3.2,u.1.1:2.4.2,u.1.1:2.1.3,u.1.1:2.2.3,u.1.1:2.3.3,u.1.1:2.4.3,u.1.1:2.1.4,u.1.1:2.2.4,u.1.1:2.3.4,u.1.1:2.4.4,u.1.1:2.1.5,u.1.1:2.2.5,u.1.1:2.3.5,u.1.1:2.4.5,u.2.1:1.1:1,u.2.1:1.1:2.1,u.2.1:1.1:2.2,u.2.1:1.2:1,u.2.1:1.2:2.1,u.2.1:1.2:2.2,u.2.1:2.1.1,u.2.1:2.2.1,u.2.1:2.3.1,u.2.1:2.4.1,u.2.1:2.1.2,u.2.1:2.2.2,u.2.1:2.3.2,u.2.1:2.4.2,u.2.1:2.1.3,u.2.1:2.2.3,u.2.1:2.3.3,u.2.1:2.4.3,u.2.1:2.1.4,u.2.1:2.2.4,u.2.1:2.3.4,u.2.1:2.4.4,u.2.1:2.1.5,u.2.1:2.2.5,u.2.1:2.3.5,u.2.1:2.4.5,u.1.2:1.1:1,u.1.2:1.1:2.1,u.1.2:1.1:2.2,u.1.2:1.2:1,u.1.2:1.2:2.1,u.1.2:1.2:2.2,u.1.2:2.1.1,u.1.2:2.2.1,u.1.2:2.3.1,u.1.2:2.4.1,u.1.2:2.1.2,u.1.2:2.2.2,u.1.2:2.3.2,u.1.2:2.4.2,u.1.2:2.1.3,u.1.2:2.2.3,u.1.2:2.3.3,u.1.2:2.4.3,u.1.2:2.1.4,u.1.2:2.2.4,u.1.2:2.3.4,u.1.2:2.4.4,u.1.2:2.1.5,u.1.2:2.2.5,u.1.2:2.3.5,u.1.2:2.4.5,u.2.2:1.1:1,u.2.2:1.1:2.1,u.2.2:1.1:2.2,u.2.2:1.2:1,u.2.2:1.2:2.1,u.2.2:1.2:2.2,u.2.2:2.1.1,u.2.2:2.2.1,u.2.2:2.3.1,u.2.2:2.4.1,u.2.2:2.1.2,u.2.2:2.2.2,u.2.2:2.3.2,u.2.2:2.4.2,u.2.2:2.1.3,u.2.2:2.2.3,u.2.2:2.3.3,u.2.2:2.4.3,u.2.2:2.1.4,u.2.2:2.2.4,u.2.2:2.3.4,u.2.2:2.4.4,u.2.2:2.1.5,u.2.2:2.2.5,u.2.2:2.3.5,u.2.2:2.4.5,u.1.3:1.1:1,u.1.3:1.1:2.1,u.1.3:1.1:2.2,u.1.3:1.2:1,u.1.3:1.2:2.1,u.1.3:1.2:2.2,u.1.3:2.1.1,u.1.3:2.2.1,u.1.3:2.3.1,u.1.3:2.4.1,u.1.3:2.1.2,u.1.3:2.2.2,u.1.3:2.3.2,u.1.3:2.4.2,u.1.3:2.1.3,u.1.3:2.2.3,u.1.3:2.3.3,u.1.3:2.4.3,u.1.3:2.1.4,u.1.3:2.2.4,u.1.3:2.3.4,u.1.3:2.4.4,u.1.3:2.1.5,u.1.3:2.2.5,u.1.3:2.3.5,u.1.3:2.4.5,u.2.3:1.1:1,u.2.3:1.1:2.1,u.2.3:1.1:2.2,u.2.3:1.2:1,u.2.3:1.2:2.1,u.2.3:1.2:2.2,u.2.3:2.1.1,u.2.3:2.2.1,u.2.3:2.3.1,u.2.3:2.4.1,u.2.3:2.1.2,u.2.3:2.2.2,u.2.3:2.3.2,u.2.3:2.4.2,u.2.3:2.1.3,u.2.3:2.2.3,u.2.3:2.3.3,u.2.3:2.4.3,u.2.3:2.1.4,u.2.3:2.2.4,u.2.3:2.3.4,u.2.3:2.4.4,u.2.3:2.1.5,u.2.3:2.2.5,u.2.3:2.3.5,u.2.3:2.4.5
0,0,-1.0573,-7.40107,-7.62366,-7.84625,-8.06884,-8.29143,-8.51402,-8.7366,-8.95919,-9.18178,-9.40437,-9.62696,-9.84955,-10.0721,-10.2947,-10.5173,-10.7399,-10.9625,-11.1851,-11.4077,-11.6303,-1.0573,-2.11459,-3.17189,-4.22918,-5.28648,-6.34378,-7.40107,-7.62366,-7.84625,-8.06884,-8.29143,-8.51402,-8.7366,-8.95919,-9.18178,-9.40437,-9.62696,-9.84955,-10.0721,-10.2947,-10.5173,-10.7399,-10.9625,-11.1851,-11.4077,-11.6303,-1.0573,-2.11459,-3.17189,-4.22918,-5.28648,-6.34378,-7.40107,-7.62366,-7.84625,-8.06884,-8.29143,-8.51402,-8.7366,-8.95919,-9.18178,-9.40437,-9.62696,-9.84955,-10.0721,-10.2947,-10.5173,-10.7399,-10.9625,-11.1851,-11.4077,-11.6303,-1.0573,-2.11459,-3.17189,-4.22918,-5.28648,-6.34378,-7.40107,-7.62366,-7.84625,-8.06884,-8.29143,-8.51402,-8.7366,-8.95919,-9.18178,-9.40437,-9.62696,-9.84955,-10.0721,-10.2947,-10.5173,-10.7399,-10.9625,-11.1851,-11.4077,-11.6303,-1.0573,-2.11459,-3.17189,-4.22918,-5.28648,-6.34378,-7.40107,-7.62366,-7.84625,-8.06884,-8.29143,-8.51402,-8.7366,-8.95919,-9.18178,-9.40437,-9.62696,-9.84955,-10.0721,-10.2947,-10.5173,-10.7399,-10.9625,-11.1851,-11.4077,-11.6303,-1.0573,-2.11459,-3.17189,-4.22918,-5.28648,-6.34378,-7.40107,-7.62366,-7.84625,-8.06884,-8.29143,-8.51402,-8.7366,-8.95919,-9.18178,-9.40437,-9.62696,-9.84955,-10.0721,-10.2947,-10.5173,-10.7399,-10.9625,-11.1851,-11.4077,-11.6303,-1.0573,-2.11459,-3.17189,-4.22918,-5.28648,-6.34378,-7.40107,-7.62366,-7.84625,-8.06884,-8.29143,-8.51402,-8.7366,-8.95919,-9.18178,-9.40437,-9.62696,-9.84955,-10.0721,-10.2947,-10.5173,-10.7399,-10.9625,-11.1851,-11.4077,-11.6303
0,0,1.06017,7.42121,7.64441,7.8676,8.0908,8.31399,8.53719,8.76038,8.98358,9.20677,9.42996,9.65316,9.87635,10.0995,10.3227,10.5459,10.7691,10.9923,11.2155,11.4387,11.6619,1.06017,2.12035,3.18052,4.24069,5.30087,6.36104,7.42121,7.64441,7.8676,8.0908,8.31399,8.53719,8.76038,8.98358,9.20677,9.42996,9.65316,9.87635,10.0995,10.3227,10.5459,10.7691,10.9923,11.2155,11.4387,11.6619,1.06017,2.12035,3.18052,4.24069,5.30087,6.36104,7.42121,7.64441,7.8676,8.0908,8.31399,8.53719,8.76038,8.98358,9.20677,9.42996,9.65316,9.87635,10.0995,10.3227,10.5459,10.7691,10.9923,11.2155,11.4387,11.6619,1.06017,2.12035,3.18052,4.24069,5.30087,6.36104,7.42121,7.64441,7.8676,8.0908,8.31399,8.53719,8.76038,8.98358,9.20677,9.42996,9.65316,9.87635,10.0995,10.3227,10.5459,10.7691,10.9923,11.2155,11.4387,11.6619,1.06017,2.12035,3.18052,4.24069,5.30087,6.36104,7.42121,7.64441,7.8676,8.0908,8.31399,8.53719,8.76038,8.98358,9.20677,9.42996,9.65316,9.87635,10.0995,10.3227,10.5459,10.7691,10.9923,11.2155,11.4387,11.6619,1.06017,2.12035,3.18052,4.24069,5.30087,6.36104,7.42121,7.64441,7.8676,8.0908,8.31399,8.53719,8.76038,8.98358,9.20677,9.42996,9.65316,9.87635,10.0995,10.3227,10.5459,10.7691,10.9923,11.2155,11.4387,11.6619,1.06017,2.12035,3.18052,4.24069,5.30087,6.36104,7.42121,7.64441,7.8676,8.0908,8.31399,8.53719,8.76038,8.98358,9.20677,9.42996,9.65316,9.87635,10.0995,10.3227,10.5459,10.7691,10.9923,11.2155,11.4387,11.6619
0,0,-0.000201176,-0.00140823,-0.00145058,-0.00149293,-0.00153529,-0.00157764,-0.00161999,-0.00166235,-0.0017047,-0.00174705,-0.0017894,-0.00183176,-0.00187411,-0.00191646,-0.00195881,-0.00200117,-0.00204352,-0.00208587,-0.00212823,-0.00217058,-0.00221293,-0.000201176,-0.000402351,-0.000603527,-0.000804702,-0.00100588,-0.00120705,-0.00140823,-0.00145058,-0.00149293,-0.00153529,-0.00157764,-0.00161999,-0.00166235,-0.0017047,-0.00174705,-0.0017894,-0.00183176,-0.00187411,-0.00191646,-0.00195881,-0.00200117,-0.00204352,-0.00208587,-0.00212823,-0.00217058,-0.00221293,-0.000201176,-0.000402351,-0.000603527,-0.000804702,-0.00100588,-0.00120705,-0.00140823,-0.00145058,-0.00149293,-0.00153529,-0.00157764,-0.00161999,-0.00166235,-0.0017047,-0.00174705,-0.0017894,-0.00183176,-0.00187411,-0.00191646,-0.00195881,-0.00200117,-0.00204352,-0.00208587,-0.00212823,-0.00217058,-0.00221293,-0.000201176,-0.000402351,-0.000603527,-0.000804702,-0.00100588,-0.00120705,-0.00140823,-0.00145058,-0.00149293,-0.00153529,-0.00157764,-0.00161999,-0.00166235,-0.0017047,-0.00174705,-0.0017894,-0.00183176,-0.00187411,-0.00191646,-0.00195881,-0.00200117,-0.00204352,-0.00208587,-0.00212823,-0.00217058,-0.00221293,-0.000201176,-0.000402351,-0.000603527,-0.000804702,-0.00100588,-0.00120705,-0.00140823,-0.00145058,-0.00149293,-0.00153529,-0.00157764,-0.00161999,-0.00166235,-0.0017047,-0.00174705,-0.0017894,-0.00183176,-0.00187411,-0.00191646,-0.00195881,-0.00200117,-0.00204352,-0.00208587,-0.00212823,-0.00217058,-0.00221293,-0.000201176,-0.000402351,-0.000603527,-0.000804702,-0.00100588,-0.00120705,-0.00140823,-0.00145058,-0.00149293,-0.00153529,-0.00157764,-0.00161999,-0.00166235,-0.0017047,-0.00174705,-0.0017894,-0.00183176,-0.00187411,-0.00191646,-0.00195881,-0.00200117,-0.00204352,-0.00208587,-0.00212823,-0.00217058,-0.00221293,-0.000201176,-0.000402351,-0.000603527,-0.000804702,-0.00100588,-0.00120705,-0.00140823,-0.00145058,-0.00149293,-0.00153529,-0.00157764,-0.00161999,-0.00166235,-0.0017047,-0.00174705,-0.0017894,-0.00183176,-0.00187411,-0.00191646,-0.00195881,-0.00200117,-0.00204352,-0.00208587,-0.00212823,-0.00217058,-0.00221293
0,0,0.0546165,0.382315,0.393814,0.405312,0.41681,0.428308,0.439806,0.451305,0.462803,0.474301,0.485799,0.497298,0.508796,0.520294,0.531792,0.54329,0.554789,0.566287,0.577785,0.589283,0.600781,0.0546165,0.109233,0.163849,0.218466,0.273082,0.327699,0.382315,0.393814,0.405312,0.41681,0.428308,0.439806,0.451305,0.462803,0.474301,0.485799,0.497298,0.508796,0.520294,0.531792,0.54329,0.554789,0.566287,0.577785,0.589283,0.600781,0.0546165,0.109233,0.163849,0.218466,0.273082,0.327699,0.382315,0.393814,0.405312,0.41681,0.428308,0.439806,0.451305,0.462803,0.474301,0.485799,0.497298,0.508796,0.520294,0.531792,0.54329,0.554789,0.566287,0.577785,0.589283,0.600781,0.0546165,0.109233,0.163849,0.218466,0.273082,0.327699,0.382315,0.393814,0.405312,0.41681,0.428308,0.439806,0.451305,0.462803,0.474301,0.485799,0.497298,0.508796,0.520294,0.531792,0.54329,0.554789,0.566287,0.577785,0.589283,0.600781,0.0546165,0.109233,0.163849,0.218466,0.273082,0.327699,0.382315,0.393814,0.405312,0.41681,0.428308,0.439806,0.451305,0.462803,0.474301,0.485799,0.497298,0.508796,0.520294,0.531792,0.54329,0.554789,0.566287,0.577785,0.589283,0.600781,0.0546165,0.109233,0.163849,0.218466,0.273082,0.327699,0.382315,0.393814,0.405312,0.41681,0.428308,0.439806,0.451305,0.462803,0.474301,0.485799,0.497298,0.508796,0.520294,0.531792,0.54329,0.554789,0.566287,0.577785,0.589283,0.600781,0.0546165,0.109233,0.163849,0.218466,0.273082,0.327699,0.382315,0.393814,0.405312,0.41681,0.428308,0.439806,0.451305,0.462803,0.474301,0.485799,0.497298,0.508796,0.520294,0.531792,0.54329,0.554789,0.566287,0.577785,0.589283,0.600781
0,0,0.581324,4.06927,4.19166,4.31404,4.43642,4.55881,4.68119,4.80358,4.92596,5.04834,5.17073,5.29311,5.4155,5.53788,5.66026,5.78265,5.90503,6.02742,6.1498,6.27219,6.39457,0.581324,1.16265,1.74397,2.3253,2.90662,3.48795,4.06927,4.19166,4.31404,4.43642,4.55881,4.68119,4.80358,4.92596,5.04834,5.17073,5.29311,5.4155,5.53788,5.66026,5.78265,5.90503,6.02742,6.1498,6.27219,6.39457,0.581324,1.16265,1.74397,2.3253,2.90662,3.48795,4.06927,4.19166,4.31404,4.43642,4.55881,4.68119,4.80358,4.92596,5.04834,5.17073,5.29311,5.4155,5.53788,5.66026,5.78265,5.90503,6.02742,6.1498,6.27219,6.39457,0.581324,1.16265,1.74397,2.3253,2.90662,3.48795,4.06927,4.19166,4.31404,4.43642,4.55881,4.68119,4.80358,4.92596,5.04834,5.17073,5.29311,5.4155,5.53788,5.66026,5.78265,5.90503,6.02742,6.1498,6.27219,6.39457,0.581324,1.16265,1.74397,2.3253,2.90662,3.48795,4.06927,4.19166,4.31404,4.43642,4.55881,4.68119,4.80358,4.92596,5.04834,5.17073,5.29311,5.4155,5.53788,5.66026,5.78265,5.90503,6.02742,6.1498,6.27219,6.39457,0.581324,1.16265,1.74397,2.3253,2.90662,3.48795,4.06927,4.19166,4.31404,4.43642,4.55881,4.68119,4.80358,4.92596,5.04834,5.17073,5.29311,5.4155,5.53788,5.66026,5.78265,5.90503,6.02742,6.1498,6.27219,6.39457,0.581324,1.16265,1.74397,2.3253,2.90662,3.48795,4.06927,4.19166,4.31404,4.43642,4.55881,4.68119,4.80358,4.92596,5.04834,5.17073,5.29311,5.4155,5.53788,5.66026,5.78265,5.90503,6.02742,6.1498,6.27219,6.39457
0,0,1.38307,9.68151,9.97269,10.2639,10.555,10.8462,11.1374,11.4286,11.7197,12.0109,12.3021,12.5932,12.8844,13.1756,13.4668,13.7579,14.0491,14.3403,14.6315,14.9226,15.2138,1.38307,2.76615,4.14922,5.53229,6.91537,8.29844,9.68151,9.97269,10.2639,10.555,10.8462,11.1374,11.4286,11.7197,12.0109,12.3021,12.5932,12.8844,13.1756,13.4668,13.7579,14.0491,14.3403,14.6315,14.9226,15.2138,1.38307,2.76615,4.14922,5.53229,6.91537,8.29844,9.68151,9.97269,10.2639,10.555,10.8462,11.1374,11.4286,11.7197,12.0109,12.3021,12.5932,12.8844,13.1756,13.4668,13.7579,14.0491,14.3403,14.6315,14.9226,15.2138,1.38307,2.76615,4.14922,5.53229,6.91537,8.29844,9.68151,9.97269,10.2639,10.555,10.8462,11.1374,11.4286,11.7197,12.0109,12.3021,12.5932,12.8844,13.1756,13.4668,13.7579,14.0491,14.3403,14.6315,14.9226,15.2138,1.38307,2.76615,4.14922,5.53229,6.91537,8.29844,9.68151,9.97269,10.2639,10.555,10.8462,11.1374,11.4286,11.7197,12.0109,12.3021,12.5932,12.8844,13.1756,13.4668,13.7579,14.0491,14.3403,14.6315,14.9226,15.2138,1.38307,2.76615,4.14922,5.53229,6.91537,8.29844,9.68151,9.97269,10.2639,10.555,10.8462,11.1374,11.4286,11.7197,12.0109,12.3021,12.5932,12.8844,13.1756,13.4668,13.7579,14.0491,14.3403,14.6315,14.9226,15.2138,1.38307,2.76615,4.14922,5.53229,6.91537,8.29844,9.68151,9.97269,10.2639,10.555,10.8462,11.1374,11.4286,11.7197,12.0109,12.3021,12.5932,12.8844,13.1756,13.4668,13.7579,14.0491,14.3403,14.6315,14.9226,15.2138
0,0,-0.835177,-5.84624,-6.02207,-6.1979,-6.37372,-6.54955,-6.72538,-6.9012,-7.07703,-7.25286,-7.42868,-7.60451,-7.78034,-7.95616,-8.13199,-8.30782,-8.48364,-8.65947,-8.8353,-9.01112,-9.18695,-0.835177,-1.67035,-2.50553,-3.34071,-4.17589,-5.01106,-5.84624,-6.02207,-6.1979,-6.37372,-6.54955,-6.72538,-6.9012,-7.07703,-7.25286,-7.42868,-7.60451,-7.78034,-7.95616,-8.13199,-8.30782,-8.48364,-8.65947,-8.8353,-9.01112,-9.18695,-0.835177,-1.67035,-2.50553,-3.34071,-4.17589,-5.01106,-5.84624,-6.02207,-6.1979,-6.37372,-6.54955,-6.72538,-6.9012,-7.07703,-7.25286,-7.42868,-7.60451,-7.78034,-7.95616,-8.13199,-8.30782,-8.48364,-8.65947,-8.8353,-9.01112,-9.18695,-0.835177,-1.67035,-2.50553,-3.34071,-4.17589,-5.01106,-5.84624,-6.02207,-6.1979,-6.37372,-6.54955,-6.72538,-6.9012,-7.07703,-7.25286,-7.42868,-7.60451,-7.78034,-7.95616,-8.13199,-8.30782,-8.48364,-8.65947,-8.8353,-9.01112,-9.18695,-0.835177,-1.67035,-2.50553,-3.34071,-4.17589,-5.01106,-5.84624,-6.02207,-6.1979,-6.37372,-6.54955,-6.72538,-6.9012,-7.07703,-7.25286,-7.42868,-7.60451,-7.78034,-7.95616,-8.13199,-8.30782,-8.48364,-8.65947,-8.8353,-9.01112,-9.18695,-0.835177,-1.67035,-2.50553,-3.34071,-4.17589,-5.01106,-5.84624,-6.02207,-6.1979,-6.37372,-6.54955,-6.72538,-6.9012,-7.07703,-7.25286,-7.42868,-7.60451,-7.78034,-7.95616,-8.13199,-8.30782,-8.48364,-8.65947,-8.8353,-9.01112,-9.18695,-0.835177,-1.67035,-2.50553,-3.34071,-4.17589,-5.01106,-5.84624,-6.02207,-6.1979,-6.37372,-6.54955,-6.72538,-6.9012,-7.07703,-7.25286,-7.42868,-7.60451,-7.78034,-7.95616,-8.13199,-8.30782,-8.48364,-8.65947,-8.8353,-9.01112,-9.18695
0,0,-0.974031,-6.81822,-7.02328,-7.22833,-7.43339,-7.63845,-7.84351,-8.04857,-8.25363,-8.45869,-8.66375,-8.86881,-9.07387,-9.27893,-9.48399,-9.68904,-9.8941,-10.0992,-10.3042,-10.5093,-10.7143,-0.974031,-1.94806,-2.92209,-3.89612,-4.87015,-5.84419,-6.81822,-7.02328,-7.22833,-7.43339,-7.63845,-7.84351,-8.04857,-8.25363,-8.45869,-8.66375,-8.86881,-9.07387,-9.27893,-9.48399,-9.68904,-9.8941,-10.0992,-10.3042,-10.5093,-10.7143,-0.974031,-1.94806,-2.92209,-3.89612,-4.87015,-5.84419,-6.81822,-7.02328,-7.22833,-7.43339,-7.63845,-7.84351,-8.04857,-8.25363,-8.45869,-8.66375,-8.86881,-9.07387,-9.27893,-9.48399,-9.68904,-9.8941,-10.0992,-10.3042,-10.5093,-10.7143,-0.974031,-1.94806,-2.92209,-3.89612,-4.87015,-5.84419,-6.81822,-7.02328,-7.22833,-7.43339,-7.63845,-7.84351,-8.04857,-8.25363,-8.45869,-8.66375,-8.86881,-9.07387,-9.27893,-9.48399,-9.68904,-9.8941,-10.0992,-10.3042,-10.5093,-10.7143,-0.974031,-1.94806,-2.92209,-3.89612,-4.87015,-5.84419,-6.81822,-7.02328,-7.22833,-7.43339,-7.63845,-7.84351,-8.04857,-8.25363,-8.45869,-8.66375,-8.86881,-9.07387,-9.27893,-9.48399,-9.68904,-9.8941,-10.0992,-10.3042,-10.5093,-10.7143,-0.974031,-1.94806,-2.92209,-3.89612,-4.87015,-5.84419,-6.81822,-7.02328,-7.22833,-7.43339,-7.63845,-7.84351,-8.04857,-8.25363,-8.45869,-8.66375,-8.86881,-9.07387,-9.27893,-9.48399,-9.68904,-9.8941,-10.0992,-10.3042,-10.5093,-10.7143,-0.974031,-1.94806,-2.92209,-3.89612,-4.87015,-5.84419,-6.81822,-7.02328,-7.22833,-7.43339,-7.63845,-7.84351,-8.04857,-8.25363,-8.45869,-8.66375,-8.86881,-9.07387,-9.27893,-9.48399,-9.68904,-9.8941,-10.0992,-10.3042,-10.5093,-10.7143
0,0,1.50399,10.5279,10.8445,11.1612,11.4778,11.7944,12.1111,12.4277,12.7443,13.061,13.3776,13.6942,14.0108,14.3275,14.6441,14.9607,15.2774,15.594,15.9106,16.2272,16.5439,1.50399,3.00798,4.51197,6.01595,7.51994,9.02393,10.5279,10.8445,11.1612,11.4778,11.7944,12.1111,12.4277,12.7443,13.061,13.3776,13.6942,14.0108,14.3275,14.6441,14.9607,15.2774,15.594,15.9106,16.2272,16.5439,1.50399,3.00798,4.51197,6.01595,7.51994,9.02393,10.5279,10.8445,11.1612,11.4778,11.7944,12.1111,12.4277,12.7443,13.061,13.3776,13.6942,14.0108,14.3275,14.6441,14.9607,15.2774,15.594,15.9106,16.2272,16.5439,1.50399,3.00798,4.51197,6.01595,7.51994,9.02393,10.5279,10.8445,11.1612,11.4778,11.7944,12.1111,12.4277,12.7443,13.061,13.3776,13.6942,14.0108,14.3275,14.6441,14.9607,15.2774,15.594,15.9106,16.2272,16.5439,1.50399,3.00798,4.51197,6.01595,7.51994,9.02393,10.5279,10.8445,11.1612,11.4778,11.7944,12.1111,12.4277,12.7443,13.061,13.3776,13.6942,14.0108,14.3275,14.6441,14.9607,15.2774,15.594,15.9106,16.2272,16.5439,1.50399,3.00798,4.51197,6.01595,7.51994,9.02393,10.5279,10.8445,11.1612,11.4778,11.7944,12.1111,12.4277,12.7443,13.061,13.3776,13.6942,14.0108,14.3275,14.6441,14.9607,15.2774,15.594,15.9106,16.2272,16.5439,1.50399,3.00798,4.51197,6.01595,7.51994,9.02393,10.5279,10.8445,11.1612,11.4778,11.7944,12.1111,12.4277,12.7443,13.061,13.3776,13.6942,14.0108,14.3275,14.6441,14.9607,15.2774,15.594,15.9106,16.2272,16.5439
0,0,-0.592223,-4.14556,-4.27024,-4.39492,-4.5196,-4.64428,-4.76895,-4.89363,-5.01831,-5.14299,-5.26767,-5.39235,-5.51703,-5.6417,-5.76638,-5.89106,-6.01574,-6.14042,-6.2651,-6.38978,-6.51445,-0.592223,-1.18445,-1.77667,-2.36889,-2.96112,-3.55334,-4.14556,-4.27024,-4.39492,-4.5196,-4.64428,-4.76895,-4.89363,-5.01831,-5.14299,-5.26767,-5.39235,-5.51703,-5.6417,-5.76638,-5.89106,-6.01574,-6.14042,-6.2651,-6.38978,-6.51445,-0.592223,-1.18445,-1.77667,-2.36889,-2.96112,-3.55334,-4.14556,-4.27024,-4.39492,-4.5196,-4.64428,-4.76895,-4.89363,-5.01831,-5.14299,-5.26767,-5.39235,-5.51703,-5.6417,-5.76638,-5.89106,-6.01574,-6.14042,-6.2651,-6.38978,-6.51445,-0.592223,-1.18445,-1.77667,-2.36889,-2.96112,-3.55334,-4.14556,-4.27024,-4.39492,-4.5196,-4.64428,-4.76895,-4.89363,-5.01831,-5.14299,-5.26767,-5.39235,-5.51703,-5.6417,-5.76638,-5.89106,-6.01574,-6.14042,-6.2651,-6.38978,-6.51445,-0.592223,-1.18445,-1.77667,-2.36889,-2.96112,-3.55334,-4.14556,-4.27024,-4.39492,-4.5196,-4.64428,-4.76895,-4.89363,-5.01831,-5.14299,-5.26767,-5.39235,-5.51703,-5.6417,-5.76638,-5.89106,-6.01574,-6.14042,-6.2651,-6.38978,-6.51445,-0.592223,-1.18445,-1.77667,-2.36889,-2.96112,-3.55334,-4.14556,-4.27024,-4.39492,-4.5196,-4.64428,-4.76895,-4.89363,-5.01831,-5.14299,-5.26767,-5.39235,-5.51703,-5.6417,-5.76638,-5.89106,-6.01574,-6.14042,-6.2651,-6.38978,-6.51445,-0.592223,-1.18445,-1.77667,-2.36889,-2.96112,-3.55334,-4.14556,-4.27024,-4.39492,-4.5196,-4.64428,-4.76895,-4.89363,-5.01831,-5.14299,-5.26767,-5.39235,-5.51703,-5.6417,-5.76638,-5.89106,-6.01574,-6.14042,-6.2651,-6.38978,-6.51445
