# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = one_row_model
# start_datetime = 2023-11-18 15:07:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 3928133195 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_edges_data/../../data/one_row/one_row_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,z.1.1,z.2.1,z.3.1,z.4.1,z.1.2,z.2.2,z.3.2,z.4.2,z.1.3,z.2.3,z.3.3,z.4.3
# Adaptation terminated
# Step size = 0.866077
# Diagonal elements of inverse mass matrix:
# 0.611995
-7.60386,0.867052,0.866077,2,3,0,7.65726,0.11401,1,2,3,4,1,2,3,4,1,2,3,4
-7.51353,1,0.866077,1,1,0,7.70114,0.119849,1,2,3,4,1,2,3,4,1,2,3,4
-9.42236,0.803879,0.866077,1,3,0,9.58813,0.0505274,1,2,3,4,1,2,3,4,1,2,3,4
-6.80092,0.935866,0.866077,2,7,0,8.81317,0.292048,1,2,3,4,1,2,3,4,1,2,3,4
-6.75263,1,0.866077,1,3,0,6.78906,0.262127,1,2,3,4,1,2,3,4,1,2,3,4
-6.89727,0.967226,0.866077,1,3,0,6.90651,0.322047,1,2,3,4,1,2,3,4,1,2,3,4
-7.1441,0.926462,0.866077,1,1,0,7.15917,0.370489,1,2,3,4,1,2,3,4,1,2,3,4
-6.95918,0.745849,0.866077,2,3,0,8.48414,0.33643,1,2,3,4,1,2,3,4,1,2,3,4
-6.85019,1,0.866077,2,3,0,6.94042,0.309124,1,2,3,4,1,2,3,4,1,2,3,4
-6.75645,1,0.866077,2,3,0,6.83638,0.234008,1,2,3,4,1,2,3,4,1,2,3,4
-6.96041,0.956824,0.866077,1,3,0,6.98771,0.174975,1,2,3,4,1,2,3,4,1,2,3,4
-6.96988,0.976444,0.866077,2,3,0,7.27521,0.173477,1,2,3,4,1,2,3,4,1,2,3,4
-7.82369,0.938264,0.866077,2,3,0,7.86292,0.454858,1,2,3,4,1,2,3,4,1,2,3,4
-7.88087,0.993548,0.866077,2,3,0,8.21878,0.460553,1,2,3,4,1,2,3,4,1,2,3,4
-8.05705,0.941379,0.866077,1,1,0,8.39723,0.477253,1,2,3,4,1,2,3,4,1,2,3,4
-8.05705,0.210013,0.866077,1,1,0,11.2886,0.477253,1,2,3,4,1,2,3,4,1,2,3,4
-7.42113,1,0.866077,1,1,0,7.97643,0.409703,1,2,3,4,1,2,3,4,1,2,3,4
-7.90772,0.949458,0.866077,2,3,0,8.05644,0.463177,1,2,3,4,1,2,3,4,1,2,3,4
-7.05235,1,0.866077,1,1,0,7.64735,0.354798,1,2,3,4,1,2,3,4,1,2,3,4
-7.05235,0.809537,0.866077,1,1,0,7.51731,0.354798,1,2,3,4,1,2,3,4,1,2,3,4
-8.31836,0.549023,0.866077,1,3,0,10.3701,0.0803352,1,2,3,4,1,2,3,4,1,2,3,4
-8.26841,1,0.866077,1,1,0,8.52663,0.0821766,1,2,3,4,1,2,3,4,1,2,3,4
-7.6225,1,0.866077,1,1,0,8.20142,0.112866,1,2,3,4,1,2,3,4,1,2,3,4
-7.01272,0.980412,0.866077,1,3,0,7.52235,0.167148,1,2,3,4,1,2,3,4,1,2,3,4
-7.00319,1,0.866077,1,1,0,7.0629,0.168498,1,2,3,4,1,2,3,4,1,2,3,4
-6.91584,1,0.866077,1,1,0,7.00322,0.182632,1,2,3,4,1,2,3,4,1,2,3,4
-7.0257,0.978377,0.866077,1,1,0,7.03957,0.165358,1,2,3,4,1,2,3,4,1,2,3,4
-7.30899,0.950607,0.866077,1,1,0,7.31596,0.135313,1,2,3,4,1,2,3,4,1,2,3,4
-6.83688,0.992871,0.866077,1,3,0,7.2368,0.199927,1,2,3,4,1,2,3,4,1,2,3,4
-7.4499,0.901272,0.866077,1,3,0,7.50235,0.124289,1,2,3,4,1,2,3,4,1,2,3,4
-7.15273,1,0.866077,1,1,0,7.41849,0.150138,1,2,3,4,1,2,3,4,1,2,3,4
-6.75397,1,0.866077,1,3,0,7.14457,0.236539,1,2,3,4,1,2,3,4,1,2,3,4
