# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = one_row_model
# start_datetime = 2023-11-18 18:04:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 3938723752 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_edge_data/../../data/one_row/one_row_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,z.1.1,z.2.1,z.3.1,z.4.1,z.1.2,z.2.2,z.3.2,z.4.2,z.1.3,z.2.3,z.3.3,z.4.3
# Adaptation terminated
# Step size = 0.939242
# Diagonal elements of inverse mass matrix:
# 0.438084
-6.77093,0.992206,0.939242,1,3,0,7.14037,0.223902,1,2,3,4,1,2,3,4,1,2,3,4
-6.84036,0.928648,0.939242,2,3,0,7.30506,0.199011,1,2,3,4,1,2,3,4,1,2,3,4
-7.92321,0.877077,0.939242,2,3,0,8.01939,0.0967248,1,2,3,4,1,2,3,4,1,2,3,4
-7.00805,0.970953,0.939242,1,3,0,7.8854,0.167806,1,2,3,4,1,2,3,4,1,2,3,4
-6.91669,0.950432,0.939242,1,3,0,7.55156,0.326813,1,2,3,4,1,2,3,4,1,2,3,4
-6.74967,0.994027,0.939242,1,3,0,6.95441,0.24288,1,2,3,4,1,2,3,4,1,2,3,4
-6.90175,0.963598,0.939242,1,3,0,6.96904,0.323171,1,2,3,4,1,2,3,4,1,2,3,4
-6.74976,0.994172,0.939242,1,3,0,6.9384,0.242676,1,2,3,4,1,2,3,4,1,2,3,4
-6.82052,0.985323,0.939242,1,3,0,6.83754,0.204532,1,2,3,4,1,2,3,4,1,2,3,4
-6.84733,0.995015,0.939242,1,1,0,6.85498,0.197232,1,2,3,4,1,2,3,4,1,2,3,4
-7.19562,0.969297,0.939242,2,7,0,7.19656,0.378565,1,2,3,4,1,2,3,4,1,2,3,4
-8.09766,0.58079,0.939242,2,3,0,10.2111,0.48094,1,2,3,4,1,2,3,4,1,2,3,4
-7.53291,1,0.939242,1,1,0,8.05429,0.423299,1,2,3,4,1,2,3,4,1,2,3,4
-8.70186,0.546058,0.939242,3,7,0,10.8068,0.067904,1,2,3,4,1,2,3,4,1,2,3,4
-8.34234,1,0.939242,1,1,0,8.75566,0.0794712,1,2,3,4,1,2,3,4,1,2,3,4
-8.52509,0.985135,0.939242,1,1,0,8.65929,0.0732878,1,2,3,4,1,2,3,4,1,2,3,4
-7.92455,1,0.939242,2,3,0,8.48458,0.0966609,1,2,3,4,1,2,3,4,1,2,3,4
-7.38182,1,0.939242,1,1,0,7.86039,0.12939,1,2,3,4,1,2,3,4,1,2,3,4
-7.16043,1,0.939242,1,1,0,7.36732,0.149323,1,2,3,4,1,2,3,4,1,2,3,4
-6.88819,0.991957,0.939242,2,3,0,7.28355,0.188009,1,2,3,4,1,2,3,4,1,2,3,4
-7.76442,0.943723,0.939242,2,3,0,7.77331,0.448796,1,2,3,4,1,2,3,4,1,2,3,4
-7.29181,1,0.939242,1,1,0,7.69982,0.392573,1,2,3,4,1,2,3,4,1,2,3,4
-6.97814,0.884762,0.939242,2,3,0,8.13156,0.34043,1,2,3,4,1,2,3,4,1,2,3,4
-6.75869,1,0.939242,1,3,0,6.9491,0.268546,1,2,3,4,1,2,3,4,1,2,3,4
-6.90642,0.951774,0.939242,1,3,0,7.04962,0.184401,1,2,3,4,1,2,3,4,1,2,3,4
-6.86712,0.966365,0.939242,1,3,0,7.26853,0.314039,1,2,3,4,1,2,3,4,1,2,3,4
-6.86712,0.526596,0.939242,1,3,0,9.71818,0.314039,1,2,3,4,1,2,3,4,1,2,3,4
