# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = one_row_model
# start_datetime = 2023-11-18 15:07:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 3928133195 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_edges_data/../../data/one_row/one_row_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,z.1.1,z.2.1,z.3.1,z.4.1,z.1.2,z.2.2,z.3.2,z.4.2,z.1.3,z.2.3,z.3.3,z.4.3
# Adaptation terminated
# Step size = 0.856707
# Diagonal elements of inverse mass matrix:
# 0.493285
-6.75133,0.989213,0.856707,1,3,0,7.04516,0.239928,1,2,3,4,1,2,3,4,1,2,3,4
-6.92191,0.926562,0.856707,2,3,0,7.28235,0.181523,1,2,3,4,1,2,3,4,1,2,3,4
-6.85024,1,0.856707,2,3,0,6.91349,0.196509,1,2,3,4,1,2,3,4,1,2,3,4
-6.98776,0.977493,0.856707,1,1,0,6.98776,0.170752,1,2,3,4,1,2,3,4,1,2,3,4
-6.93816,0.989111,0.856707,2,3,0,7.17362,0.178662,1,2,3,4,1,2,3,4,1,2,3,4
-6.84347,1,0.856707,1,1,0,6.92329,0.198209,1,2,3,4,1,2,3,4,1,2,3,4
-6.7559,0.998358,0.856707,1,3,0,6.841,0.234536,1,2,3,4,1,2,3,4,1,2,3,4
-6.94047,0.9189,0.856707,2,3,0,7.35507,0.178268,1,2,3,4,1,2,3,4,1,2,3,4
-6.8204,0.940051,0.856707,2,3,0,7.55168,0.204565,1,2,3,4,1,2,3,4,1,2,3,4
-6.74866,0.99634,0.856707,1,3,0,6.85194,0.254495,1,2,3,4,1,2,3,4,1,2,3,4
-6.98818,0.969131,0.856707,2,3,0,7.03325,0.342486,1,2,3,4,1,2,3,4,1,2,3,4
-6.75079,0.99744,0.856707,1,3,0,6.99133,0.259379,1,2,3,4,1,2,3,4,1,2,3,4
-6.94427,0.946358,0.856707,1,3,0,7.09114,0.177625,1,2,3,4,1,2,3,4,1,2,3,4
