# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = oned_sample_model
# start_datetime = 2023-11-21 14:19:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4184457446 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_edge_data/../../data/oned_sample/oned_sample_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,base,A.1.1.1,A.2.1.1,A.1.1.2,A.2.1.2,A.1.1.3,A.2.1.3,dummy.1.1.1,dummy_tuple.1:1,dummy_tuple.1:2.1
0,0,-1.7337,-1.7337,-5.2011,-1.7337,-6.9348,-3.4674,-8.6685,-17.337,-19.0707,-20.8044
0,0,-0.971539,-0.971539,-2.91462,-0.971539,-3.88616,-1.94308,-4.8577,-9.71539,-10.6869,-11.6585
0,0,2.07189,2.07189,6.21567,2.07189,8.28757,4.14378,10.3595,20.7189,22.7908,24.8627
0,0,0.753838,0.753838,2.26151,0.753838,3.01535,1.50768,3.76919,7.53838,8.29222,9.04606
0,0,2.30619,2.30619,6.91856,2.30619,9.22475,4.61238,11.5309,23.0619,25.3681,27.6743
0,0,-0.567314,-0.567314,-1.70194,-0.567314,-2.26926,-1.13463,-2.83657,-5.67314,-6.24046,-6.80777
0,0,0.160275,0.160275,0.480826,0.160275,0.641101,0.32055,0.801376,1.60275,1.76303,1.9233
0,0,-0.0259178,-0.0259178,-0.0777534,-0.0259178,-0.103671,-0.0518356,-0.129589,-0.259178,-0.285096,-0.311013
0,0,-0.454902,-0.454902,-1.36471,-0.454902,-1.81961,-0.909804,-2.27451,-4.54902,-5.00392,-5.45882
0,0,-0.90856,-0.90856,-2.72568,-0.90856,-3.63424,-1.81712,-4.5428,-9.0856,-9.99416,-10.9027
0,0,-0.242189,-0.242189,-0.726567,-0.242189,-0.968755,-0.484378,-1.21094,-2.42189,-2.66408,-2.90627
0,0,0.698957,0.698957,2.09687,0.698957,2.79583,1.39791,3.49478,6.98957,7.68853,8.38748
0,0,-0.400321,-0.400321,-1.20096,-0.400321,-1.60128,-0.800642,-2.0016,-4.00321,-4.40353,-4.80385
0,0,-0.116864,-0.116864,-0.350591,-0.116864,-0.467455,-0.233728,-0.584319,-1.16864,-1.2855,-1.40237
0,0,0.532086,0.532086,1.59626,0.532086,2.12834,1.06417,2.66043,5.32086,5.85295,6.38503
0,0,2.40238,2.40238,7.20714,2.40238,9.60952,4.80476,12.0119,24.0238,26.4262,28.8286
0,0,0.797406,0.797406,2.39222,0.797406,3.18962,1.59481,3.98703,7.97406,8.77146,9.56887
0,0,-0.173444,-0.173444,-0.520331,-0.173444,-0.693774,-0.346887,-0.867218,-1.73444,-1.90788,-2.08132
0,0,-0.29229,-0.29229,-0.876871,-0.29229,-1.16916,-0.58458,-1.46145,-2.9229,-3.21519,-3.50748
0,0,-0.814706,-0.814706,-2.44412,-0.814706,-3.25882,-1.62941,-4.07353,-8.14706,-8.96176,-9.77647
0,0,1.72773,1.72773,5.18319,1.72773,6.91092,3.45546,8.63865,17.2773,19.005,20.7328
0,0,2.40477,2.40477,7.21432,2.40477,9.61909,4.80954,12.0239,24.0477,26.4525,28.8573
0,0,-0.308578,-0.308578,-0.925733,-0.308578,-1.23431,-0.617155,-1.54289,-3.08578,-3.39435,-3.70293
0,0,-1.04553,-1.04553,-3.1366,-1.04553,-4.18214,-2.09107,-5.22767,-10.4553,-11.5009,-12.5464
0,0,-0.9938,-0.9938,-2.9814,-0.9938,-3.9752,-1.9876,-4.969,-9.938,-10.9318,-11.9256
0,0,1.55646,1.55646,4.66938,1.55646,6.22584,3.11292,7.7823,15.5646,17.1211,18.6775
0,0,-1.65772,-1.65772,-4.97317,-1.65772,-6.63089,-3.31544,-8.28861,-16.5772,-18.2349,-19.8927
0,0,-0.0608798,-0.0608798,-0.182639,-0.0608798,-0.243519,-0.12176,-0.304399,-0.608798,-0.669677,-0.730557
0,0,0.17549,0.17549,0.52647,0.17549,0.70196,0.35098,0.877449,1.7549,1.93039,2.10588
0,0,0.583554,0.583554,1.75066,0.583554,2.33422,1.16711,2.91777,5.83554,6.4191,7.00265
0,0,2.03799,2.03799,6.11398,2.03799,8.15197,4.07598,10.19,20.3799,22.4179,24.4559
0,0,-0.678118,-0.678118,-2.03435,-0.678118,-2.71247,-1.35624,-3.39059,-6.78118,-7.4593,-8.13742
0,0,1.0351,1.0351,3.10529,1.0351,4.14039,2.07019,5.17548,10.351,11.3861,12.4212
0,0,-0.241092,-0.241092,-0.723275,-0.241092,-0.964366,-0.482183,-1.20546,-2.41092,-2.65201,-2.8931
0,0,-0.175693,-0.175693,-0.527078,-0.175693,-0.702771,-0.351385,-0.878463,-1.75693,-1.93262,-2.10831
0,0,0.697358,0.697358,2.09207,0.697358,2.78943,1.39472,3.48679,6.97358,7.67094,8.36829
0,0,-0.883923,-0.883923,-2.65177,-0.883923,-3.53569,-1.76785,-4.41961,-8.83923,-9.72315,-10.6071
0,0,0.046858,0.046858,0.140574,0.046858,0.187432,0.093716,0.23429,0.46858,0.515438,0.562296
0,0,-0.525242,-0.525242,-1.57573,-0.525242,-2.10097,-1.05048,-2.62621,-5.25242,-5.77766,-6.3029
0,0,0.0142348,0.0142348,0.0427045,0.0142348,0.0569393,0.0284697,0.0711741,0.142348,0.156583,0.170818
0,0,-0.0505758,-0.0505758,-0.151727,-0.0505758,-0.202303,-0.101152,-0.252879,-0.505758,-0.556334,-0.60691
0,0,0.39559,0.39559,1.18677,0.39559,1.58236,0.791181,1.97795,3.9559,4.35149,4.74708
0,0,-0.00566835,-0.00566835,-0.017005,-0.00566835,-0.0226734,-0.0113367,-0.0283417,-0.0566835,-0.0623518,-0.0680202
0,0,-0.93975,-0.93975,-2.81925,-0.93975,-3.759,-1.8795,-4.69875,-9.3975,-10.3373,-11.277
0,0,-0.504977,-0.504977,-1.51493,-0.504977,-2.01991,-1.00995,-2.52488,-5.04977,-5.55474,-6.05972
0,0,-1.24473,-1.24473,-3.7342,-1.24473,-4.97893,-2.48946,-6.22366,-12.4473,-13.692,-14.9368
0,0,-1.50492,-1.50492,-4.51476,-1.50492,-6.01968,-3.00984,-7.5246,-15.0492,-16.5541,-18.059
0,0,1.56296,1.56296,4.68888,1.56296,6.25184,3.12592,7.8148,15.6296,17.1926,18.7555
0,0,-0.417455,-0.417455,-1.25237,-0.417455,-1.66982,-0.83491,-2.08728,-4.17455,-4.59201,-5.00946
0,0,0.800677,0.800677,2.40203,0.800677,3.20271,1.60135,4.00339,8.00677,8.80745,9.60813
0,0,1.65303,1.65303,4.9591,1.65303,6.61213,3.30607,8.26517,16.5303,18.1834,19.8364
0,0,-1.37693,-1.37693,-4.1308,-1.37693,-5.50774,-2.75387,-6.88467,-13.7693,-15.1463,-16.5232
0,0,0.897977,0.897977,2.69393,0.897977,3.59191,1.79595,4.48989,8.97977,9.87775,10.7757
0,0,-2.23402,-2.23402,-6.70205,-2.23402,-8.93606,-4.46803,-11.1701,-22.3402,-24.5742,-26.8082
0,0,-2.26656,-2.26656,-6.79968,-2.26656,-9.06624,-4.53312,-11.3328,-22.6656,-24.9322,-27.1987
