# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = oned_sample_model
# start_datetime = 2023-11-19 02:36:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 3969443960 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_edge_data/../../data/oned_sample/oned_sample_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,base,A.1.1.1,A.2.1.1,A.1.1.2,A.2.1.2,A.1.1.3,A.2.1.3,dummy.1.1.1,dummy_tuple.1:1,dummy_tuple.1:2.1
0,0,-0.0430453,-0.0430453,-0.129136,-0.0430453,-0.172181,-0.0860906,-0.215227,-0.430453,-0.473498,-0.516544
0,0,-0.0177479,-0.0177479,-0.0532437,-0.0177479,-0.0709916,-0.0354958,-0.0887396,-0.177479,-0.195227,-0.212975
0,0,-0.0864434,-0.0864434,-0.25933,-0.0864434,-0.345774,-0.172887,-0.432217,-0.864434,-0.950877,-1.03732
0,0,-1.41292,-1.41292,-4.23876,-1.41292,-5.65168,-2.82584,-7.0646,-14.1292,-15.5421,-16.955
0,0,0.55525,0.55525,1.66575,0.55525,2.221,1.1105,2.77625,5.5525,6.10775,6.663
0,0,-0.249768,-0.249768,-0.749305,-0.249768,-0.999073,-0.499537,-1.24884,-2.49768,-2.74745,-2.99722
0,0,0.33505,0.33505,1.00515,0.33505,1.3402,0.670101,1.67525,3.3505,3.68555,4.0206
0,0,0.436693,0.436693,1.31008,0.436693,1.74677,0.873387,2.18347,4.36693,4.80363,5.24032
0,0,1.15377,1.15377,3.4613,1.15377,4.61507,2.30753,5.76883,11.5377,12.6914,13.8452
0,0,0.722406,0.722406,2.16722,0.722406,2.88962,1.44481,3.61203,7.22406,7.94646,8.66887
0,0,-0.236672,-0.236672,-0.710015,-0.236672,-0.946687,-0.473343,-1.18336,-2.36672,-2.60339,-2.84006
0,0,1.22742,1.22742,3.68225,1.22742,4.90966,2.45483,6.13708,12.2742,13.5016,14.729
0,0,1.71231,1.71231,5.13692,1.71231,6.84922,3.42461,8.56153,17.1231,18.8354,20.5477
0,0,0.882134,0.882134,2.6464,0.882134,3.52853,1.76427,4.41067,8.82134,9.70347,10.5856
0,0,1.24937,1.24937,3.7481,1.24937,4.99747,2.49873,6.24684,12.4937,13.743,14.9924
0,0,-1.02125,-1.02125,-3.06374,-1.02125,-4.08498,-2.04249,-5.10623,-10.2125,-11.2337,-12.2549
0,0,-0.32075,-0.32075,-0.96225,-0.32075,-1.283,-0.6415,-1.60375,-3.2075,-3.52825,-3.849
0,0,2.00136,2.00136,6.00407,2.00136,8.00542,4.00271,10.0068,20.0136,22.0149,24.0163
0,0,-0.999479,-0.999479,-2.99844,-0.999479,-3.99792,-1.99896,-4.9974,-9.99479,-10.9943,-11.9938
0,0,-0.659269,-0.659269,-1.97781,-0.659269,-2.63708,-1.31854,-3.29635,-6.59269,-7.25196,-7.91123
0,0,0.350785,0.350785,1.05235,0.350785,1.40314,0.701569,1.75392,3.50785,3.85863,4.20941
0,0,-0.500362,-0.500362,-1.50109,-0.500362,-2.00145,-1.00072,-2.50181,-5.00362,-5.50398,-6.00434
0,0,1.03663,1.03663,3.10988,1.03663,4.14651,2.07326,5.18314,10.3663,11.4029,12.4395
0,0,0.30443,0.30443,0.913289,0.30443,1.21772,0.608859,1.52215,3.0443,3.34873,3.65315
0,0,-0.118601,-0.118601,-0.355802,-0.118601,-0.474403,-0.237202,-0.593004,-1.18601,-1.30461,-1.42321
0,0,1.53078,1.53078,4.59234,1.53078,6.12312,3.06156,7.6539,15.3078,16.8386,18.3694
0,0,-1.5225,-1.5225,-4.5675,-1.5225,-6.09,-3.045,-7.6125,-15.225,-16.7475,-18.27
0,0,1.64273,1.64273,4.92818,1.64273,6.57091,3.28546,8.21364,16.4273,18.07,19.7127
0,0,1.91984,1.91984,5.75951,1.91984,7.67934,3.83967,9.59918,19.1984,21.1182,23.038
0,0,-0.582317,-0.582317,-1.74695,-0.582317,-2.32927,-1.16463,-2.91159,-5.82317,-6.40549,-6.9878
0,0,-0.165591,-0.165591,-0.496774,-0.165591,-0.662365,-0.331182,-0.827956,-1.65591,-1.8215,-1.98709
0,0,0.827227,0.827227,2.48168,0.827227,3.30891,1.65445,4.13614,8.27227,9.0995,9.92673
0,0,1.50995,1.50995,4.52986,1.50995,6.03981,3.01991,7.54976,15.0995,16.6095,18.1194
0,0,-0.42329,-0.42329,-1.26987,-0.42329,-1.69316,-0.846581,-2.11645,-4.2329,-4.65619,-5.07948
0,0,-0.75082,-0.75082,-2.25246,-0.75082,-3.00328,-1.50164,-3.7541,-7.5082,-8.25902,-9.00983
0,0,1.14406,1.14406,3.43217,1.14406,4.57623,2.28811,5.72028,11.4406,12.5846,13.7287
0,0,-0.300151,-0.300151,-0.900454,-0.300151,-1.20061,-0.600303,-1.50076,-3.00151,-3.30167,-3.60182
0,0,-0.319913,-0.319913,-0.959739,-0.319913,-1.27965,-0.639826,-1.59956,-3.19913,-3.51904,-3.83896
0,0,1.02697,1.02697,3.0809,1.02697,4.10786,2.05393,5.13483,10.2697,11.2966,12.3236
0,0,-1.45518,-1.45518,-4.36554,-1.45518,-5.82072,-2.91036,-7.2759,-14.5518,-16.007,-17.4622
0,0,0.737563,0.737563,2.21269,0.737563,2.95025,1.47513,3.68782,7.37563,8.1132,8.85076
0,0,-0.845741,-0.845741,-2.53722,-0.845741,-3.38296,-1.69148,-4.2287,-8.45741,-9.30315,-10.1489
0,0,-1.62693,-1.62693,-4.88079,-1.62693,-6.50773,-3.25386,-8.13466,-16.2693,-17.8962,-19.5232
0,0,0.0329523,0.0329523,0.0988568,0.0329523,0.131809,0.0659045,0.164761,0.329523,0.362475,0.395427
0,0,0.491392,0.491392,1.47418,0.491392,1.96557,0.982785,2.45696,4.91392,5.40532,5.89671
0,0,0.625719,0.625719,1.87716,0.625719,2.50288,1.25144,3.1286,6.25719,6.88291,7.50863
0,0,0.447057,0.447057,1.34117,0.447057,1.78823,0.894113,2.23528,4.47057,4.91762,5.36468
0,0,-0.320234,-0.320234,-0.960702,-0.320234,-1.28094,-0.640468,-1.60117,-3.20234,-3.52257,-3.84281
0,0,1.45573,1.45573,4.3672,1.45573,5.82294,2.91147,7.27867,14.5573,16.0131,17.4688
0,0,-0.760685,-0.760685,-2.28206,-0.760685,-3.04274,-1.52137,-3.80343,-7.60685,-8.36754,-9.12823
0,0,-0.406373,-0.406373,-1.21912,-0.406373,-1.62549,-0.812746,-2.03187,-4.06373,-4.4701,-4.87648
0,0,-0.712316,-0.712316,-2.13695,-0.712316,-2.84926,-1.42463,-3.56158,-7.12316,-7.83547,-8.54779
0,0,0.172136,0.172136,0.516408,0.172136,0.688543,0.344272,0.860679,1.72136,1.89349,2.06563
0,0,-0.00776495,-0.00776495,-0.0232948,-0.00776495,-0.0310598,-0.0155299,-0.0388247,-0.0776495,-0.0854144,-0.0931793
0,0,-1.96528,-1.96528,-5.89585,-1.96528,-7.86113,-3.93056,-9.82641,-19.6528,-21.6181,-23.5834
0,0,-1.054,-1.054,-3.16199,-1.054,-4.21599,-2.10799,-5.26999,-10.54,-11.594,-12.648
0,0,0.48396,0.48396,1.45188,0.48396,1.93584,0.96792,2.4198,4.8396,5.32356,5.80752
0,0,-0.263821,-0.263821,-0.791462,-0.263821,-1.05528,-0.527641,-1.3191,-2.63821,-2.90203,-3.16585
0,0,2.04831,2.04831,6.14494,2.04831,8.19326,4.09663,10.2416,20.4831,22.5315,24.5798
0,0,-0.847725,-0.847725,-2.54317,-0.847725,-3.3909,-1.69545,-4.23862,-8.47725,-9.32497,-10.1727
0,0,0.065812,0.065812,0.197436,0.065812,0.263248,0.131624,0.32906,0.65812,0.723932,0.789744
0,0,0.240667,0.240667,0.722,0.240667,0.962667,0.481334,1.20333,2.40667,2.64733,2.888
0,0,0.742224,0.742224,2.22667,0.742224,2.9689,1.48445,3.71112,7.42224,8.16447,8.90669
0,0,-0.638196,-0.638196,-1.91459,-0.638196,-2.55278,-1.27639,-3.19098,-6.38196,-7.02015,-7.65835
0,0,0.433675,0.433675,1.30103,0.433675,1.7347,0.867351,2.16838,4.33675,4.77043,5.2041
0,0,-0.495015,-0.495015,-1.48504,-0.495015,-1.98006,-0.99003,-2.47507,-4.95015,-5.44516,-5.94018
0,0,-1.2224,-1.2224,-3.6672,-1.2224,-4.8896,-2.4448,-6.112,-12.224,-13.4464,-14.6688
0,0,-1.39169,-1.39169,-4.17507,-1.39169,-5.56676,-2.78338,-6.95845,-13.9169,-15.3086,-16.7003
0,0,1.47552,1.47552,4.42655,1.47552,5.90207,2.95103,7.37758,14.7552,16.2307,17.7062
0,0,1.56327,1.56327,4.68982,1.56327,6.2531,3.12655,7.81637,15.6327,17.196,18.7593
0,0,1.278,1.278,3.83399,1.278,5.11199,2.55599,6.38999,12.78,14.058,15.336
0,0,0.373395,0.373395,1.12018,0.373395,1.49358,0.74679,1.86697,3.73395,4.10734,4.48074
0,0,-0.834804,-0.834804,-2.50441,-0.834804,-3.33921,-1.66961,-4.17402,-8.34804,-9.18284,-10.0176
0,0,-1.35924,-1.35924,-4.07772,-1.35924,-5.43697,-2.71848,-6.79621,-13.5924,-14.9517,-16.3109
0,0,1.04142,1.04142,3.12427,1.04142,4.16569,2.08284,5.20711,10.4142,11.4556,12.4971
0,0,0.350752,0.350752,1.05225,0.350752,1.40301,0.701503,1.75376,3.50752,3.85827,4.20902
0,0,0.227832,0.227832,0.683495,0.227832,0.911327,0.455663,1.13916,2.27832,2.50615,2.73398
0,0,1.39114,1.39114,4.17342,1.39114,5.56456,2.78228,6.9557,13.9114,15.3026,16.6937
0,0,-0.741404,-0.741404,-2.22421,-0.741404,-2.96562,-1.48281,-3.70702,-7.41404,-8.15544,-8.89685
0,0,-0.107185,-0.107185,-0.321556,-0.107185,-0.428742,-0.214371,-0.535927,-1.07185,-1.17904,-1.28623
0,0,-0.653998,-0.653998,-1.96199,-0.653998,-2.61599,-1.308,-3.26999,-6.53998,-7.19398,-7.84798
0,0,0.0257679,0.0257679,0.0773038,0.0257679,0.103072,0.0515359,0.12884,0.257679,0.283447,0.309215
0,0,-0.645911,-0.645911,-1.93773,-0.645911,-2.58365,-1.29182,-3.22956,-6.45911,-7.10503,-7.75094
0,0,-1.13364,-1.13364,-3.40093,-1.13364,-4.53457,-2.26728,-5.66821,-11.3364,-12.4701,-13.6037
0,0,0.679085,0.679085,2.03726,0.679085,2.71634,1.35817,3.39543,6.79085,7.46994,8.14902
0,0,-0.418108,-0.418108,-1.25432,-0.418108,-1.67243,-0.836215,-2.09054,-4.18108,-4.59918,-5.01729
0,0,-0.338133,-0.338133,-1.0144,-0.338133,-1.35253,-0.676267,-1.69067,-3.38133,-3.71947,-4.0576
