# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = oned_sample_model
# start_datetime = 2023-11-18 15:45:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 3930434896 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_edges_data/../../data/oned_sample/oned_sample_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,base,A.1.1.1,A.2.1.1,A.1.1.2,A.2.1.2,A.1.1.3,A.2.1.3,dummy.1.1.1,dummy_tuple.1:1,dummy_tuple.1:2.1
0,0,0.898861,0.898861,2.69658,0.898861,3.59545,1.79772,4.49431,8.98861,9.88748,10.7863
0,0,1.70872,1.70872,5.12615,1.70872,6.83486,3.41743,8.54358,17.0872,18.7959,20.5046
0,0,1.80834,1.80834,5.42503,1.80834,7.23338,3.61669,9.04172,18.0834,19.8918,21.7001
0,0,0.784427,0.784427,2.35328,0.784427,3.13771,1.56885,3.92213,7.84427,8.62869,9.41312
0,0,1.5281,1.5281,4.58431,1.5281,6.11241,3.0562,7.64051,15.281,16.8091,18.3372
0,0,2.5086,2.5086,7.5258,2.5086,10.0344,5.0172,12.543,25.086,27.5946,30.1032
0,0,0.777636,0.777636,2.33291,0.777636,3.11054,1.55527,3.88818,7.77636,8.554,9.33163
0,0,1.64708,1.64708,4.94125,1.64708,6.58834,3.29417,8.23542,16.4708,18.1179,19.765
0,0,1.07359,1.07359,3.22078,1.07359,4.29437,2.14718,5.36796,10.7359,11.8095,12.8831
0,0,0.831411,0.831411,2.49423,0.831411,3.32564,1.66282,4.15705,8.31411,9.14552,9.97693
0,0,1.0913,1.0913,3.27389,1.0913,4.36518,2.18259,5.45648,10.913,12.0042,13.0955
0,0,0.447209,0.447209,1.34163,0.447209,1.78884,0.894418,2.23604,4.47209,4.9193,5.36651
0,0,-1.7809,-1.7809,-5.34271,-1.7809,-7.12361,-3.5618,-8.90451,-17.809,-19.5899,-21.3708
0,0,0.134497,0.134497,0.403491,0.134497,0.537988,0.268994,0.672484,1.34497,1.47947,1.61396
0,0,-0.217025,-0.217025,-0.651076,-0.217025,-0.868101,-0.434051,-1.08513,-2.17025,-2.38728,-2.6043
0,0,1.16406,1.16406,3.49218,1.16406,4.65624,2.32812,5.8203,11.6406,12.8047,13.9687
0,0,-0.997849,-0.997849,-2.99355,-0.997849,-3.9914,-1.9957,-4.98924,-9.97849,-10.9763,-11.9742
0,0,0.505433,0.505433,1.5163,0.505433,2.02173,1.01087,2.52717,5.05433,5.55976,6.0652
0,0,0.355375,0.355375,1.06613,0.355375,1.4215,0.710751,1.77688,3.55375,3.90913,4.2645
0,0,1.48592,1.48592,4.45775,1.48592,5.94367,2.97183,7.42959,14.8592,16.3451,17.831
0,0,0.306826,0.306826,0.920478,0.306826,1.2273,0.613652,1.53413,3.06826,3.37509,3.68191
0,0,1.47274,1.47274,4.41822,1.47274,5.89096,2.94548,7.3637,14.7274,16.2001,17.6729
0,0,-0.495477,-0.495477,-1.48643,-0.495477,-1.98191,-0.990954,-2.47738,-4.95477,-5.45024,-5.94572
0,0,-1.2756,-1.2756,-3.82679,-1.2756,-5.10239,-2.5512,-6.37799,-12.756,-14.0316,-15.3072
0,0,-0.590363,-0.590363,-1.77109,-0.590363,-2.36145,-1.18073,-2.95181,-5.90363,-6.49399,-7.08435
0,0,0.479837,0.479837,1.43951,0.479837,1.91935,0.959674,2.39918,4.79837,5.27821,5.75804
0,0,-0.364939,-0.364939,-1.09482,-0.364939,-1.45975,-0.729877,-1.82469,-3.64939,-4.01432,-4.37926
0,0,0.185121,0.185121,0.555364,0.185121,0.740485,0.370242,0.925606,1.85121,2.03633,2.22145
0,0,0.666278,0.666278,1.99883,0.666278,2.66511,1.33256,3.33139,6.66278,7.32906,7.99533
0,0,-0.10327,-0.10327,-0.30981,-0.10327,-0.41308,-0.20654,-0.51635,-1.0327,-1.13597,-1.23924
0,0,-1.3452,-1.3452,-4.03561,-1.3452,-5.38081,-2.69041,-6.72602,-13.452,-14.7972,-16.1424
0,0,-1.17015,-1.17015,-3.51044,-1.17015,-4.68059,-2.3403,-5.85074,-11.7015,-12.8716,-14.0418
0,0,-0.20913,-0.20913,-0.62739,-0.20913,-0.83652,-0.41826,-1.04565,-2.0913,-2.30043,-2.50956
0,0,-0.0845088,-0.0845088,-0.253526,-0.0845088,-0.338035,-0.169018,-0.422544,-0.845088,-0.929596,-1.01411
0,0,0.320627,0.320627,0.961881,0.320627,1.28251,0.641254,1.60314,3.20627,3.5269,3.84752
0,0,-0.182253,-0.182253,-0.546759,-0.182253,-0.729012,-0.364506,-0.911264,-1.82253,-2.00478,-2.18703
0,0,0.365465,0.365465,1.09639,0.365465,1.46186,0.730929,1.82732,3.65465,4.02011,4.38557
0,0,0.612624,0.612624,1.83787,0.612624,2.4505,1.22525,3.06312,6.12624,6.73887,7.35149
0,0,-1.18668,-1.18668,-3.56003,-1.18668,-4.74671,-2.37335,-5.93339,-11.8668,-13.0534,-14.2401
0,0,-0.833028,-0.833028,-2.49908,-0.833028,-3.33211,-1.66606,-4.16514,-8.33028,-9.16331,-9.99634
0,0,1.88824,1.88824,5.66472,1.88824,7.55296,3.77648,9.4412,18.8824,20.7706,22.6589
0,0,-1.29627,-1.29627,-3.88881,-1.29627,-5.18508,-2.59254,-6.48135,-12.9627,-14.259,-15.5552
0,0,1.29946,1.29946,3.89838,1.29946,5.19784,2.59892,6.4973,12.9946,14.2941,15.5935
0,0,0.546168,0.546168,1.6385,0.546168,2.18467,1.09234,2.73084,5.46168,6.00785,6.55402
0,0,0.81539,0.81539,2.44617,0.81539,3.26156,1.63078,4.07695,8.1539,8.96929,9.78468
0,0,1.39716,1.39716,4.19149,1.39716,5.58866,2.79433,6.98582,13.9716,15.3688,16.766
0,0,-1.01055,-1.01055,-3.03165,-1.01055,-4.0422,-2.0211,-5.05275,-10.1055,-11.1161,-12.1266
0,0,-0.218742,-0.218742,-0.656225,-0.218742,-0.874967,-0.437483,-1.09371,-2.18742,-2.40616,-2.6249
0,0,-1.75975,-1.75975,-5.27925,-1.75975,-7.039,-3.5195,-8.79875,-17.5975,-19.3573,-21.117
0,0,-1.44549,-1.44549,-4.33648,-1.44549,-5.78197,-2.89098,-7.22746,-14.4549,-15.9004,-17.3459
0,0,0.432941,0.432941,1.29882,0.432941,1.73176,0.865882,2.1647,4.32941,4.76235,5.19529
0,0,0.212867,0.212867,0.638601,0.212867,0.851469,0.425734,1.06434,2.12867,2.34154,2.55441
0,0,-1.49928,-1.49928,-4.49783,-1.49928,-5.99711,-2.99855,-7.49638,-14.9928,-16.492,-17.9913
