# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = pure_01_model
# start_datetime = 2023-12-14 14:11:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1876201642 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/pure_01/pure_01_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-97-g305c045
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,mu,nu,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,bar:1,bar:2,bar2:1,bar2:2:1,bar2:2:2,bar3:1,bar3:2:1,bar3:2:2:1,bar3:2:2:2,z.real,z.imag,zv.1.real,zv.1.imag,zv.2.real,zv.2.imag
# Adaptation terminated
# Step size = 0.540817
# Diagonal elements of inverse mass matrix:
# 0.874824, 1.00215, 1.99896, 0.923664, 1.24411, 1.08943, 0.988945, 1.11014, 0.899901, 0.928503, 1.11794, 0.988618, 0.923343, 1.04099, 0.876623, 0.985093, 0.856222, 1.20196
-8.24727,0.934077,0.540817,3,7,0,22.1458,-0.458174,0.746578,-0.419741,0.174467,-0.595084,-1.72789,0.512123,1.27977,2.51141,-0.665435,-0.305862,-0.817748,-0.0293893,-1.03262,-0.149508,-0.424572,0.0124158,-0.560827,-0.419741,-0.839481,-1.25922,-1.67896,-2.0987,-2.51844
-13.3004,0.903702,0.540817,3,7,0,20.3785,0.745418,0.501789,1.78074,0.593634,2.03253,0.932366,0.0977748,-0.88148,-1.38681,2.17021,-1.15341,0.8269,0.021059,2.60594,-0.910324,0.683756,-0.0376466,1.13224,1.78074,3.56148,5.34222,7.12296,8.9037,10.6844
-13.073,0.975925,0.540817,3,7,0,26.3971,-2.65554,0.0240006,-1.03714,-0.33904,0.958874,-0.315002,-1.36881,0.36978,-0.618938,-1.40835,0.124242,0.476966,1.52364,-0.59817,2.07779,1.07696,0.712501,1.88417,-1.03714,-2.07429,-3.11143,-4.14858,-5.18572,-6.22287
-11.4491,0.79362,0.540817,3,7,0,24.8591,0.690769,-1.86242,-1.56167,0.363138,0.258856,-0.0890721,-0.91382,0.967124,-0.551636,-2.34355,-0.896695,-0.0239334,1.43615,2.21265,-0.0593753,-0.964348,1.04772,-1.1376,-1.56167,-3.12335,-4.68502,-6.2467,-7.80837,-9.37005
-9.29516,0.856824,0.540817,3,7,0,21.1818,0.386041,-0.96909,-0.235711,-1.21105,0.582713,-2.12159,0.231777,0.775602,0.36577,-0.597544,-0.0895745,-1.69729,0.860763,0.838495,0.547453,0.302303,0.40986,-2.14917,-0.235711,-0.471423,-0.707134,-0.942846,-1.17856,-1.41427
-10.6821,1,0.540817,3,7,0,14.5348,-0.0598019,1.11116,1.80466,1.76245,-0.613694,2.23992,-0.509661,-0.581985,-0.062749,0.109919,0.256469,1.65619,-1.33675,-0.420527,-0.0698099,-0.382585,-0.821654,2.22072,1.80466,3.60931,5.41397,7.21862,9.02328,10.8279
-7.39701,0.922172,0.540817,3,7,0,19.4304,1.1162,1.01277,1.59199,1.14655,0.471077,1.17177,-1.17464,-0.17613,-0.88682,0.228448,-0.0910867,1.50514,-1.19449,-0.246374,0.347736,-0.623562,-1.1398,1.20739,1.59199,3.18399,4.77598,6.36797,7.95997,9.55196
-10.0089,0.624918,0.540817,3,7,0,18.8626,-0.43549,-0.564626,1.42515,-0.617266,0.858298,-0.834964,1.70474,-1.74959,1.38804,-0.656796,0.250767,-1.07284,0.875077,0.588081,-1.2609,-0.476893,-0.808282,-0.783491,1.42515,2.85031,4.27546,5.70062,7.12577,8.55092
-11.5182,0.924271,0.540817,3,7,0,21.4357,-0.25613,-0.788987,0.574602,-0.221916,1.63859,-1.02856,1.98794,-1.45679,0.232881,-1.23795,1.36085,-1.57572,0.598892,-0.0535029,-0.49712,-1.25142,-0.763088,-1.39429,0.574602,1.1492,1.72381,2.29841,2.87301,3.44761
-8.21749,1,0.540817,3,7,0,15.4233,-0.698101,0.574568,-0.770909,0.889734,1.59832,-1.54401,1.24518,-0.915973,-0.308918,-1.75187,0.845335,-0.703779,0.509909,0.477484,-0.253768,0.261262,-0.822365,-0.127054,-0.770909,-1.54182,-2.31273,-3.08364,-3.85454,-4.62545
-7.40626,0.719425,0.540817,3,7,0,17.4552,0.609437,-1.00938,0.158698,-0.978408,0.287712,-0.282076,-0.711479,-1.64695,-0.512997,-0.377605,-0.668641,0.46758,1.32354,1.55725,-1.11904,-0.641492,0.522102,-0.731428,0.158698,0.317396,0.476093,0.634791,0.793489,0.952187
-7.33301,1,0.540817,3,7,0,12.6801,1.61258,0.528477,-0.686727,-0.69949,1.29423,0.165033,-0.805127,-0.282554,-0.382981,0.083391,-0.534934,-0.611666,-0.342111,1.16354,-1.38506,-1.17327,1.33243,0.186691,-0.686727,-1.37345,-2.06018,-2.74691,-3.43363,-4.12036
-5.01176,0.827441,0.540817,3,7,0,17.0629,-0.0455206,-0.559281,-0.182134,-0.281095,-0.90318,-1.31364,0.0623102,-1.74018,0.182318,-0.397638,-0.121085,-0.772872,-0.835506,0.944614,0.877812,-0.0119372,-0.489205,0.714268,-0.182134,-0.364268,-0.546402,-0.728536,-0.91067,-1.0928
-7.1119,0.845726,0.540817,3,7,0,13.0367,0.801903,0.15542,-0.49364,-0.593184,0.0559204,-1.16559,-0.194319,-2.01036,-0.53684,-0.95024,0.764945,-1.25123,-1.07717,0.675881,1.13766,0.157439,-0.804717,0.645627,-0.49364,-0.98728,-1.48092,-1.97456,-2.4682,-2.96184
-9.18062,0.643797,0.540817,3,7,0,22.7386,-0.749787,-1.08788,-2.2489,0.587711,-0.919299,1.51322,0.18848,2.04991,0.560593,0.977239,-0.680752,1.00454,1.07484,-0.833552,-1.15508,0.096374,1.08193,-0.666068,-2.2489,-4.49781,-6.74671,-8.99562,-11.2445,-13.4934
-3.65015,1,0.540817,3,7,0,12.1958,-0.38554,-0.262665,0.338435,-0.484691,0.757723,1.12628,-0.0460424,-0.211567,0.983703,0.405222,0.715761,0.482331,0.152962,-0.492633,0.492794,-0.694533,1.23445,0.452626,0.338435,0.67687,1.01531,1.35374,1.69218,2.03061
-19.3728,0.381579,0.540817,3,7,0,24.5222,1.25888,1.85775,0.165016,0.191667,-1.61235,1.60294,-0.449658,-1.03696,-0.218169,-1.02555,2.17121,1.36422,0.945361,-1.83646,-1.50123,-0.571088,2.95981,1.0391,0.165016,0.330032,0.495048,0.660064,0.82508,0.990096
-10.6851,1,0.540817,3,7,0,26.3829,-0.746739,-1.13836,0.852322,-0.663346,2.50204,0.366929,0.36943,-0.642218,-0.599057,-1.56238,0.819759,-0.310697,-1.84285,0.406843,0.0602486,1.00646,-0.0661081,0.138062,0.852322,1.70464,2.55697,3.40929,4.26161,5.11393
-4.71602,0.967084,0.540817,3,7,0,16.1996,1.01211,0.25762,-0.650501,0.068941,-0.420552,-0.629964,-1.26036,0.273475,0.827961,1.26777,-0.184177,-0.515282,0.539309,-0.852419,-0.290779,-0.296262,0.857567,0.870302,-0.650501,-1.301,-1.9515,-2.60201,-3.25251,-3.90301
