# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = pure_01_model
# start_datetime = 2023-12-07 13:57:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1270553173 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/pure_01/pure_01_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,mu,nu,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,bar:1,bar:2,bar2:1,bar2:2:1,bar2:2:2,bar3:1,bar3:2:1,bar3:2:2:1,bar3:2:2:2,z.real,z.imag,zv.1.real,zv.1.imag,zv.2.real,zv.2.imag
# Adaptation terminated
# Step size = 0.610842
# Diagonal elements of inverse mass matrix:
# 0.912912, 0.862811, 1.7635, 0.947925, 1.13658, 1.00188, 0.891966, 0.970081, 1.14247, 1.34528, 0.910105, 0.984069, 1.13684, 0.952258, 1.05412, 1.02193, 1.04916, 1.00343
-9.25008,0.614961,0.610842,3,7,0,23.8383,0.24668,-0.0145563,1.13642,0.150233,-0.697403,-0.0666574,-1.50508,0.095444,-2.35845,1.64505,0.794634,1.06986,-0.903887,0.337525,-1.03249,1.18272,0.67959,-0.65145,1.13642,2.27285,3.40927,4.54569,5.68212,6.81854
-10.1529,0.593201,0.610842,3,7,0,22.5375,-0.229252,-1.74112,-0.00839955,-0.364872,1.07027,0.039832,1.24179,-0.0852498,1.87221,-1.36752,-0.994048,-1.10019,0.798971,-0.228908,0.975471,-1.18388,-0.600448,0.641679,-0.00839955,-0.0167991,-0.0251987,-0.0335982,-0.0419978,-0.0503973
-7.23322,0.990161,0.610842,3,7,0,15.2782,-0.204464,0.73919,1.53596,-0.596883,-0.84596,0.187062,-0.663497,1.90849,0.326462,-1.98745,0.272617,-0.205541,0.0258598,0.506037,0.85019,1.40434,-0.458958,-0.847605,1.53596,3.07192,4.60788,6.14384,7.67979,9.21575
-5.02607,0.993651,0.610842,3,7,0,11.8364,0.174117,0.419031,0.145924,-1.56381,-0.38861,1.08515,0.379583,1.12167,-0.0742253,1.02357,-0.353675,-0.0190271,-0.121175,0.360145,-1.54347,-0.76405,-0.340661,0.436134,0.145924,0.291848,0.437772,0.583696,0.72962,0.875544
-5.79325,0.887372,0.610842,3,7,0,12.2591,-0.739831,1.28402,2.33964,0.106936,0.665166,-1.30233,0.201281,-0.481045,-0.116712,-0.991717,0.389481,-0.0927364,-0.363313,0.695637,1.96308,0.12277,-0.0822406,0.4532,2.33964,4.67928,7.01892,9.35856,11.6982,14.0378
-10.5525,0.594214,0.610842,3,7,0,21.2749,1.16912,-1.3229,-1.62276,-0.0515091,-0.345933,1.65129,0.955418,-0.15679,0.556134,-0.881965,-0.658447,-1.14241,1.72371,-0.157372,-2.698,-0.144904,-0.898589,-0.427022,-1.62276,-3.24553,-4.86829,-6.49106,-8.11382,-9.73659
