# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = pure_01_model
# start_datetime = 2023-12-14 14:11:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1876201643 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/pure_01/pure_01_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-97-g305c045
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,mu,nu,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,bar:1,bar:2,bar2:1,bar2:2:1,bar2:2:2,bar3:1,bar3:2:1,bar3:2:2:1,bar3:2:2:2,z.real,z.imag,zv.1.real,zv.1.imag,zv.2.real,zv.2.imag
# Adaptation terminated
# Step size = 0.501231
# Diagonal elements of inverse mass matrix:
# 1.18953, 0.945895, 1.84181, 1.04519, 0.990325, 1.05759, 0.924027, 1.03581, 0.936592, 0.985334, 0.835493, 1.08046, 0.887401, 0.937289, 1.1347, 0.896348, 0.995073, 0.943695
-8.53842,0.949282,0.501231,3,7,0,15.8796,-1.42077,1.33564,1.74731,-0.0353103,-0.404302,0.925396,0.26463,-1.55446,-1.49339,-0.283832,0.994102,0.263706,1.94658,-1.28363,0.370987,-0.715886,-0.276849,-0.255331,1.74731,3.49463,5.24194,6.98926,8.73657,10.4839
-9.97725,0.882821,0.501231,3,7,0,18.5079,0.846256,1.07439,1.7607,-0.228507,-0.359652,-1.02898,1.4047,-0.587884,-3.05154,0.114153,0.640248,0.390135,0.371303,-1.11847,0.905666,0.233674,1.24497,-0.59431,1.7607,3.52141,5.28211,7.04281,8.80351,10.5642
-14.3022,0.895333,0.501231,3,7,0,22.9929,0.736983,1.40658,1.54469,0.673033,-0.140146,0.260883,1.70436,0.000728227,0.139762,0.476425,3.32347,-0.480422,-0.427726,0.948438,-1.79223,2.25207,1.23659,0.446958,1.54469,3.08938,4.63408,6.17877,7.72346,9.26815
-6.21077,0.937394,0.501231,3,7,0,21.3712,-1.07558,-0.532701,0.522194,-1.29349,-0.584136,-0.982541,-0.395762,-1.20236,0.704401,-1.26014,-0.970896,0.680509,-0.0131343,-0.671349,-0.903361,-0.143346,-0.564243,0.436327,0.522194,1.04439,1.56658,2.08877,2.61097,3.13316
-10.38,0.91939,0.501231,3,7,0,15.497,0.945676,0.149556,0.0550915,-2.70178,-0.809513,-0.211855,-0.28125,-0.64323,0.86983,-1.00643,-0.980631,0.868172,0.393996,0.821552,-1.47706,-1.55896,-1.48679,-0.451737,0.0550915,0.110183,0.165275,0.220366,0.275458,0.330549
-4.33666,0.973371,0.501231,3,7,0,15.7486,0.0939846,-0.954457,-1.10338,-0.879645,0.0338944,0.222191,1.11897,0.532702,0.388654,0.852693,-0.273119,0.227941,0.598116,-0.170458,0.141819,-1.16612,-1.60743,-0.126144,-1.10338,-2.20676,-3.31014,-4.41352,-5.5169,-6.62028
