# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = rectangles_model
# start_datetime = 2023-11-18 18:04:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 3938723323 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_rectangle_data/../../data/rectangles/rectangles_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,v.1,v.2,r.1,r.2,r.3,m.1.1,m.2.1,m.1.2,m.2.2,m.1.3,m.2.3,threeD.1.1.1,threeD.2.1.1,threeD.3.1.1,threeD.4.1.1,threeD.1.2.1,threeD.2.2.1,threeD.3.2.1,threeD.4.2.1,threeD.1.1.2,threeD.2.1.2,threeD.3.1.2,threeD.4.1.2,threeD.1.2.2,threeD.2.2.2,threeD.3.2.2,threeD.4.2.2,threeD.1.1.3,threeD.2.1.3,threeD.3.1.3,threeD.4.1.3,threeD.1.2.3,threeD.2.2.3,threeD.3.2.3,threeD.4.2.3,nu,z.real,z.imag,zv.1.real,zv.1.imag,zv.2.real,zv.2.imag,zm.1.1.real,zm.1.1.imag,zm.2.1.real,zm.2.1.imag,zm.1.2.real,zm.1.2.imag,zm.2.2.real,zm.2.2.imag,zm.1.3.real,zm.1.3.imag,zm.2.3.real,zm.2.3.imag,z3D.1.1.1.real,z3D.1.1.1.imag,z3D.2.1.1.real,z3D.2.1.1.imag,z3D.3.1.1.real,z3D.3.1.1.imag,z3D.4.1.1.real,z3D.4.1.1.imag,z3D.1.2.1.real,z3D.1.2.1.imag,z3D.2.2.1.real,z3D.2.2.1.imag,z3D.3.2.1.real,z3D.3.2.1.imag,z3D.4.2.1.real,z3D.4.2.1.imag,z3D.1.1.2.real,z3D.1.1.2.imag,z3D.2.1.2.real,z3D.2.1.2.imag,z3D.3.1.2.real,z3D.3.1.2.imag,z3D.4.1.2.real,z3D.4.1.2.imag,z3D.1.2.2.real,z3D.1.2.2.imag,z3D.2.2.2.real,z3D.2.2.2.imag,z3D.3.2.2.real,z3D.3.2.2.imag,z3D.4.2.2.real,z3D.4.2.2.imag,z3D.1.1.3.real,z3D.1.1.3.imag,z3D.2.1.3.real,z3D.2.1.3.imag,z3D.3.1.3.real,z3D.3.1.3.imag,z3D.4.1.3.real,z3D.4.1.3.imag,z3D.1.2.3.real,z3D.1.2.3.imag,z3D.2.2.3.real,z3D.2.2.3.imag,z3D.3.2.3.real,z3D.3.2.3.imag,z3D.4.2.3.real,z3D.4.2.3.imag
# Adaptation terminated
# Step size = 1.30134
# Diagonal elements of inverse mass matrix:
# 0.789587
-0.0775589,0.995203,1.30134,2,3,0,0.0839741,0.39385,0.39385,0.7877,0.7877,1.18155,1.5754,1.96925,2.44187,2.91449,3.38711,3.85973,4.33235,1.96925,3.9385,5.90775,7.877,2.44187,4.88374,7.32561,9.76748,2.91449,5.82898,8.74347,11.658,3.38711,6.77422,10.1613,13.5484,3.85973,7.71946,11.5792,15.4389,4.33235,8.6647,12.997,17.3294,-0.553487,-0.553487,-1.10697,-1.66046,-2.21395,-2.76743,-3.32092,1.96925,2.96925,2.44187,3.44187,2.91449,3.91449,3.38711,4.38711,3.85973,4.85973,4.33235,5.33235,1.96925,2.96925,3.9385,4.9385,5.90775,6.90775,7.877,8.877,2.44187,3.44187,4.88374,5.88374,7.32561,8.32561,9.76748,10.7675,2.91449,3.91449,5.82898,6.82898,8.74347,9.74347,11.658,12.658,3.38711,4.38711,6.77422,7.77422,10.1613,11.1613,13.5484,14.5484,3.85973,4.85973,7.71946,8.71946,11.5792,12.5792,15.4389,16.4389,4.33235,5.33235,8.6647,9.6647,12.997,13.997,17.3294,18.3294
-1.55223,0.555609,1.30134,2,3,0,2.99545,-1.76195,-1.76195,-3.5239,-3.5239,-5.28585,-7.0478,-8.80975,-10.9241,-13.0384,-15.1528,-17.2671,-19.3814,-8.80975,-17.6195,-26.4292,-35.239,-10.9241,-21.8482,-32.7723,-43.6963,-13.0384,-26.0769,-39.1153,-52.1537,-15.1528,-30.3055,-45.4583,-60.6111,-17.2671,-34.5342,-51.8013,-69.0684,-19.3814,-38.7629,-58.1443,-77.5258,-2.07385,-2.07385,-4.1477,-6.22154,-8.29539,-10.3692,-12.4431,-8.80975,-7.80975,-10.9241,-9.92409,-13.0384,-12.0384,-15.1528,-14.1528,-17.2671,-16.2671,-19.3814,-18.3814,-8.80975,-7.80975,-17.6195,-16.6195,-26.4292,-25.4292,-35.239,-34.239,-10.9241,-9.92409,-21.8482,-20.8482,-32.7723,-31.7723,-43.6963,-42.6963,-13.0384,-12.0384,-26.0769,-25.0769,-39.1153,-38.1153,-52.1537,-51.1537,-15.1528,-14.1528,-30.3055,-29.3055,-45.4583,-44.4583,-60.6111,-59.6111,-17.2671,-16.2671,-34.5342,-33.5342,-51.8013,-50.8013,-69.0684,-68.0684,-19.3814,-18.3814,-38.7629,-37.7629,-58.1443,-57.1443,-77.5258,-76.5258
-1.03988,1,1.30134,1,1,0,1.65635,-1.44214,-1.44214,-2.88428,-2.88428,-4.32642,-5.76856,-7.21069,-8.94126,-10.6718,-12.4024,-14.133,-15.8635,-7.21069,-14.4214,-21.6321,-28.8428,-8.94126,-17.8825,-26.8238,-35.765,-10.6718,-21.3437,-32.0155,-42.6873,-12.4024,-24.8048,-37.2072,-49.6096,-14.133,-28.2659,-42.3989,-56.5318,-15.8635,-31.7271,-47.5906,-63.4541,0.0535087,0.0535087,0.107017,0.160526,0.214035,0.267544,0.321052,-7.21069,-6.21069,-8.94126,-7.94126,-10.6718,-9.67183,-12.4024,-11.4024,-14.133,-13.133,-15.8635,-14.8635,-7.21069,-6.21069,-14.4214,-13.4214,-21.6321,-20.6321,-28.8428,-27.8428,-8.94126,-7.94126,-17.8825,-16.8825,-26.8238,-25.8238,-35.765,-34.765,-10.6718,-9.67183,-21.3437,-20.3437,-32.0155,-31.0155,-42.6873,-41.6873,-12.4024,-11.4024,-24.8048,-23.8048,-37.2072,-36.2072,-49.6096,-48.6096,-14.133,-13.133,-28.2659,-27.2659,-42.3989,-41.3989,-56.5318,-55.5318,-15.8635,-14.8635,-31.7271,-30.7271,-47.5906,-46.5906,-63.4541,-62.4541
-0.0672885,0.960212,1.30134,1,3,0,0.981623,0.366847,0.366847,0.733695,0.733695,1.10054,1.46739,1.83424,2.27445,2.71467,3.15489,3.59511,4.03532,1.83424,3.66847,5.50271,7.33695,2.27445,4.54891,6.82336,9.09782,2.71467,5.42934,8.14401,10.8587,3.15489,6.30978,9.46466,12.6196,3.59511,7.19021,10.7853,14.3804,4.03532,8.07064,12.106,16.1413,-1.00388,-1.00388,-2.00775,-3.01163,-4.0155,-5.01938,-6.02326,1.83424,2.83424,2.27445,3.27445,2.71467,3.71467,3.15489,4.15489,3.59511,4.59511,4.03532,5.03532,1.83424,2.83424,3.66847,4.66847,5.50271,6.50271,7.33695,8.33695,2.27445,3.27445,4.54891,5.54891,6.82336,7.82336,9.09782,10.0978,2.71467,3.71467,5.42934,6.42934,8.14401,9.14401,10.8587,11.8587,3.15489,4.15489,6.30978,7.30978,9.46466,10.4647,12.6196,13.6196,3.59511,4.59511,7.19021,8.19021,10.7853,11.7853,14.3804,15.3804,4.03532,5.03532,8.07064,9.07064,12.106,13.106,16.1413,17.1413
-0.00224468,0.96884,1.30134,2,3,0,0.215822,0.0670027,0.0670027,0.134005,0.134005,0.201008,0.268011,0.335013,0.415416,0.49582,0.576223,0.656626,0.737029,0.335013,0.670027,1.00504,1.34005,0.415416,0.830833,1.24625,1.66167,0.49582,0.991639,1.48746,1.98328,0.576223,1.15245,1.72867,2.30489,0.656626,1.31325,1.96988,2.6265,0.737029,1.47406,2.21109,2.94812,0.719117,0.719117,1.43823,2.15735,2.87647,3.59558,4.3147,0.335013,1.33501,0.415416,1.41542,0.49582,1.49582,0.576223,1.57622,0.656626,1.65663,0.737029,1.73703,0.335013,1.33501,0.670027,1.67003,1.00504,2.00504,1.34005,2.34005,0.415416,1.41542,0.830833,1.83083,1.24625,2.24625,1.66167,2.66167,0.49582,1.49582,0.991639,1.99164,1.48746,2.48746,1.98328,2.98328,0.576223,1.57622,1.15245,2.15245,1.72867,2.72867,2.30489,3.30489,0.656626,1.65663,1.31325,2.31325,1.96988,2.96988,2.6265,3.6265,0.737029,1.73703,1.47406,2.47406,2.21109,3.21109,2.94812,3.94812
-1.48164,0.420352,1.30134,2,3,0,4.2588,1.72142,1.72142,3.44284,3.44284,5.16426,6.88568,8.60709,10.6728,12.7385,14.8042,16.8699,18.9356,8.60709,17.2142,25.8213,34.4284,10.6728,21.3456,32.0184,42.6912,12.7385,25.477,38.2155,50.954,14.8042,29.6084,44.4126,59.2168,16.8699,33.7398,50.6097,67.4796,18.9356,37.8712,56.8068,75.7424,1.48813,1.48813,2.97627,4.4644,5.95254,7.44067,8.92881,8.60709,9.60709,10.6728,11.6728,12.7385,13.7385,14.8042,15.8042,16.8699,17.8699,18.9356,19.9356,8.60709,9.60709,17.2142,18.2142,25.8213,26.8213,34.4284,35.4284,10.6728,11.6728,21.3456,22.3456,32.0184,33.0184,42.6912,43.6912,12.7385,13.7385,25.477,26.477,38.2155,39.2155,50.954,51.954,14.8042,15.8042,29.6084,30.6084,44.4126,45.4126,59.2168,60.2168,16.8699,17.8699,33.7398,34.7398,50.6097,51.6097,67.4796,68.4796,18.9356,19.9356,37.8712,38.8712,56.8068,57.8068,75.7424,76.7424
