# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = rectangles_model
# start_datetime = 2023-11-18 15:45:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 3930432349 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_rectangle_data/../../data/rectangles/rectangles_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,v.1,v.2,r.1,r.2,r.3,m.1.1,m.2.1,m.1.2,m.2.2,m.1.3,m.2.3,threeD.1.1.1,threeD.2.1.1,threeD.3.1.1,threeD.4.1.1,threeD.1.2.1,threeD.2.2.1,threeD.3.2.1,threeD.4.2.1,threeD.1.1.2,threeD.2.1.2,threeD.3.1.2,threeD.4.1.2,threeD.1.2.2,threeD.2.2.2,threeD.3.2.2,threeD.4.2.2,threeD.1.1.3,threeD.2.1.3,threeD.3.1.3,threeD.4.1.3,threeD.1.2.3,threeD.2.2.3,threeD.3.2.3,threeD.4.2.3,nu,z.real,z.imag,zv.1.real,zv.1.imag,zv.2.real,zv.2.imag,zm.1.1.real,zm.1.1.imag,zm.2.1.real,zm.2.1.imag,zm.1.2.real,zm.1.2.imag,zm.2.2.real,zm.2.2.imag,zm.1.3.real,zm.1.3.imag,zm.2.3.real,zm.2.3.imag,z3D.1.1.1.real,z3D.1.1.1.imag,z3D.2.1.1.real,z3D.2.1.1.imag,z3D.3.1.1.real,z3D.3.1.1.imag,z3D.4.1.1.real,z3D.4.1.1.imag,z3D.1.2.1.real,z3D.1.2.1.imag,z3D.2.2.1.real,z3D.2.2.1.imag,z3D.3.2.1.real,z3D.3.2.1.imag,z3D.4.2.1.real,z3D.4.2.1.imag,z3D.1.1.2.real,z3D.1.1.2.imag,z3D.2.1.2.real,z3D.2.1.2.imag,z3D.3.1.2.real,z3D.3.1.2.imag,z3D.4.1.2.real,z3D.4.1.2.imag,z3D.1.2.2.real,z3D.1.2.2.imag,z3D.2.2.2.real,z3D.2.2.2.imag,z3D.3.2.2.real,z3D.3.2.2.imag,z3D.4.2.2.real,z3D.4.2.2.imag,z3D.1.1.3.real,z3D.1.1.3.imag,z3D.2.1.3.real,z3D.2.1.3.imag,z3D.3.1.3.real,z3D.3.1.3.imag,z3D.4.1.3.real,z3D.4.1.3.imag,z3D.1.2.3.real,z3D.1.2.3.imag,z3D.2.2.3.real,z3D.2.2.3.imag,z3D.3.2.3.real,z3D.3.2.3.imag,z3D.4.2.3.real,z3D.4.2.3.imag
# Adaptation terminated
# Step size = 1.06043
# Diagonal elements of inverse mass matrix:
# 0.833042
-0.00227885,0.99858,1.06043,1,3,0,0.174965,0.0675107,0.0675107,0.135021,0.135021,0.202532,0.270043,0.337553,0.418566,0.499579,0.580592,0.661605,0.742617,0.337553,0.675107,1.01266,1.35021,0.418566,0.837132,1.2557,1.67426,0.499579,0.999158,1.49874,1.99832,0.580592,1.16118,1.74178,2.32237,0.661605,1.32321,1.98481,2.64642,0.742617,1.48523,2.22785,2.97047,1.42843,1.42843,2.85685,4.28528,5.7137,7.14213,8.57055,0.337553,1.33755,0.418566,1.41857,0.499579,1.49958,0.580592,1.58059,0.661605,1.6616,0.742617,1.74262,0.337553,1.33755,0.675107,1.67511,1.01266,2.01266,1.35021,2.35021,0.418566,1.41857,0.837132,1.83713,1.2557,2.2557,1.67426,2.67426,0.499579,1.49958,0.999158,1.99916,1.49874,2.49874,1.99832,2.99832,0.580592,1.58059,1.16118,2.16118,1.74178,2.74178,2.32237,3.32237,0.661605,1.6616,1.32321,2.32321,1.98481,2.98481,2.64642,3.64642,0.742617,1.74262,1.48523,2.48523,2.22785,3.22785,2.97047,3.97047
-1.2236,0.7494,1.06043,1,3,0,1.53526,1.56435,1.56435,3.12871,3.12871,4.69306,6.25742,7.82177,9.699,11.5762,13.4534,15.3307,17.2079,7.82177,15.6435,23.4653,31.2871,9.699,19.398,29.097,38.796,11.5762,23.1524,34.7287,46.3049,13.4534,26.9069,40.3603,53.8138,15.3307,30.6613,45.992,61.3227,17.2079,34.4158,51.6237,68.8316,2.32996,2.32996,4.65991,6.98987,9.31983,11.6498,13.9797,7.82177,8.82177,9.699,10.699,11.5762,12.5762,13.4534,14.4534,15.3307,16.3307,17.2079,18.2079,7.82177,8.82177,15.6435,16.6435,23.4653,24.4653,31.2871,32.2871,9.699,10.699,19.398,20.398,29.097,30.097,38.796,39.796,11.5762,12.5762,23.1524,24.1524,34.7287,35.7287,46.3049,47.3049,13.4534,14.4534,26.9069,27.9069,40.3603,41.3603,53.8138,54.8138,15.3307,16.3307,30.6613,31.6613,45.992,46.992,61.3227,62.3227,17.2079,18.2079,34.4158,35.4158,51.6237,52.6237,68.8316,69.8316
-1.21729,1,1.06043,2,7,0,1.22309,-1.56031,-1.56031,-3.12062,-3.12062,-4.68094,-6.24125,-7.80156,-9.67394,-11.5463,-13.4187,-15.2911,-17.1634,-7.80156,-15.6031,-23.4047,-31.2062,-9.67394,-19.3479,-29.0218,-38.6957,-11.5463,-23.0926,-34.6389,-46.1852,-13.4187,-26.8374,-40.2561,-53.6747,-15.2911,-30.5821,-45.8732,-61.1642,-17.1634,-34.3269,-51.4903,-68.6537,0.431159,0.431159,0.862319,1.29348,1.72464,2.1558,2.58696,-7.80156,-6.80156,-9.67394,-8.67394,-11.5463,-10.5463,-13.4187,-12.4187,-15.2911,-14.2911,-17.1634,-16.1634,-7.80156,-6.80156,-15.6031,-14.6031,-23.4047,-22.4047,-31.2062,-30.2062,-9.67394,-8.67394,-19.3479,-18.3479,-29.0218,-28.0218,-38.6957,-37.6957,-11.5463,-10.5463,-23.0926,-22.0926,-34.6389,-33.6389,-46.1852,-45.1852,-13.4187,-12.4187,-26.8374,-25.8374,-40.2561,-39.2561,-53.6747,-52.6747,-15.2911,-14.2911,-30.5821,-29.5821,-45.8732,-44.8732,-61.1642,-60.1642,-17.1634,-16.1634,-34.3269,-33.3269,-51.4903,-50.4903,-68.6537,-67.6537
-0.768806,1,1.06043,1,1,0,1.20221,-1.24,-1.24,-2.48001,-2.48001,-3.72001,-4.96002,-6.20002,-7.68803,-9.17603,-10.664,-12.152,-13.6401,-6.20002,-12.4,-18.6001,-24.8001,-7.68803,-15.3761,-23.0641,-30.7521,-9.17603,-18.3521,-27.5281,-36.7041,-10.664,-21.3281,-31.9921,-42.6562,-12.152,-24.3041,-36.4561,-48.6082,-13.6401,-27.2801,-40.9202,-54.5602,-2.65676,-2.65676,-5.31352,-7.97028,-10.627,-13.2838,-15.9406,-6.20002,-5.20002,-7.68803,-6.68803,-9.17603,-8.17603,-10.664,-9.66404,-12.152,-11.152,-13.6401,-12.6401,-6.20002,-5.20002,-12.4,-11.4,-18.6001,-17.6001,-24.8001,-23.8001,-7.68803,-6.68803,-15.3761,-14.3761,-23.0641,-22.0641,-30.7521,-29.7521,-9.17603,-8.17603,-18.3521,-17.3521,-27.5281,-26.5281,-36.7041,-35.7041,-10.664,-9.66404,-21.3281,-20.3281,-31.9921,-30.9921,-42.6562,-41.6562,-12.152,-11.152,-24.3041,-23.3041,-36.4561,-35.4561,-48.6082,-47.6082,-13.6401,-12.6401,-27.2801,-26.2801,-40.9202,-39.9202,-54.5602,-53.5602
-0.0141213,0.994454,1.06043,1,3,0,0.720824,-0.168056,-0.168056,-0.336111,-0.336111,-0.504167,-0.672222,-0.840278,-1.04194,-1.24361,-1.44528,-1.64694,-1.84861,-0.840278,-1.68056,-2.52083,-3.36111,-1.04194,-2.08389,-3.12583,-4.16778,-1.24361,-2.48722,-3.73083,-4.97444,-1.44528,-2.89055,-4.33583,-5.78111,-1.64694,-3.29389,-4.94083,-6.58778,-1.84861,-3.69722,-5.54583,-7.39444,-0.363492,-0.363492,-0.726983,-1.09048,-1.45397,-1.81746,-2.18095,-0.840278,0.159722,-1.04194,-0.0419442,-1.24361,-0.243611,-1.44528,-0.445277,-1.64694,-0.646944,-1.84861,-0.848611,-0.840278,0.159722,-1.68056,-0.680555,-2.52083,-1.52083,-3.36111,-2.36111,-1.04194,-0.0419442,-2.08389,-1.08389,-3.12583,-2.12583,-4.16778,-3.16778,-1.24361,-0.243611,-2.48722,-1.48722,-3.73083,-2.73083,-4.97444,-3.97444,-1.44528,-0.445277,-2.89055,-1.89055,-4.33583,-3.33583,-5.78111,-4.78111,-1.64694,-0.646944,-3.29389,-2.29389,-4.94083,-3.94083,-6.58778,-5.58778,-1.84861,-0.848611,-3.69722,-2.69722,-5.54583,-4.54583,-7.39444,-6.39444
-0.011519,1,1.06043,1,1,0,0.015593,-0.151783,-0.151783,-0.303566,-0.303566,-0.455349,-0.607132,-0.758914,-0.941054,-1.12319,-1.30533,-1.48747,-1.66961,-0.758914,-1.51783,-2.27674,-3.03566,-0.941054,-1.88211,-2.82316,-3.76422,-1.12319,-2.24639,-3.36958,-4.49277,-1.30533,-2.61067,-3.916,-5.22133,-1.48747,-2.97494,-4.46242,-5.94989,-1.66961,-3.33922,-5.00883,-6.67845,-1.06267,-1.06267,-2.12535,-3.18802,-4.2507,-5.31337,-6.37605,-0.758914,0.241086,-0.941054,0.0589462,-1.12319,-0.123193,-1.30533,-0.305333,-1.48747,-0.487472,-1.66961,-0.669612,-0.758914,0.241086,-1.51783,-0.517829,-2.27674,-1.27674,-3.03566,-2.03566,-0.941054,0.0589462,-1.88211,-0.882108,-2.82316,-1.82316,-3.76422,-2.76422,-1.12319,-0.123193,-2.24639,-1.24639,-3.36958,-2.36958,-4.49277,-3.49277,-1.30533,-0.305333,-2.61067,-1.61067,-3.916,-2.916,-5.22133,-4.22133,-1.48747,-0.487472,-2.97494,-1.97494,-4.46242,-3.46242,-5.94989,-4.94989,-1.66961,-0.669612,-3.33922,-2.33922,-5.00883,-4.00883,-6.67845,-5.67845
