# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = rectangles_model
# start_datetime = 2023-11-19 02:36:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 3969443246 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_rectangle_data/../../data/rectangles/rectangles_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,v.1,v.2,r.1,r.2,r.3,m.1.1,m.2.1,m.1.2,m.2.2,m.1.3,m.2.3,threeD.1.1.1,threeD.2.1.1,threeD.3.1.1,threeD.4.1.1,threeD.1.2.1,threeD.2.2.1,threeD.3.2.1,threeD.4.2.1,threeD.1.1.2,threeD.2.1.2,threeD.3.1.2,threeD.4.1.2,threeD.1.2.2,threeD.2.2.2,threeD.3.2.2,threeD.4.2.2,threeD.1.1.3,threeD.2.1.3,threeD.3.1.3,threeD.4.1.3,threeD.1.2.3,threeD.2.2.3,threeD.3.2.3,threeD.4.2.3,nu,z.real,z.imag,zv.1.real,zv.1.imag,zv.2.real,zv.2.imag,zm.1.1.real,zm.1.1.imag,zm.2.1.real,zm.2.1.imag,zm.1.2.real,zm.1.2.imag,zm.2.2.real,zm.2.2.imag,zm.1.3.real,zm.1.3.imag,zm.2.3.real,zm.2.3.imag,z3D.1.1.1.real,z3D.1.1.1.imag,z3D.2.1.1.real,z3D.2.1.1.imag,z3D.3.1.1.real,z3D.3.1.1.imag,z3D.4.1.1.real,z3D.4.1.1.imag,z3D.1.2.1.real,z3D.1.2.1.imag,z3D.2.2.1.real,z3D.2.2.1.imag,z3D.3.2.1.real,z3D.3.2.1.imag,z3D.4.2.1.real,z3D.4.2.1.imag,z3D.1.1.2.real,z3D.1.1.2.imag,z3D.2.1.2.real,z3D.2.1.2.imag,z3D.3.1.2.real,z3D.3.1.2.imag,z3D.4.1.2.real,z3D.4.1.2.imag,z3D.1.2.2.real,z3D.1.2.2.imag,z3D.2.2.2.real,z3D.2.2.2.imag,z3D.3.2.2.real,z3D.3.2.2.imag,z3D.4.2.2.real,z3D.4.2.2.imag,z3D.1.1.3.real,z3D.1.1.3.imag,z3D.2.1.3.real,z3D.2.1.3.imag,z3D.3.1.3.real,z3D.3.1.3.imag,z3D.4.1.3.real,z3D.4.1.3.imag,z3D.1.2.3.real,z3D.1.2.3.imag,z3D.2.2.3.real,z3D.2.2.3.imag,z3D.3.2.3.real,z3D.3.2.3.imag,z3D.4.2.3.real,z3D.4.2.3.imag
# Adaptation terminated
# Step size = 1.11023
# Diagonal elements of inverse mass matrix:
# 0.959511
-0.0869937,1,1.11023,2,3,0,0.275975,0.417118,0.417118,0.834236,0.834236,1.25135,1.66847,2.08559,2.58613,3.08667,3.58722,4.08776,4.5883,2.08559,4.17118,6.25677,8.34236,2.58613,5.17226,7.7584,10.3445,3.08667,6.17335,9.26002,12.3467,3.58722,7.17443,10.7616,14.3489,4.08776,8.17551,12.2633,16.351,4.5883,9.1766,13.7649,18.3532,-0.476445,-0.476445,-0.95289,-1.42933,-1.90578,-2.38222,-2.85867,2.08559,3.08559,2.58613,3.58613,3.08667,4.08667,3.58722,4.58722,4.08776,5.08776,4.5883,5.5883,2.08559,3.08559,4.17118,5.17118,6.25677,7.25677,8.34236,9.34236,2.58613,3.58613,5.17226,6.17226,7.7584,8.7584,10.3445,11.3445,3.08667,4.08667,6.17335,7.17335,9.26002,10.26,12.3467,13.3467,3.58722,4.58722,7.17443,8.17443,10.7616,11.7616,14.3489,15.3489,4.08776,5.08776,8.17551,9.17551,12.2633,13.2633,16.351,17.351,4.5883,5.5883,9.1766,10.1766,13.7649,14.7649,18.3532,19.3532
-0.0746117,1,1.11023,1,1,0,0.103028,0.386294,0.386294,0.772589,0.772589,1.15888,1.54518,1.93147,2.39502,2.85858,3.32213,3.78568,4.24924,1.93147,3.86294,5.79441,7.72589,2.39502,4.79005,7.18507,9.5801,2.85858,5.71716,8.57573,11.4343,3.32213,6.64426,9.96639,13.2885,3.78568,7.57137,11.3571,15.1427,4.24924,8.49848,12.7477,16.997,0.681043,0.681043,1.36209,2.04313,2.72417,3.40521,4.08626,1.93147,2.93147,2.39502,3.39502,2.85858,3.85858,3.32213,4.32213,3.78568,4.78568,4.24924,5.24924,1.93147,2.93147,3.86294,4.86294,5.79441,6.79441,7.72589,8.72589,2.39502,3.39502,4.79005,5.79005,7.18507,8.18507,9.5801,10.5801,2.85858,3.85858,5.71716,6.71716,8.57573,9.57573,11.4343,12.4343,3.32213,4.32213,6.64426,7.64426,9.96639,10.9664,13.2885,14.2885,3.78568,4.78568,7.57137,8.57137,11.3571,12.3571,15.1427,16.1427,4.24924,5.24924,8.49848,9.49848,12.7477,13.7477,16.997,17.997
-0.00164529,0.999372,1.11023,2,3,0,0.0783308,-0.0573635,-0.0573635,-0.114727,-0.114727,-0.172091,-0.229454,-0.286818,-0.355654,-0.42449,-0.493326,-0.562163,-0.630999,-0.286818,-0.573635,-0.860453,-1.14727,-0.355654,-0.711308,-1.06696,-1.42262,-0.42449,-0.84898,-1.27347,-1.69796,-0.493326,-0.986653,-1.47998,-1.97331,-0.562163,-1.12433,-1.68649,-2.24865,-0.630999,-1.262,-1.893,-2.524,-0.357241,-0.357241,-0.714481,-1.07172,-1.42896,-1.7862,-2.14344,-0.286818,0.713182,-0.355654,0.644346,-0.42449,0.57551,-0.493326,0.506674,-0.562163,0.437837,-0.630999,0.369001,-0.286818,0.713182,-0.573635,0.426365,-0.860453,0.139547,-1.14727,-0.147271,-0.355654,0.644346,-0.711308,0.288692,-1.06696,-0.0669618,-1.42262,-0.422616,-0.42449,0.57551,-0.84898,0.15102,-1.27347,-0.273471,-1.69796,-0.697961,-0.493326,0.506674,-0.986653,0.0133471,-1.47998,-0.479979,-1.97331,-0.973306,-0.562163,0.437837,-1.12433,-0.124325,-1.68649,-0.686488,-2.24865,-1.24865,-0.630999,0.369001,-1.262,-0.261998,-1.893,-0.892997,-2.524,-1.524
-0.0577616,0.986317,1.11023,1,3,0,0.0605719,-0.339887,-0.339887,-0.679774,-0.679774,-1.01966,-1.35955,-1.69943,-2.1073,-2.51516,-2.92303,-3.33089,-3.73876,-1.69943,-3.39887,-5.0983,-6.79774,-2.1073,-4.2146,-6.3219,-8.4292,-2.51516,-5.03033,-7.54549,-10.0607,-2.92303,-5.84606,-8.76908,-11.6921,-3.33089,-6.66179,-9.99268,-13.3236,-3.73876,-7.47751,-11.2163,-14.955,-0.284171,-0.284171,-0.568342,-0.852513,-1.13668,-1.42085,-1.70503,-1.69943,-0.699435,-2.1073,-1.1073,-2.51516,-1.51516,-2.92303,-1.92303,-3.33089,-2.33089,-3.73876,-2.73876,-1.69943,-0.699435,-3.39887,-2.39887,-5.0983,-4.0983,-6.79774,-5.79774,-2.1073,-1.1073,-4.2146,-3.2146,-6.3219,-5.3219,-8.4292,-7.4292,-2.51516,-1.51516,-5.03033,-4.03033,-7.54549,-6.54549,-10.0607,-9.06066,-2.92303,-1.92303,-5.84606,-4.84606,-8.76908,-7.76908,-11.6921,-10.6921,-3.33089,-2.33089,-6.66179,-5.66179,-9.99268,-8.99268,-13.3236,-12.3236,-3.73876,-2.73876,-7.47751,-6.47751,-11.2163,-10.2163,-14.955,-13.955
-0.848151,0.873414,1.11023,2,3,0,1.02428,1.30242,1.30242,2.60484,2.60484,3.90726,5.20969,6.51211,8.07501,9.63792,11.2008,12.7637,14.3266,6.51211,13.0242,19.5363,26.0484,8.07501,16.15,24.225,32.3001,9.63792,19.2758,28.9138,38.5517,11.2008,22.4017,33.6025,44.8033,12.7637,25.5275,38.2912,51.0549,14.3266,28.6533,42.9799,57.3066,1.34135,1.34135,2.68269,4.02404,5.36538,6.70673,8.04808,6.51211,7.51211,8.07501,9.07501,9.63792,10.6379,11.2008,12.2008,12.7637,13.7637,14.3266,15.3266,6.51211,7.51211,13.0242,14.0242,19.5363,20.5363,26.0484,27.0484,8.07501,9.07501,16.15,17.15,24.225,25.225,32.3001,33.3001,9.63792,10.6379,19.2758,20.2758,28.9138,29.9138,38.5517,39.5517,11.2008,12.2008,22.4017,23.4017,33.6025,34.6025,44.8033,45.8033,12.7637,13.7637,25.5275,26.5275,38.2912,39.2912,51.0549,52.0549,14.3266,15.3266,28.6533,29.6533,42.9799,43.9799,57.3066,58.3066
-0.412534,1,1.11023,1,1,0,0.779149,0.908332,0.908332,1.81666,1.81666,2.725,3.63333,4.54166,5.63166,6.72166,7.81166,8.90166,9.99165,4.54166,9.08332,13.625,18.1666,5.63166,11.2633,16.895,22.5266,6.72166,13.4433,20.165,26.8866,7.81166,15.6233,23.435,31.2466,8.90166,17.8033,26.705,35.6066,9.99165,19.9833,29.975,39.9666,0.966588,0.966588,1.93318,2.89977,3.86635,4.83294,5.79953,4.54166,5.54166,5.63166,6.63166,6.72166,7.72166,7.81166,8.81166,8.90166,9.90166,9.99165,10.9917,4.54166,5.54166,9.08332,10.0833,13.625,14.625,18.1666,19.1666,5.63166,6.63166,11.2633,12.2633,16.895,17.895,22.5266,23.5266,6.72166,7.72166,13.4433,14.4433,20.165,21.165,26.8866,27.8866,7.81166,8.81166,15.6233,16.6233,23.435,24.435,31.2466,32.2466,8.90166,9.90166,17.8033,18.8033,26.705,27.705,35.6066,36.6066,9.99165,10.9917,19.9833,20.9833,29.975,30.975,39.9666,40.9666
-2.26991,0.577424,1.11023,1,1,0,2.27051,2.13069,2.13069,4.26137,4.26137,6.39206,8.52274,10.6534,13.2103,15.7671,18.3239,20.8807,23.4375,10.6534,21.3069,31.9603,42.6137,13.2103,26.4205,39.6308,52.841,15.7671,31.5342,47.3012,63.0683,18.3239,36.6478,54.9717,73.2956,20.8807,41.7614,62.6422,83.5229,23.4375,46.8751,70.3126,93.7502,3.07959,3.07959,6.15918,9.23877,12.3184,15.398,18.4775,10.6534,11.6534,13.2103,14.2103,15.7671,16.7671,18.3239,19.3239,20.8807,21.8807,23.4375,24.4375,10.6534,11.6534,21.3069,22.3069,31.9603,32.9603,42.6137,43.6137,13.2103,14.2103,26.4205,27.4205,39.6308,40.6308,52.841,53.841,15.7671,16.7671,31.5342,32.5342,47.3012,48.3012,63.0683,64.0683,18.3239,19.3239,36.6478,37.6478,54.9717,55.9717,73.2956,74.2956,20.8807,21.8807,41.7614,42.7614,62.6422,63.6422,83.5229,84.5229,23.4375,24.4375,46.8751,47.8751,70.3126,71.3126,93.7502,94.7502
-0.0059627,0.881512,1.11023,2,3,0,3.07869,0.109203,0.109203,0.218407,0.218407,0.32761,0.436814,0.546017,0.677062,0.808106,0.93915,1.07019,1.20124,0.546017,1.09203,1.63805,2.18407,0.677062,1.35412,2.03118,2.70825,0.808106,1.61621,2.42432,3.23242,0.93915,1.8783,2.81745,3.7566,1.07019,2.14039,3.21058,4.28078,1.20124,2.40248,3.60371,4.80495,0.00560197,0.00560197,0.0112039,0.0168059,0.0224079,0.0280099,0.0336118,0.546017,1.54602,0.677062,1.67706,0.808106,1.80811,0.93915,1.93915,1.07019,2.07019,1.20124,2.20124,0.546017,1.54602,1.09203,2.09203,1.63805,2.63805,2.18407,3.18407,0.677062,1.67706,1.35412,2.35412,2.03118,3.03118,2.70825,3.70825,0.808106,1.80811,1.61621,2.61621,2.42432,3.42432,3.23242,4.23242,0.93915,1.93915,1.8783,2.8783,2.81745,3.81745,3.7566,4.7566,1.07019,2.07019,2.14039,3.14039,3.21058,4.21058,4.28078,5.28078,1.20124,2.20124,2.40248,3.40248,3.60371,4.60371,4.80495,5.80495
-0.0038093,1,1.11023,1,1,0,0.00609531,0.0872846,0.0872846,0.174569,0.174569,0.261854,0.349138,0.436423,0.541165,0.645906,0.750648,0.855389,0.960131,0.436423,0.872846,1.30927,1.74569,0.541165,1.08233,1.62349,2.16466,0.645906,1.29181,1.93772,2.58362,0.750648,1.5013,2.25194,3.00259,0.855389,1.71078,2.56617,3.42156,0.960131,1.92026,2.88039,3.84052,-0.192839,-0.192839,-0.385678,-0.578517,-0.771356,-0.964195,-1.15703,0.436423,1.43642,0.541165,1.54116,0.645906,1.64591,0.750648,1.75065,0.855389,1.85539,0.960131,1.96013,0.436423,1.43642,0.872846,1.87285,1.30927,2.30927,1.74569,2.74569,0.541165,1.54116,1.08233,2.08233,1.62349,2.62349,2.16466,3.16466,0.645906,1.64591,1.29181,2.29181,1.93772,2.93772,2.58362,3.58362,0.750648,1.75065,1.5013,2.5013,2.25194,3.25194,3.00259,4.00259,0.855389,1.85539,1.71078,2.71078,2.56617,3.56617,3.42156,4.42156,0.960131,1.96013,1.92026,2.92026,2.88039,3.88039,3.84052,4.84052
-0.0900953,0.979359,1.11023,1,3,0,0.0932354,0.424489,0.424489,0.848977,0.848977,1.27347,1.69795,2.12244,2.63183,3.14122,3.6506,4.15999,4.66938,2.12244,4.24489,6.36733,8.48977,2.63183,5.26366,7.89549,10.5273,3.14122,6.28243,9.42365,12.5649,3.6506,7.3012,10.9518,14.6024,4.15999,8.31998,12.48,16.64,4.66938,9.33875,14.0081,18.6775,0.321259,0.321259,0.642517,0.963776,1.28503,1.60629,1.92755,2.12244,3.12244,2.63183,3.63183,3.14122,4.14122,3.6506,4.6506,4.15999,5.15999,4.66938,5.66938,2.12244,3.12244,4.24489,5.24489,6.36733,7.36733,8.48977,9.48977,2.63183,3.63183,5.26366,6.26366,7.89549,8.89549,10.5273,11.5273,3.14122,4.14122,6.28243,7.28243,9.42365,10.4236,12.5649,13.5649,3.6506,4.6506,7.3012,8.3012,10.9518,11.9518,14.6024,15.6024,4.15999,5.15999,8.31998,9.31998,12.48,13.48,16.64,17.64,4.66938,5.66938,9.33875,10.3388,14.0081,15.0081,18.6775,19.6775
-0.133597,0.98722,1.11023,1,1,0,0.152823,0.516908,0.516908,1.03382,1.03382,1.55073,2.06763,2.58454,3.20483,3.82512,4.44541,5.0657,5.68599,2.58454,5.16908,7.75363,10.3382,3.20483,6.40966,9.6145,12.8193,3.82512,7.65024,11.4754,15.3005,4.44541,8.89083,13.3362,17.7817,5.0657,10.1314,15.1971,20.2628,5.68599,11.372,17.058,22.744,1.059,1.059,2.11801,3.17701,4.23601,5.29502,6.35402,2.58454,3.58454,3.20483,4.20483,3.82512,4.82512,4.44541,5.44541,5.0657,6.0657,5.68599,6.68599,2.58454,3.58454,5.16908,6.16908,7.75363,8.75363,10.3382,11.3382,3.20483,4.20483,6.40966,7.40966,9.6145,10.6145,12.8193,13.8193,3.82512,4.82512,7.65024,8.65024,11.4754,12.4754,15.3005,16.3005,4.44541,5.44541,8.89083,9.89083,13.3362,14.3362,17.7817,18.7817,5.0657,6.0657,10.1314,11.1314,15.1971,16.1971,20.2628,21.2628,5.68599,6.68599,11.372,12.372,17.058,18.058,22.744,23.744
