# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tup_01_model
# start_datetime = 2023-12-04 22:51:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1043408203 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/tup_01/tup_01_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,base,base_i,pair:1,pair:2,nested:1,nested:2:1,nested:2:2.real,nested:2:2.imag,arr_pair.1:1,arr_pair.1:2,arr_pair.2:1,arr_pair.2:2,arr_very_nested.1:1:1,arr_very_nested.1:1:2:1,arr_very_nested.1:1:2:2.real,arr_very_nested.1:1:2:2.imag,arr_very_nested.1:2,arr_very_nested.2:1:1,arr_very_nested.2:1:2:1,arr_very_nested.2:1:2:2.real,arr_very_nested.2:1:2:2.imag,arr_very_nested.2:2,arr_very_nested.3:1:1,arr_very_nested.3:1:2:1,arr_very_nested.3:1:2:2.real,arr_very_nested.3:1:2:2.imag,arr_very_nested.3:2,arr_2d_pair.1.1:1,arr_2d_pair.1.1:2,arr_2d_pair.2.1:1,arr_2d_pair.2.1:2,arr_2d_pair.3.1:1,arr_2d_pair.3.1:2,arr_2d_pair.1.2:1,arr_2d_pair.1.2:2,arr_2d_pair.2.2:1,arr_2d_pair.2.2:2,arr_2d_pair.3.2:1,arr_2d_pair.3.2:2,basep1,basep2,basep3,basep4,basep5
0,0,-0.0526123,5,-0.0526123,-0.105225,-0.157837,5,-0,-0.210449,-0.0526123,-0.105225,-0.263061,-0.315674,-0.157837,5,-0,-0.210449,-0.368286,-0.420898,10,-0,-0.473511,-0.526123,-0.157837,5,-0,-0.210449,-0.578735,-0.631347,-0.68396,-0.841797,-0.894409,-1.05225,-1.10486,-0.736572,-0.789184,-0.947021,-0.999633,-1.15747,-1.21008,0.947388,1.94739,2.94739,3.94739,4.94739
0,0,-1.19202,14,-1.19202,-2.38404,-3.57606,14,-0,-4.76808,-1.19202,-2.38404,-5.9601,-7.15212,-3.57606,14,-0,-4.76808,-8.34414,-9.53616,28,-0,-10.7282,-11.9202,-3.57606,14,-0,-4.76808,-13.1122,-14.3042,-15.4963,-19.0723,-20.2643,-23.8404,-25.0324,-16.6883,-17.8803,-21.4563,-22.6484,-26.2244,-27.4164,-0.192019,0.807981,1.80798,2.80798,3.80798
0,0,-0.146442,6,-0.146442,-0.292885,-0.439327,6,-0,-0.585769,-0.146442,-0.292885,-0.732212,-0.878654,-0.439327,6,-0,-0.585769,-1.0251,-1.17154,12,-0,-1.31798,-1.46442,-0.439327,6,-0,-0.585769,-1.61087,-1.75731,-1.90375,-2.34308,-2.48952,-2.92885,-3.07529,-2.05019,-2.19664,-2.63596,-2.7824,-3.22173,-3.36817,0.853558,1.85356,2.85356,3.85356,4.85356
0,0,-0.00533243,10,-0.00533243,-0.0106649,-0.0159973,10,-0,-0.0213297,-0.00533243,-0.0106649,-0.0266622,-0.0319946,-0.0159973,10,-0,-0.0213297,-0.037327,-0.0426595,20,-0,-0.0479919,-0.0533243,-0.0159973,10,-0,-0.0213297,-0.0586568,-0.0639892,-0.0693216,-0.0853189,-0.0906514,-0.106649,-0.111981,-0.0746541,-0.0799865,-0.0959838,-0.101316,-0.117314,-0.122646,0.994668,1.99467,2.99467,3.99467,4.99467
0,0,-0.273325,11,-0.273325,-0.54665,-0.819974,11,-0,-1.0933,-0.273325,-0.54665,-1.36662,-1.63995,-0.819974,11,-0,-1.0933,-1.91327,-2.1866,22,-0,-2.45992,-2.73325,-0.819974,11,-0,-1.0933,-3.00657,-3.2799,-3.55322,-4.3732,-4.64652,-5.4665,-5.73982,-3.82655,-4.09987,-4.91985,-5.19317,-6.01315,-6.28647,0.726675,1.72668,2.72668,3.72668,4.72668
0,0,0.955825,14,0.955825,1.91165,2.86748,14,0,3.8233,0.955825,1.91165,4.77913,5.73495,2.86748,14,0,3.8233,6.69078,7.6466,28,0,8.60243,9.55825,2.86748,14,0,3.8233,10.5141,11.4699,12.4257,15.2932,16.249,19.1165,20.0723,13.3816,14.3374,17.2049,18.1607,21.0282,21.984,1.95583,2.95583,3.95583,4.95583,5.95583
0,0,1.32103,0,1.32103,2.64207,3.9631,0,0,5.28413,1.32103,2.64207,6.60516,7.9262,3.9631,0,0,5.28413,9.24723,10.5683,0,0,11.8893,13.2103,3.9631,0,0,5.28413,14.5314,15.8524,17.1734,21.1365,22.4576,26.4207,27.7417,18.4945,19.8155,23.7786,25.0996,29.0627,30.3838,2.32103,3.32103,4.32103,5.32103,6.32103
0,0,0.164791,11,0.164791,0.329583,0.494374,11,0,0.659166,0.164791,0.329583,0.823957,0.988749,0.494374,11,0,0.659166,1.15354,1.31833,22,0,1.48312,1.64791,0.494374,11,0,0.659166,1.81271,1.9775,2.14229,2.63666,2.80146,3.29583,3.46062,2.30708,2.47187,2.96625,3.13104,3.62541,3.7902,1.16479,2.16479,3.16479,4.16479,5.16479
0,0,-2.01509,13,-2.01509,-4.03017,-6.04526,13,-0,-8.06034,-2.01509,-4.03017,-10.0754,-12.0905,-6.04526,13,-0,-8.06034,-14.1056,-16.1207,26,-0,-18.1358,-20.1509,-6.04526,13,-0,-8.06034,-22.1659,-24.181,-26.1961,-32.2414,-34.2565,-40.3017,-42.3168,-28.2112,-30.2263,-36.2715,-38.2866,-44.3319,-46.347,-1.01509,-0.0150857,0.984914,1.98491,2.98491
0,0,-1.29956,20,-1.29956,-2.59911,-3.89867,20,-0,-5.19822,-1.29956,-2.59911,-6.49778,-7.79733,-3.89867,20,-0,-5.19822,-9.09689,-10.3964,40,-0,-11.696,-12.9956,-3.89867,20,-0,-5.19822,-14.2951,-15.5947,-16.8942,-20.7929,-22.0924,-25.9911,-27.2907,-18.1938,-19.4933,-23.392,-24.6915,-28.5902,-29.8898,-0.299555,0.700445,1.70044,2.70044,3.70044
