# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tup_01_model
# start_datetime = 2023-12-04 22:51:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1043408203 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/tup_01/tup_01_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,base,base_i,pair:1,pair:2,nested:1,nested:2:1,nested:2:2.real,nested:2:2.imag,arr_pair.1:1,arr_pair.1:2,arr_pair.2:1,arr_pair.2:2,arr_very_nested.1:1:1,arr_very_nested.1:1:2:1,arr_very_nested.1:1:2:2.real,arr_very_nested.1:1:2:2.imag,arr_very_nested.1:2,arr_very_nested.2:1:1,arr_very_nested.2:1:2:1,arr_very_nested.2:1:2:2.real,arr_very_nested.2:1:2:2.imag,arr_very_nested.2:2,arr_very_nested.3:1:1,arr_very_nested.3:1:2:1,arr_very_nested.3:1:2:2.real,arr_very_nested.3:1:2:2.imag,arr_very_nested.3:2,arr_2d_pair.1.1:1,arr_2d_pair.1.1:2,arr_2d_pair.2.1:1,arr_2d_pair.2.1:2,arr_2d_pair.3.1:1,arr_2d_pair.3.1:2,arr_2d_pair.1.2:1,arr_2d_pair.1.2:2,arr_2d_pair.2.2:1,arr_2d_pair.2.2:2,arr_2d_pair.3.2:1,arr_2d_pair.3.2:2,basep1,basep2,basep3,basep4,basep5
0,0,1.23748,7,1.23748,2.47497,3.71245,7,0,4.94994,1.23748,2.47497,6.18742,7.4249,3.71245,7,0,4.94994,8.66239,9.89987,14,0,11.1374,12.3748,3.71245,7,0,4.94994,13.6123,14.8498,16.0873,19.7997,21.0372,24.7497,25.9872,17.3248,18.5623,22.2747,23.5122,27.2247,28.4621,2.23748,3.23748,4.23748,5.23748,6.23748
0,0,0.715238,4,0.715238,1.43048,2.14571,4,0,2.86095,0.715238,1.43048,3.57619,4.29143,2.14571,4,0,2.86095,5.00667,5.7219,8,0,6.43714,7.15238,2.14571,4,0,2.86095,7.86762,8.58285,9.29809,11.4438,12.159,14.3048,15.02,10.0133,10.7286,12.8743,13.5895,15.7352,16.4505,1.71524,2.71524,3.71524,4.71524,5.71524
0,0,1.19494,6,1.19494,2.38987,3.58481,6,0,4.77974,1.19494,2.38987,5.97468,7.16961,3.58481,6,0,4.77974,8.36455,9.55948,12,0,10.7544,11.9494,3.58481,6,0,4.77974,13.1443,14.3392,15.5342,19.119,20.3139,23.8987,25.0936,16.7291,17.924,21.5088,22.7038,26.2886,27.4835,2.19494,3.19494,4.19494,5.19494,6.19494
0,0,0.677408,13,0.677408,1.35482,2.03222,13,0,2.70963,0.677408,1.35482,3.38704,4.06445,2.03222,13,0,2.70963,4.74185,5.41926,26,0,6.09667,6.77408,2.03222,13,0,2.70963,7.45148,8.12889,8.8063,10.8385,11.5159,13.5482,14.2256,9.48371,10.1611,12.1933,12.8707,14.903,15.5804,1.67741,2.67741,3.67741,4.67741,5.67741
0,0,-2.26848,1,-2.26848,-4.53697,-6.80545,1,-0,-9.07394,-2.26848,-4.53697,-11.3424,-13.6109,-6.80545,1,-0,-9.07394,-15.8794,-18.1479,2,-0,-20.4164,-22.6848,-6.80545,1,-0,-9.07394,-24.9533,-27.2218,-29.4903,-36.2957,-38.5642,-45.3697,-47.6382,-31.7588,-34.0273,-40.8327,-43.1012,-49.9067,-52.1751,-1.26848,-0.268484,0.731516,1.73152,2.73152
0,0,0.920798,7,0.920798,1.8416,2.76239,7,0,3.68319,0.920798,1.8416,4.60399,5.52479,2.76239,7,0,3.68319,6.44559,7.36638,14,0,8.28718,9.20798,2.76239,7,0,3.68319,10.1288,11.0496,11.9704,14.7328,15.6536,18.416,19.3368,12.8912,13.812,16.5744,17.4952,20.2576,21.1784,1.9208,2.9208,3.9208,4.9208,5.9208
0,0,1.21442,23,1.21442,2.42885,3.64327,23,0,4.8577,1.21442,2.42885,6.07212,7.28655,3.64327,23,0,4.8577,8.50097,9.7154,46,0,10.9298,12.1442,3.64327,23,0,4.8577,13.3587,14.5731,15.7875,19.4308,20.6452,24.2885,25.5029,17.0019,18.2164,21.8596,23.0741,26.7173,27.9318,2.21442,3.21442,4.21442,5.21442,6.21442
0,0,-0.76894,8,-0.76894,-1.53788,-2.30682,8,-0,-3.07576,-0.76894,-1.53788,-3.8447,-4.61364,-2.30682,8,-0,-3.07576,-5.38258,-6.15152,16,-0,-6.92046,-7.6894,-2.30682,8,-0,-3.07576,-8.45834,-9.22728,-9.99622,-12.303,-13.072,-15.3788,-16.1477,-10.7652,-11.5341,-13.8409,-14.6099,-16.9167,-17.6856,0.23106,1.23106,2.23106,3.23106,4.23106
0,0,2.03228,-4,2.03228,4.06457,6.09685,-4,0,8.12914,2.03228,4.06457,10.1614,12.1937,6.09685,-4,0,8.12914,14.226,16.2583,-8,0,18.2906,20.3228,6.09685,-4,0,8.12914,22.3551,24.3874,26.4197,32.5165,34.5488,40.6457,42.678,28.452,30.4843,36.5811,38.6134,44.7102,46.7425,3.03228,4.03228,5.03228,6.03228,7.03228
0,0,0.241177,27,0.241177,0.482354,0.723532,27,0,0.964709,0.241177,0.482354,1.20589,1.44706,0.723532,27,0,0.964709,1.68824,1.92942,54,0,2.17059,2.41177,0.723532,27,0,0.964709,2.65295,2.89413,3.1353,3.85883,4.10001,4.82354,5.06472,3.37648,3.61766,4.34119,4.58237,5.3059,5.54708,1.24118,2.24118,3.24118,4.24118,5.24118
0,0,0.703473,12,0.703473,1.40695,2.11042,12,0,2.81389,0.703473,1.40695,3.51737,4.22084,2.11042,12,0,2.81389,4.92431,5.62779,24,0,6.33126,7.03473,2.11042,12,0,2.81389,7.73821,8.44168,9.14515,11.2556,11.959,14.0695,14.7729,9.84863,10.5521,12.6625,13.366,15.4764,16.1799,1.70347,2.70347,3.70347,4.70347,5.70347
0,0,-2.30768,5,-2.30768,-4.61535,-6.92303,5,-0,-9.23071,-2.30768,-4.61535,-11.5384,-13.8461,-6.92303,5,-0,-9.23071,-16.1537,-18.4614,10,-0,-20.7691,-23.0768,-6.92303,5,-0,-9.23071,-25.3844,-27.6921,-29.9998,-36.9228,-39.2305,-46.1535,-48.4612,-32.3075,-34.6151,-41.5382,-43.8459,-50.7689,-53.0766,-1.30768,-0.307676,0.692324,1.69232,2.69232
0,0,-0.807297,14,-0.807297,-1.61459,-2.42189,14,-0,-3.22919,-0.807297,-1.61459,-4.03649,-4.84378,-2.42189,14,-0,-3.22919,-5.65108,-6.45838,28,-0,-7.26568,-8.07297,-2.42189,14,-0,-3.22919,-8.88027,-9.68757,-10.4949,-12.9168,-13.7241,-16.1459,-16.9532,-11.3022,-12.1095,-14.5314,-15.3387,-17.7605,-18.5678,0.192703,1.1927,2.1927,3.1927,4.1927
0,0,-1.06204,10,-1.06204,-2.12409,-3.18613,10,-0,-4.24818,-1.06204,-2.12409,-5.31022,-6.37227,-3.18613,10,-0,-4.24818,-7.43431,-8.49636,20,-0,-9.5584,-10.6204,-3.18613,10,-0,-4.24818,-11.6825,-12.7445,-13.8066,-16.9927,-18.0548,-21.2409,-22.3029,-14.8686,-15.9307,-19.1168,-20.1788,-23.365,-24.427,-0.0620447,0.937955,1.93796,2.93796,3.93796
0,0,-0.459747,15,-0.459747,-0.919493,-1.37924,15,-0,-1.83899,-0.459747,-0.919493,-2.29873,-2.75848,-1.37924,15,-0,-1.83899,-3.21823,-3.67797,30,-0,-4.13772,-4.59747,-1.37924,15,-0,-1.83899,-5.05721,-5.51696,-5.97671,-7.35595,-7.81569,-9.19493,-9.65468,-6.43645,-6.8962,-8.27544,-8.73519,-10.1144,-10.5742,0.540253,1.54025,2.54025,3.54025,4.54025
0,0,-1.0639,-9,-1.0639,-2.12781,-3.19171,-9,-0,-4.25561,-1.0639,-2.12781,-5.31952,-6.38342,-3.19171,-9,-0,-4.25561,-7.44732,-8.51123,-18,-0,-9.57513,-10.639,-3.19171,-9,-0,-4.25561,-11.7029,-12.7668,-13.8307,-17.0225,-18.0864,-21.2781,-22.342,-14.8946,-15.9585,-19.1503,-20.2142,-23.4059,-24.4698,-0.0639033,0.936097,1.9361,2.9361,3.9361
0,0,-1.06338,8,-1.06338,-2.12676,-3.19014,8,-0,-4.25353,-1.06338,-2.12676,-5.31691,-6.38029,-3.19014,8,-0,-4.25353,-7.44367,-8.50705,16,-0,-9.57043,-10.6338,-3.19014,8,-0,-4.25353,-11.6972,-12.7606,-13.824,-17.0141,-18.0775,-21.2676,-22.331,-14.8873,-15.9507,-19.1409,-20.2043,-23.3944,-24.4578,-0.0633816,0.936618,1.93662,2.93662,3.93662
0,0,0.826471,1,0.826471,1.65294,2.47941,1,0,3.30588,0.826471,1.65294,4.13235,4.95882,2.47941,1,0,3.30588,5.78529,6.61176,2,0,7.43824,8.26471,2.47941,1,0,3.30588,9.09118,9.91765,10.7441,13.2235,14.05,16.5294,17.3559,11.5706,12.3971,14.8765,15.7029,18.1824,19.0088,1.82647,2.82647,3.82647,4.82647,5.82647
0,0,0.0954487,9,0.0954487,0.190897,0.286346,9,0,0.381795,0.0954487,0.190897,0.477243,0.572692,0.286346,9,0,0.381795,0.668141,0.76359,18,0,0.859038,0.954487,0.286346,9,0,0.381795,1.04994,1.14538,1.24083,1.52718,1.62263,1.90897,2.00442,1.33628,1.43173,1.71808,1.81353,2.09987,2.19532,1.09545,2.09545,3.09545,4.09545,5.09545
