# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tup_03_model
# start_datetime = 2023-12-04 23:49:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1046885734 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/tup_03/tup_03_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,base,m.1.1,m.2.1,m.3.1,m.4.1,m.1.2,m.2.2,m.3.2,m.4.2,m.1.3,m.2.3,m.3.3,m.4.3,m.1.4,m.2.4,m.3.4,m.4.4,m.1.5,m.2.5,m.3.5,m.4.5,u.1.1:1.1:1,u.1.1:1.1:2.1,u.1.1:1.1:2.2,u.1.1:1.2:1,u.1.1:1.2:2.1,u.1.1:1.2:2.2,u.1.1:2.1.1,u.1.1:2.2.1,u.1.1:2.3.1,u.1.1:2.4.1,u.1.1:2.1.2,u.1.1:2.2.2,u.1.1:2.3.2,u.1.1:2.4.2,u.1.1:2.1.3,u.1.1:2.2.3,u.1.1:2.3.3,u.1.1:2.4.3,u.1.1:2.1.4,u.1.1:2.2.4,u.1.1:2.3.4,u.1.1:2.4.4,u.1.1:2.1.5,u.1.1:2.2.5,u.1.1:2.3.5,u.1.1:2.4.5,u.2.1:1.1:1,u.2.1:1.1:2.1,u.2.1:1.1:2.2,u.2.1:1.2:1,u.2.1:1.2:2.1,u.2.1:1.2:2.2,u.2.1:2.1.1,u.2.1:2.2.1,u.2.1:2.3.1,u.2.1:2.4.1,u.2.1:2.1.2,u.2.1:2.2.2,u.2.1:2.3.2,u.2.1:2.4.2,u.2.1:2.1.3,u.2.1:2.2.3,u.2.1:2.3.3,u.2.1:2.4.3,u.2.1:2.1.4,u.2.1:2.2.4,u.2.1:2.3.4,u.2.1:2.4.4,u.2.1:2.1.5,u.2.1:2.2.5,u.2.1:2.3.5,u.2.1:2.4.5,u.1.2:1.1:1,u.1.2:1.1:2.1,u.1.2:1.1:2.2,u.1.2:1.2:1,u.1.2:1.2:2.1,u.1.2:1.2:2.2,u.1.2:2.1.1,u.1.2:2.2.1,u.1.2:2.3.1,u.1.2:2.4.1,u.1.2:2.1.2,u.1.2:2.2.2,u.1.2:2.3.2,u.1.2:2.4.2,u.1.2:2.1.3,u.1.2:2.2.3,u.1.2:2.3.3,u.1.2:2.4.3,u.1.2:2.1.4,u.1.2:2.2.4,u.1.2:2.3.4,u.1.2:2.4.4,u.1.2:2.1.5,u.1.2:2.2.5,u.1.2:2.3.5,u.1.2:2.4.5,u.2.2:1.1:1,u.2.2:1.1:2.1,u.2.2:1.1:2.2,u.2.2:1.2:1,u.2.2:1.2:2.1,u.2.2:1.2:2.2,u.2.2:2.1.1,u.2.2:2.2.1,u.2.2:2.3.1,u.2.2:2.4.1,u.2.2:2.1.2,u.2.2:2.2.2,u.2.2:2.3.2,u.2.2:2.4.2,u.2.2:2.1.3,u.2.2:2.2.3,u.2.2:2.3.3,u.2.2:2.4.3,u.2.2:2.1.4,u.2.2:2.2.4,u.2.2:2.3.4,u.2.2:2.4.4,u.2.2:2.1.5,u.2.2:2.2.5,u.2.2:2.3.5,u.2.2:2.4.5,u.1.3:1.1:1,u.1.3:1.1:2.1,u.1.3:1.1:2.2,u.1.3:1.2:1,u.1.3:1.2:2.1,u.1.3:1.2:2.2,u.1.3:2.1.1,u.1.3:2.2.1,u.1.3:2.3.1,u.1.3:2.4.1,u.1.3:2.1.2,u.1.3:2.2.2,u.1.3:2.3.2,u.1.3:2.4.2,u.1.3:2.1.3,u.1.3:2.2.3,u.1.3:2.3.3,u.1.3:2.4.3,u.1.3:2.1.4,u.1.3:2.2.4,u.1.3:2.3.4,u.1.3:2.4.4,u.1.3:2.1.5,u.1.3:2.2.5,u.1.3:2.3.5,u.1.3:2.4.5,u.2.3:1.1:1,u.2.3:1.1:2.1,u.2.3:1.1:2.2,u.2.3:1.2:1,u.2.3:1.2:2.1,u.2.3:1.2:2.2,u.2.3:2.1.1,u.2.3:2.2.1,u.2.3:2.3.1,u.2.3:2.4.1,u.2.3:2.1.2,u.2.3:2.2.2,u.2.3:2.3.2,u.2.3:2.4.2,u.2.3:2.1.3,u.2.3:2.2.3,u.2.3:2.3.3,u.2.3:2.4.3,u.2.3:2.1.4,u.2.3:2.2.4,u.2.3:2.3.4,u.2.3:2.4.4,u.2.3:2.1.5,u.2.3:2.2.5,u.2.3:2.3.5,u.2.3:2.4.5
0,0,1.42152,9.95065,10.2499,10.5492,10.8485,11.1477,11.447,11.7463,12.0455,12.3448,12.6441,12.9433,13.2426,13.5419,13.8411,14.1404,14.4397,14.7389,15.0382,15.3375,15.6367,1.42152,2.84304,4.26457,5.68609,7.10761,8.52913,9.95065,10.2499,10.5492,10.8485,11.1477,11.447,11.7463,12.0455,12.3448,12.6441,12.9433,13.2426,13.5419,13.8411,14.1404,14.4397,14.7389,15.0382,15.3375,15.6367,1.42152,2.84304,4.26457,5.68609,7.10761,8.52913,9.95065,10.2499,10.5492,10.8485,11.1477,11.447,11.7463,12.0455,12.3448,12.6441,12.9433,13.2426,13.5419,13.8411,14.1404,14.4397,14.7389,15.0382,15.3375,15.6367,1.42152,2.84304,4.26457,5.68609,7.10761,8.52913,9.95065,10.2499,10.5492,10.8485,11.1477,11.447,11.7463,12.0455,12.3448,12.6441,12.9433,13.2426,13.5419,13.8411,14.1404,14.4397,14.7389,15.0382,15.3375,15.6367,1.42152,2.84304,4.26457,5.68609,7.10761,8.52913,9.95065,10.2499,10.5492,10.8485,11.1477,11.447,11.7463,12.0455,12.3448,12.6441,12.9433,13.2426,13.5419,13.8411,14.1404,14.4397,14.7389,15.0382,15.3375,15.6367,1.42152,2.84304,4.26457,5.68609,7.10761,8.52913,9.95065,10.2499,10.5492,10.8485,11.1477,11.447,11.7463,12.0455,12.3448,12.6441,12.9433,13.2426,13.5419,13.8411,14.1404,14.4397,14.7389,15.0382,15.3375,15.6367,1.42152,2.84304,4.26457,5.68609,7.10761,8.52913,9.95065,10.2499,10.5492,10.8485,11.1477,11.447,11.7463,12.0455,12.3448,12.6441,12.9433,13.2426,13.5419,13.8411,14.1404,14.4397,14.7389,15.0382,15.3375,15.6367
0,0,1.07671,7.53697,7.76364,7.99032,8.217,8.44367,8.67035,8.89702,9.1237,9.35037,9.57705,9.80373,10.0304,10.2571,10.4838,10.7104,10.9371,11.1638,11.3905,11.6171,11.8438,1.07671,2.15342,3.23013,4.30684,5.38355,6.46026,7.53697,7.76364,7.99032,8.217,8.44367,8.67035,8.89702,9.1237,9.35037,9.57705,9.80373,10.0304,10.2571,10.4838,10.7104,10.9371,11.1638,11.3905,11.6171,11.8438,1.07671,2.15342,3.23013,4.30684,5.38355,6.46026,7.53697,7.76364,7.99032,8.217,8.44367,8.67035,8.89702,9.1237,9.35037,9.57705,9.80373,10.0304,10.2571,10.4838,10.7104,10.9371,11.1638,11.3905,11.6171,11.8438,1.07671,2.15342,3.23013,4.30684,5.38355,6.46026,7.53697,7.76364,7.99032,8.217,8.44367,8.67035,8.89702,9.1237,9.35037,9.57705,9.80373,10.0304,10.2571,10.4838,10.7104,10.9371,11.1638,11.3905,11.6171,11.8438,1.07671,2.15342,3.23013,4.30684,5.38355,6.46026,7.53697,7.76364,7.99032,8.217,8.44367,8.67035,8.89702,9.1237,9.35037,9.57705,9.80373,10.0304,10.2571,10.4838,10.7104,10.9371,11.1638,11.3905,11.6171,11.8438,1.07671,2.15342,3.23013,4.30684,5.38355,6.46026,7.53697,7.76364,7.99032,8.217,8.44367,8.67035,8.89702,9.1237,9.35037,9.57705,9.80373,10.0304,10.2571,10.4838,10.7104,10.9371,11.1638,11.3905,11.6171,11.8438,1.07671,2.15342,3.23013,4.30684,5.38355,6.46026,7.53697,7.76364,7.99032,8.217,8.44367,8.67035,8.89702,9.1237,9.35037,9.57705,9.80373,10.0304,10.2571,10.4838,10.7104,10.9371,11.1638,11.3905,11.6171,11.8438
0,0,0.849388,5.94572,6.12454,6.30335,6.48217,6.66099,6.83981,7.01863,7.19745,7.37627,7.55508,7.7339,7.91272,8.09154,8.27036,8.44918,8.628,8.80681,8.98563,9.16445,9.34327,0.849388,1.69878,2.54816,3.39755,4.24694,5.09633,5.94572,6.12454,6.30335,6.48217,6.66099,6.83981,7.01863,7.19745,7.37627,7.55508,7.7339,7.91272,8.09154,8.27036,8.44918,8.628,8.80681,8.98563,9.16445,9.34327,0.849388,1.69878,2.54816,3.39755,4.24694,5.09633,5.94572,6.12454,6.30335,6.48217,6.66099,6.83981,7.01863,7.19745,7.37627,7.55508,7.7339,7.91272,8.09154,8.27036,8.44918,8.628,8.80681,8.98563,9.16445,9.34327,0.849388,1.69878,2.54816,3.39755,4.24694,5.09633,5.94572,6.12454,6.30335,6.48217,6.66099,6.83981,7.01863,7.19745,7.37627,7.55508,7.7339,7.91272,8.09154,8.27036,8.44918,8.628,8.80681,8.98563,9.16445,9.34327,0.849388,1.69878,2.54816,3.39755,4.24694,5.09633,5.94572,6.12454,6.30335,6.48217,6.66099,6.83981,7.01863,7.19745,7.37627,7.55508,7.7339,7.91272,8.09154,8.27036,8.44918,8.628,8.80681,8.98563,9.16445,9.34327,0.849388,1.69878,2.54816,3.39755,4.24694,5.09633,5.94572,6.12454,6.30335,6.48217,6.66099,6.83981,7.01863,7.19745,7.37627,7.55508,7.7339,7.91272,8.09154,8.27036,8.44918,8.628,8.80681,8.98563,9.16445,9.34327,0.849388,1.69878,2.54816,3.39755,4.24694,5.09633,5.94572,6.12454,6.30335,6.48217,6.66099,6.83981,7.01863,7.19745,7.37627,7.55508,7.7339,7.91272,8.09154,8.27036,8.44918,8.628,8.80681,8.98563,9.16445,9.34327
0,0,1.42067,9.94468,10.2438,10.5429,10.8419,11.141,11.4401,11.7392,12.0383,12.3374,12.6365,12.9356,13.2346,13.5337,13.8328,14.1319,14.431,14.7301,15.0292,15.3283,15.6274,1.42067,2.84134,4.26201,5.68267,7.10334,8.52401,9.94468,10.2438,10.5429,10.8419,11.141,11.4401,11.7392,12.0383,12.3374,12.6365,12.9356,13.2346,13.5337,13.8328,14.1319,14.431,14.7301,15.0292,15.3283,15.6274,1.42067,2.84134,4.26201,5.68267,7.10334,8.52401,9.94468,10.2438,10.5429,10.8419,11.141,11.4401,11.7392,12.0383,12.3374,12.6365,12.9356,13.2346,13.5337,13.8328,14.1319,14.431,14.7301,15.0292,15.3283,15.6274,1.42067,2.84134,4.26201,5.68267,7.10334,8.52401,9.94468,10.2438,10.5429,10.8419,11.141,11.4401,11.7392,12.0383,12.3374,12.6365,12.9356,13.2346,13.5337,13.8328,14.1319,14.431,14.7301,15.0292,15.3283,15.6274,1.42067,2.84134,4.26201,5.68267,7.10334,8.52401,9.94468,10.2438,10.5429,10.8419,11.141,11.4401,11.7392,12.0383,12.3374,12.6365,12.9356,13.2346,13.5337,13.8328,14.1319,14.431,14.7301,15.0292,15.3283,15.6274,1.42067,2.84134,4.26201,5.68267,7.10334,8.52401,9.94468,10.2438,10.5429,10.8419,11.141,11.4401,11.7392,12.0383,12.3374,12.6365,12.9356,13.2346,13.5337,13.8328,14.1319,14.431,14.7301,15.0292,15.3283,15.6274,1.42067,2.84134,4.26201,5.68267,7.10334,8.52401,9.94468,10.2438,10.5429,10.8419,11.141,11.4401,11.7392,12.0383,12.3374,12.6365,12.9356,13.2346,13.5337,13.8328,14.1319,14.431,14.7301,15.0292,15.3283,15.6274
0,0,-1.71033,-11.9723,-12.3324,-12.6925,-13.0525,-13.4126,-13.7727,-14.1327,-14.4928,-14.8529,-15.213,-15.573,-15.9331,-16.2932,-16.6532,-17.0133,-17.3734,-17.7334,-18.0935,-18.4536,-18.8137,-1.71033,-3.42066,-5.131,-6.84133,-8.55166,-10.262,-11.9723,-12.3324,-12.6925,-13.0525,-13.4126,-13.7727,-14.1327,-14.4928,-14.8529,-15.213,-15.573,-15.9331,-16.2932,-16.6532,-17.0133,-17.3734,-17.7334,-18.0935,-18.4536,-18.8137,-1.71033,-3.42066,-5.131,-6.84133,-8.55166,-10.262,-11.9723,-12.3324,-12.6925,-13.0525,-13.4126,-13.7727,-14.1327,-14.4928,-14.8529,-15.213,-15.573,-15.9331,-16.2932,-16.6532,-17.0133,-17.3734,-17.7334,-18.0935,-18.4536,-18.8137,-1.71033,-3.42066,-5.131,-6.84133,-8.55166,-10.262,-11.9723,-12.3324,-12.6925,-13.0525,-13.4126,-13.7727,-14.1327,-14.4928,-14.8529,-15.213,-15.573,-15.9331,-16.2932,-16.6532,-17.0133,-17.3734,-17.7334,-18.0935,-18.4536,-18.8137,-1.71033,-3.42066,-5.131,-6.84133,-8.55166,-10.262,-11.9723,-12.3324,-12.6925,-13.0525,-13.4126,-13.7727,-14.1327,-14.4928,-14.8529,-15.213,-15.573,-15.9331,-16.2932,-16.6532,-17.0133,-17.3734,-17.7334,-18.0935,-18.4536,-18.8137,-1.71033,-3.42066,-5.131,-6.84133,-8.55166,-10.262,-11.9723,-12.3324,-12.6925,-13.0525,-13.4126,-13.7727,-14.1327,-14.4928,-14.8529,-15.213,-15.573,-15.9331,-16.2932,-16.6532,-17.0133,-17.3734,-17.7334,-18.0935,-18.4536,-18.8137,-1.71033,-3.42066,-5.131,-6.84133,-8.55166,-10.262,-11.9723,-12.3324,-12.6925,-13.0525,-13.4126,-13.7727,-14.1327,-14.4928,-14.8529,-15.213,-15.573,-15.9331,-16.2932,-16.6532,-17.0133,-17.3734,-17.7334,-18.0935,-18.4536,-18.8137
0,0,0.743872,5.20711,5.36371,5.52032,5.67692,5.83352,5.99013,6.14673,6.30334,6.45994,6.61655,6.77315,6.92976,7.08636,7.24297,7.39957,7.55618,7.71278,7.86939,8.02599,8.18259,0.743872,1.48774,2.23162,2.97549,3.71936,4.46323,5.20711,5.36371,5.52032,5.67692,5.83352,5.99013,6.14673,6.30334,6.45994,6.61655,6.77315,6.92976,7.08636,7.24297,7.39957,7.55618,7.71278,7.86939,8.02599,8.18259,0.743872,1.48774,2.23162,2.97549,3.71936,4.46323,5.20711,5.36371,5.52032,5.67692,5.83352,5.99013,6.14673,6.30334,6.45994,6.61655,6.77315,6.92976,7.08636,7.24297,7.39957,7.55618,7.71278,7.86939,8.02599,8.18259,0.743872,1.48774,2.23162,2.97549,3.71936,4.46323,5.20711,5.36371,5.52032,5.67692,5.83352,5.99013,6.14673,6.30334,6.45994,6.61655,6.77315,6.92976,7.08636,7.24297,7.39957,7.55618,7.71278,7.86939,8.02599,8.18259,0.743872,1.48774,2.23162,2.97549,3.71936,4.46323,5.20711,5.36371,5.52032,5.67692,5.83352,5.99013,6.14673,6.30334,6.45994,6.61655,6.77315,6.92976,7.08636,7.24297,7.39957,7.55618,7.71278,7.86939,8.02599,8.18259,0.743872,1.48774,2.23162,2.97549,3.71936,4.46323,5.20711,5.36371,5.52032,5.67692,5.83352,5.99013,6.14673,6.30334,6.45994,6.61655,6.77315,6.92976,7.08636,7.24297,7.39957,7.55618,7.71278,7.86939,8.02599,8.18259,0.743872,1.48774,2.23162,2.97549,3.71936,4.46323,5.20711,5.36371,5.52032,5.67692,5.83352,5.99013,6.14673,6.30334,6.45994,6.61655,6.77315,6.92976,7.08636,7.24297,7.39957,7.55618,7.71278,7.86939,8.02599,8.18259
0,0,1.97993,13.8595,14.2763,14.6932,15.11,15.5268,15.9436,16.3605,16.7773,17.1941,17.6109,18.0278,18.4446,18.8614,19.2783,19.6951,20.1119,20.5287,20.9456,21.3624,21.7792,1.97993,3.95986,5.93979,7.91972,9.89964,11.8796,13.8595,14.2763,14.6932,15.11,15.5268,15.9436,16.3605,16.7773,17.1941,17.6109,18.0278,18.4446,18.8614,19.2783,19.6951,20.1119,20.5287,20.9456,21.3624,21.7792,1.97993,3.95986,5.93979,7.91972,9.89964,11.8796,13.8595,14.2763,14.6932,15.11,15.5268,15.9436,16.3605,16.7773,17.1941,17.6109,18.0278,18.4446,18.8614,19.2783,19.6951,20.1119,20.5287,20.9456,21.3624,21.7792,1.97993,3.95986,5.93979,7.91972,9.89964,11.8796,13.8595,14.2763,14.6932,15.11,15.5268,15.9436,16.3605,16.7773,17.1941,17.6109,18.0278,18.4446,18.8614,19.2783,19.6951,20.1119,20.5287,20.9456,21.3624,21.7792,1.97993,3.95986,5.93979,7.91972,9.89964,11.8796,13.8595,14.2763,14.6932,15.11,15.5268,15.9436,16.3605,16.7773,17.1941,17.6109,18.0278,18.4446,18.8614,19.2783,19.6951,20.1119,20.5287,20.9456,21.3624,21.7792,1.97993,3.95986,5.93979,7.91972,9.89964,11.8796,13.8595,14.2763,14.6932,15.11,15.5268,15.9436,16.3605,16.7773,17.1941,17.6109,18.0278,18.4446,18.8614,19.2783,19.6951,20.1119,20.5287,20.9456,21.3624,21.7792,1.97993,3.95986,5.93979,7.91972,9.89964,11.8796,13.8595,14.2763,14.6932,15.11,15.5268,15.9436,16.3605,16.7773,17.1941,17.6109,18.0278,18.4446,18.8614,19.2783,19.6951,20.1119,20.5287,20.9456,21.3624,21.7792
0,0,0.180025,1.26017,1.29807,1.33597,1.37387,1.41177,1.44967,1.48757,1.52547,1.56337,1.60127,1.63917,1.67707,1.71497,1.75287,1.79077,1.82867,1.86657,1.90447,1.94237,1.98027,0.180025,0.360049,0.540074,0.720098,0.900123,1.08015,1.26017,1.29807,1.33597,1.37387,1.41177,1.44967,1.48757,1.52547,1.56337,1.60127,1.63917,1.67707,1.71497,1.75287,1.79077,1.82867,1.86657,1.90447,1.94237,1.98027,0.180025,0.360049,0.540074,0.720098,0.900123,1.08015,1.26017,1.29807,1.33597,1.37387,1.41177,1.44967,1.48757,1.52547,1.56337,1.60127,1.63917,1.67707,1.71497,1.75287,1.79077,1.82867,1.86657,1.90447,1.94237,1.98027,0.180025,0.360049,0.540074,0.720098,0.900123,1.08015,1.26017,1.29807,1.33597,1.37387,1.41177,1.44967,1.48757,1.52547,1.56337,1.60127,1.63917,1.67707,1.71497,1.75287,1.79077,1.82867,1.86657,1.90447,1.94237,1.98027,0.180025,0.360049,0.540074,0.720098,0.900123,1.08015,1.26017,1.29807,1.33597,1.37387,1.41177,1.44967,1.48757,1.52547,1.56337,1.60127,1.63917,1.67707,1.71497,1.75287,1.79077,1.82867,1.86657,1.90447,1.94237,1.98027,0.180025,0.360049,0.540074,0.720098,0.900123,1.08015,1.26017,1.29807,1.33597,1.37387,1.41177,1.44967,1.48757,1.52547,1.56337,1.60127,1.63917,1.67707,1.71497,1.75287,1.79077,1.82867,1.86657,1.90447,1.94237,1.98027,0.180025,0.360049,0.540074,0.720098,0.900123,1.08015,1.26017,1.29807,1.33597,1.37387,1.41177,1.44967,1.48757,1.52547,1.56337,1.60127,1.63917,1.67707,1.71497,1.75287,1.79077,1.82867,1.86657,1.90447,1.94237,1.98027
0,0,-0.503411,-3.52388,-3.62986,-3.73584,-3.84182,-3.9478,-4.05378,-4.15977,-4.26575,-4.37173,-4.47771,-4.58369,-4.68967,-4.79565,-4.90163,-5.00762,-5.1136,-5.21958,-5.32556,-5.43154,-5.53752,-0.503411,-1.00682,-1.51023,-2.01364,-2.51706,-3.02047,-3.52388,-3.62986,-3.73584,-3.84182,-3.9478,-4.05378,-4.15977,-4.26575,-4.37173,-4.47771,-4.58369,-4.68967,-4.79565,-4.90163,-5.00762,-5.1136,-5.21958,-5.32556,-5.43154,-5.53752,-0.503411,-1.00682,-1.51023,-2.01364,-2.51706,-3.02047,-3.52388,-3.62986,-3.73584,-3.84182,-3.9478,-4.05378,-4.15977,-4.26575,-4.37173,-4.47771,-4.58369,-4.68967,-4.79565,-4.90163,-5.00762,-5.1136,-5.21958,-5.32556,-5.43154,-5.53752,-0.503411,-1.00682,-1.51023,-2.01364,-2.51706,-3.02047,-3.52388,-3.62986,-3.73584,-3.84182,-3.9478,-4.05378,-4.15977,-4.26575,-4.37173,-4.47771,-4.58369,-4.68967,-4.79565,-4.90163,-5.00762,-5.1136,-5.21958,-5.32556,-5.43154,-5.53752,-0.503411,-1.00682,-1.51023,-2.01364,-2.51706,-3.02047,-3.52388,-3.62986,-3.73584,-3.84182,-3.9478,-4.05378,-4.15977,-4.26575,-4.37173,-4.47771,-4.58369,-4.68967,-4.79565,-4.90163,-5.00762,-5.1136,-5.21958,-5.32556,-5.43154,-5.53752,-0.503411,-1.00682,-1.51023,-2.01364,-2.51706,-3.02047,-3.52388,-3.62986,-3.73584,-3.84182,-3.9478,-4.05378,-4.15977,-4.26575,-4.37173,-4.47771,-4.58369,-4.68967,-4.79565,-4.90163,-5.00762,-5.1136,-5.21958,-5.32556,-5.43154,-5.53752,-0.503411,-1.00682,-1.51023,-2.01364,-2.51706,-3.02047,-3.52388,-3.62986,-3.73584,-3.84182,-3.9478,-4.05378,-4.15977,-4.26575,-4.37173,-4.47771,-4.58369,-4.68967,-4.79565,-4.90163,-5.00762,-5.1136,-5.21958,-5.32556,-5.43154,-5.53752
0,0,0.916298,6.41408,6.60699,6.79989,6.9928,7.1857,7.37861,7.57151,7.76442,7.95732,8.15023,8.34313,8.53604,8.72894,8.92184,9.11475,9.30765,9.50056,9.69346,9.88637,10.0793,0.916298,1.8326,2.74889,3.66519,4.58149,5.49779,6.41408,6.60699,6.79989,6.9928,7.1857,7.37861,7.57151,7.76442,7.95732,8.15023,8.34313,8.53604,8.72894,8.92184,9.11475,9.30765,9.50056,9.69346,9.88637,10.0793,0.916298,1.8326,2.74889,3.66519,4.58149,5.49779,6.41408,6.60699,6.79989,6.9928,7.1857,7.37861,7.57151,7.76442,7.95732,8.15023,8.34313,8.53604,8.72894,8.92184,9.11475,9.30765,9.50056,9.69346,9.88637,10.0793,0.916298,1.8326,2.74889,3.66519,4.58149,5.49779,6.41408,6.60699,6.79989,6.9928,7.1857,7.37861,7.57151,7.76442,7.95732,8.15023,8.34313,8.53604,8.72894,8.92184,9.11475,9.30765,9.50056,9.69346,9.88637,10.0793,0.916298,1.8326,2.74889,3.66519,4.58149,5.49779,6.41408,6.60699,6.79989,6.9928,7.1857,7.37861,7.57151,7.76442,7.95732,8.15023,8.34313,8.53604,8.72894,8.92184,9.11475,9.30765,9.50056,9.69346,9.88637,10.0793,0.916298,1.8326,2.74889,3.66519,4.58149,5.49779,6.41408,6.60699,6.79989,6.9928,7.1857,7.37861,7.57151,7.76442,7.95732,8.15023,8.34313,8.53604,8.72894,8.92184,9.11475,9.30765,9.50056,9.69346,9.88637,10.0793,0.916298,1.8326,2.74889,3.66519,4.58149,5.49779,6.41408,6.60699,6.79989,6.9928,7.1857,7.37861,7.57151,7.76442,7.95732,8.15023,8.34313,8.53604,8.72894,8.92184,9.11475,9.30765,9.50056,9.69346,9.88637,10.0793
