# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tup_03_model
# start_datetime = 2023-12-04 23:49:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1046885734 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/tup_03/tup_03_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,base,m.1.1,m.2.1,m.3.1,m.4.1,m.1.2,m.2.2,m.3.2,m.4.2,m.1.3,m.2.3,m.3.3,m.4.3,m.1.4,m.2.4,m.3.4,m.4.4,m.1.5,m.2.5,m.3.5,m.4.5,u.1.1:1.1:1,u.1.1:1.1:2.1,u.1.1:1.1:2.2,u.1.1:1.2:1,u.1.1:1.2:2.1,u.1.1:1.2:2.2,u.1.1:2.1.1,u.1.1:2.2.1,u.1.1:2.3.1,u.1.1:2.4.1,u.1.1:2.1.2,u.1.1:2.2.2,u.1.1:2.3.2,u.1.1:2.4.2,u.1.1:2.1.3,u.1.1:2.2.3,u.1.1:2.3.3,u.1.1:2.4.3,u.1.1:2.1.4,u.1.1:2.2.4,u.1.1:2.3.4,u.1.1:2.4.4,u.1.1:2.1.5,u.1.1:2.2.5,u.1.1:2.3.5,u.1.1:2.4.5,u.2.1:1.1:1,u.2.1:1.1:2.1,u.2.1:1.1:2.2,u.2.1:1.2:1,u.2.1:1.2:2.1,u.2.1:1.2:2.2,u.2.1:2.1.1,u.2.1:2.2.1,u.2.1:2.3.1,u.2.1:2.4.1,u.2.1:2.1.2,u.2.1:2.2.2,u.2.1:2.3.2,u.2.1:2.4.2,u.2.1:2.1.3,u.2.1:2.2.3,u.2.1:2.3.3,u.2.1:2.4.3,u.2.1:2.1.4,u.2.1:2.2.4,u.2.1:2.3.4,u.2.1:2.4.4,u.2.1:2.1.5,u.2.1:2.2.5,u.2.1:2.3.5,u.2.1:2.4.5,u.1.2:1.1:1,u.1.2:1.1:2.1,u.1.2:1.1:2.2,u.1.2:1.2:1,u.1.2:1.2:2.1,u.1.2:1.2:2.2,u.1.2:2.1.1,u.1.2:2.2.1,u.1.2:2.3.1,u.1.2:2.4.1,u.1.2:2.1.2,u.1.2:2.2.2,u.1.2:2.3.2,u.1.2:2.4.2,u.1.2:2.1.3,u.1.2:2.2.3,u.1.2:2.3.3,u.1.2:2.4.3,u.1.2:2.1.4,u.1.2:2.2.4,u.1.2:2.3.4,u.1.2:2.4.4,u.1.2:2.1.5,u.1.2:2.2.5,u.1.2:2.3.5,u.1.2:2.4.5,u.2.2:1.1:1,u.2.2:1.1:2.1,u.2.2:1.1:2.2,u.2.2:1.2:1,u.2.2:1.2:2.1,u.2.2:1.2:2.2,u.2.2:2.1.1,u.2.2:2.2.1,u.2.2:2.3.1,u.2.2:2.4.1,u.2.2:2.1.2,u.2.2:2.2.2,u.2.2:2.3.2,u.2.2:2.4.2,u.2.2:2.1.3,u.2.2:2.2.3,u.2.2:2.3.3,u.2.2:2.4.3,u.2.2:2.1.4,u.2.2:2.2.4,u.2.2:2.3.4,u.2.2:2.4.4,u.2.2:2.1.5,u.2.2:2.2.5,u.2.2:2.3.5,u.2.2:2.4.5,u.1.3:1.1:1,u.1.3:1.1:2.1,u.1.3:1.1:2.2,u.1.3:1.2:1,u.1.3:1.2:2.1,u.1.3:1.2:2.2,u.1.3:2.1.1,u.1.3:2.2.1,u.1.3:2.3.1,u.1.3:2.4.1,u.1.3:2.1.2,u.1.3:2.2.2,u.1.3:2.3.2,u.1.3:2.4.2,u.1.3:2.1.3,u.1.3:2.2.3,u.1.3:2.3.3,u.1.3:2.4.3,u.1.3:2.1.4,u.1.3:2.2.4,u.1.3:2.3.4,u.1.3:2.4.4,u.1.3:2.1.5,u.1.3:2.2.5,u.1.3:2.3.5,u.1.3:2.4.5,u.2.3:1.1:1,u.2.3:1.1:2.1,u.2.3:1.1:2.2,u.2.3:1.2:1,u.2.3:1.2:2.1,u.2.3:1.2:2.2,u.2.3:2.1.1,u.2.3:2.2.1,u.2.3:2.3.1,u.2.3:2.4.1,u.2.3:2.1.2,u.2.3:2.2.2,u.2.3:2.3.2,u.2.3:2.4.2,u.2.3:2.1.3,u.2.3:2.2.3,u.2.3:2.3.3,u.2.3:2.4.3,u.2.3:2.1.4,u.2.3:2.2.4,u.2.3:2.3.4,u.2.3:2.4.4,u.2.3:2.1.5,u.2.3:2.2.5,u.2.3:2.3.5,u.2.3:2.4.5
0,0,-0.95559,-6.68913,-6.89031,-7.09148,-7.29266,-7.49384,-7.69501,-7.89619,-8.09737,-8.29854,-8.49972,-8.7009,-8.90208,-9.10325,-9.30443,-9.50561,-9.70678,-9.90796,-10.1091,-10.3103,-10.5115,-0.95559,-1.91118,-2.86677,-3.82236,-4.77795,-5.73354,-6.68913,-6.89031,-7.09148,-7.29266,-7.49384,-7.69501,-7.89619,-8.09737,-8.29854,-8.49972,-8.7009,-8.90208,-9.10325,-9.30443,-9.50561,-9.70678,-9.90796,-10.1091,-10.3103,-10.5115,-0.95559,-1.91118,-2.86677,-3.82236,-4.77795,-5.73354,-6.68913,-6.89031,-7.09148,-7.29266,-7.49384,-7.69501,-7.89619,-8.09737,-8.29854,-8.49972,-8.7009,-8.90208,-9.10325,-9.30443,-9.50561,-9.70678,-9.90796,-10.1091,-10.3103,-10.5115,-0.95559,-1.91118,-2.86677,-3.82236,-4.77795,-5.73354,-6.68913,-6.89031,-7.09148,-7.29266,-7.49384,-7.69501,-7.89619,-8.09737,-8.29854,-8.49972,-8.7009,-8.90208,-9.10325,-9.30443,-9.50561,-9.70678,-9.90796,-10.1091,-10.3103,-10.5115,-0.95559,-1.91118,-2.86677,-3.82236,-4.77795,-5.73354,-6.68913,-6.89031,-7.09148,-7.29266,-7.49384,-7.69501,-7.89619,-8.09737,-8.29854,-8.49972,-8.7009,-8.90208,-9.10325,-9.30443,-9.50561,-9.70678,-9.90796,-10.1091,-10.3103,-10.5115,-0.95559,-1.91118,-2.86677,-3.82236,-4.77795,-5.73354,-6.68913,-6.89031,-7.09148,-7.29266,-7.49384,-7.69501,-7.89619,-8.09737,-8.29854,-8.49972,-8.7009,-8.90208,-9.10325,-9.30443,-9.50561,-9.70678,-9.90796,-10.1091,-10.3103,-10.5115,-0.95559,-1.91118,-2.86677,-3.82236,-4.77795,-5.73354,-6.68913,-6.89031,-7.09148,-7.29266,-7.49384,-7.69501,-7.89619,-8.09737,-8.29854,-8.49972,-8.7009,-8.90208,-9.10325,-9.30443,-9.50561,-9.70678,-9.90796,-10.1091,-10.3103,-10.5115
0,0,-0.878757,-6.1513,-6.3363,-6.5213,-6.7063,-6.89131,-7.07631,-7.26131,-7.44631,-7.63131,-7.81631,-8.00131,-8.18632,-8.37132,-8.55632,-8.74132,-8.92632,-9.11132,-9.29632,-9.48133,-9.66633,-0.878757,-1.75751,-2.63627,-3.51503,-4.39379,-5.27254,-6.1513,-6.3363,-6.5213,-6.7063,-6.89131,-7.07631,-7.26131,-7.44631,-7.63131,-7.81631,-8.00131,-8.18632,-8.37132,-8.55632,-8.74132,-8.92632,-9.11132,-9.29632,-9.48133,-9.66633,-0.878757,-1.75751,-2.63627,-3.51503,-4.39379,-5.27254,-6.1513,-6.3363,-6.5213,-6.7063,-6.89131,-7.07631,-7.26131,-7.44631,-7.63131,-7.81631,-8.00131,-8.18632,-8.37132,-8.55632,-8.74132,-8.92632,-9.11132,-9.29632,-9.48133,-9.66633,-0.878757,-1.75751,-2.63627,-3.51503,-4.39379,-5.27254,-6.1513,-6.3363,-6.5213,-6.7063,-6.89131,-7.07631,-7.26131,-7.44631,-7.63131,-7.81631,-8.00131,-8.18632,-8.37132,-8.55632,-8.74132,-8.92632,-9.11132,-9.29632,-9.48133,-9.66633,-0.878757,-1.75751,-2.63627,-3.51503,-4.39379,-5.27254,-6.1513,-6.3363,-6.5213,-6.7063,-6.89131,-7.07631,-7.26131,-7.44631,-7.63131,-7.81631,-8.00131,-8.18632,-8.37132,-8.55632,-8.74132,-8.92632,-9.11132,-9.29632,-9.48133,-9.66633,-0.878757,-1.75751,-2.63627,-3.51503,-4.39379,-5.27254,-6.1513,-6.3363,-6.5213,-6.7063,-6.89131,-7.07631,-7.26131,-7.44631,-7.63131,-7.81631,-8.00131,-8.18632,-8.37132,-8.55632,-8.74132,-8.92632,-9.11132,-9.29632,-9.48133,-9.66633,-0.878757,-1.75751,-2.63627,-3.51503,-4.39379,-5.27254,-6.1513,-6.3363,-6.5213,-6.7063,-6.89131,-7.07631,-7.26131,-7.44631,-7.63131,-7.81631,-8.00131,-8.18632,-8.37132,-8.55632,-8.74132,-8.92632,-9.11132,-9.29632,-9.48133,-9.66633
0,0,-0.360438,-2.52306,-2.59894,-2.67483,-2.75071,-2.82659,-2.90247,-2.97835,-3.05423,-3.13012,-3.206,-3.28188,-3.35776,-3.43364,-3.50952,-3.58541,-3.66129,-3.73717,-3.81305,-3.88893,-3.96481,-0.360438,-0.720875,-1.08131,-1.44175,-1.80219,-2.16263,-2.52306,-2.59894,-2.67483,-2.75071,-2.82659,-2.90247,-2.97835,-3.05423,-3.13012,-3.206,-3.28188,-3.35776,-3.43364,-3.50952,-3.58541,-3.66129,-3.73717,-3.81305,-3.88893,-3.96481,-0.360438,-0.720875,-1.08131,-1.44175,-1.80219,-2.16263,-2.52306,-2.59894,-2.67483,-2.75071,-2.82659,-2.90247,-2.97835,-3.05423,-3.13012,-3.206,-3.28188,-3.35776,-3.43364,-3.50952,-3.58541,-3.66129,-3.73717,-3.81305,-3.88893,-3.96481,-0.360438,-0.720875,-1.08131,-1.44175,-1.80219,-2.16263,-2.52306,-2.59894,-2.67483,-2.75071,-2.82659,-2.90247,-2.97835,-3.05423,-3.13012,-3.206,-3.28188,-3.35776,-3.43364,-3.50952,-3.58541,-3.66129,-3.73717,-3.81305,-3.88893,-3.96481,-0.360438,-0.720875,-1.08131,-1.44175,-1.80219,-2.16263,-2.52306,-2.59894,-2.67483,-2.75071,-2.82659,-2.90247,-2.97835,-3.05423,-3.13012,-3.206,-3.28188,-3.35776,-3.43364,-3.50952,-3.58541,-3.66129,-3.73717,-3.81305,-3.88893,-3.96481,-0.360438,-0.720875,-1.08131,-1.44175,-1.80219,-2.16263,-2.52306,-2.59894,-2.67483,-2.75071,-2.82659,-2.90247,-2.97835,-3.05423,-3.13012,-3.206,-3.28188,-3.35776,-3.43364,-3.50952,-3.58541,-3.66129,-3.73717,-3.81305,-3.88893,-3.96481,-0.360438,-0.720875,-1.08131,-1.44175,-1.80219,-2.16263,-2.52306,-2.59894,-2.67483,-2.75071,-2.82659,-2.90247,-2.97835,-3.05423,-3.13012,-3.206,-3.28188,-3.35776,-3.43364,-3.50952,-3.58541,-3.66129,-3.73717,-3.81305,-3.88893,-3.96481
0,0,-0.704096,-4.92867,-5.0769,-5.22514,-5.37337,-5.5216,-5.66983,-5.81806,-5.96629,-6.11452,-6.26275,-6.41098,-6.55921,-6.70744,-6.85567,-7.0039,-7.15214,-7.30037,-7.4486,-7.59683,-7.74506,-0.704096,-1.40819,-2.11229,-2.81638,-3.52048,-4.22458,-4.92867,-5.0769,-5.22514,-5.37337,-5.5216,-5.66983,-5.81806,-5.96629,-6.11452,-6.26275,-6.41098,-6.55921,-6.70744,-6.85567,-7.0039,-7.15214,-7.30037,-7.4486,-7.59683,-7.74506,-0.704096,-1.40819,-2.11229,-2.81638,-3.52048,-4.22458,-4.92867,-5.0769,-5.22514,-5.37337,-5.5216,-5.66983,-5.81806,-5.96629,-6.11452,-6.26275,-6.41098,-6.55921,-6.70744,-6.85567,-7.0039,-7.15214,-7.30037,-7.4486,-7.59683,-7.74506,-0.704096,-1.40819,-2.11229,-2.81638,-3.52048,-4.22458,-4.92867,-5.0769,-5.22514,-5.37337,-5.5216,-5.66983,-5.81806,-5.96629,-6.11452,-6.26275,-6.41098,-6.55921,-6.70744,-6.85567,-7.0039,-7.15214,-7.30037,-7.4486,-7.59683,-7.74506,-0.704096,-1.40819,-2.11229,-2.81638,-3.52048,-4.22458,-4.92867,-5.0769,-5.22514,-5.37337,-5.5216,-5.66983,-5.81806,-5.96629,-6.11452,-6.26275,-6.41098,-6.55921,-6.70744,-6.85567,-7.0039,-7.15214,-7.30037,-7.4486,-7.59683,-7.74506,-0.704096,-1.40819,-2.11229,-2.81638,-3.52048,-4.22458,-4.92867,-5.0769,-5.22514,-5.37337,-5.5216,-5.66983,-5.81806,-5.96629,-6.11452,-6.26275,-6.41098,-6.55921,-6.70744,-6.85567,-7.0039,-7.15214,-7.30037,-7.4486,-7.59683,-7.74506,-0.704096,-1.40819,-2.11229,-2.81638,-3.52048,-4.22458,-4.92867,-5.0769,-5.22514,-5.37337,-5.5216,-5.66983,-5.81806,-5.96629,-6.11452,-6.26275,-6.41098,-6.55921,-6.70744,-6.85567,-7.0039,-7.15214,-7.30037,-7.4486,-7.59683,-7.74506
0,0,0.948695,6.64087,6.84059,7.04032,7.24004,7.43977,7.63949,7.83922,8.03894,8.23867,8.4384,8.63812,8.83785,9.03757,9.2373,9.43702,9.63675,9.83647,10.0362,10.2359,10.4356,0.948695,1.89739,2.84609,3.79478,4.74348,5.69217,6.64087,6.84059,7.04032,7.24004,7.43977,7.63949,7.83922,8.03894,8.23867,8.4384,8.63812,8.83785,9.03757,9.2373,9.43702,9.63675,9.83647,10.0362,10.2359,10.4356,0.948695,1.89739,2.84609,3.79478,4.74348,5.69217,6.64087,6.84059,7.04032,7.24004,7.43977,7.63949,7.83922,8.03894,8.23867,8.4384,8.63812,8.83785,9.03757,9.2373,9.43702,9.63675,9.83647,10.0362,10.2359,10.4356,0.948695,1.89739,2.84609,3.79478,4.74348,5.69217,6.64087,6.84059,7.04032,7.24004,7.43977,7.63949,7.83922,8.03894,8.23867,8.4384,8.63812,8.83785,9.03757,9.2373,9.43702,9.63675,9.83647,10.0362,10.2359,10.4356,0.948695,1.89739,2.84609,3.79478,4.74348,5.69217,6.64087,6.84059,7.04032,7.24004,7.43977,7.63949,7.83922,8.03894,8.23867,8.4384,8.63812,8.83785,9.03757,9.2373,9.43702,9.63675,9.83647,10.0362,10.2359,10.4356,0.948695,1.89739,2.84609,3.79478,4.74348,5.69217,6.64087,6.84059,7.04032,7.24004,7.43977,7.63949,7.83922,8.03894,8.23867,8.4384,8.63812,8.83785,9.03757,9.2373,9.43702,9.63675,9.83647,10.0362,10.2359,10.4356,0.948695,1.89739,2.84609,3.79478,4.74348,5.69217,6.64087,6.84059,7.04032,7.24004,7.43977,7.63949,7.83922,8.03894,8.23867,8.4384,8.63812,8.83785,9.03757,9.2373,9.43702,9.63675,9.83647,10.0362,10.2359,10.4356
0,0,-0.475605,-3.32923,-3.42936,-3.52949,-3.62961,-3.72974,-3.82987,-3.93,-4.03012,-4.13025,-4.23038,-4.33051,-4.43063,-4.53076,-4.63089,-4.73102,-4.83114,-4.93127,-5.0314,-5.13152,-5.23165,-0.475605,-0.951209,-1.42681,-1.90242,-2.37802,-2.85363,-3.32923,-3.42936,-3.52949,-3.62961,-3.72974,-3.82987,-3.93,-4.03012,-4.13025,-4.23038,-4.33051,-4.43063,-4.53076,-4.63089,-4.73102,-4.83114,-4.93127,-5.0314,-5.13152,-5.23165,-0.475605,-0.951209,-1.42681,-1.90242,-2.37802,-2.85363,-3.32923,-3.42936,-3.52949,-3.62961,-3.72974,-3.82987,-3.93,-4.03012,-4.13025,-4.23038,-4.33051,-4.43063,-4.53076,-4.63089,-4.73102,-4.83114,-4.93127,-5.0314,-5.13152,-5.23165,-0.475605,-0.951209,-1.42681,-1.90242,-2.37802,-2.85363,-3.32923,-3.42936,-3.52949,-3.62961,-3.72974,-3.82987,-3.93,-4.03012,-4.13025,-4.23038,-4.33051,-4.43063,-4.53076,-4.63089,-4.73102,-4.83114,-4.93127,-5.0314,-5.13152,-5.23165,-0.475605,-0.951209,-1.42681,-1.90242,-2.37802,-2.85363,-3.32923,-3.42936,-3.52949,-3.62961,-3.72974,-3.82987,-3.93,-4.03012,-4.13025,-4.23038,-4.33051,-4.43063,-4.53076,-4.63089,-4.73102,-4.83114,-4.93127,-5.0314,-5.13152,-5.23165,-0.475605,-0.951209,-1.42681,-1.90242,-2.37802,-2.85363,-3.32923,-3.42936,-3.52949,-3.62961,-3.72974,-3.82987,-3.93,-4.03012,-4.13025,-4.23038,-4.33051,-4.43063,-4.53076,-4.63089,-4.73102,-4.83114,-4.93127,-5.0314,-5.13152,-5.23165,-0.475605,-0.951209,-1.42681,-1.90242,-2.37802,-2.85363,-3.32923,-3.42936,-3.52949,-3.62961,-3.72974,-3.82987,-3.93,-4.03012,-4.13025,-4.23038,-4.33051,-4.43063,-4.53076,-4.63089,-4.73102,-4.83114,-4.93127,-5.0314,-5.13152,-5.23165
0,0,1.27825,8.94772,9.21683,9.48593,9.75504,10.0241,10.2932,10.5624,10.8315,11.1006,11.3697,11.6388,11.9079,12.177,12.4461,12.7152,12.9843,13.2534,13.5225,13.7916,14.0607,1.27825,2.55649,3.83474,5.11298,6.39123,7.66948,8.94772,9.21683,9.48593,9.75504,10.0241,10.2932,10.5624,10.8315,11.1006,11.3697,11.6388,11.9079,12.177,12.4461,12.7152,12.9843,13.2534,13.5225,13.7916,14.0607,1.27825,2.55649,3.83474,5.11298,6.39123,7.66948,8.94772,9.21683,9.48593,9.75504,10.0241,10.2932,10.5624,10.8315,11.1006,11.3697,11.6388,11.9079,12.177,12.4461,12.7152,12.9843,13.2534,13.5225,13.7916,14.0607,1.27825,2.55649,3.83474,5.11298,6.39123,7.66948,8.94772,9.21683,9.48593,9.75504,10.0241,10.2932,10.5624,10.8315,11.1006,11.3697,11.6388,11.9079,12.177,12.4461,12.7152,12.9843,13.2534,13.5225,13.7916,14.0607,1.27825,2.55649,3.83474,5.11298,6.39123,7.66948,8.94772,9.21683,9.48593,9.75504,10.0241,10.2932,10.5624,10.8315,11.1006,11.3697,11.6388,11.9079,12.177,12.4461,12.7152,12.9843,13.2534,13.5225,13.7916,14.0607,1.27825,2.55649,3.83474,5.11298,6.39123,7.66948,8.94772,9.21683,9.48593,9.75504,10.0241,10.2932,10.5624,10.8315,11.1006,11.3697,11.6388,11.9079,12.177,12.4461,12.7152,12.9843,13.2534,13.5225,13.7916,14.0607,1.27825,2.55649,3.83474,5.11298,6.39123,7.66948,8.94772,9.21683,9.48593,9.75504,10.0241,10.2932,10.5624,10.8315,11.1006,11.3697,11.6388,11.9079,12.177,12.4461,12.7152,12.9843,13.2534,13.5225,13.7916,14.0607
0,0,0.25934,1.81538,1.86998,1.92458,1.97917,2.03377,2.08837,2.14297,2.19756,2.25216,2.30676,2.36136,2.41596,2.47055,2.52515,2.57975,2.63435,2.68895,2.74354,2.79814,2.85274,0.25934,0.51868,0.77802,1.03736,1.2967,1.55604,1.81538,1.86998,1.92458,1.97917,2.03377,2.08837,2.14297,2.19756,2.25216,2.30676,2.36136,2.41596,2.47055,2.52515,2.57975,2.63435,2.68895,2.74354,2.79814,2.85274,0.25934,0.51868,0.77802,1.03736,1.2967,1.55604,1.81538,1.86998,1.92458,1.97917,2.03377,2.08837,2.14297,2.19756,2.25216,2.30676,2.36136,2.41596,2.47055,2.52515,2.57975,2.63435,2.68895,2.74354,2.79814,2.85274,0.25934,0.51868,0.77802,1.03736,1.2967,1.55604,1.81538,1.86998,1.92458,1.97917,2.03377,2.08837,2.14297,2.19756,2.25216,2.30676,2.36136,2.41596,2.47055,2.52515,2.57975,2.63435,2.68895,2.74354,2.79814,2.85274,0.25934,0.51868,0.77802,1.03736,1.2967,1.55604,1.81538,1.86998,1.92458,1.97917,2.03377,2.08837,2.14297,2.19756,2.25216,2.30676,2.36136,2.41596,2.47055,2.52515,2.57975,2.63435,2.68895,2.74354,2.79814,2.85274,0.25934,0.51868,0.77802,1.03736,1.2967,1.55604,1.81538,1.86998,1.92458,1.97917,2.03377,2.08837,2.14297,2.19756,2.25216,2.30676,2.36136,2.41596,2.47055,2.52515,2.57975,2.63435,2.68895,2.74354,2.79814,2.85274,0.25934,0.51868,0.77802,1.03736,1.2967,1.55604,1.81538,1.86998,1.92458,1.97917,2.03377,2.08837,2.14297,2.19756,2.25216,2.30676,2.36136,2.41596,2.47055,2.52515,2.57975,2.63435,2.68895,2.74354,2.79814,2.85274
0,0,-1.59247,-11.1473,-11.4825,-11.8178,-12.153,-12.4883,-12.8235,-13.1588,-13.4941,-13.8293,-14.1646,-14.4998,-14.8351,-15.1703,-15.5056,-15.8408,-16.1761,-16.5114,-16.8466,-17.1819,-17.5171,-1.59247,-3.18493,-4.7774,-6.36986,-7.96233,-9.55479,-11.1473,-11.4825,-11.8178,-12.153,-12.4883,-12.8235,-13.1588,-13.4941,-13.8293,-14.1646,-14.4998,-14.8351,-15.1703,-15.5056,-15.8408,-16.1761,-16.5114,-16.8466,-17.1819,-17.5171,-1.59247,-3.18493,-4.7774,-6.36986,-7.96233,-9.55479,-11.1473,-11.4825,-11.8178,-12.153,-12.4883,-12.8235,-13.1588,-13.4941,-13.8293,-14.1646,-14.4998,-14.8351,-15.1703,-15.5056,-15.8408,-16.1761,-16.5114,-16.8466,-17.1819,-17.5171,-1.59247,-3.18493,-4.7774,-6.36986,-7.96233,-9.55479,-11.1473,-11.4825,-11.8178,-12.153,-12.4883,-12.8235,-13.1588,-13.4941,-13.8293,-14.1646,-14.4998,-14.8351,-15.1703,-15.5056,-15.8408,-16.1761,-16.5114,-16.8466,-17.1819,-17.5171,-1.59247,-3.18493,-4.7774,-6.36986,-7.96233,-9.55479,-11.1473,-11.4825,-11.8178,-12.153,-12.4883,-12.8235,-13.1588,-13.4941,-13.8293,-14.1646,-14.4998,-14.8351,-15.1703,-15.5056,-15.8408,-16.1761,-16.5114,-16.8466,-17.1819,-17.5171,-1.59247,-3.18493,-4.7774,-6.36986,-7.96233,-9.55479,-11.1473,-11.4825,-11.8178,-12.153,-12.4883,-12.8235,-13.1588,-13.4941,-13.8293,-14.1646,-14.4998,-14.8351,-15.1703,-15.5056,-15.8408,-16.1761,-16.5114,-16.8466,-17.1819,-17.5171,-1.59247,-3.18493,-4.7774,-6.36986,-7.96233,-9.55479,-11.1473,-11.4825,-11.8178,-12.153,-12.4883,-12.8235,-13.1588,-13.4941,-13.8293,-14.1646,-14.4998,-14.8351,-15.1703,-15.5056,-15.8408,-16.1761,-16.5114,-16.8466,-17.1819,-17.5171
0,0,-1.10881,-7.76165,-7.99508,-8.22851,-8.46195,-8.69538,-8.92881,-9.16225,-9.39568,-9.62911,-9.86254,-10.096,-10.3294,-10.5628,-10.7963,-11.0297,-11.2631,-11.4966,-11.73,-11.9634,-12.1969,-1.10881,-2.21761,-3.32642,-4.43523,-5.54403,-6.65284,-7.76165,-7.99508,-8.22851,-8.46195,-8.69538,-8.92881,-9.16225,-9.39568,-9.62911,-9.86254,-10.096,-10.3294,-10.5628,-10.7963,-11.0297,-11.2631,-11.4966,-11.73,-11.9634,-12.1969,-1.10881,-2.21761,-3.32642,-4.43523,-5.54403,-6.65284,-7.76165,-7.99508,-8.22851,-8.46195,-8.69538,-8.92881,-9.16225,-9.39568,-9.62911,-9.86254,-10.096,-10.3294,-10.5628,-10.7963,-11.0297,-11.2631,-11.4966,-11.73,-11.9634,-12.1969,-1.10881,-2.21761,-3.32642,-4.43523,-5.54403,-6.65284,-7.76165,-7.99508,-8.22851,-8.46195,-8.69538,-8.92881,-9.16225,-9.39568,-9.62911,-9.86254,-10.096,-10.3294,-10.5628,-10.7963,-11.0297,-11.2631,-11.4966,-11.73,-11.9634,-12.1969,-1.10881,-2.21761,-3.32642,-4.43523,-5.54403,-6.65284,-7.76165,-7.99508,-8.22851,-8.46195,-8.69538,-8.92881,-9.16225,-9.39568,-9.62911,-9.86254,-10.096,-10.3294,-10.5628,-10.7963,-11.0297,-11.2631,-11.4966,-11.73,-11.9634,-12.1969,-1.10881,-2.21761,-3.32642,-4.43523,-5.54403,-6.65284,-7.76165,-7.99508,-8.22851,-8.46195,-8.69538,-8.92881,-9.16225,-9.39568,-9.62911,-9.86254,-10.096,-10.3294,-10.5628,-10.7963,-11.0297,-11.2631,-11.4966,-11.73,-11.9634,-12.1969,-1.10881,-2.21761,-3.32642,-4.43523,-5.54403,-6.65284,-7.76165,-7.99508,-8.22851,-8.46195,-8.69538,-8.92881,-9.16225,-9.39568,-9.62911,-9.86254,-10.096,-10.3294,-10.5628,-10.7963,-11.0297,-11.2631,-11.4966,-11.73,-11.9634,-12.1969
