# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tup_04_model
# start_datetime = 2023-12-05 14:03:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1098149309 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/tup_04/tup_04_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,base,a.1.1:1,a.1.1:2.1,a.1.1:2.2,a.2.1:1,a.2.1:2.1,a.2.1:2.2,a.3.1:1,a.3.1:2.1,a.3.1:2.2,a.1.2:1,a.1.2:2.1,a.1.2:2.2,a.2.2:1,a.2.2:2.1,a.2.2:2.2,a.3.2:1,a.3.2:2.1,a.3.2:2.2
0,0,-1.47786,-17.7343,-19.2121,-1.47786,-23.6457,-25.1236,-1.47786,-29.5571,-31.035,-1.47786,-20.69,-22.1679,-1.47786,-26.6014,-28.0793,-1.47786,-32.5129,-33.9907,-1.47786
0,0,-0.593513,-7.12215,-7.71566,-0.593513,-9.4962,-10.0897,-0.593513,-11.8703,-12.4638,-0.593513,-8.30918,-8.90269,-0.593513,-10.6832,-11.2767,-0.593513,-13.0573,-13.6508,-0.593513
0,0,-0.431874,-5.18248,-5.61436,-0.431874,-6.90998,-7.34185,-0.431874,-8.63747,-9.06935,-0.431874,-6.04623,-6.4781,-0.431874,-7.77372,-8.2056,-0.431874,-9.50122,-9.93309,-0.431874
0,0,0.163006,1.95607,2.11908,0.163006,2.6081,2.7711,0.163006,3.26012,3.42313,0.163006,2.28209,2.44509,0.163006,2.93411,3.09712,0.163006,3.58614,3.74914,0.163006
0,0,0.877152,10.5258,11.403,0.877152,14.0344,14.9116,0.877152,17.543,18.4202,0.877152,12.2801,13.1573,0.877152,15.7887,16.6659,0.877152,19.2973,20.1745,0.877152
0,0,1.43121,17.1745,18.6057,1.43121,22.8994,24.3306,1.43121,28.6242,30.0554,1.43121,20.0369,21.4681,1.43121,25.7618,27.193,1.43121,31.4866,32.9178,1.43121
0,0,1.22456,14.6947,15.9193,1.22456,19.5929,20.8175,1.22456,24.4912,25.7157,1.22456,17.1438,18.3684,1.22456,22.0421,23.2666,1.22456,26.9403,28.1648,1.22456
0,0,0.138338,1.66005,1.79839,0.138338,2.2134,2.35174,0.138338,2.76676,2.90509,0.138338,1.93673,2.07507,0.138338,2.49008,2.62842,0.138338,3.04343,3.18177,0.138338
0,0,-0.120342,-1.4441,-1.56445,-0.120342,-1.92547,-2.04582,-0.120342,-2.40684,-2.52718,-0.120342,-1.68479,-1.80513,-0.120342,-2.16616,-2.2865,-0.120342,-2.64753,-2.76787,-0.120342
0,0,-0.331102,-3.97323,-4.30433,-0.331102,-5.29764,-5.62874,-0.331102,-6.62205,-6.95315,-0.331102,-4.63543,-4.96653,-0.331102,-5.95984,-6.29094,-0.331102,-7.28425,-7.61535,-0.331102
0,0,0.902414,10.829,11.7314,0.902414,14.4386,15.341,0.902414,18.0483,18.9507,0.902414,12.6338,13.5362,0.902414,16.2435,17.1459,0.902414,19.8531,20.7555,0.902414
0,0,0.56439,6.77268,7.33707,0.56439,9.03023,9.59462,0.56439,11.2878,11.8522,0.56439,7.90145,8.46584,0.56439,10.159,10.7234,0.56439,12.4166,12.981,0.56439
0,0,1.06119,12.7342,13.7954,1.06119,16.979,18.0402,1.06119,21.2237,22.2849,1.06119,14.8566,15.9178,1.06119,19.1013,20.1625,1.06119,23.3461,24.4073,1.06119
0,0,-0.165031,-1.98037,-2.1454,-0.165031,-2.6405,-2.80553,-0.165031,-3.30062,-3.46565,-0.165031,-2.31044,-2.47547,-0.165031,-2.97056,-3.13559,-0.165031,-3.63068,-3.79571,-0.165031
