# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tup_04_model
# start_datetime = 2023-12-05 14:03:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1098149309 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/tup_04/tup_04_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,base,a.1.1:1,a.1.1:2.1,a.1.1:2.2,a.2.1:1,a.2.1:2.1,a.2.1:2.2,a.3.1:1,a.3.1:2.1,a.3.1:2.2,a.1.2:1,a.1.2:2.1,a.1.2:2.2,a.2.2:1,a.2.2:2.1,a.2.2:2.2,a.3.2:1,a.3.2:2.1,a.3.2:2.2
0,0,0.481229,5.77475,6.25598,0.481229,7.69966,8.18089,0.481229,9.62458,10.1058,0.481229,6.7372,7.21843,0.481229,8.66212,9.14335,0.481229,10.587,11.0683,0.481229
0,0,0.823936,9.88723,10.7112,0.823936,13.183,14.0069,0.823936,16.4787,17.3027,0.823936,11.5351,12.359,0.823936,14.8308,15.6548,0.823936,18.1266,18.9505,0.823936
0,0,-0.522997,-6.27596,-6.79896,-0.522997,-8.36795,-8.89095,-0.522997,-10.4599,-10.9829,-0.522997,-7.32196,-7.84495,-0.522997,-9.41395,-9.93694,-0.522997,-11.5059,-12.0289,-0.522997
0,0,1.33387,16.0065,17.3403,1.33387,21.342,22.6758,1.33387,26.6775,28.0113,1.33387,18.6742,20.0081,1.33387,24.0097,25.3436,1.33387,29.3452,30.6791,1.33387
0,0,0.138728,1.66473,1.80346,0.138728,2.21964,2.35837,0.138728,2.77456,2.91328,0.138728,1.94219,2.08092,0.138728,2.4971,2.63583,0.138728,3.05201,3.19074,0.138728
0,0,-0.892088,-10.7051,-11.5971,-0.892088,-14.2734,-15.1655,-0.892088,-17.8418,-18.7338,-0.892088,-12.4892,-13.3813,-0.892088,-16.0576,-16.9497,-0.892088,-19.6259,-20.518,-0.892088
0,0,1.22481,14.6977,15.9225,1.22481,19.597,20.8218,1.22481,24.4962,25.721,1.22481,17.1473,18.3721,1.22481,22.0466,23.2714,1.22481,26.9458,28.1706,1.22481
0,0,-0.401031,-4.81238,-5.21341,-0.401031,-6.4165,-6.81753,-0.401031,-8.02063,-8.42166,-0.401031,-5.61444,-6.01547,-0.401031,-7.21856,-7.6196,-0.401031,-8.82269,-9.22372,-0.401031
0,0,0.529076,6.34891,6.87798,0.529076,8.46521,8.99429,0.529076,10.5815,11.1106,0.529076,7.40706,7.93614,0.529076,9.52336,10.0524,0.529076,11.6397,12.1687,0.529076
0,0,-0.469392,-5.63271,-6.1021,-0.469392,-7.51028,-7.97967,-0.469392,-9.38785,-9.85724,-0.469392,-6.57149,-7.04088,-0.469392,-8.44906,-8.91845,-0.469392,-10.3266,-10.796,-0.469392
0,0,-0.848396,-10.1807,-11.0291,-0.848396,-13.5743,-14.4227,-0.848396,-16.9679,-17.8163,-0.848396,-11.8775,-12.7259,-0.848396,-15.2711,-16.1195,-0.848396,-18.6647,-19.5131,-0.848396
0,0,-0.203531,-2.44238,-2.64591,-0.203531,-3.2565,-3.46003,-0.203531,-4.07063,-4.27416,-0.203531,-2.84944,-3.05297,-0.203531,-3.66356,-3.8671,-0.203531,-4.47769,-4.68122,-0.203531
0,0,1.5026,18.0312,19.5338,1.5026,24.0416,25.5442,1.5026,30.052,31.5546,1.5026,21.0364,22.539,1.5026,27.0468,28.5494,1.5026,33.0572,34.5598,1.5026
0,0,-1.95339,-23.4406,-25.394,-1.95339,-31.2542,-33.2076,-1.95339,-39.0677,-41.0211,-1.95339,-27.3474,-29.3008,-1.95339,-35.161,-37.1143,-1.95339,-42.9745,-44.9279,-1.95339
0,0,0.133997,1.60796,1.74196,0.133997,2.14395,2.27794,0.133997,2.67993,2.81393,0.133997,1.87595,2.00995,0.133997,2.41194,2.54594,0.133997,2.94792,3.08192,0.133997
0,0,0.0222953,0.267544,0.289839,0.0222953,0.356726,0.379021,0.0222953,0.445907,0.468202,0.0222953,0.312135,0.33443,0.0222953,0.401316,0.423612,0.0222953,0.490498,0.512793,0.0222953
0,0,-1.21825,-14.619,-15.8373,-1.21825,-19.492,-20.7103,-1.21825,-24.365,-25.5833,-1.21825,-17.0555,-18.2738,-1.21825,-21.9285,-23.1468,-1.21825,-26.8015,-28.0198,-1.21825
0,0,-1.22325,-14.679,-15.9022,-1.22325,-19.572,-20.7952,-1.22325,-24.465,-25.6882,-1.22325,-17.1255,-18.3487,-1.22325,-22.0185,-23.2417,-1.22325,-26.9115,-28.1347,-1.22325
0,0,0.170544,2.04653,2.21708,0.170544,2.72871,2.89926,0.170544,3.41089,3.58143,0.170544,2.38762,2.55817,0.170544,3.0698,3.24035,0.170544,3.75198,3.92252,0.170544
0,0,1.63138,19.5766,21.208,1.63138,26.1021,27.7335,1.63138,32.6277,34.2591,1.63138,22.8394,24.4708,1.63138,29.3649,30.9963,1.63138,35.8904,37.5218,1.63138
0,0,1.03575,12.429,13.4648,1.03575,16.5721,17.6078,1.03575,20.7151,21.7508,1.03575,14.5006,15.5363,1.03575,18.6436,19.6793,1.03575,22.7866,23.8223,1.03575
0,0,0.366952,4.40342,4.77037,0.366952,5.87123,6.23818,0.366952,7.33903,7.70599,0.366952,5.13732,5.50428,0.366952,6.60513,6.97208,0.366952,8.07294,8.43989,0.366952
0,0,-0.110427,-1.32513,-1.43555,-0.110427,-1.76684,-1.87726,-0.110427,-2.20855,-2.31897,-0.110427,-1.54598,-1.65641,-0.110427,-1.98769,-2.09812,-0.110427,-2.4294,-2.53983,-0.110427
0,0,-0.705699,-8.46839,-9.17408,-0.705699,-11.2912,-11.9969,-0.705699,-14.114,-14.8197,-0.705699,-9.87978,-10.5855,-0.705699,-12.7026,-13.4083,-0.705699,-15.5254,-16.2311,-0.705699
0,0,-1.34611,-16.1533,-17.4995,-1.34611,-21.5378,-22.8839,-1.34611,-26.9222,-28.2683,-1.34611,-18.8456,-20.1917,-1.34611,-24.23,-25.5761,-1.34611,-29.6145,-30.9606,-1.34611
0,0,-0.35902,-4.30825,-4.66727,-0.35902,-5.74433,-6.10335,-0.35902,-7.18041,-7.53943,-0.35902,-5.02629,-5.38531,-0.35902,-6.46237,-6.82139,-0.35902,-7.89845,-8.25747,-0.35902
0,0,1.04156,12.4988,13.5403,1.04156,16.665,17.7066,1.04156,20.8313,21.8728,1.04156,14.5819,15.6235,1.04156,18.7482,19.7897,1.04156,22.9144,23.956,1.04156
0,0,0.235629,2.82755,3.06318,0.235629,3.77006,4.00569,0.235629,4.71258,4.94821,0.235629,3.2988,3.53443,0.235629,4.24132,4.47695,0.235629,5.18384,5.41946,0.235629
0,0,-0.539713,-6.47656,-7.01627,-0.539713,-8.63541,-9.17512,-0.539713,-10.7943,-11.334,-0.539713,-7.55598,-8.0957,-0.539713,-9.71484,-10.2546,-0.539713,-11.8737,-12.4134,-0.539713
