# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tuples_model
# start_datetime = 2023-11-20 20:48:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4121364984 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_tuple_data/../../data/tuples/tuples_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,bar:1,bar:2,bar2:1,bar2:2:1,bar2:2:2,bar3:1,bar3:2:1,bar3:2:2:1,bar3:2:2:2
# Adaptation terminated
# Step size = 0.633803
# Diagonal elements of inverse mass matrix:
# 1.04372, 0.984631, 0.995758, 0.932292, 0.988621, 0.908706, 0.89172, 0.86357, 1.06155, 1.01854, 0.834574, 0.896205, 1.16042, 1.04158, 1.00267, 1.08573
-8.59346,0.858981,0.633803,3,7,0,14.7456,0.00365282,-0.476752,1.0731,-1.08417,0.0153215,0.435542,-0.181338,-1.29183,0.517317,0.729516,0.662422,0.81255,-1.80435,-0.567268,-1.18342,2.42161
-4.13769,0.996971,0.633803,3,7,0,11.7765,0.971264,0.716632,0.302599,0.270491,0.13371,-0.316753,0.387355,0.290813,-1.77612,-0.518736,-0.794119,-0.268009,0.882356,-1.02025,0.493412,-0.334453
-4.51194,0.713941,0.633803,3,7,0,15.5429,-0.906419,-0.684111,-0.362304,-0.316217,-0.147026,0.284329,-0.181232,-0.501953,1.8389,0.616797,0.904472,0.59855,-0.815091,1.13936,-0.405415,0.224865
-6.4119,0.730623,0.633803,3,7,0,14.6297,0.808093,1.18249,0.457589,1.18961,0.350061,1.41373,-0.158086,0.690286,-1.43416,0.318402,-0.1927,-1.51159,1.17838,-0.144681,0.704493,-0.373116
-6.81097,0.937344,0.633803,3,7,0,12.7031,-1.26466,-0.963206,-0.826386,-0.525096,-0.757796,-1.77966,0.204333,-0.456202,1.52053,0.368594,0.112831,0.386858,-1.72375,0.332148,0.220502,0.63589
-9.4041,0.965943,0.633803,3,7,0,12.1548,1.4755,0.769579,1.52086,0.474613,0.118268,2.43056,-0.156807,0.742334,-1.35529,-0.928067,0.376205,-0.913813,1.4316,-0.760371,-0.485522,-0.682086
-5.01257,1,0.633803,3,7,0,12.9032,-0.157621,-0.660609,0.144882,-1.44678,-0.638219,-1.05651,0.165142,-0.32609,1.622,0.356145,1.54658,-0.0988589,-0.0720945,0.771868,-0.11525,-0.137499
-4.92139,0.931848,0.633803,3,7,0,10.629,-0.449472,-0.703354,-1.89478,0.292468,0.582099,0.594174,-0.416695,1.2726,0.695421,0.400201,-0.28035,-1.30747,-0.16482,-0.030948,-0.509957,-0.515049
-5.75563,0.850362,0.633803,3,7,0,11.3357,0.390898,0.755739,1.97549,-0.254179,-0.64177,-0.560641,0.584246,-1.43494,-0.812468,-0.551915,0.311035,1.31349,-0.217679,0.0153191,0.512053,0.772698
-6.19673,0.847142,0.633803,3,7,0,14.1517,-0.456646,-0.795388,-2.0093,0.261654,0.807208,0.454729,-0.617479,1.48934,0.772176,0.732648,-0.412703,-1.37273,0.306535,-0.327443,-0.492484,-0.597729
-13.7812,0.623741,0.633803,3,7,0,19.0403,2.01578,0.759854,-0.176682,1.91872,-3.53637,0.517293,0.50753,-1.64862,-1.05766,-0.582526,-0.716359,-0.297355,-0.806199,0.251414,0.748148,0.35712
-6.17741,0.952345,0.633803,3,7,0,21.2353,-0.978645,-0.287377,0.44395,-0.0730033,-0.428986,0.449978,-0.950695,-0.200823,0.412302,-0.654229,-1.05593,-0.145735,-0.0407169,0.955592,2.14666,-1.58878
-6.44868,0.847759,0.633803,3,7,0,14.7468,1.27893,0.320369,-0.537445,0.0970832,0.412629,-0.528385,0.943585,0.00113803,-0.580804,0.375326,1.16408,0.17888,0.0782349,-0.736456,-2.10578,1.6349
-8.75027,0.726547,0.633803,3,7,0,18.5255,0.0662936,0.394502,-1.16842,-0.500309,1.81105,-0.52639,-0.349669,0.382124,-0.526102,0.590616,1.76216,0.829819,-0.487104,-0.364715,-0.795689,2.54498
-11.222,0.743576,0.633803,3,7,0,20.0987,0.0110972,-1.49169,1.37332,0.523499,-1.34873,0.157603,0.236502,0.0590106,-0.282268,-0.00779411,-1.67876,-1.35661,-0.314782,-0.406829,0.127691,-3.33709
-8.2264,0.871353,0.633803,3,7,0,24.2521,0.347902,0.584956,-1.62466,-0.848095,1.44126,1.084,0.794123,-1.17982,-0.0123302,-0.32747,-0.367291,0.222963,0.920405,-0.451368,-0.809412,2.31471
-2.83398,0.991876,0.633803,2,7,0,9.73579,-0.226835,-0.232479,-0.890466,-0.0256891,-0.225526,-0.164847,0.0233133,-0.507536,-0.594357,0.465102,-0.223714,0.649648,0.714409,-0.0413034,0.400149,1.64889
-8.81883,0.352053,0.633803,2,3,0,20.4246,-0.914546,-1.14713,-1.71835,-1.53618,0.556664,0.910345,0.0852419,-0.100857,-1.30188,0.423935,-0.576269,2.27422,-0.600607,0.789343,-0.41512,0.69415
-6.86979,1,0.633803,3,7,0,13.6367,0.831,0.754534,1.1941,1.00903,0.0815149,-0.251303,0.178405,-1.08457,0.649874,-0.930952,0.194525,-2.33104,0.792849,-0.64975,0.95369,-0.191939
-7.63749,0.9563,0.633803,3,7,0,13.4305,-0.024394,-0.174036,-0.192384,-0.786684,-0.971805,-2.1423,-0.419783,1.14657,-1.19731,1.68595,0.336595,0.765234,0.362917,1.36424,0.117913,-0.76283
-8.10937,0.746521,0.633803,3,7,0,20.8468,-0.348274,0.216833,0.236846,0.732134,1.05625,2.22945,0.407343,-1.38161,1.03629,-1.72707,0.0921617,-0.90514,-0.021015,-1.46544,-0.260171,0.444287
-5.18771,0.996074,0.633803,3,7,0,11.9459,0.529264,-0.0283011,-0.691145,-0.253767,-0.675759,-0.89109,-1.14113,1.01302,-1.27873,1.27143,0.20387,0.328537,0.20987,1.13263,1.06292,-0.339833
-5.7086,0.87467,0.633803,3,7,0,11.6002,-0.495743,-0.0807548,0.620146,0.216751,0.696335,0.800172,1.1561,-0.993812,1.41658,-1.28671,-0.0887784,-0.401201,-0.276234,-1.39604,-1.16403,0.269442
-9.40189,0.8218,0.633803,3,7,0,15.226,0.635357,1.25629,0.272096,-1.2808,-1.20885,-0.823943,-1.14398,0.446847,-1.30945,1.89653,-0.967195,0.370686,0.184502,1.09126,1.96109,-0.0604057
-8.41139,1,0.633803,3,7,0,14.4574,-0.678588,-0.199021,0.224426,0.219366,0.311021,1.48654,1.20501,-0.0687921,1.58534,-2.1708,1.22677,-0.423957,-0.097298,-0.997872,-1.59442,0.0559365
-9.2536,0.891827,0.633803,3,7,0,18.5471,1.53882,-0.185105,-0.016921,-0.187988,-0.543166,-2.18096,-0.822722,0.437848,-1.5325,1.44078,-1.81711,-1.45377,0.137447,0.379881,0.369737,0.0975892
-11.2046,0.818239,0.633803,3,7,0,21.4381,0.493332,-0.464396,-3.2942,2.37253,0.297193,1.29514,0.779613,-0.909406,-0.403996,0.528063,0.393393,0.118552,0.871966,-0.695866,0.59673,0.239609
-4.80713,0.925973,0.633803,3,7,0,16.6926,0.820005,1.46321,0.948395,1.18087,0.063339,-0.050898,0.331231,0.229611,-0.197631,0.0374443,-0.597126,0.209038,-1.80358,0.775164,0.202448,-0.0492704
-5.95044,0.955037,0.633803,3,7,0,10.3818,-0.498372,-1.98112,-1.09589,-0.213368,0.396414,1.10081,-0.683596,-0.614222,-0.454761,-0.0173084,-0.331955,0.138372,1.67014,-1.03422,-0.231675,-0.136276
-6.56955,0.975393,0.633803,3,7,0,11.8446,-0.793764,-1.11961,-1.07271,-1.02932,0.68706,1.57172,0.255257,-0.701678,-1.09259,-0.651658,-0.272868,0.482393,1.42403,-0.484433,-0.945419,-0.680829
-5.88462,0.8313,0.633803,3,7,0,16.5594,0.888795,1.19887,0.915839,1.01285,-0.663351,-1.43681,-0.390356,0.796994,0.885185,0.449178,0.39346,-0.338203,-1.40761,0.537383,0.862683,0.341227
-9.18152,0.804534,0.633803,3,7,0,15.6978,-0.646889,-0.741226,-0.420366,-1.32516,1.05451,1.10762,0.397784,-2.01269,-0.514769,-0.727581,-1.27212,1.99878,1.43542,-0.458268,0.35512,-0.331816
-6.06394,0.951255,0.633803,3,7,0,16.8146,1.12372,1.03284,-0.334063,1.56679,-0.955648,-1.14485,-0.619706,0.860658,0.902759,0.0275881,-0.670654,-0.609872,-1.03755,0.908758,0.0827763,0.580143
-5.60309,1,0.633803,3,7,0,9.0724,-1.11216,-0.97784,0.335406,-1.57198,0.979032,1.15325,0.577096,-0.660755,-0.790158,-0.151683,0.597381,0.588209,1.0856,-0.813823,0.0259474,-0.423829
-8.97383,0.85863,0.633803,3,7,0,14.4235,0.355916,-0.940689,-0.206215,0.377192,-0.848491,-1.12524,0.420665,-1.92323,0.195215,1.43424,-2.0154,-0.71917,-0.882135,0.577755,0.734701,-1.60108
-5.3818,0.975714,0.633803,3,7,0,14.4791,-0.4852,0.0841586,0.518624,0.556223,0.322006,1.03746,0.133331,1.40949,0.132089,0.263635,1.86481,1.3451,0.803844,-0.664198,0.0587155,0.541985
-6.74724,0.94843,0.633803,3,7,0,9.8963,-0.113668,0.345798,-0.732687,-0.651207,-0.911495,-1.18778,0.276036,-0.838402,-1.25239,-0.386075,-1.87461,-1.25672,-0.953113,1.09969,-0.217617,0.635763
-4.25208,0.997483,0.633803,3,7,0,9.33581,-0.117712,0.835383,-0.823771,0.207737,-0.187881,-0.596695,0.550181,-0.602835,-1.24911,-0.196779,-1.67673,-0.781085,-0.171601,0.571084,-0.643815,0.471847
-7.80052,0.801767,0.633803,3,7,0,10.8468,-0.191547,-0.558409,0.080531,0.244914,0.552485,0.451011,-0.216859,0.603716,2.18601,1.08277,2.04844,1.05216,1.35019,-0.988792,-0.0174808,0.459062
-11.1063,0.729394,0.633803,3,7,0,20.4801,-1.65117,0.562298,-0.427794,-0.427459,-0.167553,-0.656802,-0.262967,-1.63204,-2.4268,-0.237044,-1.65157,-0.189384,-0.159758,2.56411,0.212311,0.507787
-10.3025,1,0.633803,3,7,0,17.8767,1.06616,-0.0972829,-0.487817,1.35707,-0.0210077,0.393541,0.0361447,1.83683,0.884136,-0.0229591,2.07781,-0.263101,0.6769,-2.57054,1.07203,-0.681872
-8.78964,1,0.633803,3,7,0,17.4454,-1.33815,-0.56574,0.522154,-0.455945,-0.91979,0.34987,-0.921179,-1.84261,-1.57149,0.373927,-0.829404,0.0152607,-0.217814,2.04183,-1.26109,0.819401
-14.2316,0.811195,0.633803,3,7,0,21.2309,0.567953,-2.26585,0.509944,-1.02951,0.570368,-1.2966,1.73148,2.07661,-0.316658,-0.83242,0.850809,-0.551922,1.35298,-1.53365,2.49669,0.363336
-4.37461,0.999101,0.633803,3,7,0,18.5057,-0.385117,0.230059,1.23897,-0.06049,-0.523209,0.161575,-0.741608,-0.318699,-1.31107,0.355171,0.639539,-0.222617,0.278102,-0.0582857,1.10063,1.56912
-7.71309,0.76137,0.633803,3,7,0,13.1669,0.8946,0.534393,-1.72917,-0.149839,0.354904,-1.23489,-0.0802451,1.36594,2.03247,-0.87568,-0.01585,0.159519,-0.0537771,-0.161972,-1.34897,-1.01604
-7.47302,0.940693,0.633803,3,7,0,13.3915,1.20968,-0.715508,0.382074,0.411193,0.145013,2.47543,-0.649191,-0.471891,-0.571292,1.4587,0.329101,0.525157,0.6786,0.00328595,1.22085,1.03609
-3.39134,0.896707,0.633803,3,7,0,12.6586,-0.518377,0.55344,-0.451412,-0.194074,0.238491,-1.1073,0.543355,-0.863557,-0.315693,-1.40882,0.0234971,0.188696,-0.621115,-0.441872,-0.679792,-0.691754
-7.77197,0.496941,0.633803,2,3,0,15.669,-1.14353,1.96768,0.538416,0.339156,2.0305,-0.336968,0.703105,-0.779908,-0.464872,-0.487419,-0.0621137,0.733957,-1.0762,-0.843761,-0.721249,-1.11082
-11.4439,0.824324,0.633803,3,7,0,18.3907,-0.193704,1.5721,0.0623025,0.420519,-1.66351,-1.185,-0.391777,2.75942,-0.306572,-0.170402,1.01166,-2.00114,0.812335,1.16385,0.095101,1.04122
-10.9125,1,0.633803,3,7,0,16.3491,-0.0137955,-1.64624,-0.0296449,-0.452666,1.64413,1.14001,0.437789,-2.70722,0.254463,0.0612851,-0.67502,2.01808,-0.540616,-1.02287,-0.051724,-1.20305
-12.5731,0.783918,0.633803,3,7,0,23.8278,0.164524,1.64353,0.0211755,0.404562,-1.53141,-1.10663,-0.427976,2.70041,-0.28478,0.194586,1.03673,-2.1022,1.52647,0.99571,0.146816,1.50081
-7.81673,1,0.633803,3,7,0,17.7882,-1.25096,-0.320733,1.06826,0.189056,-0.246456,1.35392,0.917965,-2.16622,-0.140194,-0.410683,0.97786,0.785682,0.657368,-1.71436,-0.474689,-0.0386288
-9.93102,0.889794,0.633803,3,7,0,16.0892,1.86088,0.832404,0.160741,0.360896,-0.0756275,-0.454234,-0.983573,1.75909,0.554131,0.221746,-0.861673,0.0435446,-2.31316,2.12003,0.515879,0.253651
-7.20605,0.93775,0.633803,3,7,0,17.4884,-1.19559,0.614324,0.265447,-0.268868,0.00415291,1.25261,0.786273,-1.83122,-0.937737,-0.886102,0.820354,-0.203025,-0.358158,-1.03352,-1.76032,0.497971
-5.65931,0.997037,0.633803,3,7,0,11.0135,1.34104,-0.909166,-0.310468,-0.337454,0.43156,-1.28297,-1.18773,1.12462,0.447349,0.617971,0.218973,0.0821486,-0.199429,0.574396,1.56926,-0.711823
-9.31882,0.721882,0.633803,3,7,0,16.2507,-2.40818,0.718399,0.239359,1.21862,-0.875378,1.65245,0.763636,-1.25043,0.59609,-0.422951,0.00432019,-0.555422,-0.134384,-1.72586,-0.00860538,-1.1388
-5.77806,0.972746,0.633803,3,7,0,15.5474,-0.161488,0.905613,0.733716,-0.913652,-0.759241,-0.0993742,1.03445,-1.39769,-0.474494,0.207024,-1.05787,0.383548,-1.14499,0.74137,-0.206986,1.51301
-6.69775,0.842988,0.633803,3,7,0,14.6609,0.928395,-1.18516,-0.939966,1.67414,0.223252,0.185906,-0.292211,1.29321,-0.188736,0.262105,-0.343385,0.966623,1.5152,-0.822461,0.705925,-0.98656
-13.6581,0.58148,0.633803,2,7,0,23.1997,-0.117254,1.91511,-1.74835,-1.44164,-0.643655,-2.84538,-1.30238,-0.579919,1.93283,1.03798,0.195156,0.0529319,-0.0318173,1.27872,0.664259,1.01261
-8.8199,1,0.633803,3,7,0,20.8163,-0.249591,-0.0953952,1.63629,-1.19238,-1.5851,-1.08067,-0.802642,0.0737681,1.42896,-0.813157,2.083,-0.440809,0.832292,0.532991,0.356895,0.893661
-11.8085,0.786289,0.633803,3,7,0,21.1244,-0.0762188,0.331272,0.832342,2.32149,2.0895,-0.626217,-1.32037,-0.787991,-0.500495,1.26085,2.36449,-0.396123,0.951759,0.20879,-1.14648,-0.667139
-10.8139,1,0.633803,3,7,0,19.0695,0.0404003,-0.32415,-0.767064,-2.29986,-2.16227,0.513931,1.27409,0.917402,0.472359,-1.16732,-2.21925,0.360908,-0.423958,0.172845,1.05805,0.518292
