# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tuples_model
# start_datetime = 2023-11-18 15:45:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 3930433043 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_tuple_data/../../data/tuples/tuples_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,bar:1,bar:2,bar2:1,bar2:2:1,bar2:2:2,bar3:1,bar3:2:1,bar3:2:2:1,bar3:2:2:2
# Adaptation terminated
# Step size = 0.665599
# Diagonal elements of inverse mass matrix:
# 0.773911, 0.905843, 0.916699, 1.09711, 0.949751, 1.04782, 1.01349, 1.01721, 0.970021, 1.02929, 0.84312, 0.991878, 0.957628, 1.13818, 0.902489, 1.02391
-14.4658,0.790679,0.665599,3,7,0,20.0504,-0.219124,0.38515,0.381508,-1.07347,0.875423,0.788547,1.43581,0.505188,0.613537,0.885933,2.4798,-1.20169,-1.56461,-1.1221,-2.90542,-1.68196
-6.16831,1,0.665599,3,7,0,17.4822,0.852564,-0.949652,1.05149,1.41833,0.648098,-0.712716,-0.528532,0.746189,-0.36489,-0.604827,-0.787424,0.781986,1.23586,0.795467,0.122569,1.38594
-3.78682,0.945084,0.665599,3,7,0,10.3658,-0.791006,0.729596,-1.25194,-1.34232,-0.405004,0.191449,-0.0410035,-0.459781,0.0429006,0.537063,-0.252773,-0.359888,-0.925047,-0.628356,0.352042,-0.88007
-3.08336,0.997017,0.665599,3,7,0,6.62099,0.71214,1.59812,-0.34914,-0.616066,0.519349,-0.474578,0.174345,0.724438,-0.788952,0.500667,0.0825015,0.165727,0.110253,0.352637,-0.297801,-0.64916
-9.37093,0.46405,0.665599,2,3,0,14.9753,2.19985,0.272199,0.619362,-0.258098,-0.142922,0.500277,0.0181191,-0.788609,-1.35338,-1.51251,0.534298,-2.16878,-0.641111,1.7089,-0.211082,-0.0308899
-5.41968,1,0.665599,3,7,0,13.1822,0.163193,-0.82965,0.866498,-0.219213,0.0254719,-0.689703,0.0370029,0.663352,1.06062,-0.297338,0.650976,1.26472,2.06175,-0.875274,0.388817,0.0558933
-6.93271,0.656215,0.665599,3,7,0,17.6775,-0.346424,0.885439,-0.971462,0.163195,-0.201421,0.859606,0.348639,-1.57681,-1.08684,-0.00459713,-0.684895,-0.960692,-1.82377,1.56971,-0.485326,-0.0688262
-6.36819,0.985395,0.665599,3,7,0,13.6767,-0.245116,-0.309818,2.33019,0.74818,0.00255109,-0.600647,0.201283,0.863698,-0.396401,-0.36498,-0.38077,0.972851,1.71082,-0.949021,0.312479,0.369541
-6.18484,0.943789,0.665599,3,7,0,13.1798,0.0683037,0.306057,-2.26019,-0.840336,-0.0179263,1.15156,-0.0934111,-0.932619,0.0532076,0.631953,0.329873,-0.819305,-1.55605,0.690437,-0.169972,-0.377683
-7.6957,0.816008,0.665599,3,7,0,14.3676,-0.238581,-1.09395,0.839731,1.74966,0.671576,0.0806798,0.432894,1.67142,0.709941,-1.41011,-0.929529,0.47531,-0.954554,0.891192,-0.213795,-1.2646
-6.7099,0.93393,0.665599,3,7,0,14.2873,0.157812,1.15015,-0.641927,-1.45537,-0.429077,-0.369355,-0.0994186,-1.65227,-0.492436,1.54009,0.952789,-0.229781,1.09094,-0.991026,0.150345,0.843572
-9.84568,0.8086,0.665599,3,7,0,16.5248,0.0621176,-0.0557715,0.305771,2.73271,-0.319507,0.961939,-0.311164,1.11144,-1.86053,-1.29339,-1.06237,1.18526,-1.31469,-0.58991,0.0195854,-0.137818
-7.86655,0.988838,0.665599,3,7,0,17.2268,0.245235,0.733871,-0.928545,-0.0907646,2.04442,-1.64772,-0.664695,-0.391491,-1.10008,-0.530799,0.0914047,0.533775,-1.58685,-0.867893,0.835103,-1.01011
-6.72124,0.720223,0.665599,3,7,0,19.8115,0.271031,-0.278798,0.272593,-0.30687,-1.93117,0.487778,0.618257,0.158141,1.5136,1.06861,0.0631369,0.590301,1.30536,0.641399,-0.490441,1.61462
-5.07364,1,0.665599,3,7,0,10.9685,-0.842786,-0.393819,-0.568119,-0.0748428,1.39469,-1.5593,-0.28829,-0.902859,1.12747,0.49964,-1.14219,0.0976194,0.205192,0.869537,0.00192437,0.213399
