# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = brian_data_model
# start_datetime = 2023-12-15 23:03:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1994504260 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/ultimate/brian_data_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-104-g6de5732
# stancflags = --warn-pedantic
lp__,accept_stat__,base,base_i,pair:1,pair:2,nested:1,nested:2:1,nested:2:2.real,nested:2:2.imag,arr_pair.1:1,arr_pair.1:2,arr_pair.2:1,arr_pair.2:2,arr_very_nested.1:1:1,arr_very_nested.1:1:2:1,arr_very_nested.1:1:2:2.real,arr_very_nested.1:1:2:2.imag,arr_very_nested.1:2,arr_very_nested.2:1:1,arr_very_nested.2:1:2:1,arr_very_nested.2:1:2:2.real,arr_very_nested.2:1:2:2.imag,arr_very_nested.2:2,arr_very_nested.3:1:1,arr_very_nested.3:1:2:1,arr_very_nested.3:1:2:2.real,arr_very_nested.3:1:2:2.imag,arr_very_nested.3:2,arr_2d_pair.1.1:1,arr_2d_pair.1.1:2,arr_2d_pair.2.1:1,arr_2d_pair.2.1:2,arr_2d_pair.3.1:1,arr_2d_pair.3.1:2,arr_2d_pair.1.2:1,arr_2d_pair.1.2:2,arr_2d_pair.2.2:1,arr_2d_pair.2.2:2,arr_2d_pair.3.2:1,arr_2d_pair.3.2:2,basep1,basep2,basep3,basep4,basep5,ultimate.1.1:1.1:1,ultimate.1.1:1.1:2.1,ultimate.1.1:1.1:2.2,ultimate.1.1:1.2:1,ultimate.1.1:1.2:2.1,ultimate.1.1:1.2:2.2,ultimate.1.1:2.1.1,ultimate.1.1:2.2.1,ultimate.1.1:2.3.1,ultimate.1.1:2.4.1,ultimate.1.1:2.1.2,ultimate.1.1:2.2.2,ultimate.1.1:2.3.2,ultimate.1.1:2.4.2,ultimate.1.1:2.1.3,ultimate.1.1:2.2.3,ultimate.1.1:2.3.3,ultimate.1.1:2.4.3,ultimate.1.1:2.1.4,ultimate.1.1:2.2.4,ultimate.1.1:2.3.4,ultimate.1.1:2.4.4,ultimate.1.1:2.1.5,ultimate.1.1:2.2.5,ultimate.1.1:2.3.5,ultimate.1.1:2.4.5,ultimate.2.1:1.1:1,ultimate.2.1:1.1:2.1,ultimate.2.1:1.1:2.2,ultimate.2.1:1.2:1,ultimate.2.1:1.2:2.1,ultimate.2.1:1.2:2.2,ultimate.2.1:2.1.1,ultimate.2.1:2.2.1,ultimate.2.1:2.3.1,ultimate.2.1:2.4.1,ultimate.2.1:2.1.2,ultimate.2.1:2.2.2,ultimate.2.1:2.3.2,ultimate.2.1:2.4.2,ultimate.2.1:2.1.3,ultimate.2.1:2.2.3,ultimate.2.1:2.3.3,ultimate.2.1:2.4.3,ultimate.2.1:2.1.4,ultimate.2.1:2.2.4,ultimate.2.1:2.3.4,ultimate.2.1:2.4.4,ultimate.2.1:2.1.5,ultimate.2.1:2.2.5,ultimate.2.1:2.3.5,ultimate.2.1:2.4.5,ultimate.1.2:1.1:1,ultimate.1.2:1.1:2.1,ultimate.1.2:1.1:2.2,ultimate.1.2:1.2:1,ultimate.1.2:1.2:2.1,ultimate.1.2:1.2:2.2,ultimate.1.2:2.1.1,ultimate.1.2:2.2.1,ultimate.1.2:2.3.1,ultimate.1.2:2.4.1,ultimate.1.2:2.1.2,ultimate.1.2:2.2.2,ultimate.1.2:2.3.2,ultimate.1.2:2.4.2,ultimate.1.2:2.1.3,ultimate.1.2:2.2.3,ultimate.1.2:2.3.3,ultimate.1.2:2.4.3,ultimate.1.2:2.1.4,ultimate.1.2:2.2.4,ultimate.1.2:2.3.4,ultimate.1.2:2.4.4,ultimate.1.2:2.1.5,ultimate.1.2:2.2.5,ultimate.1.2:2.3.5,ultimate.1.2:2.4.5,ultimate.2.2:1.1:1,ultimate.2.2:1.1:2.1,ultimate.2.2:1.1:2.2,ultimate.2.2:1.2:1,ultimate.2.2:1.2:2.1,ultimate.2.2:1.2:2.2,ultimate.2.2:2.1.1,ultimate.2.2:2.2.1,ultimate.2.2:2.3.1,ultimate.2.2:2.4.1,ultimate.2.2:2.1.2,ultimate.2.2:2.2.2,ultimate.2.2:2.3.2,ultimate.2.2:2.4.2,ultimate.2.2:2.1.3,ultimate.2.2:2.2.3,ultimate.2.2:2.3.3,ultimate.2.2:2.4.3,ultimate.2.2:2.1.4,ultimate.2.2:2.2.4,ultimate.2.2:2.3.4,ultimate.2.2:2.4.4,ultimate.2.2:2.1.5,ultimate.2.2:2.2.5,ultimate.2.2:2.3.5,ultimate.2.2:2.4.5,ultimate.1.3:1.1:1,ultimate.1.3:1.1:2.1,ultimate.1.3:1.1:2.2,ultimate.1.3:1.2:1,ultimate.1.3:1.2:2.1,ultimate.1.3:1.2:2.2,ultimate.1.3:2.1.1,ultimate.1.3:2.2.1,ultimate.1.3:2.3.1,ultimate.1.3:2.4.1,ultimate.1.3:2.1.2,ultimate.1.3:2.2.2,ultimate.1.3:2.3.2,ultimate.1.3:2.4.2,ultimate.1.3:2.1.3,ultimate.1.3:2.2.3,ultimate.1.3:2.3.3,ultimate.1.3:2.4.3,ultimate.1.3:2.1.4,ultimate.1.3:2.2.4,ultimate.1.3:2.3.4,ultimate.1.3:2.4.4,ultimate.1.3:2.1.5,ultimate.1.3:2.2.5,ultimate.1.3:2.3.5,ultimate.1.3:2.4.5,ultimate.2.3:1.1:1,ultimate.2.3:1.1:2.1,ultimate.2.3:1.1:2.2,ultimate.2.3:1.2:1,ultimate.2.3:1.2:2.1,ultimate.2.3:1.2:2.2,ultimate.2.3:2.1.1,ultimate.2.3:2.2.1,ultimate.2.3:2.3.1,ultimate.2.3:2.4.1,ultimate.2.3:2.1.2,ultimate.2.3:2.2.2,ultimate.2.3:2.3.2,ultimate.2.3:2.4.2,ultimate.2.3:2.1.3,ultimate.2.3:2.2.3,ultimate.2.3:2.3.3,ultimate.2.3:2.4.3,ultimate.2.3:2.1.4,ultimate.2.3:2.2.4,ultimate.2.3:2.3.4,ultimate.2.3:2.4.4,ultimate.2.3:2.1.5,ultimate.2.3:2.2.5,ultimate.2.3:2.3.5,ultimate.2.3:2.4.5
0,0,2.50276,12,2.50276,5.00552,7.50828,12,0,10.011,2.50276,5.00552,12.5138,15.0166,7.50828,12,0,10.011,17.5193,20.0221,24,0,22.5248,25.0276,7.50828,12,0,10.011,27.5304,30.0331,32.5359,40.0442,42.5469,50.0552,52.558,35.0386,37.5414,45.0497,47.5525,55.0607,57.5635,3.50276,4.50276,5.50276,6.50276,7.50276,2.50276,5.00552,7.50828,10.011,12.5138,15.0166,17.5193,18.0462,18.5731,19.1,19.6269,20.1538,20.6807,21.2076,21.7345,22.2614,22.7883,23.3152,23.8421,24.369,24.8959,25.4228,25.9497,26.4766,27.0035,27.5304,5.50276,11.0055,16.5083,22.011,27.5138,33.0166,38.5193,39.6778,40.8363,41.9948,43.1532,44.3117,45.4702,46.6287,47.7871,48.9456,50.1041,51.2626,52.421,53.5795,54.738,55.8965,57.0549,58.2134,59.3719,60.5304,3.50276,7.00552,10.5083,14.011,17.5138,21.0166,24.5193,25.2567,25.9942,26.7316,27.469,28.2064,28.9439,29.6813,30.4187,31.1561,31.8936,32.631,33.3684,34.1058,34.8433,35.5807,36.3181,37.0555,37.7929,38.5304,6.50276,13.0055,19.5083,26.011,32.5138,39.0166,45.5193,46.8883,48.2573,49.6263,50.9953,52.3643,53.7333,55.1023,56.4713,57.8403,59.2093,60.5783,61.9474,63.3164,64.6854,66.0544,67.4234,68.7924,70.1614,71.5304,4.50276,9.00552,13.5083,18.011,22.5138,27.0166,31.5193,32.4673,33.4152,34.3632,35.3111,36.2591,37.207,38.155,39.1029,40.0509,40.9988,41.9468,42.8947,43.8427,44.7906,45.7386,46.6865,47.6345,48.5824,49.5304,7.50276,15.0055,22.5083,30.011,37.5138,45.0166,52.5193,54.0989,55.6784,57.2579,58.8374,60.417,61.9965,63.576,65.1556,66.7351,68.3146,69.8941,71.4737,73.0532,74.6327,76.2123,77.7918,79.3713,80.9508,82.5304
0,0,-0.15026,5,-0.15026,-0.30052,-0.45078,5,-0,-0.60104,-0.15026,-0.30052,-0.7513,-0.901561,-0.45078,5,-0,-0.60104,-1.05182,-1.20208,10,-0,-1.35234,-1.5026,-0.45078,5,-0,-0.60104,-1.65286,-1.80312,-1.95338,-2.40416,-2.55442,-3.0052,-3.15546,-2.10364,-2.2539,-2.70468,-2.85494,-3.30572,-3.45598,0.84974,1.84974,2.84974,3.84974,4.84974,-0.15026,-0.30052,-0.45078,-0.60104,-0.7513,-0.901561,-1.05182,-1.08345,-1.11509,-1.14672,-1.17836,-1.20999,-1.24162,-1.27326,-1.30489,-1.33652,-1.36816,-1.39979,-1.43143,-1.46306,-1.49469,-1.52633,-1.55796,-1.58959,-1.62123,-1.65286,2.84974,5.69948,8.54922,11.399,14.2487,17.0984,19.9482,20.5481,21.1481,21.748,22.348,22.9479,23.5479,24.1478,24.7477,25.3477,25.9476,26.5476,27.1475,27.7475,28.3474,28.9474,29.5473,30.1472,30.7472,31.3471,0.84974,1.69948,2.54922,3.39896,4.2487,5.09844,5.94818,6.12707,6.30596,6.48486,6.66375,6.84264,7.02154,7.20043,7.37932,7.55821,7.73711,7.916,8.09489,8.27378,8.45268,8.63157,8.81046,8.98935,9.16825,9.34714,3.84974,7.69948,11.5492,15.399,19.2487,23.0984,26.9482,27.7587,28.5691,29.3796,30.1901,31.0005,31.811,32.6215,33.432,34.2424,35.0529,35.8634,36.6738,37.4843,38.2948,39.1053,39.9157,40.7262,41.5367,42.3471,1.84974,3.69948,5.54922,7.39896,9.2487,11.0984,12.9482,13.3376,13.727,14.1164,14.5059,14.8953,15.2847,15.6741,16.0635,16.4529,16.8424,17.2318,17.6212,18.0106,18.4,18.7895,19.1789,19.5683,19.9577,20.3471,4.84974,9.69948,14.5492,19.399,24.2487,29.0984,33.9482,34.9692,35.9902,37.0112,38.0322,39.0532,40.0742,41.0952,42.1162,43.1372,44.1582,45.1792,46.2002,47.2212,48.2421,49.2631,50.2841,51.3051,52.3261,53.3471
0,0,1.45778,0,1.45778,2.91557,4.37335,0,0,5.83114,1.45778,2.91557,7.28892,8.7467,4.37335,0,0,5.83114,10.2045,11.6623,0,0,13.1201,14.5778,4.37335,0,0,5.83114,16.0356,17.4934,18.9512,23.3245,24.7823,29.1557,30.6135,20.409,21.8668,26.2401,27.6979,32.0713,33.529,2.45778,3.45778,4.45778,5.45778,6.45778,1.45778,2.91557,4.37335,5.83114,7.28892,8.7467,10.2045,10.5114,10.8183,11.1252,11.4321,11.739,12.0459,12.3528,12.6597,12.9666,13.2735,13.5804,13.8873,14.1942,14.5011,14.808,15.1149,15.4218,15.7287,16.0356,4.45778,8.91557,13.3734,17.8311,22.2889,26.7467,31.2045,32.143,33.0815,34.0199,34.9584,35.8969,36.8354,37.7739,38.7123,39.6508,40.5893,41.5278,42.4663,43.4047,44.3432,45.2817,46.2202,47.1587,48.0971,49.0356,2.45778,4.91557,7.37335,9.83114,12.2889,14.7467,17.2045,17.7219,18.2393,18.7568,19.2742,19.7916,20.3091,20.8265,21.3439,21.8613,22.3788,22.8962,23.4136,23.9311,24.4485,24.9659,25.4833,26.0008,26.5182,27.0356,5.45778,10.9156,16.3734,21.8311,27.2889,32.7467,38.2045,39.3535,40.5025,41.6515,42.8005,43.9495,45.0985,46.2475,47.3965,48.5456,49.6946,50.8436,51.9926,53.1416,54.2906,55.4396,56.5886,57.7376,58.8866,60.0356,3.45778,6.91557,10.3734,13.8311,17.2889,20.7467,24.2045,24.9324,25.6604,26.3884,27.1163,27.8443,28.5722,29.3002,30.0281,30.7561,31.484,32.212,32.9399,33.6679,34.3959,35.1238,35.8518,36.5797,37.3077,38.0356,6.45778,12.9156,19.3734,25.8311,32.2889,38.7467,45.2045,46.564,47.9236,49.2831,50.6426,52.0022,53.3617,54.7212,56.0808,57.4403,58.7998,60.1594,61.5189,62.8784,64.238,65.5975,66.957,68.3166,69.6761,71.0356
0,0,-0.0508513,22,-0.0508513,-0.101703,-0.152554,22,-0,-0.203405,-0.0508513,-0.101703,-0.254257,-0.305108,-0.152554,22,-0,-0.203405,-0.355959,-0.406811,44,-0,-0.457662,-0.508513,-0.152554,22,-0,-0.203405,-0.559364,-0.610216,-0.661067,-0.813621,-0.864472,-1.01703,-1.06788,-0.711918,-0.76277,-0.915324,-0.966175,-1.11873,-1.16958,0.949149,1.94915,2.94915,3.94915,4.94915,-0.0508513,-0.101703,-0.152554,-0.203405,-0.254257,-0.305108,-0.355959,-0.366665,-0.37737,-0.388076,-0.398781,-0.409487,-0.420192,-0.430898,-0.441604,-0.452309,-0.463015,-0.47372,-0.484426,-0.495131,-0.505837,-0.516542,-0.527248,-0.537953,-0.548659,-0.559364,2.94915,5.8983,8.84745,11.7966,14.7457,17.6949,20.644,21.2649,21.8858,22.5067,23.1275,23.7484,24.3693,24.9902,25.611,26.2319,26.8528,27.4736,28.0945,28.7154,29.3363,29.9571,30.578,31.1989,31.8198,32.4406,0.949149,1.8983,2.84745,3.79659,4.74574,5.69489,6.64404,6.84386,7.04368,7.2435,7.44332,7.64314,7.84297,8.04279,8.24261,8.44243,8.64225,8.84207,9.04189,9.24171,9.44153,9.64135,9.84117,10.041,10.2408,10.4406,3.94915,7.8983,11.8474,15.7966,19.7457,23.6949,27.644,28.4754,29.3068,30.1382,30.9696,31.801,32.6324,33.4638,34.2952,35.1266,35.958,36.7894,37.6208,38.4522,39.2836,40.115,40.9464,41.7778,42.6092,43.4406,1.94915,3.8983,5.84745,7.79659,9.74574,11.6949,13.644,14.0544,14.4647,14.8751,15.2854,15.6958,16.1061,16.5165,16.9268,17.3372,17.7475,18.1579,18.5682,18.9786,19.3889,19.7992,20.2096,20.6199,21.0303,21.4406,4.94915,9.8983,14.8474,19.7966,24.7457,29.6949,34.644,35.686,36.7279,37.7698,38.8117,39.8537,40.8956,41.9375,42.9794,44.0214,45.0633,46.1052,47.1472,48.1891,49.231,50.2729,51.3149,52.3568,53.3987,54.4406
0,0,1.10909,1,1.10909,2.21817,3.32726,1,0,4.43635,1.10909,2.21817,5.54544,6.65452,3.32726,1,0,4.43635,7.76361,8.8727,2,0,9.98178,11.0909,3.32726,1,0,4.43635,12.2,13.309,14.4181,17.7454,18.8545,22.1817,23.2908,15.5272,16.6363,19.9636,21.0727,24.3999,25.509,2.10909,3.10909,4.10909,5.10909,6.10909,1.10909,2.21817,3.32726,4.43635,5.54544,6.65452,7.76361,7.9971,8.23059,8.46409,8.69758,8.93107,9.16456,9.39805,9.63155,9.86504,10.0985,10.332,10.5655,10.799,11.0325,11.266,11.4995,11.733,11.9665,12.2,4.10909,8.21817,12.3273,16.4363,20.5454,24.6545,28.7636,29.6287,30.4938,31.3588,32.2239,33.089,33.954,34.8191,35.6842,36.5492,37.4143,38.2794,39.1445,40.0095,40.8746,41.7397,42.6047,43.4698,44.3349,45.2,2.10909,4.21817,6.32726,8.43635,10.5454,12.6545,14.7636,15.2076,15.6516,16.0957,16.5397,16.9837,17.4277,17.8717,18.3158,18.7598,19.2038,19.6478,20.0918,20.5358,20.9799,21.4239,21.8679,22.3119,22.7559,23.2,5.10909,10.2182,15.3273,20.4363,25.5454,30.6545,35.7636,36.8392,37.9148,38.9904,40.066,41.1416,42.2172,43.2928,44.3684,45.444,46.5196,47.5952,48.6708,49.7464,50.822,51.8976,52.9732,54.0488,55.1244,56.2,3.10909,6.21817,9.32726,12.4363,15.5454,18.6545,21.7636,22.4182,23.0727,23.7272,24.3818,25.0363,25.6909,26.3454,27,27.6545,28.3091,28.9636,29.6181,30.2727,30.9272,31.5818,32.2363,32.8909,33.5454,34.2,6.10909,12.2182,18.3273,24.4363,30.5454,36.6545,42.7636,44.0497,45.3359,46.622,47.9081,49.1942,50.4804,51.7665,53.0526,54.3387,55.6248,56.911,58.1971,59.4832,60.7693,62.0555,63.3416,64.6277,65.9138,67.2
0,0,1.87369,10,1.87369,3.74738,5.62107,10,0,7.49476,1.87369,3.74738,9.36845,11.2421,5.62107,10,0,7.49476,13.1158,14.9895,20,0,16.8632,18.7369,5.62107,10,0,7.49476,20.6106,22.4843,24.358,29.979,31.8527,37.4738,39.3475,26.2317,28.1053,33.7264,35.6001,41.2212,43.0949,2.87369,3.87369,4.87369,5.87369,6.87369,1.87369,3.74738,5.62107,7.49476,9.36845,11.2421,13.1158,13.5103,13.9047,14.2992,14.6937,15.0881,15.4826,15.8771,16.2715,16.666,17.0604,17.4549,17.8494,18.2438,18.6383,19.0327,19.4272,19.8217,20.2161,20.6106,4.87369,9.74738,14.6211,19.4948,24.3684,29.2421,34.1158,35.1419,36.1679,37.1939,38.22,39.246,40.2721,41.2981,42.3241,43.3502,44.3762,45.4023,46.4283,47.4543,48.4804,49.5064,50.5325,51.5585,52.5845,53.6106,2.87369,5.74738,8.62107,11.4948,14.3684,17.2421,20.1158,20.7208,21.3258,21.9308,22.5358,23.1408,23.7457,24.3507,24.9557,25.5607,26.1657,26.7707,27.3757,27.9807,28.5856,29.1906,29.7956,30.4006,31.0056,31.6106,5.87369,11.7474,17.6211,23.4948,29.3684,35.2421,41.1158,42.3524,43.589,44.8255,46.0621,47.2987,48.5352,49.7718,51.0084,52.2449,53.4815,54.7181,55.9546,57.1912,58.4278,59.6643,60.9009,62.1375,63.374,64.6106,3.87369,7.74738,11.6211,15.4948,19.3684,23.2421,27.1158,27.9313,28.7469,29.5624,30.3779,31.1934,32.0089,32.8244,33.6399,34.4554,35.271,36.0865,36.902,37.7175,38.533,39.3485,40.164,40.9796,41.7951,42.6106,6.87369,13.7474,20.6211,27.4948,34.3684,41.2421,48.1158,49.5629,51.01,52.4571,53.9042,55.3513,56.7984,58.2455,59.6926,61.1397,62.5868,64.0338,65.4809,66.928,68.3751,69.8222,71.2693,72.7164,74.1635,75.6106
0,0,0.330899,0,0.330899,0.661797,0.992696,0,0,1.32359,0.330899,0.661797,1.65449,1.98539,0.992696,0,0,1.32359,2.31629,2.64719,0,0,2.97809,3.30899,0.992696,0,0,1.32359,3.63988,3.97078,4.30168,5.29438,5.62528,6.61797,6.94887,4.63258,4.96348,5.95618,6.28707,7.27977,7.61067,1.3309,2.3309,3.3309,4.3309,5.3309,0.330899,0.661797,0.992696,1.32359,1.65449,1.98539,2.31629,2.38595,2.45562,2.52528,2.59494,2.6646,2.73427,2.80393,2.87359,2.94326,3.01292,3.08258,3.15224,3.22191,3.29157,3.36123,3.4309,3.50056,3.57022,3.63988,3.3309,6.6618,9.9927,13.3236,16.6545,19.9854,23.3163,24.0175,24.7188,25.42,26.1213,26.8225,27.5237,28.225,28.9262,29.6275,30.3287,31.03,31.7312,32.4324,33.1337,33.8349,34.5362,35.2374,35.9386,36.6399,1.3309,2.6618,3.9927,5.32359,6.65449,7.98539,9.31629,9.59648,9.87667,10.1569,10.437,10.7172,10.9974,11.2776,11.5578,11.838,12.1182,12.3984,12.6786,12.9587,13.2389,13.5191,13.7993,14.0795,14.3597,14.6399,4.3309,8.6618,12.9927,17.3236,21.6545,25.9854,30.3163,31.2281,32.1398,33.0516,33.9634,34.8751,35.7869,36.6987,37.6104,38.5222,39.434,40.3457,41.2575,42.1693,43.081,43.9928,44.9046,45.8163,46.7281,47.6399,2.3309,4.6618,6.9927,9.32359,11.6545,13.9854,16.3163,16.807,17.2977,17.7884,18.2792,18.7699,19.2606,19.7513,20.242,20.7327,21.2234,21.7142,22.2049,22.6956,23.1863,23.677,24.1677,24.6585,25.1492,25.6399,5.3309,10.6618,15.9927,21.3236,26.6545,31.9854,37.3163,38.4386,39.5609,40.6832,41.8055,42.9278,44.0501,45.1724,46.2946,47.4169,48.5392,49.6615,50.7838,51.9061,53.0284,54.1507,55.273,56.3953,57.5176,58.6399
0,0,-0.510021,17,-0.510021,-1.02004,-1.53006,17,-0,-2.04009,-0.510021,-1.02004,-2.55011,-3.06013,-1.53006,17,-0,-2.04009,-3.57015,-4.08017,34,-0,-4.59019,-5.10021,-1.53006,17,-0,-2.04009,-5.61024,-6.12026,-6.63028,-8.16034,-8.67036,-10.2004,-10.7104,-7.1403,-7.65032,-9.18038,-9.69041,-11.2205,-11.7305,0.489979,1.48998,2.48998,3.48998,4.48998,-0.510021,-1.02004,-1.53006,-2.04009,-2.55011,-3.06013,-3.57015,-3.67752,-3.7849,-3.89227,-3.99964,-4.10701,-4.21439,-4.32176,-4.42913,-4.53651,-4.64388,-4.75125,-4.85862,-4.966,-5.07337,-5.18074,-5.28812,-5.39549,-5.50286,-5.61024,2.48998,4.97996,7.46994,9.95991,12.4499,14.9399,17.4299,17.9541,18.4783,19.0025,19.5267,20.0509,20.5751,21.0993,21.6235,22.1477,22.6719,23.1961,23.7203,24.2445,24.7687,25.2929,25.8171,26.3414,26.8656,27.3898,0.489979,0.979957,1.46994,1.95991,2.44989,2.93987,3.42985,3.533,3.63616,3.73931,3.84246,3.94562,4.04877,4.15192,4.25508,4.35823,4.46138,4.56454,4.66769,4.77084,4.874,4.97715,5.0803,5.18346,5.28661,5.38976,3.48998,6.97996,10.4699,13.9599,17.4499,20.9399,24.4299,25.1646,25.8993,26.634,27.3688,28.1035,28.8382,29.573,30.3077,31.0424,31.7772,32.5119,33.2466,33.9814,34.7161,35.4508,36.1856,36.9203,37.655,38.3898,1.48998,2.97996,4.46994,5.95991,7.44989,8.93987,10.4299,10.7435,11.0572,11.3709,11.6846,11.9982,12.3119,12.6256,12.9393,13.253,13.5666,13.8803,14.194,14.5077,14.8214,15.135,15.4487,15.7624,16.0761,16.3898,4.48998,8.97996,13.4699,17.9599,22.4499,26.9399,31.4299,32.3751,33.3204,34.2656,35.2109,36.1561,37.1014,38.0467,38.9919,39.9372,40.8824,41.8277,42.773,43.7182,44.6635,45.6087,46.554,47.4992,48.4445,49.3898
0,0,1.26086,-11,1.26086,2.52171,3.78257,-11,0,5.04343,1.26086,2.52171,6.30428,7.56514,3.78257,-11,0,5.04343,8.826,10.0869,-22,0,11.3477,12.6086,3.78257,-11,0,5.04343,13.8694,15.1303,16.3911,20.1737,21.4346,25.2171,26.478,17.652,18.9128,22.6954,23.9563,27.7388,28.9997,2.26086,3.26086,4.26086,5.26086,6.26086,1.26086,2.52171,3.78257,5.04343,6.30428,7.56514,8.826,9.09144,9.35688,9.62233,9.88777,10.1532,10.4187,10.6841,10.9495,11.215,11.4804,11.7459,12.0113,12.2768,12.5422,12.8076,13.0731,13.3385,13.604,13.8694,4.26086,8.52171,12.7826,17.0434,21.3043,25.5651,29.826,30.723,31.62,32.5171,33.4141,34.3111,35.2081,36.1052,37.0022,37.8992,38.7962,39.6932,40.5903,41.4873,42.3843,43.2813,44.1784,45.0754,45.9724,46.8694,2.26086,4.52171,6.78257,9.04343,11.3043,13.5651,15.826,16.302,16.7779,17.2539,17.7299,18.2058,18.6818,19.1578,19.6338,20.1097,20.5857,21.0617,21.5376,22.0136,22.4896,22.9655,23.4415,23.9175,24.3935,24.8694,5.26086,10.5217,15.7826,21.0434,26.3043,31.5651,36.826,37.9335,39.0411,40.1486,41.2562,42.3637,43.4713,44.5788,45.6864,46.7939,47.9015,49.009,50.1166,51.2241,52.3317,53.4392,54.5468,55.6543,56.7619,57.8694,3.26086,6.52171,9.78257,13.0434,16.3043,19.5651,22.826,23.5125,24.199,24.8855,25.572,26.2585,26.945,27.6315,28.318,29.0045,29.691,30.3775,31.0639,31.7504,32.4369,33.1234,33.8099,34.4964,35.1829,35.8694,6.26086,12.5217,18.7826,25.0434,31.3043,37.5651,43.826,45.1441,46.4621,47.7802,49.0983,50.4164,51.7344,53.0525,54.3706,55.6887,57.0067,58.3248,59.6429,60.961,62.279,63.5971,64.9152,66.2333,67.5513,68.8694
0,0,-1.13788,-1,-1.13788,-2.27577,-3.41365,-1,-0,-4.55154,-1.13788,-2.27577,-5.68942,-6.82731,-3.41365,-1,-0,-4.55154,-7.96519,-9.10308,-2,-0,-10.241,-11.3788,-3.41365,-1,-0,-4.55154,-12.5167,-13.6546,-14.7925,-18.2062,-19.344,-22.7577,-23.8956,-15.9304,-17.0683,-20.4819,-21.6198,-25.0335,-26.1713,-0.137885,0.862115,1.86212,2.86212,3.86212,-1.13788,-2.27577,-3.41365,-4.55154,-5.68942,-6.82731,-7.96519,-8.20475,-8.4443,-8.68386,-8.92341,-9.16297,-9.40252,-9.64208,-9.88163,-10.1212,-10.3607,-10.6003,-10.8398,-11.0794,-11.319,-11.5585,-11.7981,-12.0376,-12.2772,-12.5167,1.86212,3.72423,5.58635,7.44846,9.31058,11.1727,13.0348,13.4268,13.8189,14.2109,14.6029,14.9949,15.387,15.779,16.171,16.563,16.9551,17.3471,17.7391,18.1311,18.5231,18.9152,19.3072,19.6992,20.0912,20.4833,-0.137885,-0.275769,-0.413654,-0.551539,-0.689423,-0.827308,-0.965192,-0.994221,-1.02325,-1.05228,-1.08131,-1.11033,-1.13936,-1.16839,-1.19742,-1.22645,-1.25548,-1.2845,-1.31353,-1.34256,-1.37159,-1.40062,-1.42965,-1.45867,-1.4877,-1.51673,2.86212,5.72423,8.58635,11.4485,14.3106,17.1727,20.0348,20.6374,21.2399,21.8425,22.445,23.0476,23.6501,24.2527,24.8552,25.4578,26.0603,26.6629,27.2654,27.868,28.4705,29.0731,29.6756,30.2782,30.8807,31.4833,0.862115,1.72423,2.58635,3.44846,4.31058,5.17269,6.03481,6.21631,6.3978,6.5793,6.7608,6.9423,7.1238,7.30529,7.48679,7.66829,7.84979,8.03129,8.21278,8.39428,8.57578,8.75728,8.93878,9.12027,9.30177,9.48327,3.86212,7.72423,11.5863,15.4485,19.3106,23.1727,27.0348,27.8479,28.661,29.474,30.2871,31.1002,31.9133,32.7263,33.5394,34.3525,35.1656,35.9787,36.7917,37.6048,38.4179,39.231,40.044,40.8571,41.6702,42.4833
