# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = brian_data_model
# start_datetime = 2023-12-15 23:03:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1994504260 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/ultimate/brian_data_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-104-g6de5732
# stancflags = --warn-pedantic
lp__,accept_stat__,base,base_i,pair:1,pair:2,nested:1,nested:2:1,nested:2:2.real,nested:2:2.imag,arr_pair.1:1,arr_pair.1:2,arr_pair.2:1,arr_pair.2:2,arr_very_nested.1:1:1,arr_very_nested.1:1:2:1,arr_very_nested.1:1:2:2.real,arr_very_nested.1:1:2:2.imag,arr_very_nested.1:2,arr_very_nested.2:1:1,arr_very_nested.2:1:2:1,arr_very_nested.2:1:2:2.real,arr_very_nested.2:1:2:2.imag,arr_very_nested.2:2,arr_very_nested.3:1:1,arr_very_nested.3:1:2:1,arr_very_nested.3:1:2:2.real,arr_very_nested.3:1:2:2.imag,arr_very_nested.3:2,arr_2d_pair.1.1:1,arr_2d_pair.1.1:2,arr_2d_pair.2.1:1,arr_2d_pair.2.1:2,arr_2d_pair.3.1:1,arr_2d_pair.3.1:2,arr_2d_pair.1.2:1,arr_2d_pair.1.2:2,arr_2d_pair.2.2:1,arr_2d_pair.2.2:2,arr_2d_pair.3.2:1,arr_2d_pair.3.2:2,basep1,basep2,basep3,basep4,basep5,ultimate.1.1:1.1:1,ultimate.1.1:1.1:2.1,ultimate.1.1:1.1:2.2,ultimate.1.1:1.2:1,ultimate.1.1:1.2:2.1,ultimate.1.1:1.2:2.2,ultimate.1.1:2.1.1,ultimate.1.1:2.2.1,ultimate.1.1:2.3.1,ultimate.1.1:2.4.1,ultimate.1.1:2.1.2,ultimate.1.1:2.2.2,ultimate.1.1:2.3.2,ultimate.1.1:2.4.2,ultimate.1.1:2.1.3,ultimate.1.1:2.2.3,ultimate.1.1:2.3.3,ultimate.1.1:2.4.3,ultimate.1.1:2.1.4,ultimate.1.1:2.2.4,ultimate.1.1:2.3.4,ultimate.1.1:2.4.4,ultimate.1.1:2.1.5,ultimate.1.1:2.2.5,ultimate.1.1:2.3.5,ultimate.1.1:2.4.5,ultimate.2.1:1.1:1,ultimate.2.1:1.1:2.1,ultimate.2.1:1.1:2.2,ultimate.2.1:1.2:1,ultimate.2.1:1.2:2.1,ultimate.2.1:1.2:2.2,ultimate.2.1:2.1.1,ultimate.2.1:2.2.1,ultimate.2.1:2.3.1,ultimate.2.1:2.4.1,ultimate.2.1:2.1.2,ultimate.2.1:2.2.2,ultimate.2.1:2.3.2,ultimate.2.1:2.4.2,ultimate.2.1:2.1.3,ultimate.2.1:2.2.3,ultimate.2.1:2.3.3,ultimate.2.1:2.4.3,ultimate.2.1:2.1.4,ultimate.2.1:2.2.4,ultimate.2.1:2.3.4,ultimate.2.1:2.4.4,ultimate.2.1:2.1.5,ultimate.2.1:2.2.5,ultimate.2.1:2.3.5,ultimate.2.1:2.4.5,ultimate.1.2:1.1:1,ultimate.1.2:1.1:2.1,ultimate.1.2:1.1:2.2,ultimate.1.2:1.2:1,ultimate.1.2:1.2:2.1,ultimate.1.2:1.2:2.2,ultimate.1.2:2.1.1,ultimate.1.2:2.2.1,ultimate.1.2:2.3.1,ultimate.1.2:2.4.1,ultimate.1.2:2.1.2,ultimate.1.2:2.2.2,ultimate.1.2:2.3.2,ultimate.1.2:2.4.2,ultimate.1.2:2.1.3,ultimate.1.2:2.2.3,ultimate.1.2:2.3.3,ultimate.1.2:2.4.3,ultimate.1.2:2.1.4,ultimate.1.2:2.2.4,ultimate.1.2:2.3.4,ultimate.1.2:2.4.4,ultimate.1.2:2.1.5,ultimate.1.2:2.2.5,ultimate.1.2:2.3.5,ultimate.1.2:2.4.5,ultimate.2.2:1.1:1,ultimate.2.2:1.1:2.1,ultimate.2.2:1.1:2.2,ultimate.2.2:1.2:1,ultimate.2.2:1.2:2.1,ultimate.2.2:1.2:2.2,ultimate.2.2:2.1.1,ultimate.2.2:2.2.1,ultimate.2.2:2.3.1,ultimate.2.2:2.4.1,ultimate.2.2:2.1.2,ultimate.2.2:2.2.2,ultimate.2.2:2.3.2,ultimate.2.2:2.4.2,ultimate.2.2:2.1.3,ultimate.2.2:2.2.3,ultimate.2.2:2.3.3,ultimate.2.2:2.4.3,ultimate.2.2:2.1.4,ultimate.2.2:2.2.4,ultimate.2.2:2.3.4,ultimate.2.2:2.4.4,ultimate.2.2:2.1.5,ultimate.2.2:2.2.5,ultimate.2.2:2.3.5,ultimate.2.2:2.4.5,ultimate.1.3:1.1:1,ultimate.1.3:1.1:2.1,ultimate.1.3:1.1:2.2,ultimate.1.3:1.2:1,ultimate.1.3:1.2:2.1,ultimate.1.3:1.2:2.2,ultimate.1.3:2.1.1,ultimate.1.3:2.2.1,ultimate.1.3:2.3.1,ultimate.1.3:2.4.1,ultimate.1.3:2.1.2,ultimate.1.3:2.2.2,ultimate.1.3:2.3.2,ultimate.1.3:2.4.2,ultimate.1.3:2.1.3,ultimate.1.3:2.2.3,ultimate.1.3:2.3.3,ultimate.1.3:2.4.3,ultimate.1.3:2.1.4,ultimate.1.3:2.2.4,ultimate.1.3:2.3.4,ultimate.1.3:2.4.4,ultimate.1.3:2.1.5,ultimate.1.3:2.2.5,ultimate.1.3:2.3.5,ultimate.1.3:2.4.5,ultimate.2.3:1.1:1,ultimate.2.3:1.1:2.1,ultimate.2.3:1.1:2.2,ultimate.2.3:1.2:1,ultimate.2.3:1.2:2.1,ultimate.2.3:1.2:2.2,ultimate.2.3:2.1.1,ultimate.2.3:2.2.1,ultimate.2.3:2.3.1,ultimate.2.3:2.4.1,ultimate.2.3:2.1.2,ultimate.2.3:2.2.2,ultimate.2.3:2.3.2,ultimate.2.3:2.4.2,ultimate.2.3:2.1.3,ultimate.2.3:2.2.3,ultimate.2.3:2.3.3,ultimate.2.3:2.4.3,ultimate.2.3:2.1.4,ultimate.2.3:2.2.4,ultimate.2.3:2.3.4,ultimate.2.3:2.4.4,ultimate.2.3:2.1.5,ultimate.2.3:2.2.5,ultimate.2.3:2.3.5,ultimate.2.3:2.4.5
0,0,-1.28498,12,-1.28498,-2.56996,-3.85494,12,-0,-5.13992,-1.28498,-2.56996,-6.42491,-7.70989,-3.85494,12,-0,-5.13992,-8.99487,-10.2798,24,-0,-11.5648,-12.8498,-3.85494,12,-0,-5.13992,-14.1348,-15.4198,-16.7048,-20.5597,-21.8447,-25.6996,-26.9846,-17.9897,-19.2747,-23.1297,-24.4146,-28.2696,-29.5546,-0.284981,0.715019,1.71502,2.71502,3.71502,-1.28498,-2.56996,-3.85494,-5.13992,-6.42491,-7.70989,-8.99487,-9.26539,-9.53591,-9.80644,-10.077,-10.3475,-10.618,-10.8885,-11.159,-11.4296,-11.7001,-11.9706,-12.2411,-12.5117,-12.7822,-13.0527,-13.3232,-13.5937,-13.8643,-14.1348,1.71502,3.43004,5.14506,6.86008,8.57509,10.2901,12.0051,12.3662,12.7272,13.0883,13.4494,13.8104,14.1715,14.5325,14.8936,15.2546,15.6157,15.9768,16.3378,16.6989,17.0599,17.421,17.782,18.1431,18.5042,18.8652,-0.284981,-0.569962,-0.854944,-1.13992,-1.42491,-1.70989,-1.99487,-2.05486,-2.11486,-2.17486,-2.23485,-2.29485,-2.35484,-2.41484,-2.47484,-2.53483,-2.59483,-2.65482,-2.71482,-2.77482,-2.83481,-2.89481,-2.95481,-3.0148,-3.0748,-3.13479,2.71502,5.43004,8.14506,10.8601,13.5751,16.2901,19.0051,19.5767,20.1483,20.7199,21.2915,21.863,22.4346,23.0062,23.5778,24.1494,24.721,25.2925,25.8641,26.4357,27.0073,27.5789,28.1505,28.722,29.2936,29.8652,0.715019,1.43004,2.14506,2.86008,3.57509,4.29011,5.00513,5.15566,5.30619,5.45672,5.60725,5.75778,5.90831,6.05884,6.20937,6.3599,6.51043,6.66096,6.81149,6.96203,7.11256,7.26309,7.41362,7.56415,7.71468,7.86521,3.71502,7.43004,11.1451,14.8601,18.5751,22.2901,26.0051,26.7872,27.5693,28.3515,29.1336,29.9157,30.6978,31.4799,32.262,33.0441,33.8262,34.6083,35.3904,36.1726,36.9547,37.7368,38.5189,39.301,40.0831,40.8652
0,0,-0.0269151,-5,-0.0269151,-0.0538302,-0.0807454,-5,-0,-0.10766,-0.0269151,-0.0538302,-0.134576,-0.161491,-0.0807454,-5,-0,-0.10766,-0.188406,-0.215321,-10,-0,-0.242236,-0.269151,-0.0807454,-5,-0,-0.10766,-0.296066,-0.322981,-0.349897,-0.430642,-0.457557,-0.538302,-0.565217,-0.376812,-0.403727,-0.484472,-0.511387,-0.592133,-0.619048,0.973085,1.97308,2.97308,3.97308,4.97308,-0.0269151,-0.0538302,-0.0807454,-0.10766,-0.134576,-0.161491,-0.188406,-0.194072,-0.199739,-0.205405,-0.211071,-0.216738,-0.222404,-0.22807,-0.233737,-0.239403,-0.245069,-0.250736,-0.256402,-0.262068,-0.267735,-0.273401,-0.279067,-0.284734,-0.2904,-0.296066,2.97308,5.94617,8.91925,11.8923,14.8654,17.8385,20.8116,21.4375,22.0634,22.6893,23.3152,23.9412,24.5671,25.193,25.8189,26.4448,27.0707,27.6966,28.3225,28.9485,29.5744,30.2003,30.8262,31.4521,32.078,32.7039,0.973085,1.94617,2.91925,3.89234,4.86542,5.83851,6.81159,7.01645,7.22131,7.42617,7.63103,7.83589,8.04075,8.24561,8.45047,8.65533,8.86019,9.06505,9.26991,9.47477,9.67963,9.88449,10.0894,10.2942,10.4991,10.7039,3.97308,7.94617,11.9193,15.8923,19.8654,23.8385,27.8116,28.648,29.4845,30.3209,31.1573,31.9938,32.8302,33.6667,34.5031,35.3395,36.176,37.0124,37.8489,38.6853,39.5217,40.3582,41.1946,42.0311,42.8675,43.7039,1.97308,3.94617,5.91925,7.89234,9.86542,11.8385,13.8116,14.227,14.6424,15.0578,15.4731,15.8885,16.3039,16.7193,17.1347,17.5501,17.9655,18.3808,18.7962,19.2116,19.627,20.0424,20.4578,20.8732,21.2885,21.7039,4.97308,9.94617,14.9193,19.8923,24.8654,29.8385,34.8116,35.8586,36.9055,37.9525,38.9995,40.0464,41.0934,42.1404,43.1873,44.2343,45.2812,46.3282,47.3752,48.4221,49.4691,50.5161,51.563,52.61,53.657,54.7039
0,0,-1.03593,12,-1.03593,-2.07186,-3.10779,12,-0,-4.14372,-1.03593,-2.07186,-5.17965,-6.21558,-3.10779,12,-0,-4.14372,-7.25151,-8.28744,24,-0,-9.32337,-10.3593,-3.10779,12,-0,-4.14372,-11.3952,-12.4312,-13.4671,-16.5749,-17.6108,-20.7186,-21.7545,-14.503,-15.5389,-18.6467,-19.6827,-22.7905,-23.8264,-0.0359296,0.96407,1.96407,2.96407,3.96407,-1.03593,-2.07186,-3.10779,-4.14372,-5.17965,-6.21558,-7.25151,-7.4696,-7.68769,-7.90578,-8.12387,-8.34196,-8.56005,-8.77814,-8.99623,-9.21432,-9.43241,-9.6505,-9.86859,-10.0867,-10.3048,-10.5229,-10.741,-10.959,-11.1771,-11.3952,1.96407,3.92814,5.89221,7.85628,9.82035,11.7844,13.7485,14.162,14.5755,14.989,15.4024,15.8159,16.2294,16.6429,17.0564,17.4699,17.8834,18.2969,18.7104,19.1238,19.5373,19.9508,20.3643,20.7778,21.1913,21.6048,-0.0359296,-0.0718592,-0.107789,-0.143718,-0.179648,-0.215578,-0.251507,-0.259071,-0.266636,-0.2742,-0.281764,-0.289328,-0.296892,-0.304456,-0.31202,-0.319584,-0.327149,-0.334713,-0.342277,-0.349841,-0.357405,-0.364969,-0.372533,-0.380097,-0.387662,-0.395226,2.96407,5.92814,8.89221,11.8563,14.8204,17.7844,20.7485,21.3725,21.9965,22.6205,23.2446,23.8686,24.4926,25.1166,25.7406,26.3646,26.9886,27.6127,28.2367,28.8607,29.4847,30.1087,30.7327,31.3567,31.9808,32.6048,0.96407,1.92814,2.89221,3.85628,4.82035,5.78442,6.74849,6.95145,7.15442,7.35738,7.56034,7.7633,7.96627,8.16923,8.37219,8.57515,8.77811,8.98108,9.18404,9.387,9.58996,9.79293,9.99589,10.1988,10.4018,10.6048,3.96407,7.92814,11.8922,15.8563,19.8204,23.7844,27.7485,28.583,29.4176,30.2521,31.0867,31.9212,32.7557,33.5903,34.4248,35.2594,36.0939,36.9284,37.763,38.5975,39.4321,40.2666,41.1012,41.9357,42.7702,43.6048
0,0,0.286687,11,0.286687,0.573375,0.860062,11,0,1.14675,0.286687,0.573375,1.43344,1.72012,0.860062,11,0,1.14675,2.00681,2.2935,22,0,2.58019,2.86687,0.860062,11,0,1.14675,3.15356,3.44025,3.72694,4.587,4.87368,5.73375,6.02043,4.01362,4.30031,5.16037,5.44706,6.30712,6.59381,1.28669,2.28669,3.28669,4.28669,5.28669,0.286687,0.573375,0.860062,1.14675,1.43344,1.72012,2.00681,2.06717,2.12752,2.18788,2.24823,2.30859,2.36894,2.4293,2.48965,2.55001,2.61036,2.67072,2.73107,2.79143,2.85178,2.91214,2.97249,3.03285,3.09321,3.15356,3.28669,6.57337,9.86006,13.1467,16.4334,19.7201,23.0068,23.6987,24.3907,25.0826,25.7745,26.4665,27.1584,27.8504,28.5423,29.2342,29.9262,30.6181,31.31,32.002,32.6939,33.3858,34.0778,34.7697,35.4616,36.1536,1.28669,2.57337,3.86006,5.14675,6.43344,7.72012,9.00681,9.27769,9.54857,9.81946,10.0903,10.3612,10.6321,10.903,11.1739,11.4447,11.7156,11.9865,12.2574,12.5283,12.7992,13.07,13.3409,13.6118,13.8827,14.1536,4.28669,8.57337,12.8601,17.1467,21.4334,25.7201,30.0068,30.9093,31.8117,32.7142,33.6167,34.5191,35.4216,36.324,37.2265,38.129,39.0314,39.9339,40.8363,41.7388,42.6413,43.5437,44.4462,45.3486,46.2511,47.1536,2.28669,4.57337,6.86006,9.14675,11.4334,13.7201,16.0068,16.4882,16.9696,17.451,17.9324,18.4139,18.8953,19.3767,19.8581,20.3395,20.8209,21.3023,21.7837,22.2651,22.7465,23.2279,23.7093,24.1907,24.6722,25.1536,5.28669,10.5734,15.8601,21.1467,26.4334,31.7201,37.0068,38.1198,39.2328,40.3458,41.4588,42.5717,43.6847,44.7977,45.9107,47.0237,48.1367,49.2497,50.3627,51.4756,52.5886,53.7016,54.8146,55.9276,57.0406,58.1536
0,0,0.463931,7,0.463931,0.927862,1.39179,7,0,1.85572,0.463931,0.927862,2.31965,2.78359,1.39179,7,0,1.85572,3.24752,3.71145,14,0,4.17538,4.63931,1.39179,7,0,1.85572,5.10324,5.56717,6.0311,7.4229,7.88683,9.27862,9.74255,6.49503,6.95896,8.35076,8.81469,10.2065,10.6704,1.46393,2.46393,3.46393,4.46393,5.46393,0.463931,0.927862,1.39179,1.85572,2.31965,2.78359,3.24752,3.34519,3.44286,3.54053,3.6382,3.73587,3.83353,3.9312,4.02887,4.12654,4.22421,4.32188,4.41955,4.51722,4.61489,4.71256,4.81023,4.9079,5.00557,5.10324,3.46393,6.92786,10.3918,13.8557,17.3197,20.7836,24.2475,24.9768,25.706,26.4353,27.1645,27.8938,28.623,29.3523,30.0815,30.8108,31.54,32.2693,32.9985,33.7277,34.457,35.1862,35.9155,36.6447,37.374,38.1032,1.46393,2.92786,4.39179,5.85572,7.31965,8.78359,10.2475,10.5557,10.8639,11.1721,11.4803,11.7885,12.0967,12.4049,12.7131,13.0213,13.3295,13.6377,13.9459,14.2541,14.5623,14.8705,15.1787,15.4868,15.795,16.1032,4.46393,8.92786,13.3918,17.8557,22.3197,26.7836,31.2475,32.1873,33.1271,34.0668,35.0066,35.9464,36.8862,37.8259,38.7657,39.7055,40.6453,41.585,42.5248,43.4646,44.4044,45.3441,46.2839,47.2237,48.1635,49.1032,2.46393,4.92786,7.39179,9.85572,12.3197,14.7836,17.2475,17.7662,18.285,18.8037,19.3224,19.8411,20.3599,20.8786,21.3973,21.916,22.4347,22.9535,23.4722,23.9909,24.5096,25.0284,25.5471,26.0658,26.5845,27.1032,5.46393,10.9279,16.3918,21.8557,27.3197,32.7836,38.2475,39.3978,40.5481,41.6984,42.8487,43.999,45.1493,46.2996,47.4499,48.6002,49.7505,50.9008,52.0511,53.2014,54.3517,55.502,56.6523,57.8026,58.9529,60.1032
0,0,0.299901,-8,0.299901,0.599802,0.899703,-8,0,1.1996,0.299901,0.599802,1.49951,1.79941,0.899703,-8,0,1.1996,2.09931,2.39921,-16,0,2.69911,2.99901,0.899703,-8,0,1.1996,3.29891,3.59881,3.89871,4.79842,5.09832,5.99802,6.29792,4.19861,4.49852,5.39822,5.69812,6.59782,6.89772,1.2999,2.2999,3.2999,4.2999,5.2999,0.299901,0.599802,0.899703,1.1996,1.49951,1.79941,2.09931,2.16244,2.22558,2.28872,2.35186,2.41499,2.47813,2.54127,2.6044,2.66754,2.73068,2.79381,2.85695,2.92009,2.98323,3.04636,3.1095,3.17264,3.23577,3.29891,3.2999,6.5998,9.8997,13.1996,16.4995,19.7994,23.0993,23.794,24.4887,25.1835,25.8782,26.5729,27.2676,27.9623,28.657,29.3518,30.0465,30.7412,31.4359,32.1306,32.8253,33.52,34.2148,34.9095,35.6042,36.2989,1.2999,2.5998,3.8997,5.1996,6.49951,7.79941,9.09931,9.37297,9.64663,9.9203,10.194,10.4676,10.7413,11.015,11.2886,11.5623,11.8359,12.1096,12.3833,12.6569,12.9306,13.2043,13.4779,13.7516,14.0252,14.2989,4.2999,8.5998,12.8997,17.1996,21.4995,25.7994,30.0993,31.0045,31.9098,32.815,33.7203,34.6255,35.5308,36.436,37.3412,38.2465,39.1517,40.057,40.9622,41.8675,42.7727,43.6779,44.5832,45.4884,46.3937,47.2989,2.2999,4.5998,6.8997,9.1996,11.4995,13.7994,16.0993,16.5835,17.0677,17.5519,18.0361,18.5203,19.0044,19.4886,19.9728,20.457,20.9412,21.4254,21.9096,22.3938,22.878,23.3622,23.8463,24.3305,24.8147,25.2989,5.2999,10.5998,15.8997,21.1996,26.4995,31.7994,37.0993,38.2151,39.3308,40.4466,41.5624,42.6782,43.7939,44.9097,46.0255,47.1412,48.257,49.3728,50.4885,51.6043,52.7201,53.8358,54.9516,56.0674,57.1831,58.2989
0,0,0.089697,-5,0.089697,0.179394,0.269091,-5,0,0.358788,0.089697,0.179394,0.448485,0.538182,0.269091,-5,0,0.358788,0.627879,0.717576,-10,0,0.807273,0.89697,0.269091,-5,0,0.358788,0.986667,1.07636,1.16606,1.43515,1.52485,1.79394,1.88364,1.25576,1.34545,1.61455,1.70424,1.97333,2.06303,1.0897,2.0897,3.0897,4.0897,5.0897,0.089697,0.179394,0.269091,0.358788,0.448485,0.538182,0.627879,0.646762,0.665646,0.684529,0.703413,0.722297,0.74118,0.760064,0.778947,0.797831,0.816714,0.835598,0.854482,0.873365,0.892249,0.911132,0.930016,0.948899,0.967783,0.986667,3.0897,6.17939,9.26909,12.3588,15.4485,18.5382,21.6279,22.2783,22.9288,23.5793,24.2297,24.8802,25.5307,26.1811,26.8316,27.482,28.1325,28.783,29.4334,30.0839,30.7344,31.3848,32.0353,32.6857,33.3362,33.9867,1.0897,2.17939,3.26909,4.35879,5.44848,6.53818,7.62788,7.85729,8.0867,8.31611,8.54552,8.77493,9.00434,9.23375,9.46316,9.69257,9.92198,10.1514,10.3808,10.6102,10.8396,11.069,11.2984,11.5278,11.7573,11.9867,4.0897,8.17939,12.2691,16.3588,20.4485,24.5382,28.6279,29.4889,30.3499,31.2108,32.0718,32.9328,33.7938,34.6548,35.5158,36.3768,37.2378,38.0988,38.9597,39.8207,40.6817,41.5427,42.4037,43.2647,44.1257,44.9867,2.0897,4.17939,6.26909,8.35879,10.4485,12.5382,14.6279,15.0678,15.5078,15.9477,16.3876,16.8276,17.2675,17.7074,18.1474,18.5873,19.0272,19.4672,19.9071,20.347,20.787,21.2269,21.6669,22.1068,22.5467,22.9867,5.0897,10.1794,15.2691,20.3588,25.4485,30.5382,35.6279,36.6994,37.7709,38.8424,39.9139,40.9855,42.057,43.1285,44.2,45.2715,46.343,47.4145,48.4861,49.5576,50.6291,51.7006,52.7721,53.8436,54.9152,55.9867
0,0,-0.536702,8,-0.536702,-1.0734,-1.6101,8,-0,-2.14681,-0.536702,-1.0734,-2.68351,-3.22021,-1.6101,8,-0,-2.14681,-3.75691,-4.29361,16,-0,-4.83031,-5.36702,-1.6101,8,-0,-2.14681,-5.90372,-6.44042,-6.97712,-8.58723,-9.12393,-10.734,-11.2707,-7.51382,-8.05052,-9.66063,-10.1973,-11.8074,-12.3441,0.463298,1.4633,2.4633,3.4633,4.4633,-0.536702,-1.0734,-1.6101,-2.14681,-2.68351,-3.22021,-3.75691,-3.8699,-3.98289,-4.09588,-4.20887,-4.32186,-4.43485,-4.54784,-4.66083,-4.77382,-4.88681,-4.9998,-5.11279,-5.22578,-5.33877,-5.45176,-5.56475,-5.67774,-5.79073,-5.90372,2.4633,4.9266,7.3899,9.85319,12.3165,14.7798,17.2431,17.7617,18.2803,18.7989,19.3174,19.836,20.3546,20.8732,21.3918,21.9104,22.429,22.9476,23.4662,23.9847,24.5033,25.0219,25.5405,26.0591,26.5777,27.0963,0.463298,0.926597,1.3899,1.85319,2.31649,2.77979,3.24309,3.34063,3.43816,3.5357,3.63323,3.73077,3.82831,3.92584,4.02338,4.12092,4.21845,4.31599,4.41353,4.51106,4.6086,4.70614,4.80367,4.90121,4.99875,5.09628,3.4633,6.9266,10.3899,13.8532,17.3165,20.7798,24.2431,24.9722,25.7013,26.4304,27.1596,27.8887,28.6178,29.3469,30.076,30.8051,31.5342,32.2634,32.9925,33.7216,34.4507,35.1798,35.9089,36.6381,37.3672,38.0963,1.4633,2.9266,4.3899,5.85319,7.31649,8.77979,10.2431,10.5512,10.8592,11.1673,11.4753,11.7834,12.0915,12.3995,12.7076,13.0157,13.3237,13.6318,13.9398,14.2479,14.556,14.864,15.1721,15.4802,15.7882,16.0963,4.4633,8.9266,13.3899,17.8532,22.3165,26.7798,31.2431,32.1827,33.1224,34.062,35.0017,35.9413,36.8809,37.8206,38.7602,39.6999,40.6395,41.5791,42.5188,43.4584,44.3981,45.3377,46.2774,47.217,48.1566,49.0963
0,0,-0.451628,-20,-0.451628,-0.903256,-1.35488,-20,-0,-1.80651,-0.451628,-0.903256,-2.25814,-2.70977,-1.35488,-20,-0,-1.80651,-3.16139,-3.61302,-40,-0,-4.06465,-4.51628,-1.35488,-20,-0,-1.80651,-4.96791,-5.41953,-5.87116,-7.22605,-7.67767,-9.03256,-9.48418,-6.32279,-6.77442,-8.1293,-8.58093,-9.93581,-10.3874,0.548372,1.54837,2.54837,3.54837,4.54837,-0.451628,-0.903256,-1.35488,-1.80651,-2.25814,-2.70977,-3.16139,-3.25647,-3.35155,-3.44663,-3.54171,-3.63679,-3.73187,-3.82695,-3.92203,-4.01711,-4.11219,-4.20727,-4.30235,-4.39743,-4.49251,-4.58759,-4.68267,-4.77775,-4.87283,-4.96791,2.54837,5.09674,7.64512,10.1935,12.7419,15.2902,17.8386,18.3751,18.9116,19.4481,19.9846,20.5211,21.0576,21.5941,22.1306,22.6671,23.2036,23.7401,24.2766,24.8131,25.3496,25.8861,26.4226,26.9591,27.4956,28.0321,0.548372,1.09674,1.64512,2.19349,2.74186,3.29023,3.83861,3.95405,4.0695,4.18495,4.30039,4.41584,4.53129,4.64673,4.76218,4.87763,4.99307,5.10852,5.22397,5.33941,5.45486,5.57031,5.68575,5.8012,5.91665,6.03209,3.54837,7.09674,10.6451,14.1935,17.7419,21.2902,24.8386,25.5856,26.3327,27.0797,27.8267,28.5737,29.3208,30.0678,30.8148,31.5618,32.3089,33.0559,33.8029,34.5499,35.297,36.044,36.791,37.538,38.2851,39.0321,1.54837,3.09674,4.64512,6.19349,7.74186,9.29023,10.8386,11.1646,11.4906,11.8165,12.1425,12.4685,12.7944,13.1204,13.4464,13.7724,14.0983,14.4243,14.7503,15.0763,15.4022,15.7282,16.0542,16.3801,16.7061,17.0321,4.54837,9.09674,13.6451,18.1935,22.7419,27.2902,31.8386,32.7962,33.7537,34.7113,35.6688,36.6264,37.5839,38.5415,39.499,40.4566,41.4141,42.3717,43.3292,44.2868,45.2443,46.2019,47.1594,48.117,49.0745,50.0321
0,0,0.167757,16,0.167757,0.335514,0.503272,16,0,0.671029,0.167757,0.335514,0.838786,1.00654,0.503272,16,0,0.671029,1.1743,1.34206,32,0,1.50982,1.67757,0.503272,16,0,0.671029,1.84533,2.01309,2.18084,2.68412,2.85187,3.35514,3.5229,2.3486,2.51636,3.01963,3.18739,3.69066,3.85842,1.16776,2.16776,3.16776,4.16776,5.16776,0.167757,0.335514,0.503272,0.671029,0.838786,1.00654,1.1743,1.20962,1.24494,1.28025,1.31557,1.35089,1.3862,1.42152,1.45684,1.49216,1.52747,1.56279,1.59811,1.63343,1.66874,1.70406,1.73938,1.77469,1.81001,1.84533,3.16776,6.33551,9.50327,12.671,15.8388,19.0065,22.1743,22.8412,23.5081,24.175,24.8419,25.5088,26.1757,26.8426,27.5095,28.1764,28.8433,29.5102,30.1771,30.844,31.5108,32.1777,32.8446,33.5115,34.1784,34.8453,1.16776,2.33551,3.50327,4.67103,5.83879,7.00654,8.1743,8.42014,8.66599,8.91183,9.15768,9.40352,9.64936,9.89521,10.141,10.3869,10.6327,10.8786,11.1244,11.3703,11.6161,11.862,12.1078,12.3536,12.5995,12.8453,4.16776,8.33551,12.5033,16.671,20.8388,25.0065,29.1743,30.0517,30.9291,31.8066,32.684,33.5614,34.4388,35.3163,36.1937,37.0711,37.9485,38.8259,39.7034,40.5808,41.4582,42.3356,43.2131,44.0905,44.9679,45.8453,2.16776,4.33551,6.50327,8.67103,10.8388,13.0065,15.1743,15.6307,16.087,16.5434,16.9998,17.4562,17.9125,18.3689,18.8253,19.2816,19.738,20.1944,20.6507,21.1071,21.5635,22.0198,22.4762,22.9326,23.389,23.8453,5.16776,10.3355,15.5033,20.671,25.8388,31.0065,36.1743,37.2622,38.3502,39.4381,40.5261,41.614,42.702,43.7899,44.8779,45.9658,47.0538,48.1417,49.2297,50.3176,51.4056,52.4935,53.5815,54.6694,55.7574,56.8453
