# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tuple_model_model
# start_datetime = 2023-11-22 17:48:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4283406309 (Default)
# output
#   file = /Users/rob/Projects/Julia/notebooks/notebooks/tmp/tuple_model_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,bar:1,bar:2,bar2:1,bar2:2:1,bar2:2:2,bar2:3,bar3:1,bar3:2:1,bar3:2:2:1,bar3:2:2:2,bar3:3
# Adaptation terminated
# Step size = 0.607835
# Diagonal elements of inverse mass matrix:
# 1.0779, 1.10109, 1.05024, 0.897826, 1.06116, 1.04211, 0.872, 0.995593, 1.0201, 1.1151, 0.951852, 0.939182, 0.951132, 1.07208, 0.798513, 1.18122, 1.01193, 1.01232
-13.9123,0.834394,0.607835,3,7,0,22.7214,-0.879274,0.600154,0.562436,0.366028,-0.490423,0.15224,-0.880254,2.57041,1.49102,-3.47071,0.0471617,-0.376809,-1.04715,-0.283099,0.742294,1.48326,0.500519,-0.0640071
-5.62863,0.983911,0.607835,3,7,0,19.2424,-0.386932,0.561967,0.5531,0.275151,-1.30379,0.497036,0.567166,0.669377,-0.925324,-1.00149,-0.511925,0.541839,1.04288,0.27317,-1.22,1.15101,1.01717,0.518185
-7.55483,0.657326,0.607835,3,7,0,18.1056,0.914769,-1.27612,0.214655,0.103085,0.687925,-0.502666,-1.13731,0.0470152,-0.785148,0.859337,-0.396207,-0.497369,0.342185,-0.0181961,2.40227,-1.37403,0.27794,-0.976357
-4.85703,0.950399,0.607835,3,7,0,13.7898,-0.828307,0.644589,0.101671,1.34282,-0.708651,0.246587,-0.0121383,0.773988,0.68377,-0.455583,1.37566,0.598218,-0.440911,0.324569,-0.835985,1.27478,0.294603,-0.0300257
-5.53426,0.769884,0.607835,3,7,0,12.9673,-1.56011,0.595991,-1.30504,0.771653,-0.145243,0.181761,0.638786,0.324311,0.984725,0.421937,1.32049,0.721425,-0.828378,-0.602099,-0.224162,0.721072,0.20658,0.583086
-5.6996,0.641997,0.607835,3,7,0,21.7317,0.470648,-0.51373,1.19606,-0.977188,0.996903,0.0908638,0.368764,0.142641,0.0935283,1.16649,-0.729903,-1.59466,0.0327788,-0.579529,-1.38912,0.0802356,-0.372252,0.716345
-7.79272,0.654897,0.607835,3,7,0,19.0024,0.19525,-0.338793,-1.83174,0.465787,0.369461,0.738387,0.523687,-0.222678,-0.904526,-0.240526,1.38282,2.41309,-0.294562,1.08781,0.0745938,0.798878,0.469145,-0.331031
