# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tuple_model_model
# start_datetime = 2023-11-19 17:45:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4024025201 (Default)
# output
#   file = /Users/rob/Projects/Julia/notebooks/notebooks/tmp/tuple_model_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.1.3,z.2.1.3,z.1.2.3,z.2.2.3
# Adaptation terminated
# Step size = 0.248167
# Diagonal elements of inverse mass matrix:
# 1.00697, 1.04041, 1.06571, 1.15847, 0.840919, 0.999617, 0.902764, 1.4261, 1.22705, 1.26016, 1.46068, 1.0546, 0.981809, 1.04209, 1.06272, 0.956145, 0.925266, 1.11222, 1.18713
-16.9093,0.95323,0.248167,4,15,0,28.6663,-0.485576,-0.442044,0.550032,-0.452383,-0.773324,-0.160892,-0.378828,0.00962567,0.620583,0.223042,0.474967,0.20515,1.86603,0.265645,0.675653,0.652925,2.30062,0.670652,0.731528
-16.8531,0.800102,0.248167,4,15,0,28.3988,-0.883016,-0.243738,0.16969,-0.683763,-0.929324,-0.0858145,-0.429616,0.0050106,0.399791,0.204288,0.520677,0.191532,1.85054,0.279402,0.655219,0.622649,1.21281,0.814185,1.02902
-16.5178,0.555398,0.248167,4,15,0,28.3716,-2.03479,-0.494664,0.801053,-0.411411,-0.597172,-0.280903,0.287518,2.55375,1.13728,1.73085,1.40343,1.74306,0.445548,2.22555,0.0268158,1.02311,0.859496,1.19445,0.9824
-18.5548,0.925567,0.248167,4,15,0,25.6128,-0.256565,-0.675825,-1.97285,-0.196053,-0.411958,-0.66858,0.330101,0.0896662,0.823119,0.149016,0.226748,0.376042,0.987573,0.165312,0.019985,0.816303,0.558969,0.810534,0.938986
-18.3755,0.975874,0.248167,4,15,0,26.8044,0.82735,0.0182675,1.75029,0.353992,-0.217047,0.0678644,-0.69394,0.00736297,1.18781,0.498464,1.54466,1.55341,1.01529,0.771665,0.0917511,1.2165,0.0377106,0.697146,1.08067
-21.1363,0.816899,0.248167,4,15,0,32.3075,2.13429,0.514812,1.59693,0.728622,-0.392854,0.259551,0.585826,0.0197643,0.947949,0.13921,0.685258,0.500413,1.11734,0.246552,2.02394,0.24035,0.0567265,1.65825,0.727397
