# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tuple_model_model
# start_datetime = 2023-11-22 17:48:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4283406309 (Default)
# output
#   file = /Users/rob/Projects/Julia/notebooks/notebooks/tmp/tuple_model_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,bar:1,bar:2,bar2:1,bar2:2:1,bar2:2:2,bar2:3,bar3:1,bar3:2:1,bar3:2:2:1,bar3:2:2:2,bar3:3
# Adaptation terminated
# Step size = 0.646386
# Diagonal elements of inverse mass matrix:
# 0.949361, 0.873062, 0.938255, 0.997062, 0.893843, 0.939311, 1.15763, 1.07332, 1.15174, 0.912075, 0.944874, 0.877785, 0.883751, 0.986196, 1.05501, 0.787508, 0.914655, 0.964208
-12.1098,0.762074,0.646386,3,7,0,21.1187,0.962535,-2.23161,-0.0599442,0.19594,-0.558979,1.24553,-0.215022,-1.42269,-1.12171,1.10389,-1.64195,-0.586724,-1.73915,-0.128117,1.05688,-2.14191,-0.100819,0.252805
-9.22063,0.894271,0.646386,3,7,0,22.5063,0.32641,1.87317,-0.0181124,-0.0112166,1.03242,-0.379524,0.511386,1.37111,0.750371,-1.81759,1.63239,-0.17314,0.544039,0.1185,-1.79741,0.351244,0.0447319,-1.11655
-9.20248,0.948465,0.646386,3,7,0,17.6799,-0.354267,-1.84646,0.0722228,0.104613,-1.0592,0.357382,-0.553038,-1.084,-1.155,1.8147,-1.76547,0.0514993,-0.549604,-0.0178914,1.73193,-0.349401,-0.0447521,0.975014
-8.66,0.963931,0.646386,3,7,0,15.2687,0.0602349,1.65542,-0.624278,-1.49612,0.382898,-0.204442,-1.40768,0.753522,-0.525487,-0.132093,2.01582,-0.659573,1.09284,1.11834,0.0254003,1.23565,0.471098,-0.47278
-4.88932,0.944698,0.646386,3,7,0,14.8852,-0.807463,-1.21228,1.1311,1.21466,-0.0940595,0.0628137,-0.326577,-0.565996,-0.847511,0.242613,-1.38562,-0.124197,-0.146796,0.410056,-0.032128,-0.917216,-0.695253,-0.484285
-3.75781,0.92129,0.646386,3,7,0,10.8059,0.217075,1.64376,0.436107,-0.820226,0.548257,-0.74351,0.144626,0.220462,0.871754,-0.180285,1.23976,-0.109867,-0.152184,-0.402351,0.0396511,0.186953,0.231019,0.603482
